Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,100.12878339538472
2014-01-03,0,0,0,0.0,100.94059283422399
2014-01-06,0,0,0,0.0,100.97321986066507
2014-01-07,0,0,0,0.0,100.62939880314829
2014-01-08,0,0,0,0.0,100.57644435036211
2014-01-09,0,0,0,0.0,100.31219734282959
2014-01-10,0,0,0,0.0,98.85260616214224
2014-01-13,0,0,0,0.0,98.6906176091739
2014-01-14,0,0,0,0.0,98.62819860867059
2014-01-15,0,0,0,0.0,98.32840294799642
2014-01-16,0,0,0,0.0,98.04180983803656
2014-01-17,0,0,0,0.0,97.39004145569055
2014-01-20,0,0,0,0.0,98.30758932477774
2014-01-21,0,0,0,0.0,98.35532588984938
2014-01-22,0,0,0,0.0,98.48823471983115
2014-01-23,0,0,0,0.0,98.08952742345129
2014-01-24,0,0,0,0.0,96.70570812681628
2014-01-27,0,0,0,0.0,94.47302728804071
2014-01-28,0,0,0,0.0,94.29489988164198
2014-01-29,0,0,0,0.0,94.9906753288032
2014-01-30,0,0,0,0.0,94.15003348337135
2014-01-31,0,0,0,0.0,96.39210861255636
2014-02-03,0,0,0,0.0,95.60188250979739
2014-02-04,0,0,0,0.0,95.80910475794026
2014-02-05,0,0,0,0.0,96.33895198895146
2014-02-06,0,0,0,0.0,96.99199838401222
2014-02-07,0,0,0,0.0,96.87177827550522
2014-02-10,0,0,0,0.0,96.87419478582902
2014-02-11,0,0,0,0.0,97.94124469369264
2014-02-12,0,0,0,0.0,97.73925886595252
2014-02-13,0,0,0,0.0,97.61780662376894
2014-02-14,0,0,0,0.0,97.1575025563056
2014-02-17,0,0,0,0.0,97.99682074831549
2014-02-18,0,0,0,0.0,98.49168809747606
2014-02-19,0,0,0,0.0,99.02986254329174
2014-02-20,0,0,0,0.0,98.66099456394473
2014-02-21,0,0,0,0.0,98.91041144692308
2014-02-24,0,0,0,0.0,99.1829210456849
2014-02-25,0,0,0,0.0,99.83568340682753
2014-02-26,0,0,0,0.0,100.60700334422496
2014-02-28,0,0,0,0.0,101.10772555127792
2014-03-03,0,0,0,0.0,101.14084316717266
2014-03-04,0,0,0,0.0,101.75477647226008
2014-03-05,0,0,0,0.0,102.96412751497076
2014-03-06,0,0,0,0.0,103.84796313436988
2014-03-07,0,0,0,0.0,104.99195137579622
2014-03-10,0,0,0,0.0,106.16902753786972
2014-03-11,0,0,0,0.0,105.15611501480488
2014-03-12,0,0,0,0.0,105.72640747715585
2014-03-13,0,0,0,0.0,105.57660549548386
2014-03-14,0,0,0,0.0,105.74619880907119
2014-03-18,0,0,0,0.0,106.7952852674948
2014-03-19,0,0,0,0.0,107.58258860368899
2014-03-20,0,0,0,0.0,107.00976896338167
2014-03-21,0,0,0,0.0,108.24644991540802
2014-03-24,0,0,0,0.0,109.73340614817705
2014-03-25,0,0,0,0.0,111.5898339920947
2014-03-26,0,0,0,0.0,112.70121644702174
2014-03-27,0,0,0,0.0,113.97474228999538
2014-03-28,0,0,0,0.0,114.74057308350207
2014-03-31,0,0,0,0.0,116.26809022404186
2014-04-01,0,0,0,0.0,115.74191245588746
2014-04-02,0,0,0,0.0,116.77629237473698
2014-04-03,0,0,0,0.0,116.27137061118493
2014-04-04,0,0,0,0.0,114.84898512342568
2014-04-07,0,0,0,0.0,115.92604787824902
2014-04-09,0,0,0,0.0,117.16128115905884
2014-04-10,0,0,0,0.0,116.85303839456233
2014-04-11,0,0,0,0.0,115.63080298259294
2014-04-15,0,0,0,0.0,114.97809466962516
2014-04-16,0,0,0,0.0,113.57062849028361
2014-04-17,0,0,0,0.0,114.81608979130496
2014-04-21,0,0,0,0.0,116.25036888548588
2014-04-22,0,0,0,0.0,116.39187243197703
2014-04-23,0,0,0,0.0,117.36226816935687
2014-04-24,0,0,0,0.0,117.36226816935687
2014-04-25,0,0,0,0.0,116.47545519037352
2014-04-28,0,0,0,0.0,115.74191462115483
2014-04-29,0,0,0,0.0,115.25776355346736
2014-04-30,0,0,0,0.0,114.87751036481065
2014-05-02,0,0,0,0.0,115.8781297908674
2014-05-05,0,0,0,0.0,115.9393507416399
2014-05-06,0,0,0,0.0,116.67351204874052
2014-05-07,0,0,0,0.0,115.42007510387478
2014-05-08,0,0,0,0.0,116.1191190905926
2014-05-09,0,0,0,0.0,119.51552342306542
2014-05-12,0,0,0,0.0,122.22315293688473
2014-05-13,0,0,0,0.0,123.45126418773707
2014-05-14,0,0,0,0.0,124.37168188289095
2014-05-15,0,0,0,0.0,123.301047333525
2014-05-16,0,0,0,0.0,123.92262806234781
2014-05-19,0,0,0,0.0,127.14645296087521
2014-05-20,0,0,0,0.0,128.93727776519367
2014-05-21,0,0,0,0.0,132.72869908764596
2014-05-22,0,0,0,0.0,134.69789100189678
2014-05-23,0,0,0,0.0,138.46833357416892
2014-05-26,0,0,0,0.0,136.1498309033779
2014-05-27,0,0,0,0.0,136.26088004872102
2014-05-28,0,0,0,0.0,136.59098014934978
2014-05-29,0,0,0,0.0,136.4480600325789
2014-05-30,0,0,0,0.0,136.4836664170677
2014-06-02,0,0,0,0.0,138.84786914554533
2014-06-03,0,0,0,0.0,141.2053908029288
2014-06-04,0,0,0,0.0,144.07223573616506
2014-06-05,0,0,0,0.0,145.5257364586382
2014-06-06,0,0,0,0.0,146.33074260233943
2014-06-09,0,0,0,0.0,147.50807793657006
2014-06-10,0,0,0,0.0,146.22397028277126
2014-06-11,0,0,0,0.0,145.8784702565177
2014-06-12,0,0,0,0.0,147.3659127488554
2014-06-13,0,0,0,0.0,145.18903784328475
2014-06-16,0,0,0,0.0,146.1821110911689
2014-06-17,0,0,0,0.0,146.49364335505453
2014-06-18,0,0,0,0.0,146.9349638139531
2014-06-19,0,0,0,0.0,146.83261758671222
2014-06-20,0,0,0,0.0,145.3179183082121
2014-06-23,0,0,0,0.0,146.906674383662
2014-06-24,0,0,0,0.0,148.36728130646918
2014-06-25,0,0,0,0.0,150.22503114834853
2014-06-26,0,0,0,0.0,152.02287866113554
2014-06-27,0,0,0,0.0,153.7358019114495
