Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,97.39505680846547
2014-01-03,0,0,0,0.0,98.01258389922938
2014-01-06,0,0,0,0.0,97.0067536729854
2014-01-07,0,0,0,0.0,96.01904474062732
2014-01-08,0,0,0,0.0,96.69685813949833
2014-01-09,0,0,0,0.0,95.38029110857445
2014-01-10,0,0,0,0.0,93.55439573340081
2014-01-13,0,0,0,0.0,94.77816277195463
2014-01-14,0,0,0,0.0,94.48497403030512
2014-01-15,0,0,0,0.0,96.38582567770413
2014-01-16,0,0,0,0.0,96.37063919977209
2014-01-17,0,0,0,0.0,94.5925062786329
2014-01-20,0,0,0,0.0,95.90788213981315
2014-01-21,0,0,0,0.0,96.93016653725266
2014-01-22,0,0,0,0.0,97.10666281730641
2014-01-23,0,0,0,0.0,96.72655474716298
2014-01-24,0,0,0,0.0,93.99069730966335
2014-01-27,0,0,0,0.0,89.79749991573925
2014-01-28,0,0,0,0.0,89.40878883883957
2014-01-29,0,0,0,0.0,88.4849426171034
2014-01-30,0,0,0,0.0,85.66610194468448
2014-01-31,0,0,0,0.0,87.39991356666621
2014-02-03,0,0,0,0.0,86.00335733043644
2014-02-04,0,0,0,0.0,87.07008912226122
2014-02-05,0,0,0,0.0,87.29061660539467
2014-02-06,0,0,0,0.0,86.72114787637197
2014-02-07,0,0,0,0.0,87.53731365061239
2014-02-10,0,0,0,0.0,87.19229124738301
2014-02-11,0,0,0,0.0,87.26877832461197
2014-02-12,0,0,0,0.0,87.39845439448622
2014-02-13,0,0,0,0.0,85.15722547280076
2014-02-14,0,0,0,0.0,85.52808743455448
2014-02-17,0,0,0,0.0,86.05566641570903
2014-02-18,0,0,0,0.0,87.83954945223185
2014-02-19,0,0,0,0.0,87.83101895763313
2014-02-20,0,0,0,0.0,86.13877026121058
2014-02-21,0,0,0,0.0,87.1659365392778
2014-02-24,0,0,0,0.0,88.08488041531007
2014-02-25,0,0,0,0.0,88.12404616256948
2014-02-26,0,0,0,0.0,88.27944520594167
2014-02-28,0,0,0,0.0,89.23796912148168
2014-03-03,0,0,0,0.0,88.4846875268701
2014-03-04,0,0,0,0.0,91.35598911883282
2014-03-05,0,0,0,0.0,93.6365879653709
2014-03-06,0,0,0,0.0,94.9703522077563
2014-03-07,0,0,0,0.0,99.58769272874255
2014-03-10,0,0,0,0.0,101.77900157406268
2014-03-11,0,0,0,0.0,101.18776204236408
2014-03-12,0,0,0,0.0,100.25905194922788
2014-03-13,0,0,0,0.0,100.4847963875226
2014-03-14,0,0,0,0.0,100.25931238289829
2014-03-18,0,0,0,0.0,102.12025387633726
2014-03-19,0,0,0,0.0,102.60986208217697
2014-03-20,0,0,0,0.0,100.4992764941441
2014-03-21,0,0,0,0.0,101.47792443426373
2014-03-24,0,0,0,0.0,104.40683166871574
2014-03-25,0,0,0,0.0,104.6828124099488
2014-03-26,0,0,0,0.0,106.04898383981921
2014-03-27,0,0,0,0.0,107.34925647007745
2014-03-28,0,0,0,0.0,111.040839273608
2014-03-31,0,0,0,0.0,111.16819063969696
2014-04-01,0,0,0,0.0,110.10064159330291
2014-04-02,0,0,0,0.0,112.9696202030906
2014-04-03,0,0,0,0.0,111.13118297734323
2014-04-04,0,0,0,0.0,111.47207151810936
2014-04-07,0,0,0,0.0,111.19811969295586
2014-04-09,0,0,0,0.0,115.71225484387477
2014-04-10,0,0,0,0.0,116.31542450248841
2014-04-11,0,0,0,0.0,115.38977750528154
2014-04-15,0,0,0,0.0,112.29377476866918
2014-04-16,0,0,0,0.0,111.07479974789915
2014-04-17,0,0,0,0.0,114.06978935746068
2014-04-21,0,0,0,0.0,116.27540885537253
2014-04-22,0,0,0,0.0,115.27677071015768
2014-04-23,0,0,0,0.0,116.63933841121757
2014-04-24,0,0,0,0.0,116.63933841121757
2014-04-25,0,0,0,0.0,117.22428893655751
2014-04-28,0,0,0,0.0,118.20538662923057
2014-04-29,0,0,0,0.0,116.19137866649214
2014-04-30,0,0,0,0.0,115.27138264042414
2014-05-02,0,0,0,0.0,115.31342210767714
2014-05-05,0,0,0,0.0,116.53872019654284
2014-05-06,0,0,0,0.0,116.26046947502972
2014-05-07,0,0,0,0.0,115.41889442036657
2014-05-08,0,0,0,0.0,115.03506827129588
2014-05-09,0,0,0,0.0,120.96432883245531
2014-05-12,0,0,0,0.0,123.39710717436472
2014-05-13,0,0,0,0.0,125.69615044711409
2014-05-14,0,0,0,0.0,129.2554636077988
2014-05-15,0,0,0,0.0,129.4517975535894
2014-05-16,0,0,0,0.0,136.02355175729193
2014-05-19,0,0,0,0.0,142.76298483710013
2014-05-20,0,0,0,0.0,142.07726771733186
2014-05-21,0,0,0,0.0,141.0201122032071
2014-05-22,0,0,0,0.0,143.16557985131527
2014-05-23,0,0,0,0.0,147.63137086645796
2014-05-26,0,0,0,0.0,144.07768837047746
2014-05-27,0,0,0,0.0,142.61831362197753
2014-05-28,0,0,0,0.0,142.26004200568565
2014-05-29,0,0,0,0.0,141.55497450423812
2014-05-30,0,0,0,0.0,139.6204455558505
2014-06-02,0,0,0,0.0,144.51500957838778
2014-06-03,0,0,0,0.0,143.6912674861
2014-06-04,0,0,0,0.0,146.4388073499487
2014-06-05,0,0,0,0.0,146.70121937153476
2014-06-06,0,0,0,0.0,150.6142085074906
2014-06-09,0,0,0,0.0,151.40552613541317
2014-06-10,0,0,0,0.0,149.2933211898213
2014-06-11,0,0,0,0.0,149.04306380963556
2014-06-12,0,0,0,0.0,148.62815216275393
2014-06-13,0,0,0,0.0,144.17999246158143
2014-06-16,0,0,0,0.0,143.39144685013667
2014-06-17,0,0,0,0.0,147.64833387339792
2014-06-18,0,0,0,0.0,146.40667518832618
2014-06-19,0,0,0,0.0,144.74932639985494
2014-06-20,0,0,0,0.0,143.6678911501089
2014-06-23,0,0,0,0.0,145.1004294074362
2014-06-24,0,0,0,0.0,147.85057703054642
2014-06-25,0,0,0,0.0,147.23668010778954
2014-06-26,0,0,0,0.0,145.0752314364626
2014-06-27,0,0,0,0.0,144.96487812666248
2014-06-30,0,0,0,0.0,148.78975434398316
2014-07-01,0,0,0,0.0,148.91635312636788
2014-07-02,0,0,0,0.0,149.79859659108524
2014-07-03,0,0,0,0.0,149.009273892325
2014-07-04,0,0,0,0.0,148.84552109630246
2014-07-07,0,0,0,0.0,146.71921963881334
2014-07-08,0,0,0,0.0,141.78483967023786
2014-07-09,0,0,0,0.0,140.2482864136657
2014-07-10,0,0,0,0.0,139.89423421294754
2014-07-11,0,0,0,0.0,135.07702452031188
2014-07-14,0,0,0,0.0,136.69028466174666
2014-07-15,0,0,0,0.0,140.93116393546842
2014-07-16,0,0,0,0.0,143.43516504698007
2014-07-17,0,0,0,0.0,144.0132761569799
2014-07-18,0,0,0,0.0,144.45673825277078
2014-07-21,0,0,0,0.0,144.4384262844825
2014-07-22,0,0,0,0.0,144.01308706714272
2014-07-23,0,0,0,0.0,143.96466448353004
2014-07-24,0,0,0,0.0,144.95274244031225
2014-07-25,0,0,0,0.0,142.71071597617026
2014-07-28,0,0,0,0.0,142.73553591560884
2014-07-30,0,0,0,0.0,144.99065423556422
2014-07-31,0,0,0,0.0,143.33679524222362
2014-08-01,0,0,0,0.0,142.4678782561535
2014-08-04,0,0,0,0.0,144.26721195054657
2014-08-05,0,0,0,0.0,145.02597683981423
2014-08-06,0,0,0,0.0,142.7147117329518
2014-08-07,12,0,12,100.0,141.8047497996647
2014-08-08,12,0,12,100.0,138.56738108977373
2014-08-11,12,0,12,100.0,140.32514024220097
2014-08-12,12,0,12,100.0,142.10451409200456
2014-08-13,12,0,12,100.0,139.2149853605379
2014-08-14,12,0,12,100.0,140.59242002715587
2014-08-18,12,0,12,100.0,143.92314483809727
2014-08-19,12,0,12,100.0,145.55165329373162
2014-08-20,12,0,12,100.0,144.76107224940728
2014-08-21,12,0,12,100.0,147.8646016370003
2014-08-22,12,0,12,100.0,149.97848613708032
2014-08-25,12,0,12,100.0,147.72374399098672
2014-08-26,12,0,12,100.0,146.87250289289187
2014-08-27,12,0,12,100.0,148.08059394120394
2014-08-28,12,0,12,100.0,147.26517419710666
2014-09-01,12,0,12,100.0,151.0830815692852
2014-09-02,12,0,12,100.0,151.71816098062072
2014-09-03,12,0,12,100.0,152.07583644689905
2014-09-04,12,0,12,100.0,150.86285793900174
2014-09-05,12,0,12,100.0,150.69609940494354
2014-09-08,12,0,12,100.0,152.52403928928592
2014-09-09,12,0,12,100.0,152.5306278769565
2014-09-10,12,0,12,100.0,152.279208227063
2014-09-11,12,0,12,100.0,154.01590552794372
2014-09-12,12,0,12,100.0,155.26001900355635
2014-09-15,12,0,12,100.0,154.64291159028681
2014-09-16,12,0,12,100.0,150.02755971658058
2014-09-17,12,0,12,100.0,150.47147484809926
2014-09-18,12,0,12,100.0,153.97669676904692
2014-09-19,12,0,12,100.0,153.09517349611613
2014-09-22,12,0,12,100.0,154.0110192698972
2014-09-23,12,0,12,100.0,150.63504232190124
2014-09-24,12,0,12,100.0,148.00035514365334
2014-09-25,12,0,12,100.0,142.58395098271023
2014-09-26,12,0,12,100.0,146.65807131408863
2014-09-29,12,0,12,100.0,145.35620939658688
2014-09-30,12,0,12,100.0,144.37129989308937
2014-10-01,12,0,12,100.0,143.66928290483403
2014-10-07,12,0,12,100.0,141.90110004643066
2014-10-08,12,0,12,100.0,143.61844089520184
2014-10-09,12,0,12,100.0,148.11445019926006
2014-10-10,12,0,12,100.0,145.98178555155351
2014-10-13,12,0,12,100.0,148.94357645155
2014-10-14,12,0,12,100.0,150.6456560791129
2014-10-15,12,0,12,100.0,150.6456560791129
2014-10-16,12,0,12,100.0,148.31296895954915
2014-10-17,12,0,12,100.0,151.63692751104708
2014-10-20,12,0,12,100.0,154.4483040277438
2014-10-21,12,0,12,100.0,155.60038626324857
2014-10-22,12,0,12,100.0,156.24899364648257
2014-10-27,12,0,12,100.0,157.95255603719062
2014-10-28,12,0,12,100.0,158.62914819166218
2014-10-29,12,0,12,100.0,157.61532002626194
2014-10-30,12,0,12,100.0,159.06504572434753
2014-10-31,12,0,12,100.0,162.22265098913468
2014-11-03,12,0,12,100.0,163.20475737756487
2014-11-05,12,0,12,100.0,164.4321477833475
2014-11-07,12,0,12,100.0,163.93202097261192
