Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,98.59572191525191
2014-01-03,0,0,0,0.0,98.53604546718321
2014-01-06,0,0,0,0.0,98.94044041573159
2014-01-07,0,0,0,0.0,100.05198146238602
2014-01-08,0,0,0,0.0,100.32206992882908
2014-01-09,0,0,0,0.0,99.22995041301911
2014-01-10,0,0,0,0.0,97.89242585617806
2014-01-13,0,0,0,0.0,97.35339697768104
2014-01-14,0,0,0,0.0,96.5582563818057
2014-01-15,0,0,0,0.0,96.73290587332545
2014-01-16,0,0,0,0.0,96.53293409604026
2014-01-17,0,0,0,0.0,95.08141648299211
2014-01-20,0,0,0,0.0,96.17880965410659
2014-01-21,0,0,0,0.0,97.28374826435946
2014-01-22,0,0,0,0.0,97.44607767111016
2014-01-23,0,0,0,0.0,97.91263870158659
2014-01-24,0,0,0,0.0,95.82446297725453
2014-01-27,0,0,0,0.0,93.39377623242964
2014-01-28,0,0,0,0.0,93.23567489341765
2014-01-29,0,0,0,0.0,92.70326362632312
2014-01-30,0,0,0,0.0,92.86384264915779
2014-01-31,0,0,0,0.0,93.19720497701263
2014-02-03,0,0,0,0.0,93.16346468559234
2014-02-04,0,0,0,0.0,93.82128810378254
2014-02-05,0,0,0,0.0,94.93078117501143
2014-02-06,0,0,0,0.0,94.73056133186506
2014-02-07,0,0,0,0.0,95.24488191015925
2014-02-10,0,0,0,0.0,95.21634709196772
2014-02-11,0,0,0,0.0,95.03310386578781
2014-02-12,0,0,0,0.0,95.5738437186
2014-02-13,0,0,0,0.0,94.29150298893182
2014-02-14,0,0,0,0.0,94.64582716432695
2014-02-17,0,0,0,0.0,94.55762425088822
2014-02-18,0,0,0,0.0,95.45563364716843
2014-02-19,0,0,0,0.0,96.00008925888976
2014-02-20,0,0,0,0.0,95.8124582727099
2014-02-21,0,0,0,0.0,95.77589972365969
2014-02-24,0,0,0,0.0,96.30018777061534
2014-02-25,0,0,0,0.0,96.94493745586429
2014-02-26,0,0,0,0.0,96.88113529385117
2014-02-28,0,0,0,0.0,97.15052147545404
2014-03-03,0,0,0,0.0,96.82741824009233
2014-03-04,0,0,0,0.0,98.07779668495988
2014-03-05,0,0,0,0.0,98.67495514306653
2014-03-06,0,0,0,0.0,100.93796060087791
2014-03-07,0,0,0,0.0,100.99068869705465
2014-03-10,0,0,0,0.0,102.2815307787657
2014-03-11,0,0,0,0.0,102.63563105986668
2014-03-12,0,0,0,0.0,102.62523213589981
2014-03-13,0,0,0,0.0,103.00311618835704
2014-03-14,0,0,0,0.0,102.79173489733033
2014-03-18,0,0,0,0.0,104.67772873185241
2014-03-19,0,0,0,0.0,106.05293274251073
2014-03-20,0,0,0,0.0,106.28727831574254
2014-03-21,0,0,0,0.0,107.22948273596458
2014-03-24,0,0,0,0.0,108.85340847452139
2014-03-25,0,0,0,0.0,108.81826074355064
2014-03-26,0,0,0,0.0,108.9791716220233
2014-03-27,0,0,0,0.0,108.52812313159752
2014-03-28,0,0,0,0.0,109.87573702961244
2014-03-31,0,0,0,0.0,110.4767729775216
2014-04-01,0,0,0,0.0,109.59822883244283
2014-04-02,0,0,0,0.0,111.94772613765238
2014-04-03,0,0,0,0.0,111.34590798230745
2014-04-04,0,0,0,0.0,110.38549565842179
2014-04-07,0,0,0,0.0,109.88611622236147
2014-04-09,0,0,0,0.0,111.37066854039455
2014-04-10,0,0,0,0.0,112.4935782165525
2014-04-11,0,0,0,0.0,112.990991093389
2014-04-15,0,0,0,0.0,113.5498113641352
2014-04-16,0,0,0,0.0,112.39575825718133
2014-04-17,0,0,0,0.0,114.4533524626975
2014-04-21,0,0,0,0.0,115.47712484335658
2014-04-22,0,0,0,0.0,115.2830722007266
2014-04-23,0,0,0,0.0,115.0060931390798
2014-04-24,0,0,0,0.0,115.0060931390798
2014-04-25,0,0,0,0.0,115.00045323810144
2014-04-28,0,0,0,0.0,116.50884143411942
2014-04-29,0,0,0,0.0,117.73107787285832
2014-04-30,0,0,0,0.0,116.66308046078755
2014-05-02,0,0,0,0.0,119.29758815851702
2014-05-05,0,0,0,0.0,121.31572424166373
2014-05-06,0,0,0,0.0,121.35838633338803
2014-05-07,0,0,0,0.0,121.79615835330233
2014-05-08,0,0,0,0.0,121.87787148063396
2014-05-09,0,0,0,0.0,123.51279179144359
2014-05-12,0,0,0,0.0,124.67938813417084
2014-05-13,0,0,0,0.0,124.31518481126334
2014-05-14,0,0,0,0.0,127.0609395947901
2014-05-15,0,0,0,0.0,127.23876741469486
2014-05-16,0,0,0,0.0,130.23494392063063
2014-05-19,0,0,0,0.0,136.0907776815542
2014-05-20,0,0,0,0.0,139.44992121184538
2014-05-21,0,0,0,0.0,138.5090282868001
2014-05-22,0,0,0,0.0,141.30685798540895
2014-05-23,0,0,0,0.0,146.04273807306626
2014-05-26,0,0,0,0.0,144.2594739608985
2014-05-27,0,0,0,0.0,143.16930966320083
2014-05-28,0,0,0,0.0,143.0135633820781
2014-05-29,0,0,0,0.0,142.7579059444492
2014-05-30,0,0,0,0.0,144.71360423666016
2014-06-02,0,0,0,0.0,148.78890986906876
2014-06-03,0,0,0,0.0,150.51402451393204
2014-06-04,0,0,0,0.0,153.1443597812998
2014-06-05,0,0,0,0.0,156.2978076109972
2014-06-06,0,0,0,0.0,157.19471641683697
2014-06-09,0,0,0,0.0,158.81169125879703
2014-06-10,0,0,0,0.0,158.70603253533574
2014-06-11,0,0,0,0.0,157.39117383402203
2014-06-12,0,0,0,0.0,159.1744151729907
2014-06-13,0,0,0,0.0,155.15016281223515
2014-06-16,0,0,0,0.0,154.70522711460768
2014-06-17,0,0,0,0.0,156.55787080044936
2014-06-18,0,0,0,0.0,153.5623952873857
2014-06-19,0,0,0,0.0,152.802703702085
2014-06-20,0,0,0,0.0,152.23427334359297
2014-06-23,0,0,0,0.0,153.589969750507
2014-06-24,0,0,0,0.0,155.29451453069302
2014-06-25,0,0,0,0.0,156.05317729912423
2014-06-26,0,0,0,0.0,155.18958495334206
2014-06-27,0,0,0,0.0,158.01315207899432
2014-06-30,0,0,0,0.0,160.832077828379
2014-07-01,0,0,0,0.0,161.8665073792836
2014-07-02,0,0,0,0.0,163.295332210908
2014-07-03,0,0,0,0.0,167.27531995644844
2014-07-04,0,0,0,0.0,168.15927947674425
2014-07-07,0,0,0,0.0,169.11379219755153
2014-07-08,0,0,0,0.0,161.7286296984613
2014-07-09,0,0,0,0.0,160.80495237257972
2014-07-10,0,0,0,0.0,162.39310001375878
2014-07-11,0,0,0,0.0,156.90427912871195
2014-07-14,0,0,0,0.0,157.85187789144103
2014-07-15,0,0,0,0.0,160.45953087455305
2014-07-16,0,0,0,0.0,161.76933865068014
2014-07-17,0,0,0,0.0,166.15784361766478
2014-07-18,0,0,0,0.0,166.0822380675712
2014-07-21,0,0,0,0.0,167.20096473534022
2014-07-22,0,0,0,0.0,167.93034611596468
2014-07-23,0,0,0,0.0,167.56781708181546
2014-07-24,0,0,0,0.0,168.70242407362701
2014-07-25,0,0,0,0.0,165.68343756443565
2014-07-28,0,0,0,0.0,164.3297016283231
2014-07-30,0,0,0,0.0,165.3359091563016
2014-07-31,0,0,0,0.0,165.55691253833677
2014-08-01,0,0,0,0.0,163.11187146055872
2014-08-04,0,0,0,0.0,166.1087621231838
2014-08-05,0,0,0,0.0,167.28730981532215
2014-08-06,0,0,0,0.0,167.81861694155896
2014-08-07,10,1,11,90.9090909090909,168.70877378075204
2014-08-08,10,1,11,90.9090909090909,166.29983237811257
2014-08-11,10,1,11,90.9090909090909,169.19508749854182
2014-08-12,10,1,11,90.9090909090909,169.80700986864488
2014-08-13,10,1,11,90.9090909090909,166.75685660080507
2014-08-14,10,1,11,90.9090909090909,169.22660523700904
2014-08-18,10,1,11,90.9090909090909,176.16571456501492
2014-08-19,10,1,11,90.9090909090909,179.33448526880372
2014-08-20,10,1,11,90.9090909090909,178.24784573674987
2014-08-21,10,1,11,90.9090909090909,178.81270596313917
2014-08-22,10,1,11,90.9090909090909,178.45902838389577
2014-08-25,10,1,11,90.9090909090909,179.76845185548325
2014-08-26,10,1,11,90.9090909090909,184.42525177869905
2014-08-27,10,1,11,90.9090909090909,187.4224241399495
2014-08-28,10,1,11,90.9090909090909,186.25494761320286
2014-09-01,10,1,11,90.9090909090909,188.91398327290918
2014-09-02,10,1,11,90.9090909090909,187.6967826750762
2014-09-03,10,1,11,90.9090909090909,187.9364713977676
2014-09-04,10,1,11,90.9090909090909,187.52891029563924
2014-09-05,10,1,11,90.9090909090909,188.9788072157063
2014-09-08,10,1,11,90.9090909090909,190.527680497484
2014-09-09,10,1,11,90.9090909090909,190.55095069697904
2014-09-10,10,1,11,90.9090909090909,191.17630722955496
2014-09-11,10,1,11,90.9090909090909,192.94624670241092
2014-09-12,10,1,11,90.9090909090909,194.12590256062157
2014-09-15,10,1,11,90.9090909090909,193.87425046515753
2014-09-16,10,1,11,90.9090909090909,187.50599014378514
2014-09-17,10,1,11,90.9090909090909,186.93505257707272
2014-09-18,10,1,11,90.9090909090909,189.65169725415493
2014-09-19,10,1,11,90.9090909090909,190.22054453798776
2014-09-22,10,1,11,90.9090909090909,191.87268507899464
2014-09-23,10,1,11,90.9090909090909,189.33049907720306
2014-09-24,10,1,11,90.9090909090909,185.6732133864728
2014-09-25,10,1,11,90.9090909090909,183.65425954026477
2014-09-26,10,1,11,90.9090909090909,186.26099345585553
2014-09-29,10,1,11,90.9090909090909,189.40686262212233
2014-09-30,10,1,11,90.9090909090909,191.35036620669413
2014-10-01,10,1,11,90.9090909090909,191.29295158553327
2014-10-07,10,1,11,90.9090909090909,190.68503136697578
2014-10-08,10,1,11,90.9090909090909,190.52318924918222
2014-10-09,10,1,11,90.9090909090909,191.08533862922175
2014-10-10,10,1,11,90.9090909090909,189.53510264107035
2014-10-13,10,1,11,90.9090909090909,189.21786489667517
2014-10-14,10,1,11,90.9090909090909,188.4572176299129
2014-10-15,10,1,11,90.9090909090909,188.4572176299129
2014-10-16,10,1,11,90.9090909090909,181.4767423926149
2014-10-17,10,1,11,90.9090909090909,183.27632443802958
2014-10-20,10,1,11,90.9090909090909,184.58202635383975
2014-10-21,10,1,11,90.9090909090909,185.76034965168967
2014-10-22,10,1,11,90.9090909090909,187.79081805723393
2014-10-27,10,1,11,90.9090909090909,189.62625609972562
2014-10-28,10,1,11,90.9090909090909,190.0250365812977
2014-10-29,10,1,11,90.9090909090909,192.27956141795738
2014-10-30,10,1,11,90.9090909090909,192.56691108585994
2014-10-31,10,1,11,90.9090909090909,194.01084533571307
2014-11-03,10,1,11,90.9090909090909,196.1846107159877
2014-11-05,10,1,11,90.9090909090909,196.85504453556
2014-11-07,10,1,11,90.9090909090909,197.22909130703368
2014-11-10,10,1,11,90.9090909090909,197.31990626919858
2014-11-11,10,1,11,90.9090909090909,196.86137861412874
2014-11-12,10,1,11,90.9090909090909,198.3415094066939
2014-11-13,10,1,11,90.9090909090909,200.58143598636232
2014-11-14,10,1,11,90.9090909090909,203.71198607292618
2014-11-17,10,1,11,90.9090909090909,209.37354095121398
2014-11-18,10,1,11,90.9090909090909,211.68915128181314
2014-11-19,10,1,11,90.9090909090909,210.40423778311666
2014-11-20,10,1,11,90.9090909090909,206.6942648686156
2014-11-21,10,1,11,90.9090909090909,208.5485743272127
2014-11-24,10,1,11,90.9090909090909,208.68318307307229
2014-11-25,10,1,11,90.9090909090909,207.28762078193176
2014-11-26,10,1,11,90.9090909090909,208.45797543852953
2014-11-27,10,1,11,90.9090909090909,209.6911024287563
2014-11-28,10,1,11,90.9090909090909,214.81425016206995
2014-12-01,10,1,11,90.9090909090909,213.93001405761868
2014-12-02,10,1,11,90.9090909090909,214.63641782288607
2014-12-03,10,1,11,90.9090909090909,216.5999179734201
2014-12-04,10,1,11,90.9090909090909,216.14026851723932
2014-12-05,10,1,11,90.9090909090909,214.12034894701287
2014-12-08,10,1,11,90.9090909090909,210.8802390356447
2014-12-09,10,1,11,90.9090909090909,208.19704143395916
2014-12-10,10,1,11,90.9090909090909,208.71330756872467
2014-12-11,10,1,11,90.9090909090909,205.29521699373245
2014-12-12,10,1,11,90.9090909090909,201.37491005345453
2014-12-15,10,1,11,90.9090909090909,199.96055671903565
2014-12-16,10,1,11,90.9090909090909,194.98204586643882
2014-12-17,10,1,11,90.9090909090909,192.60687880137814
2014-12-18,10,1,11,90.9090909090909,197.56428010889883
2014-12-19,10,1,11,90.9090909090909,200.93090527064095
2014-12-22,10,1,11,90.9090909090909,201.17233233307553
2014-12-23,10,1,11,90.9090909090909,199.28609432559838
2014-12-24,10,1,11,90.9090909090909,197.25257763698875
2014-12-26,10,1,11,90.9090909090909,196.1596284396647
2014-12-29,10,1,11,90.9090909090909,197.64709855610246
2014-12-30,10,1,11,90.9090909090909,199.37056878236848
2014-12-31,10,1,11,90.9090909090909,205.09316065318976
2015-01-01,10,1,11,90.9090909090909,204.51321934619386
2015-01-02,10,1,11,90.9090909090909,206.10233808800027
2015-01-05,10,1,11,90.9090909090909,206.8203815480574
2015-01-06,10,1,11,90.9090909090909,199.48399975494496
2015-01-07,10,1,11,90.9090909090909,198.44915445323255
2015-01-08,10,1,11,90.9090909090909,199.3943180207389
2015-01-09,10,1,11,90.9090909090909,201.55005050137035
2015-01-12,10,1,11,90.9090909090909,208.23509454969437
2015-01-13,10,1,11,90.9090909090909,206.79621494529553
2015-01-14,10,1,11,90.9090909090909,211.6757329143136
2015-01-15,10,1,11,90.9090909090909,213.07560156440286
2015-01-16,10,1,11,90.9090909090909,215.17664386944904
2015-01-19,10,1,11,90.9090909090909,216.26711483913743
2015-01-20,10,1,11,90.9090909090909,218.12794145626358
2015-01-21,10,1,11,90.9090909090909,221.56276812993147
2015-01-22,10,1,11,90.9090909090909,220.21564230444955
2015-01-23,10,1,11,90.9090909090909,218.01440683650455
2015-01-27,10,1,11,90.9090909090909,216.89167505806753
2015-01-28,10,1,11,90.9090909090909,221.24101161437335
2015-01-29,10,1,11,90.9090909090909,225.5267356963646
2015-01-30,10,1,11,90.9090909090909,222.50971873458715
2015-02-02,9,2,11,81.81818181818183,226.23017009454816
2015-02-03,9,2,11,81.81818181818183,226.71627933418876
2015-02-04,9,2,11,81.81818181818183,226.58330082333674
2015-02-05,9,2,11,81.81818181818183,225.23140622958599
2015-02-06,9,2,11,81.81818181818183,223.46824264087886
2015-02-09,9,2,11,81.81818181818183,219.72352308903805
2015-02-10,9,2,11,81.81818181818183,220.81040159100968
2015-02-11,10,1,11,90.9090909090909,221.23208086327955
2015-02-12,9,2,11,81.81818181818183,224.33199533357276
2015-02-13,9,2,11,81.81818181818183,230.92375368705672
2015-02-16,10,1,11,90.9090909090909,231.01558443504894
2015-02-18,10,1,11,90.9090909090909,232.30577611487848
2015-02-19,10,1,11,90.9090909090909,230.66301164516983
2015-02-20,10,1,11,90.9090909090909,229.95996685895472
2015-02-23,9,2,11,81.81818181818183,230.79081023379868
2015-02-24,8,3,11,72.72727272727273,230.43179308916564
2015-02-25,8,3,11,72.72727272727273,231.17818924076064
2015-02-26,8,3,11,72.72727272727273,231.29176137799234
2015-02-27,9,2,11,81.81818181818183,235.16300445403573
2015-03-02,10,1,11,90.9090909090909,241.17425794327823
2015-03-03,9,2,11,81.81818181818183,240.91107363188254
2015-03-04,9,2,11,81.81818181818183,238.8516403149255
2015-03-05,9,2,11,81.81818181818183,238.953940921927
2015-03-09,9,2,11,81.81818181818183,238.38619808890718
2015-03-10,10,1,11,90.9090909090909,239.06703850844204
2015-03-11,9,2,11,81.81818181818183,239.15225723870591
2015-03-12,10,1,11,90.9090909090909,243.716745229376
2015-03-13,10,1,11,90.9090909090909,239.75202956485774
2015-03-16,9,2,11,81.81818181818183,239.00479965725657
2015-03-17,9,2,11,81.81818181818183,240.85879365661552
2015-03-18,9,2,11,81.81818181818183,241.53921306807268
2015-03-19,9,2,11,81.81818181818183,239.87978155343984
2015-03-20,9,2,11,81.81818181818183,237.84412487501965
2015-03-23,9,2,11,81.81818181818183,238.5244253208876
2015-03-24,8,3,11,72.72727272727273,236.67472793575334
2015-03-25,8,3,11,72.72727272727273,234.60967416405603
2015-03-26,8,3,11,72.72727272727273,232.67583134257706
2015-03-27,8,3,11,72.72727272727273,231.7955558481578
2015-03-30,8,3,11,72.72727272727273,234.48988683892162
2015-03-31,8,3,11,72.72727272727273,233.19860874563471
2015-04-01,8,3,11,72.72727272727273,235.03643330143595
2015-04-06,8,3,11,72.72727272727273,239.5648132696259
2015-04-07,9,2,11,81.81818181818183,242.92655821505232
2015-04-08,9,2,11,81.81818181818183,244.31777114569644
2015-04-09,9,2,11,81.81818181818183,246.3911166167494
2015-04-10,9,2,11,81.81818181818183,249.5873243343316
2015-04-13,9,2,11,81.81818181818183,251.4811133527996
2015-04-15,9,2,11,81.81818181818183,253.57295093322335
2015-04-16,10,1,11,90.9090909090909,250.71670452921913
2015-04-17,10,1,11,90.9090909090909,247.74626711211604
2015-04-20,9,2,11,81.81818181818183,246.09192237382064
2015-04-21,9,2,11,81.81818181818183,243.71540708228636
2015-04-22,9,2,11,81.81818181818183,242.96033757773108
2015-04-23,9,2,11,81.81818181818183,240.78834770673043
2015-04-24,9,2,11,81.81818181818183,235.5399943488758
2015-04-27,8,3,11,72.72727272727273,228.021719992655
2015-04-28,9,2,11,81.81818181818183,230.00377310469992
2015-04-29,8,3,11,72.72727272727273,231.38698703078396
2015-04-30,8,3,11,72.72727272727273,232.88070603038994
2015-05-04,9,2,11,81.81818181818183,237.7793515986664
2015-05-05,9,2,11,81.81818181818183,239.21982315597083
2015-05-06,8,3,11,72.72727272727273,232.01888761464352
2015-05-07,8,3,11,72.72727272727273,226.5036054428053
2015-05-08,8,3,11,72.72727272727273,228.73345626786494
2015-05-11,8,3,11,72.72727272727273,231.48197017683933
2015-05-12,8,3,11,72.72727272727273,227.61714240223762
2015-05-13,8,3,11,72.72727272727273,229.57543762017255
2015-05-14,8,3,11,72.72727272727273,228.43595037252777
2015-05-15,6,5,11,54.54545454545454,228.45649269118553
2015-05-18,7,4,11,63.63636363636363,232.78485495460765
2015-05-19,8,3,11,72.72727272727273,233.72535170459625
2015-05-20,7,4,11,63.63636363636363,236.24938006645007
2015-05-21,7,4,11,63.63636363636363,237.2644934986709
2015-05-22,7,4,11,63.63636363636363,239.94175756922436
2015-05-25,7,4,11,63.63636363636363,237.92834636012046
2015-05-26,7,4,11,63.63636363636363,237.8809980759761
2015-05-27,7,4,11,63.63636363636363,236.96675781469585
2015-05-28,7,4,11,63.63636363636363,237.19027473903077
2015-05-29,7,4,11,63.63636363636363,242.13832601100518
2015-06-01,7,4,11,63.63636363636363,240.36185565750424
2015-06-02,6,5,11,54.54545454545454,234.11283800619591
2015-06-03,5,6,11,45.45454545454545,229.5461016030016
2015-06-04,5,6,11,45.45454545454545,225.62316003656724
