Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,97.80959680386997
2014-01-03,0,0,0,0.0,97.7610291372477
2014-01-06,0,0,0,0.0,96.75941087158309
2014-01-07,0,0,0,0.0,96.02249288032351
2014-01-08,0,0,0,0.0,96.42772170373466
2014-01-09,0,0,0,0.0,97.20002467500771
2014-01-10,0,0,0,0.0,97.09800459898321
2014-01-13,0,0,0,0.0,98.28852981551887
2014-01-14,0,0,0,0.0,97.46806904849005
2014-01-15,0,0,0,0.0,98.66519681844468
2014-01-16,0,0,0,0.0,97.88872826285764
2014-01-17,0,0,0,0.0,96.00809211709321
2014-01-20,0,0,0,0.0,96.34645616134495
2014-01-21,0,0,0,0.0,97.29054825241444
2014-01-22,0,0,0,0.0,97.23696119993045
2014-01-23,0,0,0,0.0,97.06783536006206
2014-01-24,0,0,0,0.0,95.5626533291203
2014-01-27,0,0,0,0.0,92.24926245570335
2014-01-28,0,0,0,0.0,92.95598805634533
2014-01-29,0,0,0,0.0,92.79206730415571
2014-01-30,0,0,0,0.0,90.7292752166818
2014-01-31,0,0,0,0.0,92.1943888627325
2014-02-03,0,0,0,0.0,91.02948738248925
2014-02-04,0,0,0,0.0,92.04806295789547
2014-02-05,0,0,0,0.0,93.17568646008375
2014-02-06,0,0,0,0.0,93.18108144298408
2014-02-07,0,0,0,0.0,94.09597652956656
2014-02-10,0,0,0,0.0,94.05519968241536
2014-02-11,0,0,0,0.0,94.80715868917129
2014-02-12,0,0,0,0.0,95.97017918831236
2014-02-13,0,0,0,0.0,94.0947752455721
2014-02-14,0,0,0,0.0,94.22347956755802
2014-02-17,0,0,0,0.0,94.94771396905386
2014-02-18,0,0,0,0.0,96.43698286943443
2014-02-19,0,0,0,0.0,96.62720820316366
2014-02-20,0,0,0,0.0,95.60906892763502
2014-02-21,0,0,0,0.0,96.4248780150883
2014-02-24,0,0,0,0.0,97.63055319252429
2014-02-25,0,0,0,0.0,98.40099027284724
2014-02-26,0,0,0,0.0,98.41774354114774
2014-02-28,0,0,0,0.0,99.43858311774753
2014-03-03,0,0,0,0.0,98.33253132698657
2014-03-04,0,0,0,0.0,99.72428349081599
2014-03-05,0,0,0,0.0,100.80303507546095
2014-03-06,0,0,0,0.0,102.75290645050103
2014-03-07,0,0,0,0.0,105.57818743024727
2014-03-10,0,0,0,0.0,107.98951148583802
2014-03-11,0,0,0,0.0,107.3413741358394
2014-03-12,0,0,0,0.0,106.78903470076303
2014-03-13,0,0,0,0.0,107.88800574206758
2014-03-14,0,0,0,0.0,107.0758132087888
2014-03-18,0,0,0,0.0,107.80958300189924
2014-03-19,0,0,0,0.0,108.1733817209974
2014-03-20,0,0,0,0.0,106.37839193632823
2014-03-21,0,0,0,0.0,107.11786231812901
