Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,14,0.0,100.0
2014-01-02,0,0,14,0.0,97.91481103394139
2014-01-03,0,0,14,0.0,98.48163400847409
2014-01-06,0,0,14,0.0,98.83088773822033
2014-01-07,0,0,14,0.0,99.16787772736154
2014-01-08,0,0,14,0.0,99.52620204484452
2014-01-09,0,0,14,0.0,98.52344157981653
2014-01-10,0,0,14,0.0,98.37690295841487
2014-01-13,0,0,14,0.0,97.76513924103685
2014-01-14,0,0,14,0.0,97.54435168133597
2014-01-15,0,0,14,0.0,97.35414112553813
2014-01-16,0,0,14,0.0,96.65872653402896
2014-01-17,0,0,14,0.0,96.22319810561501
2014-01-20,0,0,14,0.0,97.03892709698472
2014-01-21,0,0,14,0.0,97.35565504933379
2014-01-22,0,0,14,0.0,97.71170090648764
2014-01-23,0,0,14,0.0,97.74226206710053
2014-01-24,0,0,14,0.0,96.38888328427507
2014-01-27,0,0,14,0.0,94.95851318325764
2014-01-28,0,0,14,0.0,95.15106730758649
2014-01-29,0,0,14,0.0,96.35015739565216
2014-01-30,0,0,14,0.0,94.85208133404589
2014-01-31,0,0,14,0.0,96.2707066897864
2014-02-03,0,0,14,0.0,95.5223420119462
2014-02-04,0,0,14,0.0,95.81428298913981
2014-02-05,0,0,14,0.0,96.48226316084589
2014-02-06,0,0,14,0.0,96.73170626518655
2014-02-07,0,0,14,0.0,97.0177094973716
2014-02-10,0,0,14,0.0,96.6049706736836
2014-02-11,0,0,14,0.0,96.57232665723637
2014-02-12,0,0,14,0.0,96.08302553081772
2014-02-13,0,0,14,0.0,95.20281829795834
2014-02-14,0,0,14,0.0,95.04460089084333
2014-02-17,0,0,14,0.0,94.63155285678064
2014-02-18,0,0,14,0.0,95.31365559266403
2014-02-19,0,0,14,0.0,95.6833424582031
2014-02-20,0,0,14,0.0,95.72618606981929
2014-02-21,0,0,14,0.0,96.20934501083096
2014-02-24,0,0,14,0.0,96.19413291408954
2014-02-25,0,0,14,0.0,96.08458196547834
2014-02-26,0,0,14,0.0,95.64945583499349
2014-02-28,0,0,14,0.0,95.63018701437453
2014-03-03,0,0,14,0.0,94.69369692925733
2014-03-04,0,0,14,0.0,95.2071655807203
2014-03-05,0,0,14,0.0,95.48065348055721
2014-03-06,0,0,14,0.0,95.85230454919774
2014-03-07,0,0,14,0.0,95.83352830535463
2014-03-10,0,0,14,0.0,95.04695263921502
2014-03-11,0,0,14,0.0,94.77552065540749
2014-03-12,0,0,14,0.0,94.81217742457753
2014-03-13,0,0,14,0.0,94.31400847719942
2014-03-14,0,0,14,0.0,94.02176745156216
2014-03-18,0,0,14,0.0,94.96377434687275
2014-03-19,0,0,14,0.0,95.50491758740765
2014-03-20,0,0,14,0.0,95.6258935637384
2014-03-21,0,0,14,0.0,96.2494714923287
2014-03-24,0,0,14,0.0,96.05991189828663
2014-03-25,0,0,14,0.0,96.03864148299883
2014-03-26,0,0,14,0.0,95.73790695027834
2014-03-27,0,0,14,0.0,96.55421388541326
2014-03-28,0,0,14,0.0,97.84965323732095
2014-03-31,0,0,14,0.0,98.44912183032542
2014-04-01,0,0,14,0.0,98.91227854362036
2014-04-02,0,0,14,0.0,99.2387812127827
2014-04-03,0,0,14,0.0,99.48890838756992
2014-04-04,0,0,14,0.0,99.34420405372597
2014-04-07,0,0,14,0.0,99.2718835368147
2014-04-09,0,0,14,0.0,100.2098572473735
2014-04-10,0,0,14,0.0,100.2005586374769
2014-04-11,0,0,14,0.0,99.83032723085515
2014-04-15,0,0,14,0.0,99.80755556036104
2014-04-16,0,0,14,0.0,98.97814844975801
2014-04-17,0,0,14,0.0,99.52490676417963
2014-04-21,0,0,14,0.0,99.60605653010442
2014-04-22,0,0,14,0.0,99.89919531060248
2014-04-23,0,0,14,0.0,99.98209109975795
2014-04-24,0,0,13,0.0,99.98209109975795
2014-04-25,0,0,14,0.0,99.19937804175515
2014-04-28,0,0,14,0.0,98.88994103479949
2014-04-29,0,0,14,0.0,97.87177449857076
2014-04-30,0,0,14,0.0,97.35150884933356
2014-05-02,0,0,14,0.0,97.42521933844517
2014-05-05,0,0,14,0.0,97.19978419343094
2014-05-06,0,0,14,0.0,96.94275662245882
2014-05-07,0,0,14,0.0,96.8882568429671
2014-05-08,0,0,14,0.0,96.60385886480015
2014-05-09,0,0,14,0.0,97.10820635070682
2014-05-12,0,0,14,0.0,97.41847961408678
2014-05-13,0,0,14,0.0,98.59783097188652
2014-05-14,0,0,14,0.0,98.90814332736618
2014-05-15,0,0,14,0.0,97.95493901094099
2014-05-16,0,0,14,0.0,97.68821339887191
2014-05-19,0,0,14,0.0,96.68568938017549
2014-05-20,0,0,14,0.0,97.64564065084146
2014-05-21,0,0,14,0.0,98.40056450213201
2014-05-22,0,0,14,0.0,99.44612108111066
2014-05-23,0,0,14,0.0,100.48932634068277
2014-05-26,0,0,14,0.0,100.052762130506
2014-05-27,0,0,14,0.0,99.52120036298672
2014-05-28,0,0,14,0.0,100.04899654027044
2014-05-29,0,0,14,0.0,99.47850330626291
2014-05-30,0,0,14,0.0,100.78536338248112
2014-06-02,0,0,14,0.0,100.10340988302895
2014-06-03,0,0,14,0.0,100.7449968049318
2014-06-04,0,0,14,0.0,100.79690298167519
2014-06-05,0,0,14,0.0,102.59354475179809
2014-06-06,0,0,14,0.0,104.81452933559268
2014-06-09,0,0,14,0.0,104.52492830247782
2014-06-10,0,0,14,0.0,105.27649829335279
2014-06-11,0,0,14,0.0,105.66548583492165
2014-06-12,0,0,14,0.0,106.68469017183514
2014-06-13,0,0,14,0.0,104.6080914282036
2014-06-16,0,0,14,0.0,105.2043964046486
2014-06-17,0,0,14,0.0,105.57283451699287
2014-06-18,0,0,14,0.0,105.10927594131508
2014-06-19,0,0,14,0.0,104.80649367047754
2014-06-20,0,0,14,0.0,104.27814689363697
2014-06-23,0,0,14,0.0,103.53433716106942
2014-06-24,0,0,14,0.0,103.73315418990197
2014-06-25,0,0,14,0.0,104.48473270324389
2014-06-26,0,0,14,0.0,104.03908883455006
2014-06-27,0,0,14,0.0,103.91985820170562
2014-06-30,0,0,14,0.0,104.63729790909699
2014-07-01,0,0,14,0.0,105.13458433935303
2014-07-02,0,0,14,0.0,106.30918202877537
2014-07-03,0,0,14,0.0,106.17208712243342
2014-07-04,0,0,14,0.0,106.25594868453885
2014-07-07,0,0,14,0.0,105.929542132119
2014-07-08,0,0,14,0.0,103.83136990759128
2014-07-09,0,0,14,0.0,102.63453890663274
2014-07-10,0,0,14,0.0,102.86260701241294
2014-07-11,0,0,14,0.0,102.29285063018547
2014-07-14,0,0,14,0.0,102.1657497037262
2014-07-15,0,0,14,0.0,103.01529523597384
2014-07-16,0,0,14,0.0,103.47556814473026
2014-07-17,0,0,14,0.0,104.27298864990242
2014-07-18,0,0,14,0.0,104.20400312624787
2014-07-21,0,0,14,0.0,104.51236472058238
2014-07-22,0,0,14,0.0,105.29058154946821
2014-07-23,0,0,14,0.0,105.36794032645219
2014-07-24,0,0,14,0.0,105.53562112808075
2014-07-25,0,0,14,0.0,106.02143887563646
2014-07-28,0,0,14,0.0,105.83814911146827
2014-07-30,0,0,14,0.0,105.7324767781873
2014-07-31,0,0,14,0.0,105.94090724411045
2014-08-01,0,0,14,0.0,106.14355041171733
2014-08-04,0,0,14,0.0,106.7625393431757
2014-08-05,0,0,14,0.0,106.96350635586992
2014-08-06,0,0,14,0.0,107.37615585110372
2014-08-07,11,2,14,84.61538461538461,107.30838465662389
2014-08-08,11,3,14,78.57142857142857,106.35418505429261
2014-08-11,11,3,14,78.57142857142857,106.59269940878498
2014-08-12,11,3,14,78.57142857142857,107.66616645782491
2014-08-13,11,3,14,78.57142857142857,107.66642078195525
2014-08-14,11,3,14,78.57142857142857,108.71946289313341
2014-08-18,11,3,14,78.57142857142857,109.87832189218454
2014-08-19,11,3,14,78.57142857142857,111.37166649235914
2014-08-20,11,3,14,78.57142857142857,111.23177923235481
2014-08-21,11,3,14,78.57142857142857,111.76036645921326
2014-08-22,11,3,14,78.57142857142857,111.04539582096294
2014-08-25,11,3,14,78.57142857142857,110.76770410970293
2014-08-26,11,3,14,78.57142857142857,111.47534145903334
2014-08-27,11,3,14,78.57142857142857,111.58670460536982
2014-08-28,11,3,14,78.57142857142857,111.20603508685423
2014-09-01,11,3,14,78.57142857142857,111.97531325454753
2014-09-02,11,3,14,78.57142857142857,112.94225957509553
2014-09-03,11,3,14,78.57142857142857,114.08274358412551
2014-09-04,11,3,14,78.57142857142857,114.02540822929414
2014-09-05,11,3,14,78.57142857142857,113.54774212454362
2014-09-08,11,3,14,78.57142857142857,115.16395888097198
2014-09-09,11,3,14,78.57142857142857,115.83398419023645
2014-09-10,11,3,14,78.57142857142857,114.88924432998627
2014-09-11,11,3,14,78.57142857142857,116.76746495181894
2014-09-12,11,3,14,78.57142857142857,116.96144347596211
2014-09-15,11,3,14,78.57142857142857,117.44086015438937
2014-09-16,11,3,14,78.57142857142857,115.68149700177896
2014-09-17,11,3,14,78.57142857142857,115.89276042073836
2014-09-18,11,3,14,78.57142857142857,117.27389017075565
2014-09-19,11,3,14,78.57142857142857,116.17574784176203
2014-09-22,11,3,14,78.57142857142857,116.23377458789604
2014-09-23,11,3,14,78.57142857142857,114.49335011649771
2014-09-24,10,4,14,71.42857142857143,115.70043861194279
2014-09-25,10,4,14,71.42857142857143,114.91536815029892
2014-09-26,11,3,14,78.57142857142857,115.35151956367444
2014-09-29,11,3,14,78.57142857142857,115.56816008947655
2014-09-30,11,3,14,78.57142857142857,115.56441008216471
2014-10-01,10,4,14,71.42857142857143,115.21428530169504
2014-10-07,10,4,14,71.42857142857143,114.98084413597437
2014-10-08,10,4,14,71.42857142857143,114.56309391668127
2014-10-09,10,4,14,71.42857142857143,115.41782606228308
2014-10-10,10,4,14,71.42857142857143,113.81230829004434
2014-10-13,10,4,14,71.42857142857143,113.86145693688736
2014-10-14,10,4,14,71.42857142857143,113.42095494040922
2014-10-15,10,3,13,76.92307692307693,113.42095494040922
2014-10-16,10,4,14,71.42857142857143,111.08094965949269
2014-10-17,10,4,14,71.42857142857143,112.00432171721101
2014-10-20,11,3,14,78.57142857142857,113.92440761400762
2014-10-21,11,3,14,78.57142857142857,115.16151212871205
2014-10-22,11,3,14,78.57142857142857,115.97498650628135
2014-10-27,12,2,14,85.71428571428571,117.11165149975446
2014-10-28,12,2,14,85.71428571428571,116.77557345302773
2014-10-29,12,2,14,85.71428571428571,117.90611180586804
2014-10-30,12,2,14,85.71428571428571,118.83881598985072
2014-10-31,12,2,14,85.71428571428571,120.04918399971827
2014-11-03,12,2,14,85.71428571428571,120.24702475054563
2014-11-05,12,2,14,85.71428571428571,119.83273058918995
2014-11-07,12,2,14,85.71428571428571,120.45482348183889
2014-11-10,12,2,14,85.71428571428571,121.01082785072607
2014-11-11,12,2,14,85.71428571428571,121.75563202638216
2014-11-12,12,2,14,85.71428571428571,122.36106714292261
2014-11-13,12,2,14,85.71428571428571,122.43424851237093
2014-11-14,12,2,14,85.71428571428571,122.95604288796717
2014-11-17,12,2,14,85.71428571428571,123.20447661455782
2014-11-18,12,2,14,85.71428571428571,122.94334518176183
2014-11-19,12,2,14,85.71428571428571,122.84024793239996
2014-11-20,13,1,14,92.85714285714286,123.43853351704885
2014-11-21,13,1,14,92.85714285714286,123.05463179305549
2014-11-24,13,1,14,92.85714285714286,123.08010143091333
