Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,14,0.0,100.0
2014-01-02,0,0,14,0.0,98.89035827808543
2014-01-03,0,0,14,0.0,99.5436067067906
2014-01-06,0,0,14,0.0,100.29332960726649
2014-01-07,0,0,14,0.0,100.22395338615743
2014-01-08,0,0,14,0.0,100.97586636056232
2014-01-09,0,0,14,0.0,101.04742840703067
2014-01-10,0,0,14,0.0,101.1071390580893
2014-01-13,0,0,14,0.0,100.66227012658844
2014-01-14,0,0,14,0.0,101.42217561433912
2014-01-15,0,0,14,0.0,101.3240554194405
2014-01-16,0,0,14,0.0,101.66736770817096
2014-01-17,0,0,14,0.0,100.7054502937493
2014-01-20,0,0,14,0.0,101.87986669744178
2014-01-21,0,0,14,0.0,102.44170409982844
2014-01-22,0,0,14,0.0,103.82592815360574
2014-01-23,0,0,14,0.0,103.55476082922806
2014-01-24,0,0,14,0.0,102.73963284418699
2014-01-27,0,0,14,0.0,102.29209147961708
2014-01-28,0,0,14,0.0,102.24026913889955
2014-01-29,0,0,14,0.0,102.39071011806935
2014-01-30,0,0,14,0.0,102.25277749663834
2014-01-31,0,0,14,0.0,104.13565231284112
2014-02-03,0,0,14,0.0,104.94345202259994
2014-02-04,0,0,14,0.0,104.7639802681799
2014-02-05,0,0,14,0.0,104.93380212906386
2014-02-06,0,0,14,0.0,104.6837433166131
2014-02-07,0,0,14,0.0,106.54373689227548
2014-02-10,0,0,14,0.0,106.60887826431309
2014-02-11,0,0,14,0.0,106.27730728885929
2014-02-12,0,0,14,0.0,106.45493500401378
2014-02-13,0,0,14,0.0,104.69110730556572
2014-02-14,0,0,14,0.0,104.74530029528857
2014-02-17,0,0,14,0.0,105.4358950024236
2014-02-18,0,0,14,0.0,105.43976544327356
2014-02-19,0,0,14,0.0,106.01362367027998
2014-02-20,0,0,14,0.0,105.77185706485541
2014-02-21,0,0,14,0.0,106.38933533714166
2014-02-24,0,0,14,0.0,107.28197985157793
2014-02-25,0,0,14,0.0,107.98453181654696
2014-02-26,0,0,14,0.0,108.42278693124821
2014-02-28,0,0,14,0.0,110.50137510582634
2014-03-03,0,0,14,0.0,109.87521903736442
2014-03-04,0,0,14,0.0,109.76950799493925
2014-03-05,0,0,14,0.0,110.09063347632694
2014-03-06,0,0,14,0.0,109.39088713955441
2014-03-07,0,0,14,0.0,106.92118777664233
2014-03-10,0,0,14,0.0,105.71791236964548
2014-03-11,0,0,14,0.0,105.13516512001327
2014-03-12,0,0,14,0.0,105.69826199681225
2014-03-13,0,0,14,0.0,105.44535086552665
2014-03-14,0,0,14,0.0,105.89431724690583
2014-03-18,0,0,14,0.0,106.44102977056778
2014-03-19,0,0,14,0.0,106.66784993000805
2014-03-20,0,0,14,0.0,107.21304035733095
2014-03-21,0,0,14,0.0,108.2188777064648
2014-03-24,0,0,14,0.0,108.0133985231709
2014-03-25,0,0,14,0.0,107.82111579998801
2014-03-26,0,0,14,0.0,106.47776307942284
2014-03-27,0,0,14,0.0,105.85650704959558
2014-03-28,0,0,14,0.0,106.19519879771198
2014-03-31,0,0,14,0.0,106.64991891250628
2014-04-01,0,0,14,0.0,107.35999739484132
2014-04-02,0,0,14,0.0,109.1464887412366
2014-04-03,0,0,14,0.0,109.58788821951859
2014-04-04,0,0,14,0.0,109.37403037333308
2014-04-07,0,0,14,0.0,108.60620050021193
2014-04-09,0,0,14,0.0,109.5022399749023
2014-04-10,0,0,14,0.0,108.24550930823926
2014-04-11,0,0,14,0.0,108.55592750909584
