Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,25,0,25,100.0,146.84236200292804
2014-08-08,25,0,25,100.0,143.93384684659878
2014-08-11,25,0,25,100.0,145.01495761925133
2014-08-12,25,0,25,100.0,146.58067101173035
2014-08-13,25,0,25,100.0,146.19418364196994
2014-08-14,25,0,25,100.0,147.22421412965113
2014-08-18,25,0,25,100.0,149.93588657026396
2014-08-19,25,0,25,100.0,153.22347958392925
2014-08-20,25,0,25,100.0,153.18050579626583
2014-08-21,25,0,25,100.0,153.68992672194906
2014-08-22,25,0,25,100.0,153.2211239384461
2014-08-25,25,0,25,100.0,152.3941069978969
2014-08-26,25,0,25,100.0,151.66600989305812
2014-08-27,25,0,25,100.0,152.26065467880247
2014-08-28,24,1,25,96.0,152.16464578038298
2014-09-01,25,0,25,100.0,155.38356408070112
2014-09-02,25,0,25,100.0,157.1572498249422
2014-09-03,25,0,25,100.0,157.8439654829542
2014-09-04,24,1,25,96.0,156.93373142089186
2014-09-05,24,1,25,96.0,157.53327843229107
2014-09-08,24,1,25,96.0,159.31803305917575
2014-09-09,24,1,25,96.0,159.59791533598724
2014-09-10,24,1,25,96.0,160.0403721447797
2014-09-11,24,1,25,96.0,161.19086836115096
2014-09-12,24,1,25,96.0,160.35246249769602
2014-09-15,24,1,25,96.0,159.87997726399269
2014-09-16,22,3,25,88.0,154.48461653869407
2014-09-17,22,3,25,88.0,154.80268127249877
2014-09-18,24,1,25,96.0,158.6663565033528
2014-09-19,24,1,25,96.0,156.55730672612407
2014-09-22,23,2,25,92.0,155.90035175068684
2014-09-23,22,3,25,88.0,151.98905496543617
2014-09-24,22,3,25,88.0,151.04657383805562
2014-09-25,21,4,25,84.0,148.5069487401217
2014-09-26,21,4,25,84.0,150.75652769816958
2014-09-29,21,4,25,84.0,150.80519385008688
2014-09-30,21,4,25,84.0,150.44908190522963
2014-10-01,21,4,25,84.0,149.94800436665977
2014-10-07,21,4,25,84.0,148.29380090399806
2014-10-08,21,4,25,84.0,149.75921723366298
2014-10-09,22,3,25,88.0,151.6288678290891
2014-10-10,22,3,25,88.0,149.20567888948625
2014-10-13,22,3,25,88.0,149.66545255827054
2014-10-14,22,3,25,88.0,147.41775606300547
2014-10-16,21,4,25,84.0,144.60334746775686
2014-10-17,21,4,25,84.0,145.3479565608994
2014-10-20,21,4,25,84.0,148.9913758138173
2014-10-21,22,3,25,88.0,149.57861708371573
2014-10-22,22,3,25,88.0,150.61389312443336
2014-10-23,22,3,25,88.0,151.57154205451505
2014-10-27,22,3,25,88.0,151.25040729592246
2014-10-28,22,3,25,88.0,152.54281319643732
2014-10-29,22,3,25,88.0,154.14823246246777
2014-10-30,23,2,25,92.0,155.47369067699944
2014-10-31,23,2,25,92.0,158.1895361432602
2014-11-03,23,2,25,92.0,158.3175398320472
2014-11-05,23,2,25,92.0,158.70946737163555
2014-11-07,23,2,25,92.0,160.39114171422113
2014-11-10,23,2,25,92.0,161.15709716285687
2014-11-11,23,2,25,92.0,161.5801086758057
2014-11-12,23,2,25,92.0,161.9084873966415
2014-11-13,23,2,25,92.0,159.93726237840556
2014-11-14,23,2,25,92.0,161.03473670490936
2014-11-17,23,2,25,92.0,161.64234769023565
2014-11-18,23,2,25,92.0,162.37648307428134
2014-11-19,23,2,25,92.0,161.47559774324085
2014-11-20,23,2,25,92.0,160.71695833963975
2014-11-21,21,4,25,84.0,160.9242046439388
2014-11-24,22,3,25,88.0,160.89699411827553
2014-11-25,22,3,25,88.0,159.44398074273985
2014-11-26,22,3,25,88.0,160.3232006722461
2014-11-27,22,3,25,88.0,160.07743863762462
2014-11-28,22,3,25,88.0,162.1036378984354
2014-12-01,20,5,25,80.0,161.06913748707981
2014-12-02,20,5,25,80.0,160.6514396550317
2014-12-03,20,5,25,80.0,162.38641528493778
2014-12-04,19,6,25,76.0,161.96665792630705
2014-12-05,19,6,25,76.0,161.31879035553828
2014-12-08,19,6,25,76.0,160.3847628122721
2014-12-09,18,7,25,72.0,157.64321821940104
2014-12-10,18,7,25,72.0,158.25980148656447
2014-12-11,17,8,25,68.0,155.92016952731979
2014-12-12,17,8,25,68.0,154.08187787166725
2014-12-15,17,8,25,68.0,153.2658891233433
2014-12-16,16,9,25,64.0,150.66811515784676
2014-12-17,14,11,25,56.00000000000001,149.67824757152493
2014-12-18,17,8,25,68.0,153.5561080140063
2014-12-19,17,8,25,68.0,154.24144029363575
2014-12-22,18,7,25,72.0,156.00799119154723
2014-12-23,19,6,25,76.0,155.46014491789325
2014-12-24,16,9,25,64.0,154.24568971137435
2014-12-26,17,8,25,68.0,154.81849780303878
2014-12-29,17,8,25,68.0,156.2601213694604
2014-12-30,17,8,25,68.0,157.218364154643
2014-12-31,17,8,25,68.0,158.49891048982548
2015-01-01,20,5,25,80.0,158.6848214798649
2015-01-02,20,5,25,80.0,160.03000040130422
2015-01-05,18,7,25,72.0,160.6709017453403
2015-01-06,17,8,25,68.0,156.01397815414086
2015-01-07,16,9,25,64.0,157.2431263241232
2015-01-08,18,7,25,72.0,160.15873064968468
2015-01-09,17,8,25,68.0,159.15449076154974
2015-01-12,18,7,25,72.0,159.8446309765142
2015-01-13,16,9,25,64.0,159.61351482391413
2015-01-14,16,9,25,64.0,159.17192439209288
2015-01-15,16,9,25,64.0,162.82891322916333
2015-01-16,17,8,25,68.0,163.7011145847013
2015-01-19,18,7,25,72.0,165.4775608179187
2015-01-20,18,7,25,72.0,166.2297441800445
2015-01-21,19,6,25,76.0,167.41916627209918
2015-01-22,17,8,25,68.0,167.88160179522075
2015-01-23,18,7,25,72.0,169.66688220640296
2015-01-27,18,7,25,72.0,170.83228298115066
2015-01-28,19,6,25,76.0,172.22854009539316
2015-01-29,19,6,25,76.0,173.66901000485754
2015-01-30,20,5,25,80.0,173.26502251841765
2015-02-02,20,5,25,80.0,172.96170458955754
2015-02-03,20,5,25,80.0,172.5463653580018
2015-02-04,18,7,25,72.0,172.65895338612378
2015-02-05,18,7,25,72.0,170.94739699180786
2015-02-06,17,8,25,68.0,168.49154268781237
2015-02-09,16,9,25,64.0,166.06736320893356
2015-02-10,16,9,25,64.0,167.59037946307504
2015-02-11,16,9,25,64.0,171.32227400865682
2015-02-12,18,7,25,72.0,173.71606384055548
2015-02-13,18,7,25,72.0,174.41714831327891
2015-02-16,18,7,25,72.0,174.88011730620698
2015-02-18,18,7,25,72.0,177.58860340030006
2015-02-19,19,6,25,76.0,178.35308817097712
2015-02-20,18,7,25,72.0,177.55074391591913
2015-02-23,18,7,25,72.0,176.28612870802763
2015-02-24,18,7,25,72.0,176.46079265785497
2015-02-25,18,7,25,72.0,176.24447652303263
2015-02-26,18,7,25,72.0,175.01154499564427
2015-02-27,18,7,25,72.0,179.84057946548526
2015-02-28,18,7,25,72.0,179.74356790780735
2015-03-02,19,6,25,76.0,183.99810960867188
2015-03-03,19,6,25,76.0,184.60256439522783
2015-03-04,18,7,25,72.0,181.67328237808755
2015-03-05,19,6,25,76.0,181.89147970715536
2015-03-09,19,6,25,76.0,178.52825846815082
2015-03-10,20,5,25,80.0,177.68598300154542
2015-03-11,19,6,25,76.0,177.48411555143323
2015-03-12,20,5,25,80.0,180.30959973545856
2015-03-13,19,6,25,76.0,177.9941939516012
2015-03-16,18,7,25,72.0,177.97064232736605
2015-03-17,20,5,25,80.0,179.57336157333827
2015-03-18,19,6,25,76.0,179.81522493476817
2015-03-19,20,5,25,80.0,179.8537891208418
2015-03-20,19,6,25,76.0,177.43105464552207
2015-03-23,18,7,25,72.0,176.65875344385543
2015-03-24,19,6,25,76.0,177.09713468147007
2015-03-25,20,5,25,80.0,177.3556251830814
2015-03-26,20,5,25,80.0,175.59590570502107
2015-03-27,20,5,25,80.0,175.62562186665104
2015-03-30,20,5,25,80.0,179.27581920998182
2015-03-31,20,5,25,80.0,180.90088569624015
2015-04-01,20,5,25,80.0,182.03675588007286
2015-04-06,21,4,25,84.0,184.1435117972794
2015-04-07,20,5,25,80.0,184.9369759362545
2015-04-08,20,5,25,80.0,185.86090322518245
2015-04-09,20,5,25,80.0,185.68349456015807
2015-04-10,20,5,25,80.0,185.86447373962994
2015-04-13,20,5,25,80.0,186.60834428529802
2015-04-15,20,5,25,80.0,185.40818793525239
2015-04-16,20,5,25,80.0,183.674813820136
2015-04-17,20,5,25,80.0,181.09455465325698
2015-04-20,19,6,25,76.0,178.4129888834264
2015-04-21,20,5,25,80.0,176.30977754139772
2015-04-22,20,5,25,80.0,177.22327635510092
2015-04-23,20,5,25,80.0,176.80445452417993
2015-04-24,18,7,25,72.0,174.03344747527748
2015-04-27,17,8,25,68.0,169.5073563760865
2015-04-28,18,7,25,72.0,172.26042482767835
2015-04-29,18,7,25,72.0,172.94361868270752
2015-04-30,18,7,25,72.0,173.1153026096741
2015-05-04,19,6,25,76.0,177.87621479866888
2015-05-05,19,6,25,76.0,177.49276285485652
2015-05-06,12,13,25,48.0,171.20035686978142
2015-05-07,13,12,25,52.0,169.20122175772144
2015-05-08,13,12,25,52.0,172.36568083916939
2015-05-11,18,7,25,72.0,175.45946270385159
2015-05-12,14,11,25,56.00000000000001,170.8800645030331
2015-05-13,16,9,25,64.0,172.93981734279734
2015-05-14,15,10,25,60.0,174.18436814939784
2015-05-15,15,10,25,60.0,174.584865052124
2015-05-18,16,9,25,64.0,177.32828385658172
2015-05-19,17,8,25,68.0,177.2806553051901
2015-05-20,17,8,25,68.0,177.30798775518042
2015-05-21,16,9,25,64.0,177.46089245784228
2015-05-22,17,8,25,68.0,177.4035922780487
2015-05-25,17,8,25,68.0,176.26579979853415
2015-05-26,16,9,25,64.0,175.06117175189553
2015-05-27,17,8,25,68.0,175.84455945746288
2015-05-28,16,9,25,64.0,174.99917160977435
2015-05-29,19,6,25,76.0,178.65835096390902
2015-06-01,19,6,25,76.0,178.19138611711404
2015-06-02,15,10,25,60.0,175.17784093524799
2015-06-03,15,10,25,60.0,171.34156323880757
2015-06-04,17,8,25,68.0,172.8510992895358
2015-06-05,16,9,25,64.0,172.8639657552541
2015-06-08,14,11,25,56.00000000000001,171.53094536303365
2015-06-09,15,10,25,60.0,171.3718896114659
2015-06-10,15,10,25,60.0,173.38438388420064
2015-06-11,14,11,25,56.00000000000001,170.3451767730603
2015-06-12,14,11,25,56.00000000000001,170.83274548521982
2015-06-15,14,11,25,56.00000000000001,170.51164264372477
2015-06-16,15,10,25,60.0,171.19763527387744
2015-06-17,16,9,25,64.0,172.43776583313627
2015-06-18,16,9,25,64.0,174.76308849459025
2015-06-19,16,9,25,64.0,176.17525744628662
2015-06-22,17,8,25,68.0,178.14265014080186
2015-06-23,17,8,25,68.0,179.4336403517537
2015-06-24,17,8,25,68.0,177.87022418591025
2015-06-25,16,9,25,64.0,179.2496220454096
2015-06-26,17,8,25,68.0,178.69431286860026
2015-06-29,16,9,25,64.0,177.28544104522078
