Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,14,0.0,100.0
2014-01-02,0,0,14,0.0,97.89614371243132
2014-01-03,0,0,14,0.0,96.95631205518845
2014-01-06,0,0,14,0.0,97.90153188534013
2014-01-07,0,0,14,0.0,96.76689739109517
2014-01-08,0,0,14,0.0,97.03699661729114
2014-01-09,0,0,14,0.0,97.43419887570572
2014-01-10,0,0,14,0.0,96.72272503763891
2014-01-13,0,0,14,0.0,96.50828534029486
2014-01-14,0,0,14,0.0,95.91143686338314
2014-01-15,0,0,14,0.0,96.74504410062967
2014-01-16,0,0,14,0.0,97.9039025568746
2014-01-17,0,0,14,0.0,96.54190523161171
2014-01-20,0,0,14,0.0,96.89410958963123
2014-01-21,0,0,14,0.0,97.64001398269582
2014-01-22,0,0,14,0.0,98.23310398552107
2014-01-23,0,0,14,0.0,98.46336348771632
2014-01-24,0,0,14,0.0,96.68412804261429
2014-01-27,0,0,14,0.0,93.24170100794328
2014-01-28,0,0,14,0.0,94.20871605835795
2014-01-29,0,0,14,0.0,93.5629296060826
2014-01-30,0,0,14,0.0,91.28024203623544
2014-01-31,0,0,14,0.0,91.69138520809256
2014-02-03,0,0,14,0.0,89.45969244226305
2014-02-04,0,0,14,0.0,88.77346958605892
2014-02-05,0,0,14,0.0,89.71760222869624
2014-02-06,0,0,14,0.0,90.21100250258857
2014-02-07,0,0,14,0.0,91.94791138086752
2014-02-10,0,0,14,0.0,91.35229472485229
2014-02-11,0,0,14,0.0,91.27398973984562
2014-02-12,0,0,14,0.0,90.38619433334105
2014-02-13,0,0,14,0.0,90.20285981696036
2014-02-14,0,0,14,0.0,90.24733486012988
2014-02-17,0,0,14,0.0,90.11207659489735
2014-02-18,0,0,14,0.0,91.13932825994792
2014-02-19,0,0,14,0.0,91.23291581421765
2014-02-20,0,0,14,0.0,90.62838522073439
2014-02-21,0,0,14,0.0,90.98618064171997
2014-02-24,0,0,14,0.0,90.51607328049558
2014-02-25,0,0,14,0.0,89.48455757212518
2014-02-26,0,0,14,0.0,88.77624476733595
2014-02-28,0,0,14,0.0,89.6267110561753
2014-03-03,0,0,14,0.0,89.77964773785872
2014-03-04,0,0,14,0.0,92.04103895362653
2014-03-05,0,0,14,0.0,92.46390828243516
2014-03-06,0,0,14,0.0,94.20823411037668
2014-03-07,0,0,14,0.0,96.41271150538687
2014-03-10,0,0,14,0.0,97.68815714437393
2014-03-11,0,0,14,0.0,96.2099460170835
2014-03-12,0,0,14,0.0,95.76694618406913
2014-03-13,0,0,14,0.0,95.20708378911813
2014-03-14,0,0,14,0.0,95.9231354256295
2014-03-18,0,0,14,0.0,96.46406373075203
2014-03-19,0,0,14,0.0,98.48113626068341
2014-03-20,0,0,14,0.0,97.38148646778318
2014-03-21,0,0,14,0.0,98.86780827712718
2014-03-24,0,0,14,0.0,99.19244179774546
2014-03-25,0,0,14,0.0,99.52277829433854
2014-03-26,0,0,14,0.0,101.37582356435264
2014-03-27,0,0,14,0.0,101.47710207266833
2014-03-28,0,0,14,0.0,103.0842225265131
2014-03-31,0,0,14,0.0,107.21637220680908
2014-04-01,0,0,14,0.0,107.20577252909152
2014-04-02,0,0,14,0.0,107.57060453367129
2014-04-03,0,0,14,0.0,108.38578435346086
2014-04-04,0,0,14,0.0,109.71285122518526
2014-04-07,0,0,14,0.0,109.61954057858208
2014-04-09,0,0,14,0.0,112.45192793413949
2014-04-10,0,0,14,0.0,115.02088687184818
2014-04-11,0,0,14,0.0,114.3003043044768
2014-04-15,0,0,14,0.0,111.15980281199414
2014-04-16,0,0,14,0.0,111.14947393013325
2014-04-17,0,0,14,0.0,113.09980385358304
2014-04-21,0,0,14,0.0,115.1162187088904
2014-04-22,0,0,14,0.0,114.40589617748331
2014-04-23,0,0,14,0.0,114.59733313851356
2014-04-24,0,0,14,0.0,114.59733313851356
2014-04-25,0,0,14,0.0,114.5152143618382
2014-04-28,0,0,14,0.0,114.18155365872744
2014-04-29,0,0,14,0.0,111.9183276931574
2014-04-30,0,0,14,0.0,110.43923383344298
2014-05-02,0,0,14,0.0,108.88713613729217
2014-05-05,0,0,14,0.0,109.29872176505415
2014-05-06,0,0,14,0.0,109.45462533592942
2014-05-07,0,0,14,0.0,108.31297408549428
2014-05-08,0,0,14,0.0,108.38446876389708
2014-05-09,0,0,14,0.0,110.99380183044131
2014-05-12,0,0,14,0.0,112.44428508493067
2014-05-13,0,0,14,0.0,115.30438511357576
2014-05-14,0,0,14,0.0,118.20205295792074
2014-05-15,0,0,14,0.0,117.13300212296494
2014-05-16,0,0,14,0.0,120.03340737477299
2014-05-19,0,0,14,0.0,128.3127543866579
2014-05-20,0,0,14,0.0,131.93414998876273
2014-05-21,0,0,14,0.0,133.28433888324486
2014-05-22,0,0,14,0.0,135.6331621120689
2014-05-23,0,0,14,0.0,139.49979023416387
2014-05-26,0,0,14,0.0,135.5370700108156
2014-05-27,0,0,14,0.0,136.15568540894037
2014-05-28,0,0,14,0.0,136.3752878397217
2014-05-29,0,0,14,0.0,134.07798344577776
2014-05-30,0,0,14,0.0,134.58513330934386
2014-06-02,0,0,14,0.0,138.66912706342026
2014-06-03,0,0,14,0.0,143.73587362977307
2014-06-04,0,0,14,0.0,148.41885596637258
2014-06-05,0,0,14,0.0,151.40345802027707
2014-06-06,0,0,14,0.0,151.63553708013512
2014-06-09,0,0,14,0.0,153.9244355676596
2014-06-10,0,0,14,0.0,154.13330642811124
2014-06-11,0,0,14,0.0,150.36728173639912
2014-06-12,0,0,14,0.0,151.00592819206514
2014-06-13,0,0,14,0.0,144.3172582142495
2014-06-16,0,0,14,0.0,145.22224773768764
2014-06-17,0,0,14,0.0,148.04165643752773
2014-06-18,0,0,14,0.0,146.6945863267311
2014-06-19,0,0,14,0.0,145.60538573795088
2014-06-20,0,0,14,0.0,143.5569400971587
2014-06-23,0,0,14,0.0,145.31900511893556
2014-06-24,0,0,14,0.0,148.5889222879666
2014-06-25,0,0,14,0.0,149.01318699033328
2014-06-26,0,0,14,0.0,146.8291157360571
2014-06-27,0,0,14,0.0,145.57149988915629
2014-06-30,0,0,14,0.0,148.52610640929603
2014-07-01,0,0,14,0.0,151.92714788521894
2014-07-02,0,0,14,0.0,154.88333908988483
2014-07-03,0,0,14,0.0,152.82228692518783
2014-07-04,0,0,14,0.0,151.9834320628274
2014-07-07,0,0,14,0.0,151.13937315914302
2014-07-08,0,0,14,0.0,142.28439385854674
2014-07-09,0,0,14,0.0,141.86598646732503
2014-07-10,0,0,14,0.0,143.67011331483104
2014-07-11,0,0,14,0.0,136.40725643078642
2014-07-14,0,0,14,0.0,137.44458477650662
2014-07-15,0,0,14,0.0,140.149706011037
2014-07-16,0,0,14,0.0,143.31762067026108
2014-07-17,0,0,14,0.0,146.277381513041
2014-07-18,0,0,14,0.0,146.0078429498278
2014-07-21,0,0,14,0.0,145.91998706847187
2014-07-22,0,0,14,0.0,147.06473522555353
2014-07-23,0,0,14,0.0,146.70675110323742
2014-07-24,0,0,14,0.0,148.7000668490814
2014-07-25,0,0,14,0.0,145.152216286343
2014-07-28,0,0,14,0.0,143.5149679217585
2014-07-30,0,0,14,0.0,143.32788524411606
2014-07-31,0,0,14,0.0,142.7395983522156
2014-08-01,0,0,14,0.0,140.71262008416022
2014-08-04,0,0,14,0.0,142.9783063309439
2014-08-05,0,0,14,0.0,144.71157309859248
2014-08-06,0,0,14,0.0,142.96500557319197
2014-08-07,14,0,14,100.0,144.2809150697501
2014-08-08,14,0,14,100.0,139.47631409886395
2014-08-11,13,1,14,92.85714285714286,141.08110190092023
2014-08-12,14,0,14,100.0,141.27969853490538
2014-08-13,12,2,14,85.71428571428571,139.1781353004403
2014-08-14,13,1,14,92.85714285714286,141.9086138104673
2014-08-18,13,1,14,92.85714285714286,145.0760067017722
2014-08-19,13,1,14,92.85714285714286,146.6030752331303
2014-08-20,14,0,14,100.0,145.97868701220685
2014-08-21,13,1,14,92.85714285714286,144.5503000467154
2014-08-22,13,1,14,92.85714285714286,144.04712984620025
2014-08-25,12,2,14,85.71428571428571,138.5729812376149
2014-08-26,12,2,14,85.71428571428571,137.4469345459402
2014-08-27,12,2,14,85.71428571428571,137.22071931144234
2014-08-28,12,2,14,85.71428571428571,136.34269970904242
2014-09-01,12,2,14,85.71428571428571,139.54537479752028
2014-09-02,12,2,14,85.71428571428571,139.9557887876845
2014-09-03,13,1,14,92.85714285714286,140.9849122317055
2014-09-04,13,1,14,92.85714285714286,139.6244009143447
2014-09-05,13,1,14,92.85714285714286,141.58373201663105
2014-09-08,12,2,14,85.71428571428571,143.62707078740104
2014-09-09,12,2,14,85.71428571428571,142.7626272829887
2014-09-10,13,1,14,92.85714285714286,143.0937700896726
2014-09-11,13,1,14,92.85714285714286,143.11556827000473
2014-09-12,13,1,14,92.85714285714286,142.72903721386896
2014-09-15,13,1,14,92.85714285714286,140.9508217635756
2014-09-16,13,1,14,92.85714285714286,136.53586964398926
2014-09-17,10,4,14,71.42857142857143,137.14730312673896
2014-09-18,11,3,14,78.57142857142857,139.6208895376341
2014-09-19,12,2,14,85.71428571428571,139.59394247846282
2014-09-22,12,2,14,85.71428571428571,137.96682923342857
2014-09-23,11,3,14,78.57142857142857,133.85304400846184
2014-09-24,11,3,14,78.57142857142857,132.3236924310416
2014-09-25,10,4,14,71.42857142857143,126.70882515988637
2014-09-26,9,5,14,64.28571428571429,129.94948157367256
2014-09-29,9,5,14,64.28571428571429,128.93785703004633
