Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,11,0,12,100.0,141.03689740340138
2014-08-08,11,0,12,100.0,138.53299110930107
2014-08-11,11,0,12,100.0,139.00727893330668
2014-08-12,11,0,12,100.0,141.44061681838411
2014-08-13,11,0,12,100.0,141.3878483618547
2014-08-14,11,0,12,100.0,142.72460558020558
2014-08-18,11,0,12,100.0,147.7173256969613
2014-08-19,11,0,12,100.0,150.4377119332551
2014-08-20,11,0,12,100.0,148.70822269670595
2014-08-21,11,0,12,100.0,151.05388620408672
2014-08-22,11,0,12,100.0,149.51291366427643
2014-08-25,11,0,12,100.0,148.22900935653067
2014-08-26,11,0,12,100.0,147.59513272867878
2014-08-27,11,0,12,100.0,149.55160188551366
2014-08-28,11,0,12,100.0,150.72893933002308
2014-09-01,11,0,12,100.0,153.94113116786764
2014-09-02,11,0,12,100.0,155.91103891901864
2014-09-03,11,0,12,100.0,156.2443924170887
2014-09-04,11,0,12,100.0,155.2443996231854
2014-09-05,11,0,12,100.0,156.03286620520353
2014-09-08,11,0,12,100.0,159.2108389415109
2014-09-09,11,0,12,100.0,158.68335305592058
2014-09-10,11,0,12,100.0,158.015596672535
2014-09-11,11,0,12,100.0,159.62500221866347
2014-09-12,11,0,12,100.0,162.42668805206148
2014-09-15,11,0,12,100.0,162.39086443329882
2014-09-16,11,0,12,100.0,157.62656569335786
2014-09-17,11,0,12,100.0,157.54281352556993
2014-09-18,11,0,12,100.0,161.167776738326
2014-09-19,11,0,12,100.0,159.98542332226964
2014-09-22,11,0,12,100.0,161.82715017781294
2014-09-23,11,0,12,100.0,157.79529785465547
2014-09-24,11,0,12,100.0,158.27949957035224
2014-09-25,10,1,12,90.9090909090909,154.69796787886898
2014-09-26,10,1,12,90.9090909090909,156.4605524297147
2014-09-29,10,1,12,90.9090909090909,156.25827691608495
2014-09-30,10,1,12,90.9090909090909,157.82730481950506
2014-10-01,10,1,12,90.9090909090909,156.77923190424647
2014-10-07,10,1,12,90.9090909090909,154.57536419869908
2014-10-08,10,1,12,90.9090909090909,157.6720124518218
2014-10-09,11,0,12,100.0,159.85063976264965
2014-10-10,11,0,12,100.0,158.18199645981815
2014-10-13,11,0,12,100.0,158.51997132814986
2014-10-14,11,0,12,100.0,156.64102672280742
2014-10-16,10,1,12,90.9090909090909,155.4591433476943
2014-10-17,10,1,12,90.9090909090909,155.16212408809406
2014-10-20,10,1,12,90.9090909090909,160.14348428313033
2014-10-21,10,1,12,90.9090909090909,159.73960958415333
2014-10-22,10,1,12,90.9090909090909,161.15899078314308
2014-10-23,10,1,12,90.9090909090909,161.97510655280925
2014-10-27,10,1,12,90.9090909090909,159.1521840016352
2014-10-28,11,1,12,91.66666666666666,160.2977170235609
2014-10-29,11,1,12,91.66666666666666,160.2870861633801
2014-10-30,12,0,12,100.0,161.4636803034024
2014-10-31,12,0,12,100.0,164.42314409856442
2014-11-03,12,0,12,100.0,163.77363826276195
2014-11-05,12,0,12,100.0,163.65310615174295
2014-11-07,12,0,12,100.0,163.76855997712855
2014-11-10,12,0,12,100.0,164.50827919557372
2014-11-11,12,0,12,100.0,164.97658441578196
2014-11-12,12,0,12,100.0,164.51463558880224
2014-11-13,12,0,12,100.0,161.4688793797996
