Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,98.65961064082848
2014-01-03,0,0,0,0.0,99.5524706366787
2014-01-06,0,0,0,0.0,100.04805615533911
2014-01-07,0,0,0,0.0,100.03594397879041
2014-01-08,0,0,0,0.0,101.16691411536756
2014-01-09,0,0,0,0.0,101.07259331563839
2014-01-10,0,0,0,0.0,100.5731282820312
2014-01-13,0,0,0,0.0,100.23341154059524
2014-01-14,0,0,0,0.0,100.88880902609465
2014-01-15,0,0,0,0.0,101.0049829757865
2014-01-16,0,0,0,0.0,101.28139426824896
2014-01-17,0,0,0,0.0,100.012211478849
2014-01-20,0,0,0,0.0,101.23072963229778
2014-01-21,0,0,0,0.0,101.85847061568589
2014-01-22,0,0,0,0.0,103.13905591153834
2014-01-23,0,0,0,0.0,102.89913580975971
2014-01-24,0,0,0,0.0,101.6842447493674
2014-01-27,0,0,0,0.0,100.67523515118704
2014-01-28,0,0,0,0.0,101.14201571535418
2014-01-29,0,0,0,0.0,101.50156199440055
2014-01-30,0,0,0,0.0,100.76973758300059
2014-01-31,0,0,0,0.0,102.56833824783232
2014-02-03,0,0,0,0.0,103.85450805912106
2014-02-04,0,0,0,0.0,103.83381556669902
2014-02-05,0,0,0,0.0,104.02075284971643
2014-02-06,0,0,0,0.0,103.78822489079033
2014-02-07,0,0,0,0.0,105.44655251327808
2014-02-10,0,0,0,0.0,105.57998381704945
2014-02-11,0,0,0,0.0,105.38182235655546
2014-02-12,0,0,0,0.0,105.80086838807323
2014-02-13,0,0,0,0.0,103.79938655381092
2014-02-14,0,0,0,0.0,104.0520746883411
2014-02-17,0,0,0,0.0,104.60430094378086
2014-02-18,0,0,0,0.0,104.6255656126175
2014-02-19,0,0,0,0.0,105.51787337715948
2014-02-20,0,0,0,0.0,105.82971935676709
2014-02-21,0,0,0,0.0,106.71983294697218
2014-02-24,0,0,0,0.0,107.30105879480803
2014-02-25,0,0,0,0.0,108.14718837050346
2014-02-26,0,0,0,0.0,108.78502611690813
2014-02-28,0,0,0,0.0,111.17432283784919
2014-03-03,0,0,0,0.0,110.9306650976352
2014-03-04,0,0,0,0.0,111.14107989927551
2014-03-05,0,0,0,0.0,111.17511528100248
2014-03-06,0,0,0,0.0,111.21836228392404
2014-03-07,0,0,0,0.0,108.43266309411692
2014-03-10,0,0,0,0.0,107.28171929168995
2014-03-11,0,0,0,0.0,106.30957296004979
2014-03-12,0,0,0,0.0,106.82985864768844
2014-03-13,0,0,0,0.0,106.68643500027714
2014-03-14,0,0,0,0.0,107.0286492418498
2014-03-18,0,0,0,0.0,107.60818492415511
2014-03-19,0,0,0,0.0,107.38448515607224
2014-03-20,0,0,0,0.0,107.68583458780094
2014-03-21,0,0,0,0.0,108.34375675292523
2014-03-24,0,0,0,0.0,107.91252867896594
