Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,97.73510471866267
2014-01-03,0,0,0,0.0,98.36150661979822
2014-01-06,0,0,0,0.0,96.76254274030553
2014-01-07,0,0,0,0.0,95.45170646836597
2014-01-08,0,0,0,0.0,97.24792679180555
2014-01-09,0,0,0,0.0,95.72473179760715
2014-01-10,0,0,0,0.0,94.34614378613246
2014-01-13,0,0,0,0.0,95.02735484578564
2014-01-14,0,0,0,0.0,94.34833869473235
2014-01-15,0,0,0,0.0,96.12004247528657
2014-01-16,0,0,0,0.0,95.83729217806703
2014-01-17,0,0,0,0.0,94.34759651359242
2014-01-20,0,0,0,0.0,95.39348705979644
2014-01-21,0,0,0,0.0,96.62891631229512
2014-01-22,0,0,0,0.0,96.72538150840539
2014-01-23,0,0,0,0.0,96.9054047263801
2014-01-24,0,0,0,0.0,94.26836912370861
2014-01-27,0,0,0,0.0,89.77126853517674
2014-01-28,0,0,0,0.0,89.40620377846598
2014-01-29,0,0,0,0.0,88.2356465341991
2014-01-30,0,0,0,0.0,84.60458815291673
2014-01-31,0,0,0,0.0,87.57322762814972
2014-02-03,0,0,0,0.0,85.45576353919297
2014-02-04,0,0,0,0.0,86.43659006138013
2014-02-05,0,0,0,0.0,86.35758934519131
2014-02-06,0,0,0,0.0,86.17890149087091
2014-02-07,0,0,0,0.0,86.86976554279453
2014-02-10,0,0,0,0.0,86.41823059393408
2014-02-11,0,0,0,0.0,86.29576389284331
2014-02-12,0,0,0,0.0,85.85464865841668
2014-02-13,0,0,0,0.0,83.77325739256928
2014-02-14,0,0,0,0.0,83.63608567257593
2014-02-17,0,0,0,0.0,83.24536737584467
2014-02-18,0,0,0,0.0,84.38509967613061
2014-02-19,0,0,0,0.0,83.82434550792254
2014-02-20,0,0,0,0.0,82.47899959740305
2014-02-21,0,0,0,0.0,83.226704725997
2014-02-24,0,0,0,0.0,83.60263753273583
2014-02-25,0,0,0,0.0,82.9898278925132
2014-02-26,0,0,0,0.0,82.8576107817482
2014-02-28,0,0,0,0.0,83.80191390339847
2014-03-03,0,0,0,0.0,83.1058445222314
2014-03-04,0,0,0,0.0,85.59418619053393
2014-03-05,0,0,0,0.0,88.41496341902025
2014-03-06,0,0,0,0.0,89.72444981296591
2014-03-07,0,0,0,0.0,92.18798395564994
2014-03-10,0,0,0,0.0,93.75679477410827
2014-03-11,0,0,0,0.0,93.12128610515268
2014-03-12,0,0,0,0.0,91.58488691869205
2014-03-13,0,0,0,0.0,91.5914930619544
2014-03-14,0,0,0,0.0,91.54152599598629
2014-03-18,0,0,0,0.0,93.48713972930214
2014-03-19,0,0,0,0.0,93.7410732430009
