Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,8,0.0,100.0
2014-01-02,0,0,8,0.0,97.06770175747045
2014-01-03,0,0,8,0.0,98.24133252566673
2014-01-06,0,0,8,0.0,98.04979994822273
2014-01-07,0,0,8,0.0,96.22612009126397
2014-01-08,0,0,8,0.0,95.69685496556976
2014-01-09,0,0,8,0.0,93.52552151999826
2014-01-10,0,0,8,0.0,92.72546976570165
2014-01-13,0,0,8,0.0,92.85382819299642
2014-01-14,0,0,8,0.0,91.62701653730144
2014-01-15,0,0,8,0.0,91.38214291701088
2014-01-16,0,0,8,0.0,91.46142401473702
2014-01-17,0,0,8,0.0,90.09679138532232
2014-01-20,0,0,8,0.0,90.75817629030442
2014-01-21,0,0,8,0.0,91.30524309130043
2014-01-22,0,0,8,0.0,92.27351901394536
2014-01-23,0,0,8,0.0,92.02719500812665
2014-01-24,0,0,8,0.0,89.62937784101311
2014-01-27,0,0,8,0.0,85.28829841840813
2014-01-28,0,0,8,0.0,85.687401395341
2014-01-29,0,0,8,0.0,85.18908844808408
2014-01-30,0,0,8,0.0,84.89097338846663
2014-01-31,0,0,8,0.0,86.28560038731617
2014-02-03,0,0,8,0.0,85.45257544454074
2014-02-04,0,0,8,0.0,85.91072935677612
2014-02-05,0,0,8,0.0,87.37332748937958
2014-02-06,0,0,8,0.0,85.98721174648597
2014-02-07,0,0,8,0.0,86.13226663182328
2014-02-10,0,0,8,0.0,86.3291364281235
2014-02-11,0,0,8,0.0,85.98757974752675
2014-02-12,0,0,8,0.0,86.39558843514811
2014-02-13,0,0,8,0.0,85.96483673211891
2014-02-14,0,0,8,0.0,85.33078317805837
2014-02-17,0,0,8,0.0,84.59963739603809
2014-02-18,0,0,8,0.0,85.57240979352673
2014-02-19,0,0,8,0.0,86.46131136094849
2014-02-20,0,0,8,0.0,85.82472182625354
2014-02-21,0,0,8,0.0,86.01013879794527
2014-02-24,0,0,8,0.0,85.47817508148226
2014-02-25,0,0,8,0.0,87.09284312668453
2014-02-26,0,0,8,0.0,87.55338571772317
2014-02-28,0,0,8,0.0,87.45152047094554
2014-03-03,0,0,8,0.0,88.28496904539641
2014-03-04,0,0,8,0.0,89.870767121479
2014-03-05,0,0,8,0.0,91.73181316888062
2014-03-06,0,0,8,0.0,94.08467377452429
2014-03-07,0,0,8,0.0,97.09737450661264
2014-03-10,0,0,8,0.0,99.78997670263895
2014-03-11,0,0,8,0.0,101.5068652950983
2014-03-12,0,0,8,0.0,100.72010342512567
2014-03-13,0,0,8,0.0,98.63035293682746
2014-03-14,0,0,8,0.0,97.86898802946902
2014-03-18,0,0,8,0.0,97.54636954276714
2014-03-19,0,0,8,0.0,97.07566054457037
2014-03-20,0,0,8,0.0,95.9494339128962
2014-03-21,0,0,8,0.0,97.37695740874273
2014-03-24,0,0,8,0.0,98.18110368479509
2014-03-25,0,0,8,0.0,98.19753415565198
2014-03-26,0,0,8,0.0,99.73171375058888
2014-03-27,0,0,8,0.0,100.60373324304825
2014-03-28,0,0,8,0.0,102.8243595492925
2014-03-31,0,0,8,0.0,104.74189495538599
2014-04-01,0,0,8,0.0,104.18545930076186
2014-04-02,0,0,8,0.0,106.63766647612533
2014-04-03,0,0,8,0.0,106.90947733408207
2014-04-04,0,0,8,0.0,108.18051459672068
2014-04-07,0,0,8,0.0,107.5890684087343
2014-04-09,0,0,8,0.0,108.73558156612529
2014-04-10,0,0,8,0.0,109.67403618935248
2014-04-11,0,0,8,0.0,109.85097191756114
2014-04-15,0,0,8,0.0,107.75028098330802
2014-04-16,0,0,8,0.0,104.60589816696515
2014-04-17,0,0,8,0.0,107.70386651632842
2014-04-21,0,0,8,0.0,108.39805491415552
2014-04-22,0,0,8,0.0,108.01862630079148
2014-04-23,0,0,8,0.0,106.65472852083877
2014-04-24,0,0,8,0.0,106.65472852083877
2014-04-25,0,0,8,0.0,106.1755031074685
2014-04-28,0,0,8,0.0,106.70562752307862
2014-04-29,0,0,8,0.0,106.6988454281282
2014-04-30,0,0,8,0.0,103.76511732743425
2014-05-02,0,0,8,0.0,103.50042360366076
2014-05-05,0,0,8,0.0,102.75351913237802
2014-05-06,0,0,8,0.0,102.69266249332472
2014-05-07,0,0,8,0.0,102.46174701265589
2014-05-08,0,0,8,0.0,102.41346380478484
2014-05-09,0,0,8,0.0,103.6758239771335
2014-05-12,0,0,8,0.0,104.33429715372222
2014-05-13,0,0,8,0.0,106.92256294489076
2014-05-14,0,0,8,0.0,109.11080074984602
2014-05-15,0,0,8,0.0,108.83942047051707
2014-05-16,0,0,8,0.0,113.27674009276423
2014-05-19,0,0,8,0.0,120.04662710041272
2014-05-20,0,0,8,0.0,125.31781496426824
2014-05-21,0,0,8,0.0,127.44033524821758
2014-05-22,0,0,8,0.0,130.1173262087592
2014-05-23,0,0,8,0.0,132.44068301957992
2014-05-26,0,0,8,0.0,125.77403459871897
2014-05-27,0,0,8,0.0,125.62112346502144
2014-05-28,0,0,8,0.0,125.8004420459167
2014-05-29,0,0,8,0.0,125.50189561568364
2014-05-30,0,0,8,0.0,127.31283800162035
2014-06-02,0,0,8,0.0,129.70688893370234
2014-06-03,0,0,8,0.0,130.89047332076035
2014-06-04,0,0,8,0.0,132.48419502395922
2014-06-05,0,0,8,0.0,135.25188549115254
2014-06-06,0,0,8,0.0,145.217075130804
2014-06-09,0,0,8,0.0,151.83752740531236
2014-06-10,0,0,8,0.0,148.1465616800584
2014-06-11,0,0,8,0.0,145.980372309102
2014-06-12,0,0,8,0.0,146.16392342117769
2014-06-13,0,0,8,0.0,140.84976714206954
2014-06-16,0,0,8,0.0,140.5548288882683
2014-06-17,0,0,8,0.0,141.90823754203856
2014-06-18,0,0,8,0.0,139.83186411397713
2014-06-19,0,0,8,0.0,139.0650725462419
2014-06-20,0,0,8,0.0,138.34598341376002
2014-06-23,0,0,8,0.0,138.95773034729328
2014-06-24,0,0,8,0.0,142.58054762001723
2014-06-25,0,0,8,0.0,145.6868133185635
2014-06-26,0,0,8,0.0,142.84881326841065
2014-06-27,0,0,8,0.0,141.69361935532905
2014-06-30,0,0,8,0.0,142.2623193071759
2014-07-01,0,0,8,0.0,144.45537534197996
2014-07-02,0,0,8,0.0,145.21296464912464
2014-07-03,0,0,8,0.0,144.2223035653091
2014-07-04,0,0,8,0.0,146.76103659119013
2014-07-07,0,0,8,0.0,146.82783105524965
2014-07-08,0,0,8,0.0,138.92231570318364
2014-07-09,0,0,8,0.0,135.94714556781204
2014-07-10,0,0,8,0.0,141.27501863964244
2014-07-11,0,0,8,0.0,136.65795484711583
2014-07-14,0,0,8,0.0,135.22061273277956
2014-07-15,0,0,8,0.0,136.66081685948845
2014-07-16,0,0,8,0.0,141.2450540103083
2014-07-17,0,0,8,0.0,140.3587168702475
2014-07-18,0,0,8,0.0,139.8673385584725
2014-07-21,0,0,8,0.0,141.2316337004504
2014-07-22,0,0,8,0.0,143.5562658648854
2014-07-23,0,0,8,0.0,143.07201234931918
2014-07-24,0,0,8,0.0,143.55676095606157
2014-07-25,0,0,8,0.0,142.3529873020704
2014-07-28,0,0,8,0.0,140.01324545685898
2014-07-30,0,0,8,0.0,139.85621442896425
2014-07-31,0,0,8,0.0,139.98231242821
2014-08-01,0,0,8,0.0,138.38633479206072
2014-08-04,0,0,8,0.0,140.46385202218215
2014-08-05,0,0,8,0.0,141.82878859927678
2014-08-06,0,0,8,0.0,141.3720301472551
2014-08-07,8,0,8,100.0,139.77206770117053
2014-08-08,7,1,8,87.5,134.20622307997272
2014-08-11,8,0,8,100.0,134.63841441621943
2014-08-12,8,0,8,100.0,135.8988382806104
2014-08-13,7,1,8,87.5,132.12452472539772
2014-08-14,7,1,8,87.5,134.57976462399563
2014-08-18,7,1,8,87.5,136.05160417909917
2014-08-19,7,1,8,87.5,137.03616547999954
2014-08-20,7,1,8,87.5,137.8789337002136
2014-08-21,7,1,8,87.5,136.4233078862544
2014-08-22,7,1,8,87.5,136.03551169016546
2014-08-25,7,1,8,87.5,134.3299608172735
2014-08-26,7,1,8,87.5,133.4496022601034
2014-08-27,7,1,8,87.5,132.90594425865294
2014-08-28,7,1,8,87.5,131.0598684785229
2014-09-01,7,1,8,87.5,133.85078621906763
2014-09-02,7,1,8,87.5,133.99493555446824
2014-09-03,7,1,8,87.5,139.2422246564702
2014-09-04,6,2,8,75.0,136.57949826495974
2014-09-05,6,2,8,75.0,136.61911929148258
2014-09-08,6,2,8,75.0,137.82152676892568
2014-09-09,6,2,8,75.0,137.10272433760937
2014-09-10,6,2,8,75.0,138.57907017242087
2014-09-11,6,2,8,75.0,139.19823841751574
2014-09-12,6,2,8,75.0,138.9935100647256
2014-09-15,6,2,8,75.0,139.5306615859472
2014-09-16,6,2,8,75.0,135.0360063823514
2014-09-17,6,2,8,75.0,136.2994949018567
2014-09-18,6,2,8,75.0,139.8493034018704
2014-09-19,6,2,8,75.0,139.6574340482338
2014-09-22,7,1,8,87.5,140.34008242492754
2014-09-23,6,2,8,75.0,135.43823338654448
2014-09-24,6,2,8,75.0,133.12764294133623
2014-09-25,5,3,8,62.5,128.79326936836824
2014-09-26,5,3,8,62.5,129.56742413740437
2014-09-29,5,3,8,62.5,131.51048846347638
2014-09-30,5,3,8,62.5,130.00507222150154
2014-10-01,4,4,8,50.0,128.17796352073088
2014-10-07,5,3,8,62.5,129.09264079233077
2014-10-08,5,3,8,62.5,129.34360805133355
2014-10-09,5,3,8,62.5,131.57668335456876
2014-10-10,4,4,8,50.0,130.49754452637694
2014-10-13,5,3,8,62.5,130.35977719584528
2014-10-14,5,3,8,62.5,124.67731775810249
2014-10-15,5,3,8,62.5,124.67731775810249
2014-10-16,4,4,8,50.0,122.59217825829043
2014-10-17,5,3,8,62.5,123.3451583824793
2014-10-20,5,3,8,62.5,124.27267899048475
2014-10-21,6,2,8,75.0,127.82888233279057
2014-10-22,6,2,8,75.0,129.19025104265208
2014-10-27,6,2,8,75.0,126.64090626042199
