Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,5,0.0,100.0
2014-01-02,0,0,5,0.0,96.8008079715627
2014-01-03,0,0,5,0.0,97.85880592438488
2014-01-06,0,0,5,0.0,98.34303386306543
2014-01-07,0,0,5,0.0,97.71747363220368
2014-01-08,0,0,5,0.0,98.5589081878518
2014-01-09,0,0,5,0.0,97.53104158617609
2014-01-10,0,0,5,0.0,96.88048015993662
2014-01-13,0,0,5,0.0,96.46891695267604
2014-01-14,0,0,5,0.0,96.57381020782834
2014-01-15,0,0,5,0.0,96.70606306784613
2014-01-16,0,0,5,0.0,96.31287257072634
2014-01-17,0,0,5,0.0,95.05350712605592
2014-01-20,0,0,5,0.0,96.42851654179663
2014-01-21,0,0,5,0.0,97.67517833742188
2014-01-22,0,0,5,0.0,100.00379899058277
2014-01-23,0,0,5,0.0,100.95857121808174
2014-01-24,0,0,5,0.0,98.92682096811902
2014-01-27,0,0,5,0.0,95.61675479399389
2014-01-28,0,0,5,0.0,94.9761872856503
2014-01-29,0,0,5,0.0,94.58727706410936
2014-01-30,0,0,5,0.0,91.82933087461149
2014-01-31,0,0,5,0.0,93.81892592777142
2014-02-03,0,0,5,0.0,93.43328312558013
2014-02-04,0,0,5,0.0,92.81358036394391
2014-02-05,0,0,5,0.0,95.47815618052918
2014-02-06,0,0,5,0.0,94.65454621706292
2014-02-07,0,0,5,0.0,95.87074243435191
2014-02-10,0,0,5,0.0,95.71176702293855
2014-02-11,0,0,5,0.0,95.20240002674127
2014-02-12,0,0,5,0.0,94.21897112744016
2014-02-13,0,0,5,0.0,93.53213085959496
2014-02-14,0,0,5,0.0,92.19079811116556
2014-02-17,0,0,5,0.0,91.39127195196066
2014-02-18,0,0,5,0.0,92.49897965109216
2014-02-19,0,0,5,0.0,93.95423875203718
2014-02-20,0,0,5,0.0,92.69525381299401
2014-02-21,0,0,5,0.0,92.85439840902917
2014-02-24,0,0,5,0.0,93.1327771252184
2014-02-25,0,0,5,0.0,92.95576304565029
2014-02-26,0,0,5,0.0,92.43916511839407
2014-02-28,0,0,5,0.0,92.75368023376234
2014-03-03,0,0,5,0.0,93.9593725766673
2014-03-04,0,0,5,0.0,96.06345375217484
2014-03-05,0,0,5,0.0,96.79602212991284
2014-03-06,0,0,5,0.0,97.38804229365734
2014-03-07,0,0,5,0.0,96.65709291523802
2014-03-10,0,0,5,0.0,95.1969738919461
2014-03-11,0,0,5,0.0,93.83630881989419
2014-03-12,0,0,5,0.0,94.43873132310051
2014-03-13,0,0,5,0.0,94.69770204245577
2014-03-14,0,0,5,0.0,93.49850398339619
2014-03-18,0,0,5,0.0,94.92961497039167
2014-03-19,0,0,5,0.0,95.42485036250518
2014-03-20,0,0,5,0.0,95.4235004665869
2014-03-21,0,0,5,0.0,96.82412167727873
2014-03-24,0,0,5,0.0,96.54550556264033
2014-03-25,0,0,5,0.0,97.1124372608918
2014-03-26,0,0,5,0.0,95.98758430055732
2014-03-27,0,0,5,0.0,96.75986794038067
2014-03-28,0,0,5,0.0,97.84575468370907
2014-03-31,0,0,5,0.0,98.14595949153937
2014-04-01,0,0,6,0.0,99.3251065324594
2014-04-02,0,0,6,0.0,99.09438949931409
2014-04-03,0,0,6,0.0,99.01285473762636
2014-04-04,0,0,6,0.0,98.35407312964193
2014-04-07,0,0,6,0.0,97.64083754578479
2014-04-09,0,0,6,0.0,97.76720220814734
2014-04-10,0,0,6,0.0,98.5172110430192
2014-04-11,0,0,6,0.0,97.39961509068148
2014-04-15,0,0,6,0.0,101.40823496795312
2014-04-16,0,0,6,0.0,99.1188166295622
2014-04-17,0,0,6,0.0,98.84032568542182
2014-04-21,0,0,6,0.0,99.4305282026035
2014-04-22,0,0,6,0.0,98.2995056945255
2014-04-23,0,0,6,0.0,98.5477756126576
2014-04-24,0,0,5,0.0,98.5477756126576
2014-04-25,0,0,6,0.0,97.16156012934893
2014-04-28,0,0,6,0.0,95.51760396304907
2014-04-29,0,0,6,0.0,94.53283877784864
2014-04-30,0,0,6,0.0,92.47983008706834
2014-05-02,0,0,6,0.0,92.18203003939823
2014-05-05,0,0,6,0.0,90.75451000661391
2014-05-06,0,0,6,0.0,91.45887811061468
2014-05-07,0,0,6,0.0,91.09831958506376
2014-05-08,0,0,6,0.0,90.66444970370881
2014-05-09,0,0,6,0.0,90.86371877032829
2014-05-12,0,0,6,0.0,90.69828412764784
2014-05-13,0,0,6,0.0,90.8902282509304
2014-05-14,0,0,6,0.0,91.17641369051957
2014-05-15,0,0,6,0.0,90.32683407921425
2014-05-16,0,0,6,0.0,90.12595933753643
2014-05-19,0,0,6,0.0,90.58900745258832
2014-05-20,0,0,6,0.0,92.75084622452903
2014-05-21,0,0,6,0.0,94.18413339731916
2014-05-22,0,0,6,0.0,96.67971285193786
2014-05-23,0,0,6,0.0,97.51111141699764
2014-05-26,0,0,6,0.0,96.39892058642675
2014-05-27,0,0,6,0.0,93.55231435424969
2014-05-28,0,0,6,0.0,94.1363600851429
2014-05-29,0,0,6,0.0,92.42500762455606
2014-05-30,0,0,6,0.0,91.09741508926125
2014-06-02,0,0,6,0.0,91.01996497167944
2014-06-03,0,0,6,0.0,92.3428256867298
2014-06-04,0,0,6,0.0,92.34279362290371
2014-06-05,0,0,6,0.0,93.7844617663561
2014-06-06,0,0,6,0.0,94.77179987378855
2014-06-09,0,0,6,0.0,96.44800481165102
2014-06-10,0,0,6,0.0,96.41311700830016
2014-06-11,0,0,6,0.0,94.77396867260744
2014-06-12,0,0,6,0.0,97.3514006114774
2014-06-13,0,0,6,0.0,95.4400214292119
2014-06-16,0,0,6,0.0,96.17209296081988
2014-06-17,0,0,6,0.0,96.77634253539608
2014-06-18,0,0,6,0.0,96.26869322477668
2014-06-19,0,0,6,0.0,94.90694448631697
2014-06-20,0,0,6,0.0,94.23787619806238
2014-06-23,0,0,6,0.0,94.61961789590879
2014-06-24,0,0,6,0.0,95.87416103126515
2014-06-25,0,0,6,0.0,95.70516676439627
2014-06-26,0,0,6,0.0,94.04199694065177
2014-06-27,0,0,6,0.0,93.53620229209595
2014-06-30,0,0,6,0.0,92.80161626965308
