Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,11,0,13,100.0,191.1360088198898
2014-08-08,11,0,13,100.0,188.1712663780119
2014-08-11,11,0,13,100.0,189.6691811497289
2014-08-12,11,0,13,100.0,190.4243568267439
2014-08-13,11,0,13,100.0,192.74204754953556
2014-08-14,12,0,13,100.0,194.4701206387253
2014-08-18,12,0,13,100.0,196.58846448004994
2014-08-19,12,0,13,100.0,200.90142844721325
2014-08-20,12,0,13,100.0,203.57872066070462
2014-08-21,12,0,13,100.0,204.42312877108688
2014-08-22,12,0,13,100.0,205.25291840677875
2014-08-25,12,0,13,100.0,204.77619663911858
2014-08-26,12,0,13,100.0,202.77952188167188
2014-08-27,12,0,13,100.0,209.51029922883677
2014-08-28,12,0,13,100.0,209.72544949794874
2014-09-01,12,0,13,100.0,213.2089613982541
2014-09-02,12,0,13,100.0,215.45492232295973
2014-09-03,12,0,13,100.0,217.79011362004232
2014-09-04,12,0,13,100.0,218.5103169897622
2014-09-05,12,0,13,100.0,227.1259538279002
2014-09-08,12,0,13,100.0,230.38788958076773
2014-09-09,12,0,13,100.0,230.72625006550857
2014-09-10,12,0,13,100.0,233.34716168767477
2014-09-11,12,0,13,100.0,241.20973080810145
2014-09-12,12,0,13,100.0,246.80812585070075
2014-09-15,12,0,13,100.0,250.8876175535788
2014-09-16,12,0,13,100.0,237.6640054211722
2014-09-17,12,0,13,100.0,238.81243280888665
2014-09-18,12,0,13,100.0,244.14140728670563
2014-09-19,12,0,13,100.0,245.7834437101773
2014-09-22,12,0,13,100.0,249.11454073066307
2014-09-23,12,0,13,100.0,244.16904871103253
2014-09-24,12,0,13,100.0,242.10840373810322
2014-09-25,12,0,13,100.0,236.0362597533241
2014-09-26,12,0,13,100.0,238.18947665704567
2014-09-29,12,0,13,100.0,241.35824160467806
2014-09-30,12,0,13,100.0,243.48257440075733
2014-10-01,12,0,13,100.0,243.93253905839592
2014-10-07,12,0,13,100.0,242.22424226653786
2014-10-08,12,0,13,100.0,240.58659501410182
2014-10-09,12,0,13,100.0,241.85157599613402
2014-10-10,12,0,13,100.0,237.4172256985426
2014-10-13,12,0,13,100.0,239.56735288803483
2014-10-14,12,0,13,100.0,238.43299294984197
2014-10-16,12,0,13,100.0,229.92657610298556
2014-10-17,12,0,13,100.0,230.3445443524291
2014-10-20,12,0,12,100.0,232.4998422556983
2014-10-21,12,0,12,100.0,231.99498295501883
2014-10-22,12,0,13,100.0,234.0758633981465
2014-10-23,12,0,12,100.0,237.46440870791142
2014-10-27,12,0,13,100.0,237.7641488038597
2014-10-28,12,0,13,100.0,238.72905293467034
2014-10-29,13,0,13,100.0,240.68425848583206
2014-10-30,13,0,13,100.0,242.46079081213372
2014-10-31,13,0,13,100.0,244.77210357977665
2014-11-03,13,0,13,100.0,247.5021409294845
2014-11-05,13,0,13,100.0,250.17234762988036
2014-11-07,13,0,13,100.0,253.61368122425273
2014-11-10,13,0,13,100.0,252.60852062694372
2014-11-11,13,0,13,100.0,254.49805645779406
2014-11-12,13,0,13,100.0,258.5419590742045
2014-11-13,13,0,13,100.0,258.7564019061084
2014-11-14,13,0,13,100.0,262.3548663373477
2014-11-17,13,0,13,100.0,266.4209908705044
2014-11-18,13,0,13,100.0,271.38034646677767
2014-11-19,13,0,13,100.0,273.9266344650658
2014-11-20,13,0,13,100.0,274.179189582409
2014-11-21,13,0,13,100.0,272.70124763328494
2014-11-24,13,0,13,100.0,272.9966263547948
2014-11-25,13,0,13,100.0,267.618824024959
2014-11-26,13,0,13,100.0,269.41781312242637
2014-11-27,13,0,13,100.0,270.3674258811299
2014-11-28,13,0,13,100.0,271.5755875054194
2014-12-01,13,0,13,100.0,269.7518747969865
2014-12-02,13,0,13,100.0,272.12454717021467
2014-12-03,13,0,13,100.0,277.7227298475583
2014-12-04,13,0,13,100.0,280.2347615086009
2014-12-05,13,0,13,100.0,279.33269274012946
2014-12-08,13,0,13,100.0,279.4068467546366
2014-12-09,13,0,13,100.0,272.78170151337207
2014-12-10,13,0,13,100.0,275.11460394430543
2014-12-11,13,0,13,100.0,272.8282999757962
2014-12-12,13,0,13,100.0,269.8706365730513
2014-12-15,12,1,13,92.3076923076923,269.5542888686141
2014-12-16,12,1,13,92.3076923076923,260.120669512483
2014-12-17,12,1,13,92.3076923076923,255.3826154139134
2014-12-18,12,1,13,92.3076923076923,267.07777808795703
2014-12-19,13,0,13,100.0,267.5807722886255
2014-12-22,13,0,13,100.0,272.3557276106976
2014-12-23,13,0,13,100.0,270.47404257124157
2014-12-24,13,0,13,100.0,270.9098943467655
2014-12-26,13,0,13,100.0,272.83628116349405
2014-12-29,13,0,13,100.0,281.3093880501375
2014-12-30,13,0,13,100.0,281.78191227515066
2014-12-31,13,0,13,100.0,285.26044045319696
2015-01-01,13,0,13,100.0,290.2551341918994
2015-01-02,13,0,13,100.0,292.7882478981494
2015-01-05,13,0,13,100.0,292.8820623335092
2015-01-06,13,0,13,100.0,284.0205785753819
2015-01-07,12,1,13,92.3076923076923,284.0054576950143
2015-01-08,13,0,13,100.0,291.496770202417
2015-01-09,13,0,13,100.0,290.7832295101192
2015-01-12,12,1,13,92.3076923076923,297.10833776314496
2015-01-13,12,1,13,92.3076923076923,295.6281573979522
2015-01-14,12,1,13,92.3076923076923,292.6153504439149
2015-01-15,13,0,13,100.0,297.0398498098942
2015-01-16,13,0,13,100.0,299.44026258001475
2015-01-19,13,0,13,100.0,303.16976157171894
2015-01-20,13,0,13,100.0,304.55663436739144
2015-01-21,13,0,13,100.0,306.08799150586583
2015-01-22,13,0,13,100.0,307.0543440738566
2015-01-23,12,1,13,92.3076923076923,303.70050964994186
2015-01-27,13,0,13,100.0,309.1484233349744
2015-01-28,13,0,13,100.0,308.7967846471332
2015-01-29,12,1,13,92.3076923076923,308.65857747885906
2015-01-30,12,1,13,92.3076923076923,309.5112259606696
2015-02-02,12,1,13,92.3076923076923,313.8614084795872
2015-02-03,12,1,13,92.3076923076923,311.49919985395195
2015-02-04,12,1,13,92.3076923076923,302.61062838828906
2015-02-05,12,1,13,92.3076923076923,300.2748238858762
2015-02-06,12,1,13,92.3076923076923,290.8474479133582
2015-02-09,12,1,13,92.3076923076923,285.61616960931354
2015-02-10,12,1,13,92.3076923076923,284.2118799673623
2015-02-11,12,1,13,92.3076923076923,292.6805605980391
2015-02-12,12,1,13,92.3076923076923,301.818083739782
2015-02-13,12,1,13,92.3076923076923,305.80190494261086
2015-02-16,12,1,13,92.3076923076923,305.9483042617545
2015-02-18,12,1,13,92.3076923076923,311.41071975099436
2015-02-19,12,1,13,92.3076923076923,308.51901183285844
2015-02-20,12,1,13,92.3076923076923,310.4081461099783
2015-02-23,12,1,13,92.3076923076923,307.1941870180868
2015-02-24,12,1,13,92.3076923076923,306.0080375237245
2015-02-25,12,1,13,92.3076923076923,304.3110793539107
2015-02-26,12,1,13,92.3076923076923,300.0186687469741
2015-02-27,12,1,13,92.3076923076923,305.0666404483543
2015-02-28,12,1,13,92.3076923076923,307.81299693357226
2015-03-02,12,1,13,92.3076923076923,313.0446758855497
2015-03-03,12,1,13,92.3076923076923,314.6098533517887
2015-03-04,12,1,13,92.3076923076923,309.10755504425833
2015-03-05,12,1,13,92.3076923076923,312.3190719708594
2015-03-09,12,1,13,92.3076923076923,309.0894756765458
2015-03-10,12,1,13,92.3076923076923,309.25877915855733
2015-03-11,12,1,13,92.3076923076923,308.86137394089707
2015-03-12,12,1,13,92.3076923076923,312.95930964215563
2015-03-13,12,1,13,92.3076923076923,309.5902534274524
2015-03-16,12,1,13,92.3076923076923,303.9271824622571
2015-03-17,12,1,13,92.3076923076923,305.32999587381994
2015-03-18,12,1,13,92.3076923076923,306.44515620547656
2015-03-19,12,1,13,92.3076923076923,305.6297333419173
2015-03-20,12,1,13,92.3076923076923,297.59704875559805
2015-03-23,11,2,13,84.61538461538461,293.66314805763915
2015-03-24,11,2,13,84.61538461538461,291.1193426838662
2015-03-25,11,2,13,84.61538461538461,291.32162681740914
2015-03-26,11,2,13,84.61538461538461,287.4482299234249
2015-03-27,10,3,13,76.92307692307693,287.40189339479633
2015-03-30,12,1,13,92.3076923076923,297.7706933900142
2015-03-31,12,1,13,92.3076923076923,301.7718302126825
2015-04-01,12,1,13,92.3076923076923,307.6805985243385
2015-04-06,12,1,13,92.3076923076923,310.8025542778186
2015-04-07,12,1,13,92.3076923076923,314.11507366633793
2015-04-08,11,2,13,84.61538461538461,317.12268087206536
2015-04-09,11,2,13,84.61538461538461,314.3241616464561
2015-04-10,11,2,13,84.61538461538461,317.9887825647661
2015-04-13,11,2,13,84.61538461538461,320.21291394673614
2015-04-15,11,2,13,84.61538461538461,319.2382690084384
2015-04-16,11,2,13,84.61538461538461,313.7653732926608
2015-04-17,11,2,13,84.61538461538461,310.3493881832839
2015-04-20,11,2,13,84.61538461538461,306.06605246153083
2015-04-21,11,2,13,84.61538461538461,302.9123824108815
2015-04-22,11,2,13,84.61538461538461,299.60166978067673
2015-04-23,11,2,13,84.61538461538461,300.28918963657117
2015-04-24,11,2,13,84.61538461538461,294.46355132029123
2015-04-27,9,4,13,69.23076923076923,284.3469351471677
2015-04-28,10,3,13,76.92307692307693,289.8114669268375
2015-04-29,10,3,13,76.92307692307693,292.1510299285401
2015-04-30,10,3,13,76.92307692307693,294.40380797942885
2015-05-04,10,3,13,76.92307692307693,298.0524113717863
2015-05-05,10,3,13,76.92307692307693,301.6209448083177
2015-05-06,9,4,13,69.23076923076923,291.3306123217968
2015-05-07,8,5,13,61.53846153846154,284.26736644260177
2015-05-08,8,5,13,61.53846153846154,290.15063928530105
2015-05-11,10,3,13,76.92307692307693,295.91502038147246
2015-05-12,8,5,13,61.53846153846154,288.3708523160393
2015-05-13,8,5,13,61.53846153846154,290.7392666698761
2015-05-14,8,5,13,61.53846153846154,293.3709771394587
2015-05-15,10,3,13,76.92307692307693,297.3042834993595
2015-05-18,11,2,13,84.61538461538461,300.6284448296866
2015-05-19,11,2,13,84.61538461538461,300.4454082894275
2015-05-20,11,2,13,84.61538461538461,300.293030613802
2015-05-21,10,3,13,76.92307692307693,299.4872282677611
2015-05-22,10,3,13,76.92307692307693,299.33113687849044
2015-05-25,10,3,13,76.92307692307693,299.6509452579696
2015-05-26,8,5,13,61.53846153846154,294.1194543914766
2015-05-27,8,5,13,61.53846153846154,291.39127912131
2015-05-28,9,4,13,69.23076923076923,289.3979785695784
2015-05-29,8,5,13,61.53846153846154,289.47011128347276
2015-06-01,6,7,13,46.15384615384615,286.6263028551633
2015-06-02,6,7,13,46.15384615384615,283.71411254695784
2015-06-03,6,7,13,46.15384615384615,276.3591287305899
2015-06-04,6,7,13,46.15384615384615,276.6014573620334
2015-06-05,6,7,13,46.15384615384615,277.36313078862025
2015-06-08,6,7,13,46.15384615384615,273.7419999494996
2015-06-09,5,8,13,38.46153846153847,270.5529126886672
2015-06-10,6,7,13,46.15384615384615,277.5128725888725
2015-06-11,5,8,13,38.46153846153847,271.8396024904038
2015-06-12,4,9,13,30.76923076923077,267.980037733108
2015-06-15,4,9,13,30.76923076923077,269.2090600984127
2015-06-16,4,9,13,30.76923076923077,269.45552658932576
2015-06-17,5,8,13,38.46153846153847,274.02519752613375
2015-06-18,5,8,13,38.46153846153847,275.0755477183295
2015-06-19,6,7,13,46.15384615384615,278.90567389093235
2015-06-22,5,8,13,38.46153846153847,279.6278127657227
2015-06-23,5,8,13,38.46153846153847,278.22986625193863
2015-06-24,5,8,13,38.46153846153847,278.7841614382077
2015-06-25,5,8,13,38.46153846153847,277.4056587750119
2015-06-26,5,8,13,38.46153846153847,275.800266093151
2015-06-29,5,8,13,38.46153846153847,269.85445279105375
2015-06-30,5,8,13,38.46153846153847,271.8755378254631
2015-07-01,5,8,13,38.46153846153847,277.5524181994559
2015-07-02,5,8,13,38.46153846153847,279.5179341299406
2015-07-03,6,7,13,46.15384615384615,281.91049635118856
2015-07-06,7,6,13,53.84615384615385,283.601274864869
2015-07-07,7,6,13,53.84615384615385,284.1336657721646
2015-07-08,5,8,13,38.46153846153847,278.849284612596
2015-07-09,7,6,13,53.84615384615385,282.78980807058446
2015-07-10,7,6,13,53.84615384615385,282.6814467479866
2015-07-13,7,6,13,53.84615384615385,286.28945027704685
2015-07-14,7,6,13,53.84615384615385,284.49733854361665
2015-07-15,7,6,13,53.84615384615385,290.05635120837064
2015-07-16,7,6,13,53.84615384615385,291.6490824460617
2015-07-17,7,6,13,53.84615384615385,293.38335669650513
2015-07-20,7,6,13,53.84615384615385,296.4540899408885
2015-07-21,7,6,13,53.84615384615385,290.5656508892758
2015-07-22,7,6,13,53.84615384615385,295.1894696144635
2015-07-23,6,7,13,46.15384615384615,290.2410600421457
2015-07-24,6,7,13,46.15384615384615,287.84011443308486
2015-07-27,6,7,13,46.15384615384615,284.17184434512257
2015-07-28,5,8,13,38.46153846153847,284.85323068273976
2015-07-29,5,8,13,38.46153846153847,291.47611157243614
2015-07-30,5,8,13,38.46153846153847,295.1317690633244
2015-07-31,7,6,13,53.84615384615385,300.07128121647713
2015-08-03,10,3,13,76.92307692307693,305.8464420943608
2015-08-04,10,3,13,76.92307692307693,311.8630076411823
2015-08-05,9,4,13,69.23076923076923,316.100374802326
2015-08-06,8,5,13,61.53846153846154,310.7112042146703
2015-08-07,9,4,13,69.23076923076923,313.0181386932617
2015-08-10,8,5,13,61.53846153846154,313.0609528494978
2015-08-11,7,6,13,53.84615384615385,306.7158156020809
2015-08-12,7,6,13,53.84615384615385,298.9895801744129
2015-08-13,6,7,13,46.15384615384615,295.4464957407648
2015-08-14,7,6,13,53.84615384615385,302.70155889641563
2015-08-17,8,5,13,61.53846153846154,304.39312721534753
2015-08-18,7,6,13,53.84615384615385,309.7193854709471
2015-08-19,8,5,13,61.53846153846154,315.7887787975548
