Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,5,1,6,83.33333333333334,214.92281072410435
2014-08-08,5,1,6,83.33333333333334,213.16444842534912
2014-08-11,5,1,6,83.33333333333334,218.88511872128942
2014-08-12,5,1,6,83.33333333333334,218.30763235403725
2014-08-13,5,1,6,83.33333333333334,219.30086411605419
2014-08-14,5,1,6,83.33333333333334,219.25755705777843
2014-08-18,5,1,6,83.33333333333334,225.67036025225042
2014-08-19,5,1,6,83.33333333333334,234.15098199274965
2014-08-20,5,1,6,83.33333333333334,235.69353029896027
2014-08-21,5,1,6,83.33333333333334,234.31410920861774
2014-08-22,5,1,6,83.33333333333334,232.541265551476
2014-08-25,5,1,6,83.33333333333334,235.65102160862503
2014-08-26,5,1,6,83.33333333333334,236.50623285112897
2014-08-27,5,1,6,83.33333333333334,239.42397516890762
2014-08-28,5,1,6,83.33333333333334,241.93686667341706
2014-09-01,5,1,6,83.33333333333334,246.2530292252898
2014-09-02,5,1,6,83.33333333333334,249.15012143975002
2014-09-03,5,1,6,83.33333333333334,249.41496241850487
2014-09-04,5,1,6,83.33333333333334,249.06464151215442
2014-09-05,5,1,6,83.33333333333334,252.02857300460573
2014-09-08,5,1,6,83.33333333333334,251.91689216342917
2014-09-09,5,1,6,83.33333333333334,250.19145661980988
2014-09-10,5,1,6,83.33333333333334,255.01664884660613
2014-09-11,6,0,6,100.0,256.8328821905065
2014-09-12,6,0,6,100.0,259.2901367593436
2014-09-15,6,0,6,100.0,262.9983816736572
2014-09-16,5,1,6,83.33333333333334,253.82419688307567
2014-09-17,5,1,6,83.33333333333334,255.1806422049461
2014-09-18,5,1,6,83.33333333333334,255.39653831400037
2014-09-19,5,1,6,83.33333333333334,255.29219537972372
2014-09-22,5,1,6,83.33333333333334,257.34232589814707
2014-09-23,6,0,6,100.0,256.4168990795947
2014-09-24,6,0,6,100.0,252.67723290858956
2014-09-25,6,0,6,100.0,247.52386724641994
2014-09-26,6,0,6,100.0,243.9555746867383
2014-09-29,5,1,6,83.33333333333334,248.97575230734284
2014-09-30,5,1,6,83.33333333333334,249.57811020039566
2014-10-01,5,1,6,83.33333333333334,248.17388591978803
2014-10-07,5,1,6,83.33333333333334,251.66717008017025
2014-10-08,5,1,6,83.33333333333334,245.7044247021583
2014-10-09,5,1,6,83.33333333333334,254.87875062258937
2014-10-10,5,1,6,83.33333333333334,255.46442072421357
2014-10-13,5,1,6,83.33333333333334,252.51176108103368
2014-10-14,5,1,6,83.33333333333334,251.60517358617395
2014-10-16,5,1,6,83.33333333333334,247.26949635349266
2014-10-17,5,1,6,83.33333333333334,245.95319005130025
2014-10-20,5,1,6,83.33333333333334,254.58351679974322
2014-10-21,5,1,6,83.33333333333334,255.28820437777676
2014-10-22,5,1,6,83.33333333333334,256.4447675261128
2014-10-23,5,1,6,83.33333333333334,260.146558071436
2014-10-27,5,1,6,83.33333333333334,254.88447921093245
2014-10-28,5,1,6,83.33333333333334,253.80941012814398
2014-10-29,5,1,6,83.33333333333334,256.6545909868487
2014-10-30,5,1,6,83.33333333333334,258.5221722533043
2014-10-31,5,1,6,83.33333333333334,261.210260151241
2014-11-03,5,1,6,83.33333333333334,264.0305299992102
2014-11-05,5,1,6,83.33333333333334,273.5414386453821
2014-11-07,5,1,6,83.33333333333334,268.12688925146546
2014-11-10,5,1,6,83.33333333333334,265.1673017337317
2014-11-11,5,1,6,83.33333333333334,263.70384332964846
2014-11-12,5,1,6,83.33333333333334,265.4074935298473
2014-11-13,5,1,6,83.33333333333334,263.7096244104684
2014-11-14,6,0,6,100.0,274.36669066034733
2014-11-17,6,0,6,100.0,276.1523256691901
2014-11-18,6,0,6,100.0,284.9516143567607
2014-11-19,5,1,6,83.33333333333334,277.17332167671816
2014-11-20,6,0,6,100.0,275.9848762540867
2014-11-21,6,0,6,100.0,276.0964052761552
2014-11-24,5,1,6,83.33333333333334,276.0895605882149
2014-11-25,5,1,6,83.33333333333334,272.14808643430086
2014-11-26,5,1,6,83.33333333333334,274.6515411573213
2014-11-27,5,1,6,83.33333333333334,275.6322061171873
2014-11-28,5,1,6,83.33333333333334,276.5207350311224
2014-12-01,6,0,6,100.0,274.68371343603377
2014-12-02,5,1,6,83.33333333333334,269.99965822928516
2014-12-03,6,0,6,100.0,282.9555476978781
2014-12-04,6,0,6,100.0,283.5715671357561
2014-12-05,6,0,6,100.0,282.9321329865394
2014-12-08,6,0,6,100.0,277.136781842263
2014-12-09,6,0,6,100.0,270.7917438282642
2014-12-10,6,0,6,100.0,270.97998695272264
2014-12-11,6,0,6,100.0,267.4519513782586
2014-12-12,6,0,6,100.0,265.6908686475687
2014-12-15,6,0,6,100.0,266.3135264349522
2014-12-16,6,0,6,100.0,258.785984345817
2014-12-17,6,0,6,100.0,255.7644089664565
2014-12-18,6,0,6,100.0,269.17149072122453
2014-12-19,6,0,6,100.0,273.8323051189615
2014-12-22,6,0,6,100.0,274.55690169033574
2014-12-23,6,0,6,100.0,271.19796799687583
2014-12-24,6,0,6,100.0,270.80112960477436
2014-12-26,6,0,6,100.0,270.3162011706648
2014-12-29,6,0,6,100.0,271.5631849247581
2014-12-30,6,0,6,100.0,271.5579782410193
2014-12-31,6,0,6,100.0,279.8303249132564
2015-01-01,6,0,6,100.0,281.20278603653185
2015-01-02,6,0,6,100.0,285.4393506348631
2015-01-05,6,0,6,100.0,288.9718083980919
2015-01-06,6,0,6,100.0,279.43008515633846
2015-01-07,6,0,6,100.0,278.07499582094925
2015-01-08,6,0,6,100.0,283.30983485673545
2015-01-09,6,0,6,100.0,285.066732131241
2015-01-12,6,0,6,100.0,291.65014367639685
2015-01-13,6,0,6,100.0,291.79229600872753
2015-01-14,5,1,6,83.33333333333334,291.94355111257244
2015-01-15,6,0,6,100.0,301.52645772620986
2015-01-16,6,0,6,100.0,299.60775025754526
2015-01-19,6,0,6,100.0,306.07400180859764
2015-01-20,6,0,6,100.0,308.15527160842834
2015-01-21,6,0,6,100.0,317.85358541553904
2015-01-22,6,0,6,100.0,317.0383897374404
2015-01-23,6,0,6,100.0,311.89040445633805
2015-01-27,6,0,6,100.0,314.6005219837689
2015-01-28,6,0,6,100.0,329.33449608566525
2015-01-29,6,0,6,100.0,335.17424215437086
2015-01-30,6,0,6,100.0,333.68198342955463
2015-02-02,6,0,6,100.0,341.1589326064796
2015-02-03,6,0,6,100.0,342.18170622207475
2015-02-04,6,0,6,100.0,337.842241726018
2015-02-05,6,0,6,100.0,339.42515877537045
2015-02-06,6,0,6,100.0,335.41802864854156
2015-02-09,6,0,6,100.0,332.99104361495944
2015-02-10,6,0,6,100.0,335.84781907050296
2015-02-11,6,0,6,100.0,340.12527275723414
2015-02-12,6,0,6,100.0,345.6773599216424
2015-02-13,6,0,6,100.0,362.60407563165415
2015-02-16,6,0,6,100.0,363.3702599730504
2015-02-18,6,0,6,100.0,363.7494621908647
2015-02-19,6,0,6,100.0,357.76428905628495
2015-02-20,6,0,6,100.0,356.11358549534174
2015-02-23,6,0,6,100.0,351.4826211066304
2015-02-24,6,0,6,100.0,353.2709728786196
2015-02-25,6,0,6,100.0,356.8355463027746
2015-02-26,6,0,6,100.0,354.4112756388861
2015-02-27,6,0,6,100.0,362.7852994415748
2015-02-28,6,0,6,100.0,366.34391416845864
2015-03-02,6,0,6,100.0,372.60995660471514
2015-03-03,6,0,6,100.0,373.38464340180855
2015-03-04,6,0,6,100.0,367.90213502813924
2015-03-05,6,0,6,100.0,372.92827896107883
2015-03-09,6,0,6,100.0,370.0892152723614
2015-03-10,6,0,6,100.0,363.44134005241995
2015-03-11,6,0,6,100.0,366.71257269444396
2015-03-12,6,0,6,100.0,366.45777770933626
2015-03-13,6,0,6,100.0,359.7327048066657
2015-03-16,6,0,6,100.0,369.42329781160146
2015-03-17,6,0,6,100.0,375.0320189029512
2015-03-18,6,0,6,100.0,376.14881429048256
2015-03-19,6,0,6,100.0,375.2175781780903
2015-03-20,6,0,6,100.0,374.32265308362287
2015-03-23,6,0,6,100.0,368.86395096142394
2015-03-24,6,0,6,100.0,370.03429687262087
2015-03-25,6,0,6,100.0,374.81223515906873
2015-03-26,6,0,6,100.0,376.6727162450862
2015-03-27,6,0,6,100.0,372.0926528633477
2015-03-30,6,0,6,100.0,380.7847766050829
2015-03-31,6,0,6,100.0,377.2043305922075
2015-04-01,6,0,6,100.0,382.3462985184572
2015-04-06,6,0,6,100.0,385.5380416024677
2015-04-07,6,0,6,100.0,390.4136194926763
2015-04-08,6,0,6,100.0,394.2629606601009
2015-04-09,6,0,6,100.0,398.39551945779334
2015-04-10,6,0,6,100.0,399.5092254383326
2015-04-13,6,0,6,100.0,405.3411877268636
2015-04-15,6,0,6,100.0,401.4785541766459
2015-04-16,6,0,6,100.0,398.3513354155884
2015-04-17,6,0,6,100.0,394.3632396296814
2015-04-20,6,0,6,100.0,390.181051730882
2015-04-21,6,0,6,100.0,391.080989653301
2015-04-22,6,0,6,100.0,393.2310479949236
2015-04-23,6,0,6,100.0,382.5002137322945
2015-04-24,6,0,6,100.0,365.3536079813245
2015-04-27,6,0,6,100.0,347.1999522299514
2015-04-28,6,0,6,100.0,355.0564424520479
2015-04-29,6,0,6,100.0,358.5953382965891
2015-04-30,6,0,6,100.0,359.2380449572652
2015-05-04,6,0,6,100.0,366.6860444895691
2015-05-05,6,0,6,100.0,365.5706758876181
2015-05-06,6,0,6,100.0,350.50312068755727
2015-05-07,5,1,6,83.33333333333334,337.3954981777181
2015-05-08,6,0,6,100.0,345.8331390936516
2015-05-11,6,0,6,100.0,347.6212255222388
2015-05-12,5,1,6,83.33333333333334,337.75461325597473
2015-05-13,6,0,6,100.0,341.79882602415006
2015-05-14,5,1,6,83.33333333333334,341.1313239677779
2015-05-15,5,1,6,83.33333333333334,343.21285265676056
2015-05-18,5,1,6,83.33333333333334,349.7874870189135
2015-05-19,5,1,6,83.33333333333334,349.0073773938261
2015-05-20,6,0,6,100.0,360.9642515047844
2015-05-21,6,0,6,100.0,361.9133225270828
