Date,Above,Below,Total,Percentage,Index_Close
2016-09-22,1,0,2,100.0,110.70501713808166
2016-09-23,1,0,2,100.0,112.53396953815901
2016-09-26,1,0,2,100.0,110.0740633253916
2016-09-27,1,0,2,100.0,109.0702968036423
2016-09-28,1,0,2,100.0,108.93350014994813
2016-09-29,1,0,2,100.0,109.42776670238352
2016-09-30,1,0,2,100.0,109.61273355263623
2016-10-03,1,0,2,100.0,113.5960204143166
2016-10-04,1,0,2,100.0,113.39869239682426
2016-10-05,1,0,2,100.0,114.22130577067742
2016-10-06,1,0,2,100.0,115.55189196122045
2016-10-07,1,0,2,100.0,116.80020660932477
2016-10-10,1,0,2,100.0,114.45393181318614
2016-10-13,1,0,2,100.0,110.61613434301695
2016-10-14,1,0,2,100.0,110.15419685496563
2016-10-17,1,0,2,100.0,110.49395794217114
2016-10-18,1,0,2,100.0,111.3631735154326
2016-10-19,1,0,2,100.0,110.21739371854804
2016-10-20,1,0,2,100.0,114.0438017380134
2016-10-21,1,0,2,100.0,113.43584233272557
2016-10-24,0,1,2,0.0,110.23010736895256
2016-10-25,1,0,2,100.0,110.004495384613
2016-10-26,1,0,2,100.0,110.2552984284725
2016-10-27,1,0,2,100.0,110.01992381180676
2016-10-28,1,0,2,100.0,110.59225339027793
2016-10-30,1,0,2,100.0,110.3358032504569
2016-11-01,1,0,2,100.0,112.15127689574955
2016-11-02,0,1,2,0.0,109.26140761457212
2016-11-03,1,0,2,100.0,110.02975564980268
2016-11-04,1,0,2,100.0,107.10228872337349
2016-11-07,1,0,2,100.0,108.33911258873957
2016-11-08,0,1,2,0.0,107.74178407849324
2016-11-09,0,1,2,0.0,106.58703791629436
2016-11-10,0,1,2,0.0,109.12502857746995
2016-11-11,0,1,2,0.0,107.57572664516127
2016-11-15,0,1,2,0.0,106.23430150870779
2016-11-16,0,1,2,0.0,103.75650340369276
2016-11-17,0,1,2,0.0,102.9732065385746
2016-11-18,0,1,2,0.0,102.94704274606042
2016-11-21,0,1,2,0.0,100.66513183497455
2016-11-22,0,1,2,0.0,101.37210719711388
2016-11-23,0,1,2,0.0,101.53879270940467
2016-11-24,0,1,2,0.0,102.51340005849794
2016-11-25,0,1,2,0.0,102.87358727034366
2016-11-28,0,1,2,0.0,102.83508286420397
2016-11-29,0,1,2,0.0,108.26215058036878
2016-11-30,0,1,2,0.0,108.03144236444231
2016-12-01,0,1,2,0.0,105.9827147687193
2016-12-02,0,1,2,0.0,103.38543008261085
2016-12-05,0,1,2,0.0,104.37311667658369
2016-12-06,0,1,2,0.0,106.54866536274987
2016-12-07,0,1,2,0.0,106.74691172622177
2016-12-08,0,1,2,0.0,108.09275934308744
2016-12-09,0,1,2,0.0,108.62748858401878
2016-12-12,0,1,2,0.0,108.11319863777264
2016-12-13,0,1,2,0.0,107.84393071839769
2016-12-14,0,1,2,0.0,109.12400711489418
2016-12-15,0,1,2,0.0,110.61344349526452
2016-12-16,0,1,2,0.0,110.39999359998838
2016-12-19,0,1,2,0.0,109.35691126509262
2016-12-20,0,1,2,0.0,108.05269136129716
2016-12-21,0,1,2,0.0,106.9172787078104
2016-12-22,0,1,2,0.0,106.79445654048547
2016-12-23,0,1,2,0.0,106.17414822715669
2016-12-26,0,1,2,0.0,104.15659341950958
2016-12-27,0,1,2,0.0,106.60815649857913
2016-12-28,0,1,2,0.0,107.05648802321342
2016-12-29,0,1,2,0.0,108.0831864020014
2016-12-30,0,1,2,0.0,109.00844180563863
2017-01-02,0,1,2,0.0,108.01572282030077
2017-01-03,0,1,2,0.0,109.09886406844652
2017-01-04,0,1,2,0.0,109.97310148204905
2017-01-05,0,1,2,0.0,110.77953562306628
2017-01-06,0,1,2,0.0,110.96800284340158
2017-01-09,0,1,2,0.0,110.16154240664571
2017-01-10,0,1,2,0.0,108.74071992864158
2017-01-11,0,1,2,0.0,111.41066193670048
2017-01-12,0,1,2,0.0,111.19373077819404
2017-01-13,0,1,2,0.0,111.09489413756835
2017-01-16,0,1,2,0.0,109.22300170274075
2017-01-17,0,1,2,0.0,110.72497868631181
2017-01-18,0,1,2,0.0,110.38376241171446
2017-01-19,0,1,2,0.0,109.87869567814279
2017-01-20,0,1,2,0.0,109.10349923866704
2017-01-23,0,1,2,0.0,109.03189312508717
2017-01-24,0,1,2,0.0,111.3061936281464
2017-01-25,0,1,2,0.0,116.74902067623056
2017-01-27,0,1,2,0.0,114.80243652812344
2017-01-30,0,1,2,0.0,112.40408537309814
2017-01-31,0,1,2,0.0,111.7069440517098
2017-02-01,0,1,2,0.0,110.8349434054989
2017-02-02,1,0,2,100.0,116.16180487327195
2017-02-03,0,1,2,0.0,113.89698490538382
2017-02-06,0,1,2,0.0,113.44406233366165
2017-02-07,0,1,2,0.0,114.17568225498182
2017-02-08,0,1,2,0.0,112.44925193339684
2017-02-09,0,1,2,0.0,112.03164437196978
2017-02-10,0,1,2,0.0,110.28075744436148
2017-02-13,0,1,2,0.0,108.27669085293527
2017-02-14,0,1,2,0.0,108.15251317672593
2017-02-15,1,1,2,50.0,107.26238978952895
2017-02-16,1,1,2,50.0,107.74432806470007
2017-02-17,1,1,2,50.0,108.27784147859181
2017-02-20,1,1,2,50.0,107.3167394868859
2017-02-21,1,1,2,50.0,107.42041564438745
2017-02-22,1,1,2,50.0,107.55307283549269
2017-02-23,1,1,2,50.0,106.74401240828982
2017-02-27,1,1,2,50.0,106.9210069406017
2017-02-28,1,1,2,50.0,107.14377236597056
2017-03-01,1,1,2,50.0,107.29192101663261
2017-03-02,1,1,2,50.0,106.70880888303027
2017-03-03,1,1,2,50.0,106.7559813404389
2017-03-06,1,1,2,50.0,106.97152334703223
2017-03-07,1,1,2,50.0,109.3819437869052
2017-03-08,1,1,2,50.0,109.243496399441
2017-03-09,1,1,2,50.0,108.78114390373355
2017-03-10,1,1,2,50.0,110.20491804323859
2017-03-14,1,1,2,50.0,110.90619607536989
2017-03-15,1,1,2,50.0,113.14590447028827
2017-03-16,1,1,2,50.0,114.82316892319788
2017-03-17,1,1,2,50.0,115.54957991020538
2017-03-20,2,0,2,100.0,116.97281775743997
2017-03-21,2,0,2,100.0,117.63690644341133
2017-03-22,1,1,2,50.0,116.83134571501368
2017-03-23,1,1,2,50.0,116.65932810360331
2017-03-24,1,1,2,50.0,116.46847266454323
2017-03-27,1,1,2,50.0,115.36483031607688
2017-03-28,1,1,2,50.0,116.14021066894891
2017-03-29,1,1,2,50.0,115.26116196987553
2017-03-30,1,1,2,50.0,116.54893775790089
2017-03-31,2,0,2,100.0,117.48125650353305
2017-04-03,2,0,2,100.0,120.57948193214101
2017-04-05,2,0,2,100.0,121.93454363064869
2017-04-06,2,0,2,100.0,122.8209200648126
2017-04-07,2,0,2,100.0,123.32133040969512
2017-04-10,2,0,2,100.0,124.18902655907806
2017-04-11,2,0,2,100.0,126.80380355806875
2017-04-12,2,0,2,100.0,127.902240682976
2017-04-13,2,0,2,100.0,127.44208364619693
2017-04-17,2,0,2,100.0,127.38735287181761
2017-04-18,2,0,2,100.0,126.5903607170519
2017-04-19,2,0,2,100.0,126.69295163701646
2017-04-20,2,0,2,100.0,127.62721513431225
2017-04-21,2,0,2,100.0,132.63175214847774
2017-04-24,2,0,2,100.0,131.9529595609802
2017-04-25,2,0,2,100.0,133.66827261764186
2017-04-26,2,0,2,100.0,132.25539243670735
2017-04-27,2,0,2,100.0,132.03218746679607
2017-04-28,2,0,2,100.0,131.60579782694052
2017-05-02,2,0,2,100.0,132.88992736191258
2017-05-03,2,0,2,100.0,133.4089354786412
2017-05-04,2,0,2,100.0,134.56755819691006
2017-05-05,2,0,2,100.0,135.71218466650933
2017-05-08,2,0,2,100.0,137.3859357561832
2017-05-09,2,0,2,100.0,139.790668093582
2017-05-10,2,0,2,100.0,143.54090271811612
2017-05-11,2,0,2,100.0,139.6780495087684
2017-05-12,2,0,2,100.0,138.94421751253873
2017-05-15,2,0,2,100.0,140.76560553250587
2017-05-16,2,0,2,100.0,142.5657802300454
2017-05-17,2,0,2,100.0,140.83165927654596
2017-05-18,2,0,2,100.0,143.84484516599895
2017-05-19,2,0,2,100.0,141.97827631926577
2017-05-22,2,0,2,100.0,140.34879444971824
2017-05-23,2,0,2,100.0,136.18120929840867
2017-05-24,2,0,2,100.0,138.99765060980002
2017-05-25,2,0,2,100.0,141.6572124731628
2017-05-26,2,0,2,100.0,142.325317994079
2017-05-29,2,0,2,100.0,141.67288919895856
2017-05-30,2,0,2,100.0,143.93734554728852
2017-05-31,2,0,2,100.0,146.86917368146385
2017-06-01,2,0,2,100.0,150.89673544565701
2017-06-02,2,0,2,100.0,151.42341820567216
2017-06-05,2,0,2,100.0,150.55586796829678
2017-06-06,2,0,2,100.0,150.87092118301285
2017-06-07,2,0,2,100.0,151.72875503379157
2017-06-08,2,0,2,100.0,153.66784442406328
2017-06-09,2,0,2,100.0,154.44913783021426
2017-06-12,2,0,2,100.0,154.4564160154138
2017-06-13,2,0,2,100.0,155.98930087737986
2017-06-14,2,0,2,100.0,156.60544859949644
2017-06-15,2,0,2,100.0,157.29720572232114
2017-06-16,2,0,2,100.0,157.60051994859145
