Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,6,0.0,100.0
2014-01-02,0,0,6,0.0,98.60102305777325
2014-01-03,0,0,6,0.0,98.09975357628335
2014-01-06,0,0,6,0.0,97.69846187402051
2014-01-07,0,0,6,0.0,96.67054049259008
2014-01-08,0,0,6,0.0,97.38467596555236
2014-01-09,0,0,6,0.0,98.7240104349308
2014-01-10,0,0,6,0.0,98.1400059254175
2014-01-13,0,0,6,0.0,98.05155889632769
2014-01-14,0,0,6,0.0,97.3377488957559
2014-01-15,0,0,6,0.0,98.21636787120505
2014-01-16,0,0,6,0.0,99.01736454882449
2014-01-17,0,0,6,0.0,98.25545445708161
2014-01-20,0,0,6,0.0,98.55834616400045
2014-01-21,0,0,6,0.0,99.82489235959079
2014-01-22,0,0,6,0.0,100.22536288287239
2014-01-23,0,0,6,0.0,99.92227032544902
2014-01-24,0,0,6,0.0,99.09495910276237
2014-01-27,0,0,6,0.0,96.84765619747054
2014-01-28,0,0,6,0.0,98.02031562857775
2014-01-29,0,0,6,0.0,97.29867093283076
2014-01-30,0,0,6,0.0,95.83062839037794
2014-01-31,0,0,6,0.0,95.76173080482893
2014-02-03,0,0,6,0.0,94.1301473336435
2014-02-04,0,0,6,0.0,93.6638092730521
2014-02-05,0,0,6,0.0,94.61509704591286
2014-02-06,0,0,6,0.0,95.01501671194931
2014-02-07,0,0,6,0.0,95.45225657491878
2014-02-10,0,0,6,0.0,94.99763985846896
2014-02-11,0,0,6,0.0,96.03498710984329
2014-02-12,0,0,6,0.0,97.02830662568294
2014-02-13,0,0,6,0.0,96.55134822181499
2014-02-14,0,0,6,0.0,96.81744971606328
2014-02-17,0,0,6,0.0,96.13392703288386
2014-02-18,0,0,6,0.0,95.9831233449181
2014-02-19,0,0,6,0.0,96.15199779071433
2014-02-20,0,0,6,0.0,96.18392618628293
2014-02-21,0,0,6,0.0,96.88051961420187
2014-02-24,0,0,6,0.0,96.39514567616769
2014-02-25,0,0,6,0.0,95.73255696525348
2014-02-26,0,0,6,0.0,94.66610531678683
2014-02-28,0,0,6,0.0,95.34960019258206
2014-03-03,0,0,6,0.0,95.08592505590153
2014-03-04,0,0,6,0.0,97.79122786433348
2014-03-05,0,0,6,0.0,97.92159908066155
2014-03-06,0,0,6,0.0,99.03667656616733
2014-03-07,0,0,6,0.0,98.28320082126018
2014-03-10,0,0,6,0.0,97.26865941491731
2014-03-11,0,0,6,0.0,95.4026341418927
2014-03-12,0,0,6,0.0,95.66917890583045
2014-03-13,0,0,6,0.0,95.80505439860596
2014-03-14,0,0,6,0.0,95.44546107704063
2014-03-18,0,0,6,0.0,95.85626871192721
2014-03-19,0,0,6,0.0,97.3676610711894
2014-03-20,0,0,6,0.0,97.13144736040846
2014-03-21,0,0,6,0.0,97.55501741982188
2014-03-24,0,0,6,0.0,98.932542633709
2014-03-25,0,0,6,0.0,98.27555571011736
2014-03-26,0,0,6,0.0,100.33946496908209
2014-03-27,0,0,6,0.0,101.11840996236037
2014-03-28,0,0,6,0.0,102.2663526162136
2014-03-31,0,0,6,0.0,104.69948233015005
2014-04-01,0,0,6,0.0,104.71779888596053
2014-04-02,0,0,6,0.0,105.0332687873286
2014-04-03,0,0,6,0.0,105.17875337342201
2014-04-04,0,0,6,0.0,105.30924627766274
2014-04-07,0,0,6,0.0,106.2742942325576
2014-04-09,0,0,6,0.0,107.53838399035287
2014-04-10,0,0,6,0.0,107.56345480660752
2014-04-11,0,0,6,0.0,108.67496333749713
2014-04-15,0,0,6,0.0,106.81992373176516
2014-04-16,0,0,6,0.0,106.5655650563667
2014-04-17,0,0,6,0.0,107.10578214988844
2014-04-21,0,0,6,0.0,108.99986875681415
2014-04-22,0,0,6,0.0,108.36996025585117
2014-04-23,0,0,6,0.0,108.41069674596903
2014-04-24,0,0,5,0.0,108.41069674596903
2014-04-25,0,0,6,0.0,108.55843836281147
2014-04-28,0,0,6,0.0,107.72240621185716
2014-04-29,0,0,6,0.0,107.83879730983803
2014-04-30,0,0,6,0.0,106.14705276565135
2014-05-02,0,0,6,0.0,105.74797257089625
2014-05-05,0,0,6,0.0,105.31780705683249
2014-05-06,0,0,6,0.0,105.67479771057452
2014-05-07,0,0,6,0.0,104.76262570898909
2014-05-08,0,0,6,0.0,105.02912104989592
2014-05-09,0,0,6,0.0,106.03775040837841
2014-05-12,0,0,6,0.0,107.17495060350777
2014-05-13,0,0,6,0.0,108.49665093861667
2014-05-14,0,0,6,0.0,110.59492203722606
2014-05-15,0,0,6,0.0,110.12175216313629
2014-05-16,0,0,6,0.0,114.23767139401772
2014-05-19,0,0,6,0.0,121.27143725398899
2014-05-20,0,0,6,0.0,126.27085987174482
2014-05-21,0,0,6,0.0,126.1713289271266
2014-05-22,0,0,6,0.0,130.66103554177775
2014-05-23,0,0,6,0.0,134.6851618134183
2014-05-26,0,0,6,0.0,132.55239138248186
2014-05-27,0,0,6,0.0,131.86545873464019
2014-05-28,0,0,6,0.0,130.86652497141677
2014-05-29,0,0,6,0.0,130.9041812707121
2014-05-30,0,0,6,0.0,130.1420101455808
2014-06-02,0,0,6,0.0,133.98539312361046
2014-06-03,0,0,6,0.0,138.1917536692302
2014-06-04,0,0,6,0.0,140.28644621228324
2014-06-05,0,0,6,0.0,142.06368864390774
2014-06-06,0,0,6,0.0,142.76829287242177
2014-06-09,0,0,6,0.0,145.90241783399617
2014-06-10,0,0,6,0.0,143.9643483594299
2014-06-11,0,0,6,0.0,142.36418319107935
2014-06-12,0,0,6,0.0,143.29425572432808
2014-06-13,0,0,6,0.0,139.75532758733976
2014-06-16,0,0,6,0.0,140.3179883399808
2014-06-17,0,0,6,0.0,141.24411787994438
2014-06-18,0,0,6,0.0,141.88384089263704
2014-06-19,0,0,6,0.0,140.85774972081185
2014-06-20,0,0,6,0.0,139.93698652331355
2014-06-23,0,0,6,0.0,140.24566796947525
2014-06-24,0,0,6,0.0,143.2343994907326
2014-06-25,0,0,6,0.0,144.86210895821029
2014-06-26,0,0,6,0.0,143.56735228965417
2014-06-27,0,0,6,0.0,141.8405349714758
