Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,3,0.0,100.0
2014-01-02,0,0,3,0.0,97.91556925520122
2014-01-03,0,0,3,0.0,98.58564304083897
2014-01-06,0,0,3,0.0,98.0624409892506
2014-01-07,0,0,3,0.0,98.71156343516132
2014-01-08,0,0,3,0.0,99.58663623495596
2014-01-09,0,0,3,0.0,97.83899039884007
2014-01-10,0,0,3,0.0,97.65333731506061
2014-01-13,0,0,3,0.0,99.23519291350279
2014-01-14,0,0,3,0.0,98.97601946110501
2014-01-15,0,0,3,0.0,98.00807284359098
2014-01-16,0,0,3,0.0,98.52107864602306
2014-01-17,0,0,3,0.0,97.74258745494875
2014-01-20,0,0,3,0.0,98.21100823890244
2014-01-21,0,0,3,0.0,97.91362480484138
2014-01-22,0,0,3,0.0,98.80914189229813
2014-01-23,0,0,3,0.0,99.22814794310881
2014-01-24,0,0,3,0.0,97.67783757197643
2014-01-27,0,0,3,0.0,92.61220121218955
2014-01-28,0,0,3,0.0,92.65141426864177
2014-01-29,0,0,3,0.0,92.26975465540829
2014-01-30,0,0,3,0.0,91.07790463850239
2014-01-31,0,0,3,0.0,90.29404216075659
2014-02-03,0,0,3,0.0,89.85767021322411
2014-02-04,0,0,3,0.0,90.03368298702185
2014-02-05,0,0,3,0.0,91.4895280890708
2014-02-06,0,0,3,0.0,90.68330093270556
2014-02-07,0,0,3,0.0,91.03596344437258
2014-02-10,0,0,3,0.0,90.52840144948671
2014-02-11,0,0,3,0.0,90.73966326083624
2014-02-12,0,0,3,0.0,91.2168462686726
2014-02-13,0,0,3,0.0,90.90753234202113
2014-02-14,0,0,3,0.0,91.27530932412637
2014-02-17,0,0,3,0.0,91.02869961694704
2014-02-18,0,0,3,0.0,90.00688076458717
2014-02-19,0,0,3,0.0,90.02157339523318
2014-02-20,0,0,3,0.0,89.52975083416203
2014-02-21,0,0,3,0.0,89.77108501304576
2014-02-24,0,0,3,0.0,89.99740970022398
2014-02-25,0,0,3,0.0,89.68220873574057
2014-02-26,0,0,3,0.0,89.21945052810564
2014-02-28,0,0,3,0.0,89.59201863635961
2014-03-03,0,0,3,0.0,89.64195338903048
2014-03-04,0,0,3,0.0,89.2329606055433
2014-03-05,0,0,3,0.0,91.04766572191522
2014-03-06,0,0,3,0.0,91.52766493804178
2014-03-07,0,0,3,0.0,92.50668721953124
2014-03-10,0,0,3,0.0,94.75979621920328
2014-03-11,0,0,3,0.0,93.60364298579871
2014-03-12,0,0,3,0.0,93.294676288414
2014-03-13,0,0,3,0.0,92.52385454095675
2014-03-14,0,0,3,0.0,92.75788443974447
2014-03-18,0,0,3,0.0,92.10774622168543
2014-03-19,0,0,3,0.0,92.84677779316833
2014-03-20,0,0,3,0.0,91.77136369179414
2014-03-21,0,0,3,0.0,90.55896115379079
2014-03-24,0,0,3,0.0,93.23322785985813
2014-03-25,0,0,3,0.0,92.70064601922037
2014-03-26,0,0,3,0.0,92.6536251114638
2014-03-27,0,0,3,0.0,95.80123012929822
2014-03-28,0,0,3,0.0,96.63377240715303
2014-03-31,0,0,3,0.0,97.81493850878688
2014-04-01,0,0,3,0.0,97.19662205625382
2014-04-02,0,0,3,0.0,99.55284836531865
2014-04-03,0,0,3,0.0,98.08232181850175
2014-04-04,0,0,3,0.0,101.32420664767339
2014-04-07,0,0,3,0.0,103.91574861259649
2014-04-09,0,0,3,0.0,107.63283880031891
2014-04-10,0,0,3,0.0,109.10899783061146
2014-04-11,0,0,3,0.0,109.12783664624277
2014-04-15,0,0,3,0.0,109.4603137406918
2014-04-16,0,0,3,0.0,109.25049997763057
2014-04-17,0,0,3,0.0,110.52997961962059
2014-04-21,0,0,3,0.0,113.29482566419513
2014-04-22,0,0,3,0.0,114.59541030626792
2014-04-23,0,0,3,0.0,113.57920560236039
2014-04-24,0,0,3,0.0,113.57920560236039
2014-04-25,0,0,3,0.0,113.7910572524046
2014-04-28,0,0,3,0.0,114.65481038793241
2014-04-29,0,0,3,0.0,118.7912653583639
2014-04-30,0,0,3,0.0,119.0495224818942
2014-05-02,0,0,3,0.0,125.20115007860248
2014-05-05,0,0,3,0.0,128.74401815846886
2014-05-06,0,0,3,0.0,128.80047183472487
2014-05-07,0,0,3,0.0,127.29542824833202
2014-05-08,0,0,3,0.0,127.86968810735343
2014-05-09,0,0,3,0.0,127.23347089043955
2014-05-12,0,0,3,0.0,127.16724185812404
2014-05-13,0,0,3,0.0,133.81572389552028
2014-05-14,0,0,3,0.0,134.4008011674625
2014-05-15,0,0,3,0.0,136.4117288015181
2014-05-16,0,0,3,0.0,141.8492721213501
2014-05-19,0,0,3,0.0,146.88258466376243
2014-05-20,0,0,3,0.0,152.8211816530207
2014-05-21,0,0,3,0.0,158.09449148934956
2014-05-22,0,0,3,0.0,161.35359932653856
2014-05-23,0,0,3,0.0,165.77264756168066
2014-05-26,0,0,3,0.0,163.63315651517058
2014-05-27,0,0,3,0.0,161.96853047899629
2014-05-28,0,0,3,0.0,161.79364063585848
2014-05-29,0,0,3,0.0,163.25656190898644
2014-05-30,0,0,3,0.0,171.76869322587282
2014-06-02,0,0,3,0.0,176.3668250958282
2014-06-03,0,0,3,0.0,181.3642253599204
2014-06-04,0,0,3,0.0,182.50480682379026
2014-06-05,0,0,3,0.0,182.619718153521
2014-06-06,0,0,3,0.0,182.33029255837124
2014-06-09,0,0,3,0.0,186.97078160720895
2014-06-10,0,0,3,0.0,191.84931126533272
2014-06-11,0,0,3,0.0,189.57808016513943
2014-06-12,0,0,3,0.0,194.83901502090526
2014-06-13,0,0,3,0.0,193.69932705700768
2014-06-16,0,0,3,0.0,198.6717555219619
2014-06-17,0,0,3,0.0,200.4763894760162
2014-06-18,0,0,3,0.0,205.5230368730702
2014-06-19,0,0,3,0.0,211.73055672545695
2014-06-20,0,0,3,0.0,205.15596680345044
2014-06-23,0,0,3,0.0,207.5152319590965
2014-06-24,0,0,3,0.0,214.37932199182174
2014-06-25,0,0,3,0.0,219.2967122187961
2014-06-26,0,0,3,0.0,219.9611857028912
2014-06-27,0,0,3,0.0,216.56220774954497
2014-06-30,0,0,3,0.0,223.18763643597595
2014-07-01,0,0,3,0.0,233.19434040838712
2014-07-02,0,0,3,0.0,233.56842358010934
2014-07-03,0,0,3,0.0,236.22979780689354
2014-07-04,0,0,3,0.0,237.04478389637953
2014-07-07,0,0,3,0.0,240.71789385821373
2014-07-08,0,0,3,0.0,228.14810584337755
2014-07-09,0,0,3,0.0,217.05757667439133
2014-07-10,0,0,3,0.0,213.30208200001252
2014-07-11,0,0,3,0.0,205.3247044309317
2014-07-14,0,0,3,0.0,199.88642226923918
2014-07-15,0,0,3,0.0,209.06261552143653
2014-07-16,0,0,3,0.0,215.88921345517292
2014-07-17,0,0,3,0.0,219.63729038452348
2014-07-18,0,0,3,0.0,219.3475920538718
2014-07-21,0,0,3,0.0,220.03791447001316
2014-07-22,0,0,3,0.0,219.9578916460982
2014-07-23,0,0,3,0.0,219.79352615984337
2014-07-24,0,0,3,0.0,217.95465626423828
2014-07-25,0,0,3,0.0,212.82078431033028
2014-07-28,0,0,3,0.0,208.4404091081549
2014-07-30,0,0,3,0.0,216.20846594807617
2014-07-31,0,0,3,0.0,217.7936999093908
2014-08-01,0,0,3,0.0,213.9243519261834
2014-08-04,0,0,3,0.0,216.30224995923518
2014-08-05,0,0,3,0.0,218.9644378449802
2014-08-06,0,0,3,0.0,221.1298322363504
2014-08-07,3,0,3,100.0,219.98089603824295
2014-08-08,3,0,3,100.0,217.23682224444917
2014-08-11,3,0,3,100.0,218.99098667556564
2014-08-12,3,0,3,100.0,217.21579344112865
2014-08-13,3,0,3,100.0,208.63695834373223
2014-08-14,3,0,3,100.0,211.17709323827665
2014-08-18,3,0,3,100.0,213.7557090972928
2014-08-19,3,0,3,100.0,215.8842773228001
2014-08-20,3,0,3,100.0,213.42221951955474
2014-08-21,3,0,3,100.0,212.5320499887492
2014-08-22,3,0,3,100.0,211.60137272805127
2014-08-25,3,0,3,100.0,207.50496816644778
2014-08-26,3,0,3,100.0,208.70578985750177
2014-08-27,3,0,3,100.0,228.17144016965307
2014-08-28,3,0,3,100.0,226.43340846781408
2014-09-01,3,0,3,100.0,228.0224887799979
2014-09-02,3,0,3,100.0,227.15113573888388
2014-09-03,3,0,3,100.0,224.30319332050192
2014-09-04,3,0,3,100.0,220.75914350510112
2014-09-05,3,0,3,100.0,225.56417469003188
2014-09-08,3,0,3,100.0,229.18524422057968
2014-09-09,3,0,3,100.0,231.95711905506013
2014-09-10,3,0,3,100.0,231.51065500652143
2014-09-11,3,0,3,100.0,238.27657255151604
2014-09-12,3,0,3,100.0,237.0044409353706
2014-09-15,3,0,3,100.0,238.02210380270492
2014-09-16,3,0,3,100.0,226.60786033977095
2014-09-17,3,0,3,100.0,233.96311109304025
2014-09-18,3,0,3,100.0,235.93876013185957
2014-09-19,3,0,3,100.0,235.42760039538857
2014-09-22,3,0,3,100.0,238.07247284791742
2014-09-23,3,0,3,100.0,231.16573894921615
2014-09-24,3,0,3,100.0,231.39373522618536
2014-09-25,3,0,3,100.0,221.9531698433519
2014-09-26,3,0,3,100.0,221.49090384934115
2014-09-29,3,0,3,100.0,225.14777553564141
2014-09-30,3,0,3,100.0,222.84569744313973
2014-10-01,3,0,3,100.0,224.4016833318993
2014-10-07,3,0,3,100.0,217.38834793929428
2014-10-08,3,0,3,100.0,224.11440687393687
2014-10-09,3,0,3,100.0,228.03667108977166
2014-10-10,3,0,3,100.0,223.7691041800969
2014-10-13,3,0,3,100.0,224.99976697690752
2014-10-14,3,0,3,100.0,223.9962895772707
2014-10-15,3,0,3,100.0,223.9962895772707
2014-10-16,3,0,3,100.0,221.2969964224527
2014-10-17,3,0,3,100.0,221.303717743639
2014-10-20,3,0,3,100.0,222.51097319096183
2014-10-21,3,0,3,100.0,223.4715117700616
2014-10-22,3,0,3,100.0,229.94655231896934
2014-10-27,3,0,3,100.0,233.3973586255814
2014-10-28,3,0,3,100.0,231.82918264894005
2014-10-29,3,0,3,100.0,232.88763869932484
2014-10-30,3,0,3,100.0,236.66065369936885
2014-10-31,3,0,3,100.0,241.352276110834
2014-11-03,3,0,3,100.0,241.8302537913247
