Date,Above,Below,Total,Percentage,Index_Close
2016-08-01,1,0,2,100.0,113.17465368807744
2016-08-02,1,0,2,100.0,112.73002086194137
2016-08-03,1,0,2,100.0,111.37019396306673
2016-08-04,1,0,2,100.0,110.10059526257594
2016-08-05,1,0,2,100.0,109.77684229674092
2016-08-08,1,0,2,100.0,109.11040022413874
2016-08-09,1,0,2,100.0,109.14573087778578
2016-08-10,1,0,2,100.0,108.8251027993609
2016-08-11,1,0,2,100.0,108.33807959546064
2016-08-12,1,0,2,100.0,110.91692470795861
2016-08-16,1,0,2,100.0,111.50372616848729
2016-08-17,1,0,2,100.0,110.87176807780273
2016-08-18,1,0,2,100.0,111.41394845124275
2016-08-19,1,0,2,100.0,111.59004987277213
2016-08-22,1,0,2,100.0,111.05921541706219
2016-08-23,1,0,2,100.0,110.39483591847015
2016-08-24,1,0,2,100.0,110.79700147864455
2016-08-25,1,0,2,100.0,110.54499120483644
2016-08-26,1,0,2,100.0,109.51588210591837
2016-08-29,1,0,2,100.0,111.76852331465071
2016-08-30,1,0,2,100.0,119.2928215385934
2016-08-31,1,0,2,100.0,125.7181797400334
2016-09-01,1,0,2,100.0,124.53422806350582
2016-09-02,1,0,2,100.0,131.96678757001925
2016-09-06,1,0,2,100.0,128.69824131647113
2016-09-07,1,0,2,100.0,128.648937114712
2016-09-08,1,0,2,100.0,128.17649053665488
2016-09-09,1,0,2,100.0,129.46876124144245
2016-09-12,1,0,2,100.0,128.75029601401224
2016-09-14,1,0,2,100.0,127.08475717737866
2016-09-15,1,0,2,100.0,127.36728273623082
2016-09-16,1,0,2,100.0,134.6946542519672
2016-09-19,1,0,2,100.0,137.0864398593717
2016-09-20,1,0,2,100.0,133.79248767501386
2016-09-21,1,0,2,100.0,132.94392407664984
2016-09-22,1,0,2,100.0,131.96509635309704
2016-09-23,1,0,2,100.0,130.48102558495455
2016-09-26,1,0,2,100.0,131.40169047532225
2016-09-27,1,0,2,100.0,132.01003951049722
2016-09-28,1,0,2,100.0,130.36872061551924
2016-09-29,1,0,2,100.0,124.83490274201996
2016-09-30,1,0,2,100.0,124.82036239125117
2016-10-03,1,0,2,100.0,125.80163616183732
2016-10-04,1,0,2,100.0,126.14452836976402
2016-10-05,1,0,2,100.0,125.4707992526396
2016-10-06,1,0,2,100.0,124.81219847405644
2016-10-07,1,0,2,100.0,123.96206054598684
2016-10-10,1,0,2,100.0,124.47513048446666
2016-10-13,1,0,2,100.0,122.40380840895068
2016-10-14,1,0,2,100.0,123.75412482717083
2016-10-17,1,0,2,100.0,124.4291164034501
2016-10-18,1,0,2,100.0,127.72246376782601
