Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,6,0,7,100.0,187.06934785949755
2014-08-08,6,0,7,100.0,184.71548455309218
2014-08-11,6,0,7,100.0,186.79864771928257
2014-08-12,6,0,7,100.0,189.04500004357055
2014-08-13,6,0,7,100.0,188.24181756747564
2014-08-14,6,0,7,100.0,189.70187080496189
2014-08-18,6,0,7,100.0,192.88796479215299
2014-08-19,7,0,7,100.0,197.04215989665744
2014-08-20,7,0,7,100.0,197.9627968613504
2014-08-21,7,0,7,100.0,200.682483247093
2014-08-22,7,0,7,100.0,200.88299064744638
2014-08-25,7,0,7,100.0,201.10545202046916
2014-08-26,7,0,7,100.0,204.60593131502614
2014-08-27,7,0,7,100.0,208.15910428889927
2014-08-28,7,0,7,100.0,209.14008197702336
2014-09-01,7,0,7,100.0,214.74109744211108
2014-09-02,7,0,7,100.0,218.39579045071162
2014-09-03,7,0,7,100.0,220.15975708104799
2014-09-04,7,0,7,100.0,225.46842996723234
2014-09-05,7,0,7,100.0,224.57184330786123
2014-09-08,7,0,7,100.0,226.92821416335684
2014-09-09,7,0,7,100.0,226.08626611706302
2014-09-10,7,0,7,100.0,225.3083216921519
2014-09-11,7,0,7,100.0,230.9274780806872
2014-09-12,7,0,7,100.0,233.3819994071002
2014-09-15,7,0,7,100.0,235.00175318677904
2014-09-16,7,0,7,100.0,230.235785703953
2014-09-17,7,0,7,100.0,233.1430135543148
2014-09-18,7,0,7,100.0,241.51356359266737
2014-09-19,7,0,7,100.0,239.88731666049173
2014-09-22,7,0,7,100.0,244.01827605995155
2014-09-23,7,0,7,100.0,242.32461052589653
2014-09-24,7,0,7,100.0,240.1321614627916
2014-09-25,7,0,7,100.0,236.327151651129
2014-09-26,7,0,7,100.0,238.34450196318366
2014-09-29,7,0,7,100.0,238.8922137483374
2014-09-30,7,0,7,100.0,239.78399974147692
2014-10-01,7,0,7,100.0,241.10082935476208
2014-10-07,7,0,7,100.0,236.7300027855752
2014-10-08,7,0,7,100.0,235.5919023377408
2014-10-09,7,0,7,100.0,239.6007068654385
2014-10-10,7,0,7,100.0,236.69781583343564
2014-10-13,7,0,7,100.0,240.9560511630301
2014-10-14,7,0,7,100.0,242.25975868469072
2014-10-16,7,0,7,100.0,236.79162991794863
2014-10-17,7,0,7,100.0,239.99309065807267
2014-10-20,7,0,7,100.0,243.6179521499525
2014-10-21,7,0,7,100.0,244.28921417461123
2014-10-22,7,0,7,100.0,249.88438101193145
2014-10-23,7,0,7,100.0,251.66969003155893
2014-10-27,7,0,7,100.0,248.4453348005792
2014-10-28,7,0,7,100.0,248.73025978858058
2014-10-29,7,0,7,100.0,251.55996421257737
2014-10-30,7,0,7,100.0,252.77457317265285
2014-10-31,7,0,7,100.0,256.10554223670437
2014-11-03,7,0,7,100.0,255.32614850003208
2014-11-05,7,0,7,100.0,254.17974046593176
2014-11-07,7,0,7,100.0,252.25741839951357
2014-11-10,7,0,7,100.0,249.51394938444938
2014-11-11,7,0,7,100.0,251.80389400509654
2014-11-12,7,0,7,100.0,257.02464175131666
2014-11-13,7,0,7,100.0,254.0525564183661
2014-11-14,7,0,7,100.0,251.15591403020767
2014-11-17,7,0,7,100.0,251.29496628298676
2014-11-18,7,0,7,100.0,251.01992354885988
2014-11-19,7,0,7,100.0,247.32062340009412
2014-11-20,7,0,7,100.0,245.31849710639636
2014-11-21,7,0,7,100.0,245.51007444887983
2014-11-24,7,0,7,100.0,244.2200754030785
2014-11-25,7,0,7,100.0,238.51174789337426
2014-11-26,7,0,7,100.0,240.17816458388396
2014-11-27,7,0,7,100.0,243.05695703449297
2014-11-28,7,0,7,100.0,244.89967208918836
2014-12-01,7,0,7,100.0,245.41497442160244
2014-12-02,7,0,7,100.0,243.016538964025
2014-12-03,7,0,7,100.0,244.66479945546658
2014-12-04,7,0,7,100.0,244.91484987187263
2014-12-05,7,0,7,100.0,242.26447087082857
2014-12-08,7,0,7,100.0,238.61154365282138
2014-12-09,7,0,7,100.0,236.47096228566977
2014-12-10,7,0,7,100.0,239.31018599336414
2014-12-11,7,0,7,100.0,238.12909820157859
2014-12-12,7,0,7,100.0,238.9994083607422
2014-12-15,7,0,7,100.0,238.8071718825799
2014-12-16,7,0,7,100.0,233.4605150745467
2014-12-17,7,0,7,100.0,228.56928806507392
2014-12-18,7,0,7,100.0,236.29584961967564
2014-12-19,7,0,7,100.0,235.10820502810193
2014-12-22,7,0,7,100.0,234.94960361243912
2014-12-23,7,0,7,100.0,232.23118930977265
2014-12-24,7,0,7,100.0,231.99207729479392
2014-12-26,7,0,7,100.0,235.79494969312483
2014-12-29,7,0,7,100.0,241.3463035075891
2014-12-30,7,0,7,100.0,241.96111374769615
2014-12-31,7,0,7,100.0,244.41816207159187
