Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,98.64253033722508
2014-01-03,0,0,0,0.0,100.90497614288532
2014-01-06,0,0,0,0.0,104.07240898832475
2014-01-07,0,0,0,0.0,109.04977232574696
2014-01-08,0,0,0,0.0,111.53847033979893
2014-01-09,0,0,0,0.0,109.72851805402833
2014-01-10,0,0,0,0.0,115.61085753433585
2014-01-13,0,0,0,0.0,120.588231768652
2014-01-14,0,0,0,0.0,125.33937558836416
2014-01-15,0,0,0,0.0,119.23077300277099
2014-01-16,0,0,0,0.0,120.588231768652
2014-01-17,0,0,0,0.0,113.12218131407172
2014-01-20,0,0,0,0.0,117.42082071700042
2014-01-21,0,0,0,0.0,117.19456850860865
2014-01-22,0,0,0,0.0,117.64705113160436
2014-01-23,0,0,0,0.0,118.09954465149397
2014-01-24,0,0,0,0.0,114.02715745695706
2014-01-27,0,0,0,0.0,108.59728970275131
2014-01-28,0,0,0,0.0,107.01357872847854
2014-01-29,0,0,0,0.0,102.03617180348066
2014-01-30,0,0,0,0.0,105.88233948030756
2014-01-31,0,0,0,0.0,109.72851805402838
2014-02-03,0,0,0,0.0,114.253387871561
2014-02-04,0,0,0,0.0,112.66967689728827
2014-02-05,0,0,0,0.0,114.47962918305885
2014-02-06,0,0,0,0.0,112.89592910568001
2014-02-07,0,0,0,0.0,117.42082071700044
2014-02-10,0,0,0,0.0,117.87331423689007
2014-02-11,0,0,0,0.0,123.98188413180154
2014-02-12,0,0,0,0.0,125.33937558836428
2014-02-13,0,0,0,0.0,126.69682345735136
2014-02-14,0,0,0,0.0,131.44794548327573
2014-02-17,0,0,0,0.0,133.25791956283416
2014-02-18,0,0,0,0.0,130.76924334257
2014-02-19,0,0,0,0.0,128.28052353473018
2014-02-20,0,0,0,0.0,125.56558420918036
2014-02-21,0,0,0,0.0,126.69682345735134
2014-02-24,0,0,0,0.0,125.1131124830786
2014-02-25,0,0,0,0.0,122.85066667741837
2014-02-26,0,0,0,0.0,126.01811041975175
2014-02-28,0,0,0,0.0,127.37555828873883
2014-03-03,0,0,0,0.0,124.20813634019329
2014-03-04,0,0,0,0.0,126.47059304274744
2014-03-05,0,0,0,0.0,128.73302795151375
2014-03-06,0,0,0,0.0,127.37555828873882
2014-03-07,0,0,0,0.0,122.85066667741837
2014-03-10,0,0,0,0.0,124.66064075697683
2014-03-11,0,0,0,0.0,123.52941240569974
2014-03-12,0,0,0,0.0,121.9457123283209
2014-03-13,0,0,0,0.0,119.9094969372646
2014-03-14,0,0,0,0.0,118.099544651494
2014-03-18,0,0,0,0.0,117.1945685086087
2014-03-19,0,0,0,0.0,122.17193184603093
2014-03-20,0,0,0,0.0,121.26695570314563
2014-03-21,0,0,0,0.0,121.04071439164778
2014-03-24,0,0,0,0.0,119.2307730027711
2014-03-25,0,0,0,0.0,117.42082071700048
2014-03-26,0,0,0,0.0,118.77826858598755
2014-03-27,0,0,0,0.0,118.32579685988578
2014-03-28,0,0,0,0.0,116.28960326261732
2014-03-31,0,0,0,0.0,114.25338787156105
2014-04-01,0,0,0,0.0,120.13574914565639
2014-04-02,0,0,0,0.0,123.75565371719762
2014-04-03,0,0,0,0.0,126.92307566574313
2014-04-04,0,0,0,0.0,128.2805235347302
2014-04-07,0,0,0,0.0,124.88687117158075
2014-04-09,0,0,0,0.0,124.20813634019329
2014-04-10,0,0,0,0.0,120.81447308014992
2014-04-11,0,0,0,0.0,121.71943832614132
2014-04-15,0,0,0,0.0,126.69682345735136
2014-04-16,0,0,0,0.0,125.33937558836428
2014-04-17,0,0,0,0.0,128.2805235347302
2014-04-21,0,0,0,0.0,130.3167389257865
2014-04-22,0,0,0,0.0,135.52035447160048
2014-04-23,0,0,0,0.0,136.65158282287754
2014-04-24,0,0,0,0.0,136.65158282287754
2014-04-25,0,0,0,0.0,138.687776420146
2014-04-28,0,0,0,0.0,145.02262031723706
2014-04-29,0,0,0,0.0,152.48869256560516
2014-04-30,0,0,0,0.0,144.3438963827435
2014-05-02,0,0,0,0.0,148.19004226578255
2014-05-05,0,0,0,0.0,130.31673892578647
2014-05-06,0,0,0,0.0,130.76924334257004
2014-05-07,0,0,0,0.0,130.76924334257004
2014-05-08,0,0,0,0.0,133.93665439422165
2014-05-09,0,0,0,0.0,135.52035447160048
2014-05-12,0,0,0,0.0,129.8642563027908
2014-05-13,0,0,0,0.0,131.44794548327573
2014-05-14,0,0,0,0.0,129.63800409439904
2014-05-15,0,0,0,0.0,130.0904976142887
2014-05-16,0,0,0,0.0,125.79184731446608
2014-05-19,0,0,0,0.0,117.64705113160443
2014-05-20,0,0,0,0.0,126.47059304274745
2014-05-21,0,0,0,0.0,135.97284799149008
2014-05-22,0,0,0,0.0,141.85520926558544
2014-05-23,0,0,0,0.0,139.1402699400356
2014-05-26,0,0,0,0.0,133.25791956283416
2014-05-27,0,0,0,0.0,138.91401773164384
2014-05-28,0,0,0,0.0,143.89139196596
2014-05-29,0,0,0,0.0,141.85520926558547
2014-05-30,0,0,0,0.0,143.66516155135605
2014-06-02,0,0,0,0.0,142.53392230318508
2014-06-03,0,0,0,0.0,151.3574642143281
2014-06-04,0,0,0,0.0,151.58370552582593
2014-06-05,0,0,0,0.0,149.77375324005533
2014-06-06,0,0,0,0.0,146.6063312915098
2014-06-09,0,0,0,0.0,151.80996863111162
2014-06-10,0,0,0,0.0,157.6922972145252
2014-06-11,0,0,0,0.0,160.18102791925898
2014-06-12,0,0,0,0.0,157.91856031981092
2014-06-13,0,0,0,0.0,156.3348275517503
2014-06-16,0,0,0,0.0,163.1221867625188
2014-06-17,0,0,0,0.0,166.28961960795823
2014-06-18,0,0,0,0.0,165.6108411889951
2014-06-19,0,0,0,0.0,169.45703065960984
2014-06-20,0,0,0,0.0,179.6379986459521
2014-06-23,0,0,0,0.0,178.7330333999607
2014-06-24,0,0,0,0.0,176.9230702172962
2014-06-25,0,0,0,0.0,175.79184186601915
2014-06-26,0,0,0,0.0,177.37556373718584
2014-06-27,0,0,0,0.0,180.31672258044568
2014-06-30,0,0,0,0.0,185.74657943775753
2014-07-01,0,0,0,0.0,180.31672258044568
2014-07-02,0,0,0,0.0,181.44794003482886
2014-07-03,0,0,0,0.0,176.69680711201056
2014-07-04,0,0,0,0.0,176.69680711201056
2014-07-07,0,0,0,0.0,183.93664894577475
2014-07-08,0,0,0,0.0,177.37556373718587
2014-07-09,0,0,0,0.0,172.17191550069012
2014-07-10,0,0,0,0.0,173.98186778646075
2014-07-11,0,0,0,0.0,164.02716290540417
2014-07-14,0,0,0,0.0,161.76471709974393
2014-07-15,0,0,0,0.0,173.98186778646075
2014-07-16,0,0,0,0.0,183.2579032174934
2014-07-17,0,0,0,0.0,180.76921610033534
2014-07-18,0,0,0,0.0,178.05427677478548
2014-07-21,0,0,0,0.0,178.5067702946751
2014-07-22,0,0,0,0.0,177.37556373718587
2014-07-23,0,0,0,0.0,176.92307021729624
2014-07-24,0,0,0,0.0,175.56560055452135
2014-07-25,0,0,0,0.0,168.77828493132853
2014-07-28,0,0,0,0.0,170.81446763170308
2014-07-30,0,0,0,0.0,174.66062441163606
2014-07-31,0,0,0,0.0,174.20811999485252
2014-08-01,0,0,0,0.0,168.3257914114389
2014-08-04,0,0,0,0.0,172.398156812188
2014-08-05,0,0,0,0.0,177.37556373718587
2014-08-06,0,0,0,0.0,179.4117464375604
2014-08-07,1,0,1,100.0,173.52938516346507
2014-08-08,1,0,1,100.0,176.01808317751707
2014-08-11,1,0,1,100.0,172.17191550069015
2014-08-12,1,0,1,100.0,172.17191550069015
2014-08-13,1,0,1,100.0,164.02716290540417
2014-08-14,1,0,1,100.0,168.32579141143893
2014-08-18,1,0,1,100.0,171.49322425687836
2014-08-19,1,0,1,100.0,172.398156812188
2014-08-20,1,0,1,100.0,172.6244417112615
2014-08-21,1,0,1,100.0,170.58824811399305
2014-08-22,1,0,1,100.0,169.23076755432422
2014-08-25,1,0,1,100.0,170.3619850087074
2014-08-26,1,0,1,100.0,171.2669720484866
2014-08-27,1,0,1,100.0,167.42083706234146
2014-08-28,1,0,1,100.0,168.77828493132853
2014-09-01,1,0,1,100.0,169.23076755432425
2014-09-02,1,0,1,100.0,169.00452624282642
2014-09-03,1,0,1,100.0,177.8280572570755
2014-09-04,1,0,1,100.0,175.3393374492357
2014-09-05,1,0,1,100.0,178.50677029467514
2014-09-08,1,0,1,100.0,180.99546830872714
2014-09-09,1,0,1,100.0,192.76016906313004
2014-09-10,1,0,1,100.0,193.8913974144071
2014-09-11,1,0,1,100.0,192.30766464634647
2014-09-12,1,0,1,100.0,191.85520381713863
2014-09-15,1,0,1,100.0,189.3664840092988
2014-09-16,1,0,1,100.0,178.95926381456476
2014-09-17,1,0,1,100.0,176.69680711201062
2014-09-18,1,0,1,100.0,186.65158827132464
2014-09-19,1,0,1,100.0,192.98638858084004
2014-09-22,1,0,1,100.0,195.9275692178877
2014-09-23,1,0,1,100.0,189.3664840092988
2014-09-24,1,0,1,100.0,183.9366489457748
2014-09-25,1,0,1,100.0,172.398156812188
2014-09-26,1,0,1,100.0,175.56560055452138
2014-09-29,1,0,1,100.0,180.31672258044574
2014-09-30,1,0,1,100.0,182.12666396932244
2014-10-01,1,0,1,100.0,186.6515882713246
2014-10-07,1,0,1,100.0,186.1990838545411
2014-10-08,1,0,1,100.0,179.86425085434396
2014-10-09,1,0,1,100.0,183.93664894577478
2014-10-10,1,0,1,100.0,180.7692161003353
2014-10-13,1,0,1,100.0,183.4841663227791
2014-10-14,1,0,1,100.0,182.80544238828554
2014-10-15,1,0,1,100.0,182.80544238828554
2014-10-16,1,0,1,100.0,177.8280572570755
2014-10-17,1,0,1,100.0,177.60180504868376
2014-10-20,1,0,1,100.0,179.86425085434394
2014-10-21,1,0,1,100.0,179.86425085434394
2014-10-22,1,0,1,100.0,180.09051395962962
2014-10-27,1,0,1,100.0,177.1493115287941
2014-10-28,1,0,1,100.0,174.88689841381563
2014-10-29,1,0,1,100.0,171.2669720484866
2014-10-30,1,0,1,100.0,172.6244417112615
2014-10-31,1,0,1,100.0,176.47057669740664
2014-11-03,1,0,1,100.0,177.8280572570755
2014-11-05,1,0,1,100.0,176.92307021729624
2014-11-07,1,0,1,100.0,187.55655351731596
2014-11-10,1,0,1,100.0,191.17647988264503
2014-11-11,1,0,1,100.0,180.99546830872708
2014-11-12,1,0,1,100.0,180.09051395962962
2014-11-13,1,0,1,100.0,180.09051395962962
2014-11-14,1,0,1,100.0,180.99546830872708
2014-11-17,1,0,1,100.0,174.66062441163604
2014-11-18,1,0,1,100.0,175.33933744923567
2014-11-19,1,0,1,100.0,173.52938516346507
2014-11-20,1,0,1,100.0,173.3031438519672
2014-11-21,1,0,1,100.0,168.77828493132853
2014-11-24,1,0,1,100.0,164.2533933200081
2014-11-25,1,0,1,100.0,159.95474302018548
2014-11-26,1,0,1,100.0,158.59728425430447
2014-11-27,1,0,1,100.0,159.049788671088
2014-11-28,1,0,1,100.0,158.59728425430447
2014-12-01,1,0,1,100.0,156.56107976014212
2014-12-02,0,1,1,0.0,152.26245125410736
2014-12-03,1,0,1,100.0,169.6832501773199
2014-12-04,1,0,1,100.0,169.90949148881776
2014-12-05,1,0,1,100.0,166.5158391256683
2014-12-08,1,0,1,100.0,159.27600818879804
2014-12-09,1,0,1,100.0,159.72850170868767
2014-12-10,0,1,1,0.0,157.46605590302744
2014-12-11,0,1,1,0.0,156.10858624025255
2014-12-12,0,1,1,0.0,153.6199100199884
2014-12-15,0,1,1,0.0,151.8099686311117
2014-12-16,0,1,1,0.0,150.67872938294073
2014-12-17,0,1,1,0.0,145.24886162873497
2014-12-18,0,1,1,0.0,154.97736878586937
2014-12-19,0,1,1,0.0,151.8099686311117
2014-12-22,0,1,1,0.0,150.6787293829407
2014-12-23,0,1,1,0.0,147.28507701979126
2014-12-24,0,1,1,0.0,148.64252488877833
2014-12-26,0,1,1,0.0,153.84614043459231
2014-12-29,0,1,1,0.0,152.94117518860094
2014-12-30,0,1,1,0.0,152.48869256560525
2014-12-31,0,1,1,0.0,157.01357328003175
2015-01-01,0,1,1,0.0,158.3710538397006
2015-01-02,0,1,1,0.0,159.50227129408376
2015-01-05,0,1,1,0.0,157.2398036946357
2015-01-06,0,1,1,0.0,157.2398036946357
2015-01-07,0,1,1,0.0,157.2398036946357
2015-01-08,0,1,1,0.0,157.2398036946357
2015-01-09,0,1,1,0.0,157.2398036946357
2015-01-12,0,1,1,0.0,157.2398036946357
2015-01-13,0,1,1,0.0,157.2398036946357
2015-01-14,0,1,1,0.0,157.2398036946357
2015-01-15,0,1,1,0.0,157.2398036946357
2015-01-16,0,1,1,0.0,157.2398036946357
2015-01-19,0,1,1,0.0,157.2398036946357
2015-01-20,0,1,1,0.0,157.2398036946357
2015-01-21,0,1,1,0.0,157.2398036946357
2015-01-22,0,1,1,0.0,157.2398036946357
2015-01-23,0,1,1,0.0,157.2398036946357
2015-01-27,0,1,1,0.0,157.2398036946357
2015-01-28,0,1,1,0.0,157.2398036946357
2015-01-29,0,1,1,0.0,157.2398036946357
2015-01-30,0,1,1,0.0,157.2398036946357
2015-02-02,0,1,1,0.0,157.2398036946357
2015-02-03,0,1,1,0.0,157.2398036946357
2015-02-04,0,1,1,0.0,157.2398036946357
2015-02-05,0,1,1,0.0,157.2398036946357
2015-02-06,0,1,1,0.0,157.2398036946357
2015-02-09,0,1,1,0.0,157.2398036946357
2015-02-10,0,1,1,0.0,157.2398036946357
2015-02-11,0,1,1,0.0,157.2398036946357
2015-02-12,0,1,1,0.0,157.2398036946357
2015-02-13,0,1,1,0.0,157.2398036946357
2015-02-16,0,1,1,0.0,157.2398036946357
2015-02-18,0,1,1,0.0,157.2398036946357
2015-02-19,0,1,1,0.0,157.2398036946357
2015-02-20,0,1,1,0.0,157.2398036946357
2015-02-23,0,1,1,0.0,157.2398036946357
2015-02-24,0,1,1,0.0,157.2398036946357
2015-02-25,0,1,1,0.0,157.2398036946357
2015-02-26,0,1,1,0.0,157.2398036946357
2015-02-27,0,1,1,0.0,157.2398036946357
2015-03-02,0,1,1,0.0,157.2398036946357
2015-03-03,0,1,1,0.0,157.2398036946357
2015-03-04,0,1,1,0.0,157.2398036946357
2015-03-05,0,1,1,0.0,157.2398036946357
2015-03-09,0,1,1,0.0,157.2398036946357
