Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,8,0.0,100.0
2014-01-02,0,0,8,0.0,98.25285208528105
2014-01-03,0,0,8,0.0,98.44346386585308
2014-01-06,0,0,8,0.0,98.98349660247783
2014-01-07,0,0,8,0.0,98.84691052034657
2014-01-08,0,0,8,0.0,99.18930505159592
2014-01-09,0,0,8,0.0,98.08463148089278
2014-01-10,0,0,8,0.0,98.31902853488891
2014-01-13,0,0,8,0.0,97.97129223767992
2014-01-14,0,0,8,0.0,97.7881520954935
2014-01-15,0,0,8,0.0,97.4679530392572
2014-01-16,0,0,8,0.0,96.6852940013628
2014-01-17,0,0,8,0.0,97.10796440951431
2014-01-20,0,0,8,0.0,97.44722978129347
2014-01-21,0,0,8,0.0,97.04971202919626
2014-01-22,0,0,8,0.0,96.55483982018251
2014-01-23,0,0,8,0.0,95.89119971203341
2014-01-24,0,0,8,0.0,94.99810666213318
2014-01-27,0,0,8,0.0,94.3552502768606
2014-01-28,0,0,8,0.0,95.17463314568822
2014-01-29,0,0,8,0.0,96.02420518726325
2014-01-30,0,0,8,0.0,95.27296213529955
2014-01-31,0,0,8,0.0,96.64398152309384
2014-02-03,0,0,8,0.0,95.52841180041746
2014-02-04,0,0,8,0.0,95.89319621992057
2014-02-05,0,0,8,0.0,96.22674338539487
2014-02-06,0,0,8,0.0,97.12227822367086
2014-02-07,0,0,8,0.0,96.98822762128995
2014-02-10,0,0,8,0.0,96.79121297385699
2014-02-11,0,0,8,0.0,96.94355501936711
2014-02-12,0,0,8,0.0,97.1189239508861
2014-02-13,0,0,8,0.0,96.4352862163661
2014-02-14,0,0,8,0.0,96.95629537195656
2014-02-17,0,0,8,0.0,96.88395539571263
2014-02-18,0,0,8,0.0,96.83759657916833
2014-02-19,0,0,8,0.0,97.00178477519565
2014-02-20,0,0,8,0.0,96.65953338883524
2014-02-21,0,0,8,0.0,97.43788233366986
2014-02-24,0,0,8,0.0,97.04441343300498
2014-02-25,0,0,8,0.0,97.31055161670452
2014-02-26,0,0,8,0.0,96.80273549766338
2014-02-28,0,0,8,0.0,96.6337426901151
2014-03-03,0,0,8,0.0,95.626823301971
2014-03-04,0,0,8,0.0,96.02954270818607
2014-03-05,0,0,8,0.0,96.09602206995567
2014-03-06,0,0,8,0.0,96.10210608594268
2014-03-07,0,0,8,0.0,96.1282870802418
2014-03-10,0,0,8,0.0,95.39320833477275
2014-03-11,0,0,8,0.0,95.38616598348388
2014-03-12,0,0,8,0.0,95.67415284658077
2014-03-13,0,0,8,0.0,95.17296710808594
2014-03-14,0,0,8,0.0,95.07703300989552
2014-03-18,0,0,8,0.0,96.2271998184847
2014-03-19,0,0,8,0.0,97.32904856111469
2014-03-20,0,0,8,0.0,97.4047901060077
2014-03-21,0,0,8,0.0,97.79487052118566
2014-03-24,0,0,8,0.0,97.64672552247073
2014-03-25,0,0,8,0.0,97.6299443122102
2014-03-26,0,0,8,0.0,97.84600416633039
2014-03-27,0,0,8,0.0,98.55797971879936
2014-03-28,0,0,8,0.0,99.8589687764711
2014-03-31,0,0,8,0.0,100.77744140722287
2014-04-01,0,0,8,0.0,101.24871693180961
2014-04-02,0,0,8,0.0,100.50895070932899
2014-04-03,0,0,8,0.0,100.78689238934673
2014-04-04,0,0,8,0.0,100.34284179475992
2014-04-07,0,0,8,0.0,100.40343680695014
2014-04-09,0,0,8,0.0,101.4212794746933
2014-04-10,0,0,8,0.0,101.69978065760976
2014-04-11,0,0,8,0.0,101.60884727494583
2014-04-15,0,0,8,0.0,100.7423178642113
2014-04-16,0,0,8,0.0,100.45935172258753
2014-04-17,0,0,8,0.0,100.8242827227835
2014-04-21,0,0,8,0.0,100.44200269873298
2014-04-22,0,0,8,0.0,100.6923691536912
2014-04-23,0,0,8,0.0,100.71730447002807
2014-04-24,0,0,8,0.0,100.71730447002807
2014-04-25,0,0,8,0.0,99.86990019486124
2014-04-28,0,0,8,0.0,99.38995497851914
2014-04-29,0,0,8,0.0,98.32057073466646
2014-04-30,0,0,8,0.0,98.73180303241634
2014-05-02,0,0,8,0.0,99.30797720831318
2014-05-05,0,0,8,0.0,99.79078284678008
