Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,96.95750539677867
2014-01-03,0,0,0,0.0,94.90520310674
2014-01-06,0,0,0,0.0,94.316890886185
2014-01-07,0,0,0,0.0,92.78905312849398
2014-01-08,0,0,0,0.0,93.74899965168288
2014-01-09,0,0,0,0.0,94.3498334905937
2014-01-10,0,0,0,0.0,92.56801800529125
2014-01-13,0,0,0,0.0,92.83534066150676
2014-01-14,0,0,0,0.0,92.4396801740385
2014-01-15,0,0,0,0.0,93.35849099449496
2014-01-16,0,0,0,0.0,93.58995928154444
2014-01-17,0,0,0,0.0,93.0890648165652
2014-01-20,0,0,0,0.0,92.93267964590267
2014-01-21,0,0,0,0.0,92.21152528387428
2014-01-22,0,0,0,0.0,92.41795837863752
2014-01-23,0,0,0,0.0,92.59288407800997
2014-01-24,0,0,0,0.0,91.18647117510861
2014-01-27,0,0,0,0.0,87.67389173199126
2014-01-28,0,0,0,0.0,87.44470390019472
2014-01-29,0,0,0,0.0,87.73616830746982
2014-01-30,0,0,0,0.0,87.41494277640741
2014-01-31,0,0,0,0.0,89.19339747767403
2014-02-03,0,0,0,0.0,88.59527441622322
2014-02-04,0,0,0,0.0,88.71946995277091
2014-02-05,0,0,0,0.0,90.06691394126881
2014-02-06,0,0,0,0.0,91.46173578672276
2014-02-07,0,0,0,0.0,91.64639151899996
2014-02-10,0,0,0,0.0,91.65292001269569
2014-02-11,0,0,0,0.0,90.889621468734
2014-02-12,0,0,0,0.0,90.83560314605194
2014-02-13,0,0,0,0.0,89.50091496644727
2014-02-14,0,0,0,0.0,91.09206474398316
2014-02-17,0,0,0,0.0,92.98739451411143
2014-02-18,0,0,0,0.0,94.2616671221066
2014-02-19,0,0,0,0.0,94.36448064718815
2014-02-20,0,0,0,0.0,94.48142561123102
2014-02-21,0,0,0,0.0,95.02625470843695
2014-02-24,0,0,0,0.0,93.87347994267417
