Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,5,0,5,100.0,141.5502133769918
2014-08-08,5,0,5,100.0,139.483543677554
2014-08-11,5,0,5,100.0,140.2026337237383
2014-08-12,5,0,5,100.0,137.5579186078456
2014-08-13,5,0,5,100.0,138.27707501009746
2014-08-14,5,0,5,100.0,136.23783373510034
2014-08-18,5,0,5,100.0,135.89814347649187
2014-08-19,5,0,5,100.0,139.3897636969892
2014-08-20,5,0,5,100.0,140.6423454440089
2014-08-21,5,0,5,100.0,144.75060085005282
2014-08-22,5,0,5,100.0,146.7597614586177
2014-08-25,5,0,5,100.0,145.97413377286637
2014-08-26,5,0,5,100.0,145.63209193651096
2014-08-27,5,0,5,100.0,150.48963069901936
2014-08-28,5,0,5,100.0,156.299842944668
2014-09-01,5,0,5,100.0,155.0324446603114
2014-09-02,5,0,5,100.0,152.85537045922302
2014-09-03,5,0,5,100.0,155.67495781539364
2014-09-04,5,0,5,100.0,157.38422611195057
2014-09-05,5,0,5,100.0,162.08190790920892
2014-09-08,5,0,5,100.0,159.39021379706156
2014-09-09,5,0,5,100.0,158.32373819689607
2014-09-10,5,0,5,100.0,157.33563936254083
2014-09-11,5,0,5,100.0,158.5405982654392
2014-09-12,5,0,5,100.0,158.23818358224807
2014-09-15,5,0,5,100.0,158.03777836211628
2014-09-16,5,0,5,100.0,152.62068196479754
2014-09-17,5,0,5,100.0,150.8912045140535
2014-09-18,5,0,5,100.0,155.15614357865422
2014-09-19,5,0,5,100.0,152.36340947663103
2014-09-22,5,0,5,100.0,153.7964885353665
2014-09-23,5,0,5,100.0,152.1500376917664
2014-09-24,5,0,5,100.0,148.9521135155408
2014-09-25,5,0,5,100.0,148.336036256617
2014-09-26,5,0,5,100.0,148.30298079469367
2014-09-29,5,0,5,100.0,152.83869328827993
2014-09-30,5,0,5,100.0,154.00045512688249
2014-10-01,5,0,5,100.0,151.00654103595426
2014-10-07,5,0,5,100.0,150.05293547323149
2014-10-08,5,0,5,100.0,150.56095557115273
2014-10-09,5,0,5,100.0,151.09870672854967
2014-10-10,5,0,5,100.0,150.79691104653918
2014-10-13,5,0,5,100.0,148.6503532104474
2014-10-14,5,0,5,100.0,150.26554396651977
2014-10-16,5,0,5,100.0,148.1275561619979
2014-10-17,5,0,5,100.0,146.43516073965455
2014-10-20,5,0,5,100.0,148.9737646464746
2014-10-21,5,0,5,100.0,148.34524374482262
2014-10-22,5,0,5,100.0,149.1252941444573
2014-10-23,5,0,5,100.0,149.4068617509184
2014-10-27,5,0,5,100.0,148.94566182577702
2014-10-28,5,0,5,100.0,151.23690623873057
2014-10-29,5,0,5,100.0,152.58549010295997
2014-10-30,5,0,5,100.0,151.6037955393595
2014-10-31,5,0,5,100.0,151.24339985768313
2014-11-03,5,0,5,100.0,151.80915948833112
2014-11-05,5,0,5,100.0,152.98724726926773
2014-11-07,5,0,5,100.0,151.67075960848842
2014-11-10,5,0,5,100.0,151.19556396302778
2014-11-11,5,0,5,100.0,151.5488619988297
2014-11-12,5,0,5,100.0,150.8162388956778
2014-11-13,5,0,5,100.0,148.33668691059617
2014-11-14,5,0,5,100.0,149.08893120455048
2014-11-17,5,0,5,100.0,149.85894296334214
2014-11-18,5,0,5,100.0,150.75659498646374
2014-11-19,5,0,5,100.0,150.2704238112962
2014-11-20,5,0,5,100.0,149.42608066645778
2014-11-21,4,1,5,80.0,151.55195021656846
2014-11-24,4,1,5,80.0,151.2387386153853
2014-11-25,4,1,5,80.0,147.7470542449009
2014-11-26,4,1,5,80.0,146.59815050019895
2014-11-27,4,1,5,80.0,147.63975986963496
2014-11-28,4,1,5,80.0,149.3110374794689
2014-12-01,4,1,5,80.0,153.36915594290096
2014-12-02,4,1,5,80.0,161.85389473172737
2014-12-03,5,0,5,100.0,167.96064730787003
2014-12-04,4,1,5,80.0,166.41166323271437
2014-12-05,4,1,5,80.0,169.0333597795464
2014-12-08,4,1,5,80.0,165.60272534612133
2014-12-09,4,1,5,80.0,161.12584201006206
2014-12-10,4,1,5,80.0,161.2149278993654
2014-12-11,4,1,5,80.0,158.889031004003
2014-12-12,4,1,5,80.0,154.69218993890073
2014-12-15,4,1,5,80.0,154.9066487711849
2014-12-16,3,2,5,60.0,150.7688301398792
2014-12-17,3,2,5,60.0,148.36206671293115
2014-12-18,3,2,5,60.0,152.11510621617853
2014-12-19,3,2,5,60.0,152.826704872933
2014-12-22,4,1,5,80.0,154.25771434533164
2014-12-23,4,1,5,80.0,154.30974273618196
2014-12-24,4,1,5,80.0,153.69911650069835
2014-12-26,3,2,5,60.0,154.0252555380816
2014-12-29,3,2,5,60.0,154.60932098241017
2014-12-30,3,2,5,60.0,156.6615210306121
2014-12-31,3,2,5,60.0,157.9406743046732
2015-01-01,4,1,5,80.0,158.14250551267517
2015-01-02,4,1,5,80.0,157.88527557464792
2015-01-05,4,1,5,80.0,159.35355675482808
2015-01-06,3,2,5,60.0,153.92079480862316
2015-01-07,3,2,5,60.0,153.10846279009422
2015-01-08,3,2,5,60.0,155.6724362257037
2015-01-09,3,2,5,60.0,156.78668415512124
2015-01-12,3,2,5,60.0,155.3607065087635
2015-01-13,3,2,5,60.0,154.52232547599002
2015-01-14,3,2,5,60.0,154.10298779048023
2015-01-15,3,2,5,60.0,154.60766510455645
2015-01-16,3,2,5,60.0,152.66304049660735
2015-01-19,2,2,4,50.0,153.73821095956612
2015-01-20,3,2,5,60.0,155.13461587172824
2015-01-21,3,2,5,60.0,155.96682434434436
2015-01-22,3,2,5,60.0,156.69012530437345
2015-01-23,3,2,5,60.0,156.11805672074448
2015-01-27,3,2,5,60.0,154.24061214806167
2015-01-28,3,2,5,60.0,153.50759972030835
2015-01-29,3,2,5,60.0,153.25493480006102
2015-01-30,3,2,5,60.0,153.0224956400158
2015-02-02,3,2,5,60.0,152.62145977776964
2015-02-03,3,2,5,60.0,152.68575583451914
2015-02-04,3,2,5,60.0,155.60613466736527
2015-02-05,3,2,5,60.0,152.28408277794466
2015-02-06,3,2,5,60.0,149.91621394809627
2015-02-09,2,3,5,40.0,147.50071810482592
2015-02-10,3,2,5,60.0,146.7082854876975
2015-02-11,3,2,5,60.0,148.2775972380352
2015-02-12,3,2,5,60.0,149.74614630367543
2015-02-13,2,3,5,40.0,146.7728292852326
2015-02-16,2,3,5,40.0,145.6702780148255
2015-02-18,2,3,5,40.0,146.2751384481998
2015-02-19,2,3,5,40.0,147.68980489911954
2015-02-20,2,3,5,40.0,146.15959194792228
2015-02-23,2,3,5,40.0,145.44357921219174
2015-02-24,2,3,5,40.0,144.62986212140547
2015-02-25,2,3,5,40.0,143.4027103311389
2015-02-26,2,3,5,40.0,142.07467551553293
2015-02-27,2,3,5,40.0,144.10972539938442
2015-02-28,2,3,5,40.0,143.77566913487846
2015-03-02,2,3,5,40.0,144.24105318809887
2015-03-03,2,3,5,40.0,144.55045080160423
2015-03-04,2,3,5,40.0,144.25837909911786
2015-03-05,2,3,5,40.0,143.64252420277055
2015-03-09,2,3,5,40.0,142.2842714857209
2015-03-10,2,3,5,40.0,140.84335538086162
2015-03-11,2,3,5,40.0,138.7135525210488
2015-03-12,2,3,5,40.0,139.50842664006845
2015-03-13,1,4,5,20.0,140.18770338087234
2015-03-16,0,5,5,0.0,139.60236309791213
2015-03-17,1,4,5,20.0,140.54139211816678
2015-03-18,1,4,5,20.0,141.70074392918545
2015-03-19,1,4,5,20.0,143.7647877728146
2015-03-20,1,4,5,20.0,139.77638532733388
2015-03-23,0,5,5,0.0,137.246839851427
2015-03-24,0,5,5,0.0,136.44744654762638
2015-03-25,1,4,5,20.0,136.36679993771222
2015-03-26,1,4,5,20.0,136.24154079656492
2015-03-27,2,3,5,40.0,138.13000371270692
2015-03-30,2,3,5,40.0,140.3765905134685
2015-03-31,2,3,5,40.0,140.96793394137163
2015-04-01,2,3,5,40.0,143.3935336592335
2015-04-06,2,3,5,40.0,144.4469383830449
2015-04-07,2,3,5,40.0,144.4688695271005
2015-04-08,3,2,5,60.0,149.15858531035164
2015-04-09,3,2,5,60.0,147.70848056093908
2015-04-10,3,2,5,60.0,146.71348253240834
2015-04-13,3,2,5,60.0,146.6272363154234
2015-04-15,2,3,6,40.0,143.64240892946188
2015-04-16,2,3,6,40.0,143.37757869868483
2015-04-17,2,3,6,40.0,142.67913473685167
