Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,96.43299619168144
2014-01-03,0,0,0,0.0,96.35081044842813
2014-01-06,0,0,0,0.0,95.1846566392397
2014-01-07,0,0,0,0.0,93.07381654956106
2014-01-08,0,0,0,0.0,94.64732411560314
2014-01-09,0,0,0,0.0,93.05141359023247
2014-01-10,0,0,0,0.0,91.17434703011583
2014-01-13,0,0,0,0.0,92.45211187320554
2014-01-14,0,0,0,0.0,91.21617714571482
2014-01-15,0,0,0,0.0,93.30336716245371
2014-01-16,0,0,0,0.0,92.03924884648997
2014-01-17,0,0,0,0.0,89.9140609611915
2014-01-20,0,0,0,0.0,89.66915157761622
2014-01-21,0,0,0,0.0,90.40640988865158
2014-01-22,0,0,0,0.0,89.13104834217562
2014-01-23,0,0,0,0.0,89.26062755835159
2014-01-24,0,0,0,0.0,85.89190494733484
2014-01-27,0,0,0,0.0,81.4540233936418
2014-01-28,0,0,0,0.0,82.99388853208588
2014-01-29,0,0,0,0.0,83.03740340474782
2014-01-30,0,0,0,0.0,81.37543784065969
2014-01-31,0,0,0,0.0,84.11176364546242
2014-02-03,0,0,0,0.0,82.46697959639074
2014-02-04,0,0,0,0.0,84.01863600310985
2014-02-05,0,0,0,0.0,86.82829798164505
2014-02-06,0,0,0,0.0,88.94606856264978
2014-02-07,0,0,0,0.0,90.26698742762318
2014-02-10,0,0,0,0.0,90.34517973480745
2014-02-11,0,0,0,0.0,90.64083265283318
2014-02-12,0,0,0,0.0,90.496093766726
2014-02-13,0,0,0,0.0,89.23949039101986
2014-02-14,0,0,0,0.0,90.24154281414552
2014-02-17,0,0,0,0.0,91.5294754202453
2014-02-18,0,0,0,0.0,91.93251717336949
2014-02-19,0,0,0,0.0,92.08993903103433
2014-02-20,0,0,0,0.0,91.65040332271406
2014-02-21,0,0,0,0.0,92.24898779464613
2014-02-24,0,0,0,0.0,93.37899190465878
2014-02-25,0,0,0,0.0,94.12861711637211
2014-02-26,0,0,0,0.0,93.89108765581192
2014-02-28,0,0,0,0.0,96.81997546085711
2014-03-03,0,0,0,0.0,94.37932085582618
2014-03-04,0,0,0,0.0,96.372206253844
2014-03-05,0,0,0,0.0,97.86351297966482
2014-03-06,0,0,0,0.0,99.99873703193663
