Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,1,0,2,100.0,163.14476694284636
2014-08-08,1,0,2,100.0,163.21842645054753
2014-08-11,2,0,2,100.0,167.89857439327406
2014-08-12,2,0,2,100.0,172.9226271737347
2014-08-13,2,0,2,100.0,163.16691137528713
2014-08-14,2,0,2,100.0,163.13515339399
2014-08-18,2,0,2,100.0,163.2503848767354
2014-08-19,2,0,2,100.0,164.5074525746569
2014-08-20,2,0,2,100.0,163.2329329863723
2014-08-21,2,0,2,100.0,166.56646813595955
2014-08-22,2,0,2,100.0,167.58170468811502
2014-08-25,2,0,2,100.0,165.73232927771676
2014-08-26,2,0,2,100.0,162.49338632317
2014-08-27,2,0,2,100.0,165.40959154265312
2014-08-28,2,0,2,100.0,162.1682640503426
2014-09-01,2,0,2,100.0,165.02962590522327
2014-09-02,2,0,2,100.0,165.7662239188373
2014-09-03,2,0,2,100.0,181.474961384232
2014-09-04,2,0,2,100.0,201.67678232362337
2014-09-05,2,0,2,100.0,214.47783051660824
2014-09-08,2,0,2,100.0,240.53627248135697
2014-09-09,2,0,2,100.0,249.586773196578
2014-09-10,2,0,2,100.0,262.7491955826887
2014-09-11,2,0,2,100.0,276.2664528645478
2014-09-12,2,0,2,100.0,279.06264220367683
2014-09-15,2,0,2,100.0,271.3484995237976
2014-09-16,2,0,2,100.0,253.21891306814243
2014-09-17,2,0,2,100.0,250.71007337771823
2014-09-18,2,0,2,100.0,248.50816574064436
2014-09-19,2,0,2,100.0,250.43887342768403
2014-09-22,2,0,2,100.0,242.40750330631866
2014-09-23,2,0,2,100.0,234.0863759096191
2014-09-24,2,0,2,100.0,223.7078316283201
2014-09-25,2,0,2,100.0,216.6569238444256
2014-09-26,2,0,2,100.0,211.84011117899468
2014-09-29,2,0,2,100.0,214.31221829732073
2014-09-30,2,0,2,100.0,213.95936525731085
2014-10-01,2,0,2,100.0,211.1525730006094
2014-10-07,2,0,2,100.0,210.83045458912238
2014-10-08,2,0,2,100.0,204.89098286738817
2014-10-09,2,0,2,100.0,209.68458883023712
2014-10-10,2,0,2,100.0,224.2342420559967
2014-10-13,2,0,2,100.0,237.67642842643016
2014-10-14,2,0,2,100.0,252.46324007391715
2014-10-16,2,0,2,100.0,245.34498586976662
2014-10-17,2,0,2,100.0,250.16032768119726
2014-10-20,2,0,2,100.0,243.7291366136544
2014-10-21,2,0,2,100.0,234.6794383392875
2014-10-22,2,0,2,100.0,239.28616813620528
2014-10-23,2,0,2,100.0,241.1749532633555
2014-10-27,2,0,2,100.0,235.9906031931756
2014-10-28,2,0,2,100.0,253.82762369243127
2014-10-29,2,0,2,100.0,247.60484018053893
2014-10-30,2,0,2,100.0,247.7691835622093
2014-10-31,2,0,2,100.0,252.3395350186472
2014-11-03,2,0,2,100.0,252.52796875058687
2014-11-05,2,0,2,100.0,253.96430758760826
2014-11-07,2,0,2,100.0,251.22590518477043
2014-11-10,2,0,2,100.0,247.50691711382862
2014-11-11,2,0,2,100.0,249.96349690278302
2014-11-12,2,0,2,100.0,248.05221541871026
2014-11-13,2,0,2,100.0,253.8303126967846
2014-11-14,2,0,2,100.0,265.7070231078155
2014-11-17,2,0,2,100.0,255.14723422630573
2014-11-18,2,0,2,100.0,253.60823188565638
2014-11-19,2,0,2,100.0,244.9668006394905
2014-11-20,2,0,2,100.0,241.92544712715954
2014-11-21,2,0,2,100.0,242.00040539141168
2014-11-24,2,0,2,100.0,246.42633416467103
2014-11-25,2,0,2,100.0,236.77176757063285
2014-11-26,2,0,2,100.0,235.0826240356224
2014-11-27,2,0,2,100.0,235.47647534029826
2014-11-28,2,0,2,100.0,231.65440221232538
2014-12-01,2,0,2,100.0,231.6827328809928
2014-12-02,2,0,2,100.0,231.18469721136154
2014-12-03,2,0,2,100.0,233.49792234847143
2014-12-04,2,0,2,100.0,234.28770771855548
2014-12-05,2,0,2,100.0,239.3469104204026
2014-12-08,2,0,2,100.0,233.44883523831012
2014-12-09,2,0,2,100.0,229.06135856492037
2014-12-10,2,0,2,100.0,229.90279424667582
2014-12-11,2,0,2,100.0,238.2823178555331
2014-12-12,2,0,2,100.0,232.53291985628454
2014-12-15,2,0,2,100.0,230.19419153535995
2014-12-16,2,0,2,100.0,221.0535969697941
2014-12-17,2,0,2,100.0,220.30344448668413
2014-12-18,2,0,2,100.0,230.48822860064467
2014-12-19,2,0,2,100.0,227.8823973793878
2014-12-22,2,0,2,100.0,229.87073829926726
2014-12-23,2,0,2,100.0,228.05863608811637
2014-12-24,2,0,2,100.0,225.67449150574058
2014-12-26,2,0,2,100.0,225.6836174801857
2014-12-29,2,0,2,100.0,233.11359773352734
2014-12-30,2,0,2,100.0,233.90769923250173
2014-12-31,2,0,2,100.0,242.5862403147348
2015-01-01,2,0,2,100.0,249.32299276483215
2015-01-02,2,0,2,100.0,254.59264703606374
2015-01-05,2,0,2,100.0,251.46172722639096
2015-01-06,2,0,2,100.0,238.7203694603678
2015-01-07,2,0,2,100.0,236.399669588312
2015-01-08,2,0,2,100.0,242.5367761187971
2015-01-09,2,0,2,100.0,244.10297137092334
2015-01-12,2,0,2,100.0,245.79979624331844
2015-01-13,2,0,2,100.0,247.30342544192112
2015-01-14,2,0,2,100.0,244.91989769775117
2015-01-15,2,0,2,100.0,243.58036181153705
2015-01-16,2,0,2,100.0,242.31712843771064
2015-01-19,2,0,2,100.0,242.17328256272972
2015-01-20,2,0,2,100.0,242.39031814208963
2015-01-21,2,0,2,100.0,241.19272429737387
2015-01-22,2,0,2,100.0,236.38565115371773
2015-01-23,2,0,2,100.0,236.90242903997466
2015-01-27,2,0,2,100.0,245.1885248201167
2015-01-28,2,0,2,100.0,238.38201447152355
2015-01-29,2,0,2,100.0,238.53043447028887
2015-01-30,2,0,2,100.0,239.79180535565195
2015-02-02,2,0,2,100.0,234.50186444689285
2015-02-03,2,0,2,100.0,230.50447152259846
2015-02-04,2,0,2,100.0,229.4457912652943
2015-02-05,2,0,2,100.0,227.39195073885222
2015-02-06,2,0,2,100.0,216.9231525117346
2015-02-09,2,0,2,100.0,214.86999295482985
2015-02-10,2,0,2,100.0,212.7661726717444
2015-02-11,1,1,2,50.0,212.30340820049616
2015-02-12,2,0,2,100.0,213.38488651488095
2015-02-13,2,0,2,100.0,219.83421594394602
2015-02-16,2,0,2,100.0,220.36310071025946
2015-02-18,2,0,2,100.0,227.6345237013758
2015-02-19,2,0,2,100.0,223.78284966946876
2015-02-20,2,0,2,100.0,221.68194582019902
2015-02-23,2,0,2,100.0,223.71950217862815
2015-02-24,2,0,2,100.0,219.14322834826575
2015-02-25,2,0,2,100.0,215.93001868469918
2015-02-26,2,0,2,100.0,216.7584303165677
2015-02-27,2,0,2,100.0,221.84752890374142
2015-02-28,2,0,2,100.0,219.90406042113187
2015-03-02,2,0,2,100.0,218.10797512994213
2015-03-03,2,0,2,100.0,219.4848750197849
2015-03-04,1,1,2,50.0,219.9303465614808
2015-03-05,1,1,2,50.0,217.5048327425588
2015-03-09,1,1,2,50.0,212.75079469847128
2015-03-10,1,1,2,50.0,215.19133505151694
2015-03-11,1,1,2,50.0,211.54928834940415
2015-03-12,1,1,2,50.0,209.9838832130168
2015-03-13,1,1,2,50.0,204.71308311915286
2015-03-16,1,1,2,50.0,201.5305608406904
2015-03-17,1,1,2,50.0,199.9634426559574
2015-03-18,1,1,2,50.0,203.23038156519928
2015-03-19,0,2,2,0.0,206.12076226682655
2015-03-20,0,2,2,0.0,197.7158720709719
2015-03-23,0,2,2,0.0,187.65365702614417
2015-03-24,0,2,2,0.0,189.74203354209192
2015-03-25,0,2,2,0.0,190.88922664821544
2015-03-26,0,2,2,0.0,188.31592383329036
2015-03-27,0,2,2,0.0,195.9487358664596
2015-03-30,0,2,2,0.0,199.4034514350887
2015-03-31,0,2,2,0.0,195.86703479902013
2015-04-01,1,1,2,50.0,219.48029336362626
2015-04-06,2,0,2,100.0,240.74181842769943
2015-04-07,2,0,2,100.0,244.29223514463305
2015-04-08,2,0,2,100.0,243.83290247873606
2015-04-09,2,0,2,100.0,239.31088124182472
2015-04-10,2,0,2,100.0,238.61693295437115
2015-04-13,2,0,2,100.0,239.48067568253998
2015-04-15,2,0,2,100.0,245.53799593219097
2015-04-16,1,1,2,50.0,241.3255670729244
2015-04-17,2,0,2,100.0,239.31546724541954
2015-04-20,1,1,2,50.0,230.20412150515216
2015-04-21,1,1,2,50.0,233.6616860057597
2015-04-22,1,1,2,50.0,230.63164911350648
2015-04-23,1,1,2,50.0,230.15171583949808
2015-04-24,1,1,2,50.0,217.9408565904422
2015-04-27,1,1,2,50.0,213.10252169226422
2015-04-28,1,1,2,50.0,215.27089220653585
2015-04-29,1,1,2,50.0,220.48960130606113
2015-04-30,1,1,2,50.0,222.09137638354588
2015-05-04,1,1,2,50.0,228.03389514014626
2015-05-05,1,1,2,50.0,227.26602283527995
2015-05-06,1,1,2,50.0,215.7426989230359
2015-05-07,0,2,2,0.0,205.90005641095505
2015-05-08,1,1,2,50.0,223.9146940500154
2015-05-11,1,1,2,50.0,224.71107652350747
2015-05-12,1,1,2,50.0,226.9700770814107
2015-05-13,1,1,2,50.0,227.7979611274437
2015-05-14,1,1,2,50.0,221.15459521136393
2015-05-15,1,1,2,50.0,238.20537201430326
2015-05-18,1,1,2,50.0,246.38758809831657
2015-05-19,1,1,2,50.0,241.68555902259698
2015-05-20,1,1,2,50.0,238.9687374484092
2015-05-21,1,1,2,50.0,237.99258502262182
2015-05-22,1,1,2,50.0,237.58953574116802
2015-05-25,1,1,2,50.0,231.5116985765826
2015-05-26,1,1,2,50.0,229.50364211081697
2015-05-27,1,1,2,50.0,229.04757290089512
