Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,8,0.0,100.0
2014-01-02,0,0,8,0.0,99.49487843960195
2014-01-03,0,0,8,0.0,100.79144595562816
2014-01-06,0,0,8,0.0,100.83156218857503
2014-01-07,0,0,8,0.0,100.67926989121085
2014-01-08,0,0,8,0.0,101.11020341261172
2014-01-09,0,0,8,0.0,100.7479769638878
2014-01-10,0,0,8,0.0,102.16895882429668
2014-01-13,0,0,8,0.0,104.25986703391675
2014-01-14,0,0,8,0.0,103.65059711988445
2014-01-15,0,0,8,0.0,103.59471451809033
2014-01-16,0,0,8,0.0,104.72702530595012
2014-01-17,0,0,8,0.0,102.1718202726012
2014-01-20,0,0,8,0.0,105.48868400891809
2014-01-21,0,0,8,0.0,105.01536797549211
2014-01-22,0,0,8,0.0,105.29137700532505
2014-01-23,0,0,8,0.0,104.60683803868862
2014-01-24,0,0,8,0.0,103.67745721701647
2014-01-27,0,0,8,0.0,102.58446589026838
2014-01-28,0,0,8,0.0,102.20385746943892
2014-01-29,0,0,8,0.0,102.37661858955525
2014-01-30,0,0,8,0.0,101.88129692305863
2014-01-31,0,0,8,0.0,103.21970124596693
2014-02-03,0,0,8,0.0,102.20169352149043
2014-02-04,0,0,8,0.0,100.84810420443291
2014-02-05,0,0,8,0.0,101.72202117446531
2014-02-06,0,0,8,0.0,101.51802902601972
2014-02-07,0,0,8,0.0,101.94760271910384
2014-02-10,0,0,8,0.0,102.50597998710408
2014-02-11,0,0,8,0.0,104.06516674852901
2014-02-12,0,0,8,0.0,104.44882404746043
2014-02-13,0,0,8,0.0,103.38507839772704
2014-02-14,0,0,8,0.0,103.99573410200304
2014-02-17,0,0,8,0.0,104.4781143464775
2014-02-18,0,0,8,0.0,105.01086602294889
2014-02-19,0,0,8,0.0,106.23518748345946
2014-02-20,0,0,8,0.0,106.6304316903107
2014-02-21,0,0,8,0.0,108.90018872216025
2014-02-24,0,0,8,0.0,108.5783022348572
2014-02-25,0,0,8,0.0,109.70425697604452
2014-02-26,0,0,8,0.0,109.37718001951275
2014-02-28,0,0,8,0.0,110.3063075459989
2014-03-03,0,0,8,0.0,108.63454946271933
2014-03-04,0,0,8,0.0,108.82123096894372
2014-03-05,0,0,8,0.0,110.09309052343261
2014-03-06,0,0,8,0.0,110.96942118662537
2014-03-07,0,0,8,0.0,107.50694418461518
2014-03-10,0,0,8,0.0,105.22996085356067
2014-03-11,0,0,8,0.0,105.3390759522233
2014-03-12,0,0,8,0.0,106.17669360053196
2014-03-13,0,0,8,0.0,103.71327114775737
2014-03-14,0,0,8,0.0,102.97393810585025
2014-03-18,0,0,8,0.0,102.76003222384182
2014-03-19,0,0,8,0.0,100.90477570531968
2014-03-20,0,0,8,0.0,102.34427760381666
2014-03-21,0,0,8,0.0,102.77565692671055
2014-03-24,0,0,8,0.0,103.3437466001384
2014-03-25,0,0,8,0.0,102.77585653599893
2014-03-26,0,0,8,0.0,102.47294079490123
2014-03-27,0,0,8,0.0,102.61741902936726
2014-03-28,0,0,8,0.0,102.43569942047006
2014-03-31,0,0,8,0.0,102.39686784758364
2014-04-01,0,0,8,0.0,103.69264041162091
2014-04-02,0,0,8,0.0,105.46531132352388
2014-04-03,0,0,8,0.0,104.82937752093872
2014-04-04,0,0,8,0.0,103.97547532746721
2014-04-07,0,0,8,0.0,103.31089481861136
2014-04-09,0,0,8,0.0,103.15472402899253
2014-04-10,0,0,8,0.0,102.15025609920106
2014-04-11,0,0,8,0.0,103.07456784807265
2014-04-15,0,0,8,0.0,104.57785303233311
2014-04-16,0,0,8,0.0,103.24877234908575
2014-04-17,0,0,8,0.0,104.5352849228349
2014-04-21,0,0,8,0.0,103.03293602483114
2014-04-22,0,0,8,0.0,103.08778651044446
2014-04-23,0,0,8,0.0,102.54102367429584
2014-04-24,0,0,8,0.0,102.54102367429584
2014-04-25,0,0,8,0.0,102.56091949190247
2014-04-28,0,0,8,0.0,102.84061354679226
2014-04-29,0,0,8,0.0,102.68897140475006
2014-04-30,0,0,8,0.0,102.26612795905619
2014-05-02,0,0,8,0.0,103.45223813411113
2014-05-05,0,0,8,0.0,102.2620540369773
2014-05-06,0,0,8,0.0,101.48198462165156
2014-05-07,0,0,8,0.0,99.31453784053893
2014-05-08,0,0,8,0.0,99.85921198673299
2014-05-09,0,0,8,0.0,100.53341579767753
2014-05-12,0,0,8,0.0,100.3521203226136
2014-05-13,0,0,8,0.0,102.02192686699814
2014-05-14,0,0,8,0.0,101.67900408900736
