Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,3,0,4,100.0,165.30853411930255
2014-08-08,3,0,4,100.0,163.55824514769836
2014-08-11,4,0,4,100.0,163.0658258809091
2014-08-12,4,0,4,100.0,162.63770357933527
2014-08-13,4,0,4,100.0,160.3471244789086
2014-08-14,4,0,4,100.0,158.44447608375665
2014-08-18,4,0,4,100.0,161.20062031828982
2014-08-19,4,0,4,100.0,161.8097229301178
2014-08-20,4,0,4,100.0,160.18637071459875
2014-08-21,4,0,4,100.0,162.11363352906312
2014-08-22,4,0,4,100.0,162.53979833912916
2014-08-25,4,0,4,100.0,159.90541449607636
2014-08-26,4,0,4,100.0,154.93852041381913
2014-08-27,4,0,4,100.0,156.2353228201559
2014-08-28,4,0,4,100.0,155.19622856728088
2014-09-01,4,0,4,100.0,157.3038682727424
2014-09-02,4,0,4,100.0,160.36271520987003
2014-09-03,4,0,4,100.0,160.9147986225894
2014-09-04,4,0,4,100.0,159.8158284448947
2014-09-05,4,0,4,100.0,161.35764903502908
2014-09-08,4,0,4,100.0,160.5288976141131
2014-09-09,4,0,4,100.0,163.09881099744547
2014-09-10,4,0,4,100.0,162.14576483540978
2014-09-11,4,0,4,100.0,160.77114063727836
2014-09-12,4,0,4,100.0,162.4886367599258
2014-09-15,4,0,4,100.0,161.10975163240965
2014-09-16,4,0,4,100.0,155.07183069564562
2014-09-17,4,0,4,100.0,152.95466336146237
2014-09-18,4,0,4,100.0,155.7680838449568
2014-09-19,4,0,4,100.0,157.0080148177683
2014-09-22,4,0,4,100.0,167.01475458923892
2014-09-23,4,0,4,100.0,163.53913926988406
2014-09-24,4,0,4,100.0,159.93950582720112
2014-09-25,4,0,4,100.0,156.72053346323514
2014-09-26,4,0,4,100.0,154.32279223015465
2014-09-29,4,0,4,100.0,155.93964918882574
2014-09-30,4,0,4,100.0,161.45402204225715
2014-10-01,4,0,4,100.0,158.19655430116265
2014-10-07,4,0,4,100.0,156.72720863639134
2014-10-08,4,0,4,100.0,154.48549469631794
2014-10-09,4,0,4,100.0,157.995035270888
2014-10-10,4,0,4,100.0,154.0516416410446
2014-10-13,3,0,3,100.0,154.68995309585216
2014-10-14,3,1,4,75.0,152.86809915346817
2014-10-16,3,1,4,75.0,148.60241088055733
2014-10-17,4,0,4,100.0,153.8362474139754
2014-10-20,4,0,4,100.0,155.64088848270788
2014-10-21,4,0,4,100.0,155.46295334042745
2014-10-22,4,0,4,100.0,156.12288943036475
2014-10-23,4,0,4,100.0,157.39203012890528
2014-10-27,4,0,4,100.0,158.50201559493578
2014-10-28,4,0,4,100.0,158.20036798737084
2014-10-29,4,0,4,100.0,158.48280616420885
2014-10-30,4,0,4,100.0,157.54676922849322
2014-10-31,4,0,4,100.0,155.91263995253038
2014-11-03,3,1,4,75.0,153.62443640840587
2014-11-05,3,1,4,75.0,152.6114062222094
2014-11-07,4,0,4,100.0,155.53180275927593
2014-11-10,4,0,4,100.0,164.368680628946
2014-11-11,4,0,4,100.0,160.57371857414046
2014-11-12,4,0,4,100.0,163.22991206108685
2014-11-13,4,0,4,100.0,161.56896882159924
2014-11-14,4,0,4,100.0,167.86787341334968
2014-11-17,4,0,4,100.0,169.08583899676526
2014-11-18,4,0,4,100.0,168.26505335651117
2014-11-19,4,0,4,100.0,167.75751659963888
2014-11-20,4,0,4,100.0,162.63360971105206
2014-11-21,4,0,4,100.0,164.93067603088102
2014-11-24,4,0,4,100.0,165.34668017146933
2014-11-25,4,0,4,100.0,165.3075830351271
2014-11-26,4,0,4,100.0,164.5479799199713
2014-11-27,4,0,4,100.0,163.80478070950423
2014-11-28,4,0,4,100.0,165.13527298686782
2014-12-01,4,0,4,100.0,173.46907630851135
2014-12-02,4,0,4,100.0,171.90265432661752
2014-12-03,4,0,4,100.0,170.72477210061777
2014-12-04,4,0,4,100.0,169.49446182141529
2014-12-05,4,0,4,100.0,170.1642794465653
2014-12-08,4,0,4,100.0,176.13285747622615
2014-12-09,4,0,4,100.0,168.1920755877079
2014-12-10,4,0,4,100.0,171.3457025363747
2014-12-11,4,0,4,100.0,174.5257033059477
2014-12-12,4,0,4,100.0,171.59825051233491
2014-12-15,4,0,4,100.0,166.54649795930942
2014-12-16,4,0,4,100.0,162.5926699156604
2014-12-17,4,0,4,100.0,158.2598939146072
2014-12-18,4,0,4,100.0,165.79476172674487
2014-12-19,3,1,4,75.0,163.00586911370348
2014-12-22,4,0,4,100.0,167.0683690977687
2014-12-23,4,0,4,100.0,165.99032725145952
2014-12-24,4,0,4,100.0,164.57192803352132
2014-12-26,4,0,4,100.0,164.73630844915854
2014-12-29,4,0,4,100.0,166.01803173627837
2014-12-30,4,0,4,100.0,169.60521855105753
2014-12-31,4,0,4,100.0,172.5005806535779
2015-01-01,3,1,4,75.0,171.60200993037878
2015-01-02,4,0,4,100.0,172.43704227863716
2015-01-05,4,0,4,100.0,173.73916949878566
2015-01-06,3,1,4,75.0,167.3123372540184
2015-01-07,3,1,4,75.0,165.28598959462053
2015-01-08,3,1,4,75.0,165.69903496401415
2015-01-09,2,2,4,50.0,162.30672001803424
2015-01-12,2,2,4,50.0,163.1346567184557
2015-01-13,2,2,4,50.0,163.67310178482376
2015-01-14,2,2,4,50.0,162.65370132004884
2015-01-15,2,2,4,50.0,163.51473744862022
2015-01-16,2,2,4,50.0,165.89211361448943
2015-01-19,3,1,4,75.0,175.53410186910912
2015-01-20,3,1,4,75.0,174.77929982853135
2015-01-21,3,1,4,75.0,176.8079577612184
2015-01-22,3,1,4,75.0,175.09307949672254
2015-01-23,3,1,4,75.0,175.67855576922895
2015-01-27,3,1,4,75.0,179.20916789241738
2015-01-28,3,1,4,75.0,181.22384115104694
2015-01-29,3,1,4,75.0,183.50168549900886
2015-01-30,3,1,4,75.0,180.50683873145056
2015-02-02,4,0,4,100.0,185.24578583256908
2015-02-03,4,0,4,100.0,183.6880096988345
2015-02-04,4,0,4,100.0,185.88763812205812
2015-02-05,4,0,4,100.0,182.4699231349439
2015-02-06,3,1,4,75.0,178.50347275232068
2015-02-09,3,1,4,75.0,176.91180847558383
2015-02-10,4,0,4,100.0,179.27205617208799
2015-02-11,3,1,4,75.0,179.6818522055115
2015-02-12,3,1,4,75.0,180.22887973072304
2015-02-13,3,1,4,75.0,176.3154333284056
2015-02-16,3,1,4,75.0,175.50826713557544
2015-02-18,3,1,4,75.0,178.41394852344087
2015-02-19,3,1,4,75.0,177.489804456826
2015-02-20,3,1,4,75.0,177.21980258438558
2015-02-23,3,1,4,75.0,177.59479378823667
2015-02-24,3,1,4,75.0,176.65406776531572
2015-02-25,3,1,4,75.0,175.31583191948948
2015-02-26,3,1,4,75.0,174.59600794668452
2015-02-27,3,1,4,75.0,177.18701468795751
2015-02-28,3,1,4,75.0,177.43346496126088
