Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,1,0.0,100.0
2014-01-02,0,0,1,0.0,100.41706020219614
2014-01-03,0,0,1,0.0,99.62928464559656
2014-01-06,0,0,1,0.0,96.15385534052534
2014-01-07,0,0,1,0.0,96.64041471943634
2014-01-08,0,0,1,0.0,96.33921301772706
2014-01-09,0,0,1,0.0,94.161265739099
2014-01-10,0,0,1,0.0,92.30769620507135
2014-01-13,0,0,1,0.0,91.49676631954958
2014-01-14,0,0,1,0.0,89.04077890612406
2014-01-15,0,0,1,0.0,97.91474241695727
2014-01-16,0,0,1,0.0,93.65153755528647
2014-01-17,0,0,1,0.0,91.56627273425408
2014-01-20,0,0,1,0.0,91.8674671979737
2014-01-21,0,0,1,0.0,91.6126103440571
2014-01-22,0,0,1,0.0,92.19184494257414
2014-01-23,0,0,1,0.0,91.40408386195386
2014-01-24,0,0,1,0.0,90.36145145143767
2014-01-27,0,0,1,0.0,89.41149426052752
2014-01-28,0,0,1,0.0,88.7164011615236
2014-01-29,0,0,1,0.0,88.60055713701607
2014-01-30,0,0,1,0.0,88.0676673862917
2014-01-31,0,0,1,0.0,88.02131530050937
2014-02-03,0,0,1,0.0,87.07136534758888
2014-02-04,0,0,1,0.0,87.55792472649989
2014-02-05,0,0,1,0.0,87.0713653475889
2014-02-06,0,0,1,0.0,87.00185169489471
2014-02-07,0,0,1,0.0,86.90918371327834
2014-02-10,0,0,1,0.0,85.10193731307439
2014-02-11,0,0,1,0.0,85.42632953365414
2014-02-12,0,0,1,0.0,86.4921235110822
2014-02-13,0,0,1,0.0,86.19092180937292
2014-02-14,0,0,1,0.0,85.68118638757075
2014-02-17,0,0,1,0.0,84.89341806896081
2014-02-18,0,0,1,0.0,84.54587875744852
2014-02-19,0,0,1,0.0,83.31788866973059
2014-02-20,0,0,1,0.0,83.29471986482909
2014-02-21,0,0,1,0.0,84.24467705573923
2014-02-24,0,0,1,0.0,83.36423351752327
2014-02-25,0,0,1,0.0,84.52270271455734
2014-02-26,0,0,1,0.0,88.73958444240445
2014-02-28,0,0,1,0.0,89.17980621151243
2014-03-03,0,0,1,0.0,88.04449134340054
2014-03-04,0,0,1,0.0,88.0676673862917
2014-03-05,0,0,1,0.0,87.48842554978499
2014-03-06,0,0,1,0.0,90.8248492634368
2014-03-07,0,0,1,0.0,89.80537841983246
2014-03-10,0,0,1,0.0,88.27618663040526
2014-03-11,0,0,1,0.0,88.97127249141951
2014-03-12,0,0,1,0.0,88.43837550270548
2014-03-13,0,0,1,0.0,91.19555737985058
2014-03-14,0,0,1,0.0,92.0528248751754
2014-03-18,0,0,1,0.0,94.50880505061124
2014-03-19,0,0,1,0.0,92.09917696095773
2014-03-20,0,0,1,0.0,92.37720985776551
2014-03-21,0,0,1,0.0,92.91011408446919
2014-03-24,0,0,1,0.0,92.63207394967175
2014-03-25,0,0,1,0.0,93.02595810897671
2014-03-26,0,0,1,0.0,96.43188823733306
2014-03-27,0,0,1,0.0,95.31974217412267
2014-03-28,0,0,1,0.0,94.99537166751189
2014-03-31,0,0,1,0.0,96.40871943243154
2014-04-01,0,0,1,0.0,95.66729596161429
2014-04-02,0,0,1,0.0,95.31974217412268
2014-04-03,0,0,1,0.0,94.30028580649766
2014-04-04,0,0,1,0.0,92.93326841339136
2014-04-07,0,0,1,0.0,93.09545728569158
2014-04-09,0,0,1,0.0,92.97961326118404
2014-04-10,0,0,1,0.0,97.63670952014945
2014-04-11,0,0,1,0.0,98.44763216768159
2014-04-15,0,0,1,0.0,96.68675232923931
2014-04-16,0,0,1,0.0,94.09175932439442
2014-04-17,0,0,1,0.0,97.33550058045054
2014-04-21,0,0,1,0.0,98.679334692676
2014-04-22,0,0,1,0.0,97.4745278858389
2014-04-23,0,0,1,0.0,97.31233177554903
2014-04-24,0,0,1,0.0,97.31233177554903
2014-04-25,0,0,1,0.0,99.93049358529542
2014-04-28,0,0,1,0.0,98.26229620444883
2014-04-29,0,0,1,0.0,97.33550058045053
2014-04-30,0,0,1,0.0,99.02687400418829
2014-05-02,0,0,1,0.0,99.5829470357935
2014-05-05,0,0,1,0.0,104.0778544224587
2014-05-06,0,0,1,0.0,104.79610908837445
