Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,98.21867469527238
2014-01-03,0,0,0,0.0,98.02401606193472
2014-01-06,0,0,0,0.0,98.76178820296889
2014-01-07,0,0,0,0.0,97.97167803278299
2014-01-08,0,0,0,0.0,99.41454190328447
2014-01-09,0,0,0,0.0,99.66248984311868
2014-01-10,0,0,0,0.0,99.15134268488909
2014-01-13,0,0,0,0.0,98.61402258992763
2014-01-14,0,0,0,0.0,97.9751773702657
2014-01-15,0,0,0,0.0,98.18610026265252
2014-01-16,0,0,0,0.0,98.5566102491168
2014-01-17,0,0,0,0.0,98.83344420366636
2014-01-20,0,0,0,0.0,98.46191844998866
2014-01-21,0,0,0,0.0,99.70196891908985
2014-01-22,0,0,0,0.0,99.64836394738747
2014-01-23,0,0,0,0.0,101.06826164712881
2014-01-24,0,0,0,0.0,101.20779561127627
2014-01-27,0,0,0,0.0,99.02208545186447
2014-01-28,0,0,0,0.0,99.23216067377922
2014-01-29,0,0,0,0.0,98.54810443922266
2014-01-30,0,0,0,0.0,100.1433099651974
2014-01-31,0,0,0,0.0,100.20397986508895
2014-02-03,0,0,0,0.0,100.2312057883171
2014-02-04,0,0,0,0.0,99.5880131807203
2014-02-05,0,0,0,0.0,99.83702430366313
2014-02-06,0,0,0,0.0,100.80196673776936
2014-02-07,0,0,0,0.0,100.82066897718607
2014-02-10,0,0,0,0.0,101.16987610532581
2014-02-11,0,0,0,0.0,101.797132399828
2014-02-12,0,0,0,0.0,102.03054184025564
2014-02-13,0,0,0,0.0,101.75344277536608
2014-02-14,0,0,0,0.0,103.77423810211471
2014-02-17,0,0,0,0.0,101.73559248291689
2014-02-18,0,0,0,0.0,101.21428277560882
2014-02-19,0,0,0,0.0,102.19147597772731
2014-02-20,0,0,0,0.0,102.07783488922968
2014-02-21,0,0,0,0.0,101.93949924812947
2014-02-24,0,0,0,0.0,102.42460896863703
2014-02-25,0,0,0,0.0,103.6439611856884
2014-02-26,0,0,0,0.0,104.33822653593856
2014-02-28,0,0,0,0.0,104.93322382206216
2014-03-03,0,0,0,0.0,108.51108532944798
2014-03-04,0,0,0,0.0,110.99299837057985
2014-03-05,0,0,0,0.0,109.13543211299228
2014-03-06,0,0,0,0.0,110.4060223466425
2014-03-07,0,0,0,0.0,110.81773691933931
2014-03-10,0,0,0,0.0,108.39781867284167
2014-03-11,0,0,0,0.0,107.2193986700029
2014-03-12,0,0,0,0.0,108.23517814078731
2014-03-13,0,0,0,0.0,108.86778559744954
2014-03-14,0,0,0,0.0,109.55277294391435
2014-03-18,0,0,0,0.0,109.8691729360776
2014-03-19,0,0,0,0.0,110.44319030887961
2014-03-20,0,0,0,0.0,109.68215871264475
2014-03-21,0,0,0,0.0,110.56061056599438
2014-03-24,0,0,0,0.0,109.6892129961975
2014-03-25,0,0,0,0.0,109.45981298046999
2014-03-26,0,0,0,0.0,108.04657745140769
2014-03-27,0,0,0,0.0,108.51856797862808
2014-03-28,0,0,0,0.0,108.73525580032035
2014-03-31,0,0,0,0.0,110.46957678916782
2014-04-01,0,0,0,0.0,109.8616601435199
2014-04-02,0,0,0,0.0,109.93854021470206
2014-04-03,0,0,0,0.0,110.56033998482928
2014-04-04,0,0,0,0.0,109.34357834122525
2014-04-07,0,0,0,0.0,108.39379208982558
2014-04-09,0,0,0,0.0,109.60341399996105
2014-04-10,0,0,0,0.0,108.79098866900448
2014-04-11,0,0,0,0.0,108.55424677517505
2014-04-15,0,0,0,0.0,110.69853646965377
2014-04-16,0,0,0,0.0,111.44426147581183
2014-04-17,0,0,0,0.0,112.89400668682529
2014-04-21,0,0,0,0.0,114.63935706682035
2014-04-22,0,0,0,0.0,116.58817793862357
2014-04-23,0,0,0,0.0,118.7478722670195
2014-04-24,0,0,0,0.0,118.7478722670195
2014-04-25,0,0,0,0.0,124.39738269158278
2014-04-28,0,0,0,0.0,124.27190798930819
2014-04-29,0,0,0,0.0,123.30458175208247
2014-04-30,0,0,0,0.0,120.92575200351807
2014-05-02,0,0,0,0.0,125.77213010818062
2014-05-05,0,0,0,0.0,126.20487799861601
2014-05-06,0,0,0,0.0,125.03184782015231
2014-05-07,0,0,0,0.0,125.41936780892033
2014-05-08,0,0,0,0.0,125.0572266844328
2014-05-09,0,0,0,0.0,127.58533066695293
2014-05-12,0,0,0,0.0,128.2719717246236
2014-05-13,0,0,0,0.0,129.59400221486442
2014-05-14,0,0,0,0.0,131.20259623594222
2014-05-15,0,0,0,0.0,132.8332485305021
2014-05-16,0,0,0,0.0,132.92491239429378
2014-05-19,0,0,0,0.0,134.53445508833804
2014-05-20,0,0,0,0.0,133.9184775888045
2014-05-21,0,0,0,0.0,131.71602181902946
2014-05-22,0,0,0,0.0,135.28241467417743
2014-05-23,0,0,0,0.0,134.8233429708361
2014-05-26,0,0,0,0.0,131.10413913386606
2014-05-27,0,0,0,0.0,130.33586018866424
2014-05-28,0,0,0,0.0,133.19663507514855
2014-05-29,0,0,0,0.0,132.8863737136815
2014-05-30,0,0,0,0.0,134.07741338256548
2014-06-02,0,0,0,0.0,133.60013811775292
2014-06-03,0,0,0,0.0,134.08013571904903
2014-06-04,0,0,0,0.0,133.56750034252045
2014-06-05,0,0,0,0.0,133.51505103608733
2014-06-06,0,0,0,0.0,132.64248269391788
2014-06-09,0,0,0,0.0,131.96241292019167
2014-06-10,0,0,0,0.0,133.32594666612613
2014-06-11,0,0,0,0.0,131.37416084138292
2014-06-12,0,0,0,0.0,130.7232861772634
2014-06-13,0,0,0,0.0,129.62477444785603
2014-06-16,0,0,0,0.0,134.06388578956253
2014-06-17,0,0,0,0.0,134.59350767795323
2014-06-18,0,0,0,0.0,133.01186165540776
2014-06-19,0,0,0,0.0,135.5263748152106
2014-06-20,0,0,0,0.0,139.29889428696285
2014-06-23,0,0,0,0.0,139.18943710585648
2014-06-24,0,0,0,0.0,142.33506193313733
2014-06-25,0,0,0,0.0,144.47305068587985
2014-06-26,0,0,0,0.0,146.7603886349801
2014-06-27,0,0,0,0.0,148.2410293824608
2014-06-30,0,0,0,0.0,146.38937960868535
2014-07-01,0,0,0,0.0,146.78408235964125
2014-07-02,0,0,0,0.0,147.23452059725375
2014-07-03,0,0,0,0.0,147.19957621639173
2014-07-04,0,0,0,0.0,147.00279545452165
2014-07-07,0,0,0,0.0,146.98102360006422
2014-07-08,0,0,0,0.0,146.11148159934487
2014-07-09,0,0,0,0.0,147.23938682514412
2014-07-10,0,0,0,0.0,146.86648019682121
2014-07-11,0,0,0,0.0,146.74740926847022
2014-07-14,0,0,0,0.0,142.22549217321423
2014-07-15,0,0,0,0.0,144.45249307681274
2014-07-16,0,0,0,0.0,146.8958376410481
2014-07-17,0,0,0,0.0,147.6837414504088
2014-07-18,0,0,0,0.0,148.92861510834058
2014-07-21,0,0,0,0.0,151.23138691818326
2014-07-22,0,0,0,0.0,151.6999071136184
2014-07-23,0,0,0,0.0,151.13892796859574
2014-07-24,0,0,0,0.0,150.73350219424387
2014-07-25,0,0,0,0.0,149.55686237498466
2014-07-28,0,0,0,0.0,149.42786814052405
2014-07-30,0,0,0,0.0,151.63870047564774
2014-07-31,0,0,0,0.0,151.62161919998286
2014-08-01,0,0,0,0.0,143.895362467739
2014-08-04,0,0,0,0.0,145.3106206321827
2014-08-05,0,0,0,0.0,145.69940213544945
2014-08-06,0,0,0,0.0,145.40242747066577
2014-08-07,3,0,3,100.0,151.06005284182038
2014-08-08,3,0,3,100.0,144.95661317591944
2014-08-11,3,0,3,100.0,144.86483114265297
2014-08-12,3,0,3,100.0,149.1143259598251
2014-08-13,3,0,3,100.0,146.06699044003807
2014-08-14,3,0,3,100.0,146.35327730181066
2014-08-18,3,0,3,100.0,145.15021749917446
2014-08-19,3,0,3,100.0,144.9401067078439
2014-08-20,3,0,3,100.0,143.42388652654589
2014-08-21,3,0,3,100.0,145.7676608238074
2014-08-22,3,0,3,100.0,145.06704160313356
2014-08-25,3,0,3,100.0,145.963387247563
2014-08-26,3,0,3,100.0,146.13420864701055
2014-08-27,3,0,3,100.0,145.54071199037344
2014-08-28,3,0,3,100.0,145.13713087932143
2014-09-01,3,0,3,100.0,148.88317333794765
2014-09-02,3,0,3,100.0,150.96982918436868
2014-09-03,3,0,3,100.0,149.31175569498484
2014-09-04,3,0,3,100.0,148.5698893363113
2014-09-05,3,0,3,100.0,149.58425950689806
2014-09-08,3,0,3,100.0,149.39781348656032
2014-09-09,3,0,3,100.0,151.0129641260285
2014-09-10,3,0,3,100.0,150.70905438883236
2014-09-11,3,0,3,100.0,156.64795130106634
2014-09-12,3,0,3,100.0,157.5555000949437
2014-09-15,3,0,3,100.0,156.1132531182566
2014-09-16,3,0,3,100.0,154.52913660403374
2014-09-17,3,0,3,100.0,152.30871182617386
2014-09-18,3,0,3,100.0,156.19753202487152
2014-09-19,3,0,3,100.0,155.80169915388072
2014-09-22,3,0,3,100.0,159.8341768749445
2014-09-23,3,0,3,100.0,156.8116522010013
2014-09-24,3,0,3,100.0,158.04570385641478
2014-09-25,3,0,3,100.0,156.2839513563835
2014-09-26,3,0,3,100.0,162.006086348994
2014-09-29,3,0,3,100.0,163.36753014916755
