Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,4,0,4,100.0,208.97552329979442
2014-08-08,4,0,4,100.0,204.6599256848784
2014-08-11,4,0,4,100.0,207.1378242027652
2014-08-12,4,0,4,100.0,210.4853579944152
2014-08-13,4,0,4,100.0,202.9769474563968
2014-08-14,4,0,4,100.0,206.9924217354112
2014-08-18,4,0,4,100.0,220.96583231740485
2014-08-19,4,0,4,100.0,217.65056168572684
2014-08-20,4,0,4,100.0,219.49403951365497
2014-08-21,4,0,4,100.0,219.6550307766746
2014-08-22,4,0,4,100.0,217.2808996226748
2014-08-25,4,0,4,100.0,215.31413937260388
2014-08-26,4,0,4,100.0,214.3953138720479
2014-08-27,4,0,4,100.0,213.60089592796047
2014-08-28,4,0,4,100.0,218.12709302365252
2014-09-01,4,0,4,100.0,219.99231561914465
2014-09-02,4,0,4,100.0,227.30008397602597
2014-09-03,4,0,4,100.0,224.32013693604483
2014-09-04,4,0,4,100.0,224.97419024828167
2014-09-05,4,0,4,100.0,225.6646895689975
2014-09-08,4,0,4,100.0,225.77411830318513
2014-09-09,4,0,4,100.0,225.61366479449475
2014-09-10,4,0,4,100.0,229.14940648975266
2014-09-11,4,0,4,100.0,232.99194602712663
2014-09-12,4,0,4,100.0,230.52650673111762
2014-09-15,4,0,4,100.0,234.6020687420152
2014-09-16,4,0,4,100.0,220.969486980092
2014-09-17,4,0,4,100.0,221.54683663298877
2014-09-18,4,0,4,100.0,226.33855690791572
2014-09-19,4,0,4,100.0,227.1463450995419
2014-09-22,4,0,4,100.0,228.7694806396726
2014-09-23,4,0,4,100.0,223.70779516210985
2014-09-24,4,0,4,100.0,220.75330756287457
2014-09-25,4,0,4,100.0,211.5852262958693
2014-09-26,4,0,4,100.0,211.93339130778844
2014-09-29,4,0,4,100.0,223.82032641087415
2014-09-30,4,0,4,100.0,230.3406221942779
2014-10-01,4,0,4,100.0,230.60916118286121
2014-10-07,4,0,4,100.0,223.14598753159015
2014-10-08,4,0,4,100.0,225.8247689402784
2014-10-09,4,0,4,100.0,229.3261639645782
2014-10-10,4,0,4,100.0,226.216904429605
2014-10-13,4,0,4,100.0,225.22209419768902
2014-10-14,4,0,4,100.0,227.6142676072015
2014-10-16,4,0,4,100.0,220.2452487896805
2014-10-17,4,0,4,100.0,218.15979122871673
2014-10-20,4,0,4,100.0,216.74551567342655
2014-10-21,4,0,4,100.0,219.57527111889067
2014-10-22,4,0,4,100.0,224.57348860910136
2014-10-23,4,0,4,100.0,226.47713268882677
2014-10-27,4,0,4,100.0,223.50245392936023
2014-10-28,4,0,4,100.0,220.20971935838918
2014-10-29,4,0,4,100.0,223.42830124683326
2014-10-30,4,0,4,100.0,222.0334638267455
2014-10-31,4,0,4,100.0,224.21957555148379
2014-11-03,4,0,4,100.0,227.19655206603116
2014-11-05,4,0,4,100.0,225.95741116836626
2014-11-07,4,0,4,100.0,225.29911326123099
2014-11-10,4,0,4,100.0,225.28397974219132
2014-11-11,4,0,4,100.0,224.76010511627726
2014-11-12,4,0,4,100.0,224.0683088148125
2014-11-13,4,0,4,100.0,222.80540754922896
2014-11-14,4,0,4,100.0,224.9761762291795
2014-11-17,4,0,4,100.0,220.35584162429203
2014-11-18,4,0,4,100.0,225.14651905660855
2014-11-19,4,0,4,100.0,221.14926776647064
2014-11-20,4,0,4,100.0,223.37201648325356
2014-11-21,4,0,4,100.0,223.90371104978905
2014-11-24,4,0,4,100.0,229.4030033947179
2014-11-25,4,0,4,100.0,223.69903866130048
2014-11-26,4,0,4,100.0,226.6706597625359
2014-11-27,4,0,4,100.0,227.43373051602873
2014-11-28,4,0,4,100.0,229.53770248924167
2014-12-01,4,0,4,100.0,229.13260500269922
2014-12-02,4,0,4,100.0,232.353376239752
2014-12-03,4,0,4,100.0,236.7765555126855
2014-12-04,4,0,4,100.0,240.29783287583467
2014-12-05,4,0,4,100.0,237.92725905453963
2014-12-08,4,0,4,100.0,231.22050767066966
2014-12-09,4,0,4,100.0,227.4218179042257
2014-12-10,4,0,4,100.0,228.52151961123593
2014-12-11,3,1,4,75.0,224.03938358929167
2014-12-12,3,1,4,75.0,220.41282858511667
2014-12-15,3,1,4,75.0,214.74009119450503
