Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,7,0.0,100.0
2014-01-02,0,0,7,0.0,98.51670451443373
2014-01-03,0,0,7,0.0,97.16979925720644
2014-01-06,0,0,7,0.0,97.47925940778616
2014-01-07,0,0,7,0.0,96.10673899181602
2014-01-08,0,0,7,0.0,96.73445453414013
2014-01-09,0,0,7,0.0,97.69899174937065
2014-01-10,0,0,7,0.0,96.46037996975663
2014-01-13,0,0,7,0.0,96.54616258471972
2014-01-14,0,0,7,0.0,94.96838602608446
2014-01-15,0,0,7,0.0,96.13099844932916
2014-01-16,0,0,7,0.0,98.02027290947639
2014-01-17,0,0,7,0.0,97.37149128005832
2014-01-20,0,0,7,0.0,97.19707148942153
2014-01-21,0,0,7,0.0,97.74418862071637
2014-01-22,0,0,7,0.0,98.5169051589745
2014-01-23,0,0,7,0.0,98.30761921435833
2014-01-24,0,0,7,0.0,96.76031469691947
2014-01-27,0,0,7,0.0,93.01844656732881
2014-01-28,0,0,7,0.0,94.60875062833409
2014-01-29,0,0,7,0.0,93.62477725481901
2014-01-30,0,0,7,0.0,91.24945199405441
2014-01-31,0,0,7,0.0,92.54265074085491
2014-02-03,0,0,7,0.0,89.48403682155333
2014-02-04,0,0,7,0.0,88.86575693842363
2014-02-05,0,0,7,0.0,90.29778439300604
2014-02-06,0,0,7,0.0,91.36705160215625
2014-02-07,0,0,7,0.0,93.42773550317767
2014-02-10,0,0,7,0.0,92.8776054725546
2014-02-11,0,0,7,0.0,93.06159596801386
2014-02-12,0,0,7,0.0,92.09335941374995
2014-02-13,0,0,7,0.0,89.97467937270152
2014-02-14,0,0,7,0.0,90.73700634835586
2014-02-17,0,0,7,0.0,90.60961989522352
2014-02-18,0,0,7,0.0,92.1094068091731
2014-02-19,0,0,7,0.0,91.16341641465883
2014-02-20,0,0,7,0.0,90.14432713892998
2014-02-21,0,0,7,0.0,91.11651831752376
2014-02-24,0,0,7,0.0,90.4487307791697
2014-02-25,0,0,7,0.0,88.9079479357089
2014-02-26,0,0,7,0.0,87.41303768757146
2014-02-28,0,0,7,0.0,88.64219372955277
2014-03-03,0,0,7,0.0,88.72454038868621
2014-03-04,0,0,7,0.0,91.65028103672694
2014-03-05,0,0,7,0.0,92.20954189639929
2014-03-06,0,0,7,0.0,94.1685039810522
2014-03-07,0,0,7,0.0,95.93044179701586
2014-03-10,0,0,7,0.0,95.22974365637523
2014-03-11,0,0,7,0.0,92.14834352538003
2014-03-12,0,0,7,0.0,92.31457629277064
2014-03-13,0,0,7,0.0,91.6106805557389
2014-03-14,0,0,7,0.0,92.33319446750144
2014-03-18,0,0,7,0.0,93.05444252453574
2014-03-19,0,0,7,0.0,94.85734358903801
2014-03-20,0,0,7,0.0,93.71928497288769
2014-03-21,0,0,7,0.0,95.39086880681556
2014-03-24,0,0,7,0.0,96.32032140254876
2014-03-25,0,0,7,0.0,96.66569819742794
2014-03-26,0,0,7,0.0,99.08582506964177
2014-03-27,0,0,7,0.0,99.15036471992961
2014-03-28,0,0,7,0.0,100.58898447844513
2014-03-31,0,0,7,0.0,104.23048223805458
2014-04-01,0,0,7,0.0,104.33931495838613
2014-04-02,0,0,7,0.0,103.7197017298366
2014-04-03,0,0,7,0.0,104.44988629438774
2014-04-04,0,0,7,0.0,104.76579739855619
2014-04-07,0,0,7,0.0,104.73596583342639
2014-04-09,0,0,7,0.0,106.90189215420189
2014-04-10,0,0,7,0.0,107.26838269504893
2014-04-11,0,0,7,0.0,106.89656983198203
2014-04-15,0,0,7,0.0,103.87219188740964
2014-04-16,0,0,7,0.0,104.05365518580878
2014-04-17,0,0,7,0.0,106.1881585261116
