Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,12,0.0,100.0
2014-01-02,0,0,12,0.0,98.30916379246656
2014-01-03,0,0,12,0.0,98.250930322766
2014-01-06,0,0,12,0.0,97.56210504991971
2014-01-07,0,0,12,0.0,96.1998617085488
2014-01-08,0,0,12,0.0,96.10596501110318
2014-01-09,0,0,12,0.0,98.91106501074353
2014-01-10,0,0,12,0.0,100.71262872334599
2014-01-13,0,0,12,0.0,100.99617079162535
2014-01-14,0,0,12,0.0,100.04066338784214
2014-01-15,0,0,12,0.0,100.93708284377507
2014-01-16,0,0,12,0.0,100.09316949407608
2014-01-17,0,0,12,0.0,98.46404382712032
2014-01-20,0,0,12,0.0,98.04442155733354
2014-01-21,0,0,12,0.0,99.45257932947953
2014-01-22,0,0,12,0.0,98.75918048128803
2014-01-23,0,0,12,0.0,98.40605242106653
2014-01-24,0,0,12,0.0,97.11099177435241
2014-01-27,0,0,12,0.0,94.0689980149778
2014-01-28,0,0,12,0.0,95.5622782317096
2014-01-29,0,0,12,0.0,95.21117662603386
2014-01-30,0,0,12,0.0,93.2673822519024
2014-01-31,0,0,12,0.0,95.50082418593199
2014-02-03,0,0,12,0.0,94.66040253479004
2014-02-04,0,0,12,0.0,95.25645566746452
2014-02-05,0,0,12,0.0,96.20860062650597
2014-02-06,0,0,12,0.0,96.9925374380989
2014-02-07,0,0,12,0.0,98.28833652481266
2014-02-10,0,0,12,0.0,98.92483831011462
2014-02-11,0,0,12,0.0,100.42321648267067
2014-02-12,0,0,12,0.0,101.27663090057679
2014-02-13,0,0,12,0.0,99.38780891186262
2014-02-14,0,0,12,0.0,99.50079761477284
2014-02-17,0,0,12,0.0,99.98842732674245
2014-02-18,0,0,12,0.0,100.69750267050273
2014-02-19,0,0,12,0.0,100.50286724036025
2014-02-20,0,0,12,0.0,99.96533365112286
2014-02-21,0,0,12,0.0,100.490006617286
2014-02-24,0,0,12,0.0,101.761557816029
2014-02-25,0,0,12,0.0,102.86074858465383
2014-02-26,0,0,12,0.0,102.64479412349085
2014-02-28,0,0,12,0.0,102.82944508860122
2014-03-03,0,0,12,0.0,102.25513157298785
2014-03-04,0,0,12,0.0,102.74833607640619
2014-03-05,0,0,12,0.0,103.88868474468269
2014-03-06,0,0,12,0.0,106.52105100665213
2014-03-07,0,0,12,0.0,106.99083561664582
2014-03-10,0,0,12,0.0,108.87935865847179
2014-03-11,0,0,12,0.0,108.72048662814026
2014-03-12,0,0,12,0.0,107.59748743771598
2014-03-13,0,0,12,0.0,108.38300525189248
2014-03-14,0,0,12,0.0,108.11786239293808
2014-03-18,0,0,12,0.0,109.35429000627224
2014-03-19,0,0,12,0.0,108.92511682689286
2014-03-20,0,0,12,0.0,106.97061388497096
2014-03-21,0,0,12,0.0,106.92112987528823
2014-03-24,0,0,12,0.0,108.22742692126701
2014-03-25,0,0,12,0.0,109.05885217561668
2014-03-26,0,0,12,0.0,109.48718414357745
2014-03-27,0,0,12,0.0,110.95505280080621
2014-03-28,0,0,12,0.0,114.79892959071822
2014-03-31,0,0,12,0.0,115.10900261355646
2014-04-01,0,0,12,0.0,114.58130989037952
2014-04-02,0,0,12,0.0,116.54071115467472
2014-04-03,0,0,12,0.0,114.5685587171954
2014-04-04,0,0,12,0.0,113.41258288746114
2014-04-07,0,0,12,0.0,113.64141537554207
2014-04-09,0,0,12,0.0,115.99571646701376
2014-04-10,0,0,12,0.0,117.58482679971874
2014-04-11,0,0,12,0.0,117.46691365506234
2014-04-15,0,0,12,0.0,116.41024839536233
2014-04-16,0,0,12,0.0,115.68888001704276
2014-04-17,0,0,12,0.0,118.14972408808077
2014-04-21,0,0,12,0.0,119.02581310261348
2014-04-22,0,0,12,0.0,120.09924156150913
2014-04-23,0,0,12,0.0,121.38931490431813
2014-04-24,0,0,12,0.0,121.38931490431813
2014-04-25,0,0,12,0.0,121.83838173667472
2014-04-28,0,0,12,0.0,121.35718158399919
2014-04-29,0,0,12,0.0,119.71076760431048
2014-04-30,0,0,12,0.0,119.50349979779358
2014-05-02,0,0,12,0.0,119.7538544474581
2014-05-05,0,0,12,0.0,119.59385453627276
2014-05-06,0,0,12,0.0,120.39292423176262
2014-05-07,0,0,12,0.0,119.89740508231057
2014-05-08,0,0,12,0.0,119.75442164340168
2014-05-09,0,0,12,0.0,122.01413529918435
2014-05-12,0,0,12,0.0,123.94425418361533
2014-05-13,0,0,12,0.0,125.64516634131353
2014-05-14,0,0,12,0.0,126.88991780919604
2014-05-15,0,0,12,0.0,127.15575095240321
2014-05-16,0,0,12,0.0,129.4189269221944
2014-05-19,0,0,12,0.0,139.31899773691862
2014-05-20,0,0,12,0.0,138.57569125435575
2014-05-21,0,0,12,0.0,141.64630931002483
2014-05-22,0,0,12,0.0,148.08103087058223
2014-05-23,0,0,12,0.0,151.30359162115622
2014-05-26,0,0,12,0.0,146.62481484554883
2014-05-27,0,0,12,0.0,143.8707309959228
2014-05-28,0,0,12,0.0,146.54221829441354
2014-05-29,0,0,12,0.0,145.06831596290226
2014-05-30,0,0,12,0.0,143.2138426627318
2014-06-02,0,0,12,0.0,148.07040416592295
2014-06-03,0,0,12,0.0,147.97897347214274
2014-06-04,0,0,12,0.0,149.63939886551418
2014-06-05,0,0,12,0.0,153.4493956547996
2014-06-06,0,0,12,0.0,156.29165903376912
2014-06-09,0,0,12,0.0,158.29346972561245
2014-06-10,0,0,12,0.0,156.14508409008278
2014-06-11,0,0,12,0.0,153.4218655953258
2014-06-12,0,0,12,0.0,154.02295203748713
2014-06-13,0,0,12,0.0,148.8051296034613
2014-06-16,0,0,12,0.0,148.6620233972948
2014-06-17,0,0,12,0.0,149.36057976167646
2014-06-18,0,0,12,0.0,149.80476801314475
2014-06-19,0,0,12,0.0,148.7026558250565
2014-06-20,0,0,12,0.0,148.29269155891782
2014-06-23,0,0,12,0.0,147.6973037997545
2014-06-24,0,0,12,0.0,149.44221386721185
2014-06-25,0,0,12,0.0,152.1010945547982
2014-06-26,0,0,12,0.0,150.4079930777621
2014-06-27,0,0,12,0.0,150.0499034077056
2014-06-30,0,0,12,0.0,152.72617384909742
2014-07-01,0,0,12,0.0,153.86920371431498
2014-07-02,0,0,12,0.0,156.71684822459358
2014-07-03,0,0,12,0.0,156.3279892338293
2014-07-04,0,0,12,0.0,158.10507531310094
2014-07-07,0,0,12,0.0,158.85648080860352
2014-07-08,0,0,12,0.0,152.40498175042018
2014-07-09,0,0,12,0.0,149.73613446710482
2014-07-10,0,0,12,0.0,151.71325067232965
2014-07-11,0,0,12,0.0,144.93455030345515
2014-07-14,0,0,12,0.0,145.6820601953957
2014-07-15,0,0,12,0.0,149.02078681810963
2014-07-16,0,0,12,0.0,148.19464751080648
2014-07-17,0,0,12,0.0,148.75773914029847
2014-07-18,0,0,12,0.0,148.51773305068667
2014-07-21,0,0,12,0.0,150.21206565805312
2014-07-22,0,0,12,0.0,150.57719304491656
2014-07-23,0,0,12,0.0,149.6345166115642
2014-07-24,0,0,12,0.0,149.84190791941586
2014-07-25,0,0,12,0.0,147.0569056500583
2014-07-28,0,0,12,0.0,145.7469090510613
2014-07-30,0,0,12,0.0,146.91632011161647
2014-07-31,0,0,12,0.0,146.77923615986114
2014-08-01,0,0,12,0.0,145.31437921863366
2014-08-04,0,0,12,0.0,147.8169635622202
2014-08-05,0,0,12,0.0,147.88916833831254
2014-08-06,0,0,12,0.0,147.59189908087015
2014-08-07,11,1,12,91.66666666666666,147.17203614489853
2014-08-08,11,1,12,91.66666666666666,144.60461921593028
2014-08-11,11,1,12,91.66666666666666,145.68156911874172
2014-08-12,11,1,12,91.66666666666666,147.3686451948384
2014-08-13,11,1,12,91.66666666666666,145.6970960025332
2014-08-14,11,1,12,91.66666666666666,146.21801888321227
2014-08-18,12,0,12,100.0,147.99777848549925
2014-08-19,12,0,12,100.0,153.3657487633126
2014-08-20,12,0,12,100.0,155.1430450508388
2014-08-21,12,0,12,100.0,155.6470683832209
2014-08-22,12,0,12,100.0,156.91730044520395
2014-08-25,12,0,12,100.0,153.81846909175835
2014-08-26,12,0,12,100.0,154.16590067167448
2014-08-27,12,0,12,100.0,154.70827707775555
2014-08-28,12,0,12,100.0,154.0818207424578
2014-09-01,12,0,12,100.0,159.34921960190712
2014-09-02,12,0,12,100.0,158.70053657498724
2014-09-03,12,0,12,100.0,159.40784187267917
2014-09-04,12,0,12,100.0,159.19228710957324
2014-09-05,12,0,12,100.0,159.50445046424292
2014-09-08,12,0,12,100.0,161.58785612411043
2014-09-09,12,0,12,100.0,163.97069514772497
2014-09-10,12,0,12,100.0,163.34473343046324
2014-09-11,12,0,12,100.0,165.6334707105904
2014-09-12,12,0,12,100.0,167.49885714700582
2014-09-15,12,0,12,100.0,167.9729944034065
2014-09-16,12,0,12,100.0,162.5398498273634
2014-09-17,12,0,12,100.0,164.8059735173793
2014-09-18,12,0,12,100.0,167.13397213558707
2014-09-19,12,0,12,100.0,169.65971043809304
2014-09-22,12,0,12,100.0,168.20965349297649
2014-09-23,11,1,12,91.66666666666666,165.37028375931206
2014-09-24,11,1,12,91.66666666666666,163.04038677998042
2014-09-25,11,1,12,91.66666666666666,159.24374644455054
