Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,4,0,4,100.0,136.6201759874897
2014-08-08,4,0,4,100.0,134.7092823700813
2014-08-11,4,0,4,100.0,133.71156778754832
2014-08-12,4,0,4,100.0,136.14882831907607
2014-08-13,4,0,4,100.0,135.472062708634
2014-08-14,4,0,4,100.0,136.18799670175952
2014-08-18,4,0,4,100.0,140.16848664786238
2014-08-19,4,0,4,100.0,141.41723323713902
2014-08-20,4,0,4,100.0,140.35033926009842
2014-08-21,4,0,4,100.0,142.05884641728773
2014-08-22,4,0,4,100.0,141.1122713513232
2014-08-25,4,0,4,100.0,139.41900008626988
2014-08-26,4,0,4,100.0,140.97711069170904
2014-08-27,4,0,4,100.0,142.3209757008582
2014-08-28,4,0,4,100.0,143.2956829697223
2014-09-01,4,0,4,100.0,146.1951284831999
2014-09-02,4,0,4,100.0,149.54720969452853
2014-09-03,4,0,4,100.0,148.12713172164842
2014-09-04,4,0,4,100.0,147.71972394852594
2014-09-05,4,0,4,100.0,147.91147561233487
2014-09-08,4,0,4,100.0,147.59903422867336
2014-09-09,4,0,4,100.0,148.35245803928737
2014-09-10,4,0,4,100.0,151.41193333955442
2014-09-11,4,0,4,100.0,153.842459149566
2014-09-12,4,0,4,100.0,157.85655906955265
2014-09-15,4,0,4,100.0,156.29995558781306
2014-09-16,4,0,4,100.0,153.65963051444797
2014-09-17,4,0,4,100.0,154.66519964924908
2014-09-18,4,0,4,100.0,157.06507968140195
2014-09-19,4,0,4,100.0,157.22983611241744
2014-09-22,4,0,4,100.0,157.26562114550367
2014-09-23,4,0,4,100.0,154.98401859055406
2014-09-24,4,0,4,100.0,155.22812145040314
2014-09-25,4,0,4,100.0,153.5653689267763
2014-09-26,4,0,4,100.0,152.81980657845327
2014-09-29,4,0,4,100.0,153.9460730593368
2014-09-30,4,0,4,100.0,153.60117932675135
2014-10-01,4,0,4,100.0,152.87684076489262
2014-10-07,4,0,4,100.0,148.9711642493369
2014-10-08,4,0,4,100.0,148.93651688286997
2014-10-09,4,0,4,100.0,151.41346326672632
2014-10-10,4,0,4,100.0,149.08492260733368
2014-10-13,4,0,4,100.0,150.0052297390201
2014-10-14,4,0,4,100.0,149.7965552640338
2014-10-16,4,0,4,100.0,151.1181509396256
2014-10-17,4,0,4,100.0,149.8775789751267
2014-10-20,4,0,4,100.0,155.04919650805687
2014-10-21,4,0,4,100.0,157.57858332359345
2014-10-22,4,0,4,100.0,160.08698895236287
2014-10-23,4,0,4,100.0,159.49513172120842
2014-10-27,4,0,4,100.0,157.02930329773793
2014-10-28,4,0,4,100.0,159.17066602459153
2014-10-29,4,0,4,100.0,157.770994647506
2014-10-30,4,0,4,100.0,159.34141424731237
2014-10-31,4,0,4,100.0,162.152980001474
2014-11-03,4,0,4,100.0,159.15965133788276
2014-11-05,4,0,4,100.0,161.35586485830905
2014-11-07,4,0,4,100.0,159.77815164033592
2014-11-10,4,0,4,100.0,161.90255181090495
2014-11-11,4,0,4,100.0,163.24880112361146
2014-11-12,4,0,4,100.0,163.13714774980446
2014-11-13,4,0,4,100.0,162.11023298429325
2014-11-14,4,0,4,100.0,165.06445137465718
2014-11-17,4,0,4,100.0,165.43944747524355
2014-11-18,4,0,4,100.0,163.82377288961948
2014-11-19,4,0,4,100.0,159.14928662208533
2014-11-20,4,0,4,100.0,160.81315943904096
2014-11-21,4,0,4,100.0,160.76567951881307
2014-11-24,4,0,4,100.0,161.8509430138057
2014-11-25,4,0,4,100.0,162.62661720197661
2014-11-26,4,0,4,100.0,167.22897492791
2014-11-27,4,0,4,100.0,169.2447123723484
2014-11-28,4,0,4,100.0,168.67457252578956
2014-12-01,4,0,4,100.0,167.21420079506896
2014-12-02,4,0,4,100.0,165.54882346466184
2014-12-03,4,0,4,100.0,168.58097112644063
2014-12-04,4,0,4,100.0,168.74003172473203
2014-12-05,4,0,4,100.0,167.26446602361472
2014-12-08,4,0,4,100.0,164.42232601922964
2014-12-09,4,0,4,100.0,160.98139970314273
2014-12-10,4,0,4,100.0,162.3039367393053
2014-12-11,4,0,4,100.0,160.66910732035174
2014-12-12,4,0,4,100.0,158.53352977408463
2014-12-15,4,0,4,100.0,158.4039415516609
2014-12-16,3,1,4,75.0,155.76772721916902
2014-12-17,3,1,4,75.0,158.72980071357975
2014-12-18,4,0,4,100.0,162.89721684364238
2014-12-19,4,0,4,100.0,162.3924700361953
2014-12-22,4,0,4,100.0,168.45484439513726
2014-12-23,4,0,4,100.0,169.5372095446084
2014-12-24,4,0,4,100.0,168.7427168240312
2014-12-26,4,0,4,100.0,168.60519193095755
2014-12-29,4,0,4,100.0,169.42521433124278
2014-12-30,4,0,4,100.0,169.6154540906772
2014-12-31,4,0,4,100.0,169.49657728337078
2015-01-01,4,0,4,100.0,169.50638135055877
2015-01-02,4,0,4,100.0,169.59367701689527
