Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,4,0,6,100.0,142.2325749183462
2014-08-08,3,1,6,75.0,140.0774148490648
2014-08-11,4,0,6,100.0,140.4365648930045
2014-08-12,3,1,6,75.0,137.61764751086326
2014-08-13,3,1,6,75.0,134.56278759899533
2014-08-14,3,1,6,75.0,136.10611711691521
2014-08-18,3,1,6,75.0,138.7557505370046
2014-08-19,3,1,6,75.0,141.85374221745064
2014-08-20,3,1,6,75.0,142.6047537898988
2014-08-21,3,1,6,75.0,142.96211877233068
2014-08-22,3,1,6,75.0,145.98862228558147
2014-08-25,3,1,6,75.0,143.91241614218114
2014-08-26,3,1,6,75.0,142.92196659904621
2014-08-27,3,1,6,75.0,145.03460847391696
2014-08-28,3,1,6,75.0,142.68469174923698
2014-09-01,4,1,6,80.0,145.0648588791044
2014-09-02,4,1,6,80.0,145.0681840811265
2014-09-03,4,1,6,80.0,149.56490316827495
2014-09-04,4,1,6,80.0,146.99307429010622
2014-09-05,4,1,6,80.0,146.58143723128728
2014-09-08,4,1,6,80.0,152.82789852531158
2014-09-09,5,0,6,100.0,161.3368707421242
2014-09-10,5,0,6,100.0,161.24558226972573
2014-09-11,5,0,6,100.0,162.88321123415827
2014-09-12,5,0,6,100.0,164.75164213217352
2014-09-15,6,0,6,100.0,163.90423377875427
2014-09-16,5,1,6,83.33333333333334,156.06798888185017
2014-09-17,5,1,6,83.33333333333334,154.25436898107785
2014-09-18,6,0,6,100.0,159.948152197455
2014-09-19,6,0,6,100.0,160.3003694961714
2014-09-22,6,0,6,100.0,160.70637604607606
2014-09-23,6,0,6,100.0,155.67035787220266
2014-09-24,5,1,6,83.33333333333334,153.29350077498984
2014-09-25,5,1,6,83.33333333333334,149.21161891832247
2014-09-26,5,1,6,83.33333333333334,149.76858138951565
2014-09-29,4,1,5,80.0,149.01312585470433
2014-09-30,5,1,6,83.33333333333334,149.16370135957743
2014-10-01,4,1,5,80.0,148.817113554361
2014-10-07,5,1,6,83.33333333333334,146.65293408735494
2014-10-08,4,1,5,80.0,149.39408719933834
2014-10-09,4,1,5,80.0,149.98421177933272
2014-10-10,4,1,5,80.0,146.8955330561874
2014-10-13,5,1,6,83.33333333333334,146.89279917842813
2014-10-14,5,1,6,83.33333333333334,144.2973635593783
2014-10-16,2,4,6,33.33333333333333,141.1384562439427
2014-10-17,2,4,6,33.33333333333333,142.67846906302736
2014-10-20,3,3,6,50.0,143.0987375439261
2014-10-21,4,2,6,66.66666666666666,145.13296306214286
2014-10-22,4,2,6,66.66666666666666,146.29330364683307
2014-10-23,3,1,4,75.0,148.48108197161895
2014-10-27,5,1,6,83.33333333333334,148.31641469381648
2014-10-28,5,1,6,83.33333333333334,149.98035903781295
2014-10-29,5,1,6,83.33333333333334,151.555571245639
2014-10-30,5,1,6,83.33333333333334,148.03344656380264
2014-10-31,5,1,6,83.33333333333334,149.78062851637367
2014-11-03,5,1,6,83.33333333333334,147.59685778107405
2014-11-05,5,1,6,83.33333333333334,150.62561047108576
2014-11-07,5,1,6,83.33333333333334,149.48092577551634
2014-11-10,5,1,6,83.33333333333334,150.9462364264163
2014-11-11,5,1,6,83.33333333333334,157.50042795484717
2014-11-12,5,1,6,83.33333333333334,156.1657800947785
2014-11-13,4,2,6,66.66666666666666,156.07608724640804
2014-11-14,4,2,6,66.66666666666666,155.51999759676306
2014-11-17,5,1,6,83.33333333333334,160.76857828663842
2014-11-18,5,1,6,83.33333333333334,166.63341160264667
2014-11-19,4,2,6,66.66666666666666,166.38007555201247
2014-11-20,4,2,6,66.66666666666666,170.23972915799294
2014-11-21,4,2,6,66.66666666666666,170.97182955997656
2014-11-24,5,1,6,83.33333333333334,172.1669342860118
