Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,3,0,3,100.0,110.1640368386408
2014-08-08,2,1,3,66.66666666666666,107.00588383792251
2014-08-11,2,1,3,66.66666666666666,105.4771258556019
2014-08-12,3,0,3,100.0,108.49100752472597
2014-08-13,2,1,3,66.66666666666666,108.83544352253236
2014-08-14,3,0,3,100.0,109.74610421580277
2014-08-18,3,0,3,100.0,114.20630157929372
2014-08-19,3,0,3,100.0,116.12584690107974
2014-08-20,3,0,3,100.0,117.70371544131994
2014-08-21,3,0,3,100.0,116.03482845718223
2014-08-22,3,0,3,100.0,115.58041953608016
2014-08-25,3,0,3,100.0,116.76015847923998
2014-08-26,3,0,3,100.0,116.97392520633083
2014-08-27,3,0,3,100.0,117.25556164788826
2014-08-28,3,0,3,100.0,117.15751214150525
2014-09-01,3,0,3,100.0,118.97379926473879
2014-09-02,3,0,3,100.0,122.67316437847806
2014-09-03,3,0,3,100.0,121.78149399676603
2014-09-04,3,0,3,100.0,122.94043478472152
2014-09-05,3,0,3,100.0,127.57606962108044
2014-09-08,3,0,3,100.0,131.42691346657222
2014-09-09,3,0,3,100.0,130.1849505574351
2014-09-10,3,0,3,100.0,135.44457265432698
2014-09-11,3,0,3,100.0,135.9576472002312
2014-09-12,3,0,3,100.0,137.04173124600086
2014-09-15,3,0,3,100.0,135.4223763637426
2014-09-16,3,0,3,100.0,129.15126034739276
2014-09-17,3,0,3,100.0,130.83900395822633
2014-09-18,3,0,3,100.0,140.3595244226381
2014-09-19,3,0,3,100.0,142.60481636000756
2014-09-22,3,0,3,100.0,141.0032027310651
2014-09-23,3,0,3,100.0,140.21794426434207
2014-09-24,3,0,3,100.0,139.32641042732985
2014-09-25,3,0,3,100.0,135.92940801594528
2014-09-26,3,0,3,100.0,137.5671319952106
2014-09-29,3,0,3,100.0,141.87068799445143
2014-09-30,3,0,3,100.0,141.2038835938525
2014-10-01,3,0,3,100.0,140.23903997699944
2014-10-07,3,0,3,100.0,138.9167197645481
2014-10-08,3,0,3,100.0,136.80176878709253
2014-10-09,3,0,3,100.0,139.8617809358383
2014-10-10,3,0,3,100.0,137.84272625258632
2014-10-13,3,0,3,100.0,134.93221610145085
2014-10-14,3,0,3,100.0,136.9818282256594
2014-10-16,3,0,3,100.0,133.01726183430776
2014-10-17,3,0,3,100.0,132.43659919480245
2014-10-20,3,0,3,100.0,134.40328132084557
2014-10-21,3,0,3,100.0,134.02877613830867
2014-10-22,3,0,3,100.0,136.63181110244133
2014-10-23,3,0,3,100.0,138.99728454063285
2014-10-27,3,0,3,100.0,137.31944998782032
2014-10-28,2,1,3,66.66666666666666,136.8113795588606
2014-10-29,2,1,3,66.66666666666666,139.81726386351278
2014-10-30,2,1,3,66.66666666666666,137.67457384580928
