Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,6,0.0,100.0
2014-01-02,0,0,6,0.0,99.49903400275002
2014-01-03,0,0,6,0.0,100.10540965702641
2014-01-06,0,0,6,0.0,100.32204061448482
2014-01-07,0,0,6,0.0,100.27975362509991
2014-01-08,0,0,6,0.0,101.53208874302638
2014-01-09,0,0,6,0.0,101.69568529075417
2014-01-10,0,0,6,0.0,102.09105531353661
2014-01-13,0,0,6,0.0,102.0764973200756
2014-01-14,0,0,6,0.0,103.15829245299473
2014-01-15,0,0,6,0.0,103.58448154687675
2014-01-16,0,0,6,0.0,102.84076458760545
2014-01-17,0,0,6,0.0,102.71056467139962
2014-01-20,0,0,6,0.0,103.07154593227695
2014-01-21,0,0,6,0.0,102.68243258428159
2014-01-22,0,0,6,0.0,105.54198161353767
2014-01-23,0,0,6,0.0,106.8327701437707
2014-01-24,0,0,6,0.0,106.13305871126812
2014-01-27,0,0,6,0.0,105.5033303730433
2014-01-28,0,0,6,0.0,104.03328909185711
2014-01-29,0,0,6,0.0,103.98743851824679
2014-01-30,0,0,6,0.0,103.13219248554152
2014-01-31,0,0,6,0.0,104.53604395233036
2014-02-03,0,0,6,0.0,106.50953592477195
2014-02-04,0,0,6,0.0,105.93780156497081
2014-02-05,0,0,6,0.0,105.8954857482141
2014-02-06,0,0,6,0.0,105.41599472791081
2014-02-07,0,0,6,0.0,107.07740227930694
2014-02-10,0,0,6,0.0,107.45522551397457
2014-02-11,0,0,6,0.0,106.80963875413241
2014-02-12,0,0,6,0.0,107.5715409749655
2014-02-13,0,0,6,0.0,105.08553466966166
2014-02-14,0,0,6,0.0,105.0468908207137
2014-02-17,0,0,6,0.0,105.50857239625033
2014-02-18,0,0,6,0.0,105.74175011994922
2014-02-19,0,0,6,0.0,106.75761295611346
2014-02-20,0,0,6,0.0,107.06107395039012
2014-02-21,0,0,6,0.0,107.51125012440524
2014-02-24,0,0,6,0.0,108.23634369847899
2014-02-25,0,0,6,0.0,108.40192281193255
2014-02-26,0,0,6,0.0,109.14203436550764
2014-02-28,0,0,6,0.0,111.1600486300172
2014-03-03,0,0,6,0.0,109.88930856958707
2014-03-04,0,0,6,0.0,109.89769686926624
2014-03-05,0,0,6,0.0,110.10773902946778
2014-03-06,0,0,6,0.0,109.84266521394265
