Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,10,0,10,100.0,122.45781588854908
2014-08-08,9,1,10,90.0,118.0334799288439
2014-08-11,9,1,10,90.0,118.36142945023411
2014-08-12,9,1,10,90.0,119.86441633718582
2014-08-13,8,2,10,80.0,116.66770632467052
2014-08-14,9,1,10,90.0,118.28971148217806
2014-08-18,9,1,10,90.0,120.40660194046113
2014-08-19,9,1,10,90.0,121.21325787838695
2014-08-20,9,1,10,90.0,122.6433148585862
2014-08-21,9,1,10,90.0,120.70500447335873
2014-08-22,9,1,10,90.0,120.88181726177143
2014-08-25,9,1,10,90.0,118.66677645895254
2014-08-26,7,3,10,70.0,115.28762517658244
2014-08-27,6,4,10,60.0,115.75310860281478
2014-08-28,6,4,10,60.0,114.08646517760779
2014-09-01,8,2,10,80.0,118.24229508492101
2014-09-02,8,2,10,80.0,117.34970938385271
2014-09-03,8,2,10,80.0,117.01574771789271
2014-09-04,7,3,10,70.0,116.32578649477607
2014-09-05,7,3,10,70.0,116.61617863912619
2014-09-08,8,2,10,80.0,119.00304210441422
2014-09-09,8,2,10,80.0,120.69814139460495
2014-09-10,8,2,10,80.0,121.28695120873736
2014-09-11,8,2,10,80.0,121.40672699302083
2014-09-12,8,2,10,80.0,119.43804220949114
2014-09-15,8,2,10,80.0,120.43983294397789
2014-09-16,4,6,10,40.0,114.91589884511215
2014-09-17,5,5,10,50.0,115.85432223269878
2014-09-18,7,3,10,70.0,119.7458576576733
2014-09-19,7,3,10,70.0,118.71672957321917
2014-09-22,6,4,10,60.0,117.62565424417654
2014-09-23,5,5,10,50.0,114.59487370664696
2014-09-24,5,5,10,50.0,115.13244725218372
2014-09-25,5,5,10,50.0,108.87645544023066
2014-09-26,5,5,10,50.0,111.98044632330051
2014-09-29,5,5,10,50.0,111.45964529461143
2014-09-30,5,5,10,50.0,110.34327429362844
2014-10-01,5,5,10,50.0,108.83013902088494
2014-10-07,5,5,10,50.0,108.70877498305633
2014-10-08,5,5,10,50.0,109.45694460299808
2014-10-09,5,5,10,50.0,112.49890125297324
2014-10-10,5,5,10,50.0,110.15445097593415
2014-10-13,5,5,10,50.0,111.02275241348502
2014-10-14,5,5,10,50.0,110.8906333798681
2014-10-16,5,5,10,50.0,107.92167210340529
2014-10-17,5,5,10,50.0,108.2105207140031
2014-10-20,5,5,10,50.0,110.73371851024389
2014-10-21,6,4,10,60.0,112.83599008902692
2014-10-22,6,4,10,60.0,114.03375653591506
2014-10-23,6,4,10,60.0,114.49669674871159
2014-10-27,6,4,10,60.0,113.81291007961758
2014-10-28,6,4,10,60.0,115.30378444223386
2014-10-29,6,4,10,60.0,115.5895165500369
2014-10-30,6,4,10,60.0,116.08292889723899
2014-10-31,6,4,10,60.0,119.5237294973613
2014-11-03,9,1,10,90.0,121.22114216393068
2014-11-05,7,3,10,70.0,120.07225670071384
2014-11-07,7,3,10,70.0,119.66280019251843
2014-11-10,7,3,10,70.0,118.56992295952904
2014-11-11,7,3,10,70.0,119.2922080318774
2014-11-12,6,4,10,60.0,118.12601952453814
2014-11-13,6,4,10,60.0,116.18968159558555
2014-11-14,6,4,10,60.0,117.70127122769374
2014-11-17,7,3,10,70.0,120.78509760602903
2014-11-18,7,3,10,70.0,122.16920037676906
2014-11-19,6,4,10,60.0,119.58765598724011
2014-11-20,6,4,10,60.0,118.29043423321978
2014-11-21,5,5,10,50.0,117.21717769205182
2014-11-24,6,4,10,60.0,118.79827514839994
2014-11-25,6,4,10,60.0,115.2145719698334
2014-11-26,6,4,10,60.0,117.5431859643228
2014-11-27,6,4,10,60.0,118.21203836184449
2014-11-28,6,4,10,60.0,118.7631656550117
2014-12-01,6,4,10,60.0,117.08457865303426
2014-12-02,6,4,10,60.0,117.88726816741718
2014-12-03,6,4,10,60.0,119.06326480643021
2014-12-04,5,5,10,50.0,117.82745864111108
2014-12-05,5,5,10,50.0,117.72028450483869
2014-12-08,5,5,10,50.0,116.23153502568209
2014-12-09,4,6,10,40.0,113.32936274382226
2014-12-10,4,6,10,40.0,114.97086677962184
2014-12-11,4,6,10,40.0,114.09296030711134
2014-12-12,4,6,10,40.0,112.67887504707383
2014-12-15,4,6,10,40.0,111.72826945734417
2014-12-16,4,6,10,40.0,108.11712801594237
2014-12-17,3,7,10,30.0,107.87359059113662
2014-12-18,4,6,10,40.0,112.57287756998484
2014-12-19,4,6,10,40.0,113.39548811754922
2014-12-22,5,5,10,50.0,114.1833601738693
2014-12-23,5,5,10,50.0,113.31877923164117
2014-12-24,5,5,10,50.0,113.18777187590881
2014-12-26,5,5,10,50.0,113.67098413562513
2014-12-29,5,5,10,50.0,113.84838467162245
2014-12-30,5,5,10,50.0,114.28207672258725
2014-12-31,5,5,10,50.0,115.16445397466511
2015-01-01,5,5,10,50.0,115.31850545895783
2015-01-02,5,5,10,50.0,116.89549945661304
2015-01-05,5,5,10,50.0,117.06190565782495
2015-01-06,5,5,10,50.0,113.45459055449216
2015-01-07,5,5,10,50.0,113.21098182492264
2015-01-08,5,5,10,50.0,115.76617583812951
2015-01-09,5,5,10,50.0,114.83905725908643
2015-01-12,5,5,10,50.0,116.60364063291213
2015-01-13,4,6,10,40.0,115.21915438052986
2015-01-14,4,6,10,40.0,115.8288041319478
2015-01-15,4,6,10,40.0,117.51193201107553
2015-01-16,5,5,10,50.0,118.08697533415831
2015-01-19,5,5,10,50.0,119.24373421727734
2015-01-20,5,5,10,50.0,118.94676449467237
2015-01-21,5,5,10,50.0,118.38840236452303
2015-01-22,4,6,10,40.0,118.75461250546063
2015-01-23,5,5,10,50.0,122.07747471508965
2015-01-27,5,5,10,50.0,121.83892027597334
2015-01-28,5,5,10,50.0,121.59642318505477
2015-01-29,6,4,10,60.0,122.13286430765015
2015-01-30,6,4,10,60.0,123.69397812030911
2015-02-02,7,3,10,70.0,125.24979254844506
2015-02-03,5,5,10,50.0,122.1748890029463
2015-02-04,5,5,10,50.0,121.98896445110736
2015-02-05,4,6,10,40.0,118.03137715325747
2015-02-06,4,6,10,40.0,117.17384117875712
2015-02-09,3,7,10,30.0,115.533069858646
2015-02-10,4,6,10,40.0,115.7289402661283
2015-02-11,4,6,10,40.0,118.24817784948934
2015-02-12,6,4,10,60.0,119.90659918260751
2015-02-13,5,5,10,50.0,120.266076527749
2015-02-16,4,6,10,40.0,118.9998670080767
2015-02-18,5,5,10,50.0,121.04443518989711
2015-02-19,5,5,10,50.0,123.79443759927786
2015-02-20,5,5,10,50.0,122.92804422556148
2015-02-23,5,5,10,50.0,122.47766899700198
2015-02-24,5,5,10,50.0,122.39130920486296
2015-02-25,5,5,10,50.0,121.28019008282837
2015-02-26,5,5,10,50.0,121.38650624259127
2015-02-27,6,4,10,60.0,125.26206459730697
2015-02-28,5,5,10,50.0,123.01648280538573
2015-03-02,5,5,10,50.0,122.5195900968589
2015-03-03,5,5,10,50.0,124.44615509628638
2015-03-04,5,5,10,50.0,122.4118723413981
2015-03-05,5,5,10,50.0,123.4358674758592
2015-03-09,5,5,10,50.0,119.76238461262663
2015-03-10,5,5,10,50.0,118.39887645720921
2015-03-11,5,5,10,50.0,118.36103259037851
2015-03-12,5,5,10,50.0,120.15554261506345
2015-03-13,4,6,10,40.0,118.34043873997754
2015-03-16,4,6,10,40.0,117.46121615797142
2015-03-17,4,6,10,40.0,118.50372128625442
2015-03-18,4,6,10,40.0,117.85570130758671
2015-03-19,4,6,10,40.0,117.13890295162663
2015-03-20,4,6,10,40.0,116.41645129302564
2015-03-23,4,6,10,40.0,116.66790705720192
2015-03-24,4,6,10,40.0,116.1580497607648
2015-03-25,4,6,10,40.0,115.52043144314162
2015-03-26,4,6,10,40.0,114.68736418779832
2015-03-27,4,6,10,40.0,114.45179782530694
2015-03-30,4,6,10,40.0,115.76676778684572
2015-03-31,4,6,10,40.0,116.28163267215419
2015-04-01,4,6,10,40.0,116.9419472538811
2015-04-06,4,6,10,40.0,117.19774323695518
2015-04-07,4,6,10,40.0,118.464484894512
2015-04-08,4,6,10,40.0,118.50373101609631
2015-04-09,4,6,10,40.0,118.70966582326355
2015-04-10,4,6,10,40.0,120.02991356820694
2015-04-13,5,5,10,50.0,121.50180401889803
2015-04-15,5,5,10,50.0,120.3274037889522
2015-04-16,5,5,10,50.0,118.63558825750069
2015-04-17,4,6,10,40.0,117.66015675871988
2015-04-20,4,6,10,40.0,115.01154638712596
2015-04-21,4,6,10,40.0,114.53118888355473
2015-04-22,4,6,10,40.0,115.30567675554329
2015-04-23,4,6,10,40.0,114.44825882272318
2015-04-24,4,6,10,40.0,113.35907947864776
2015-04-27,4,6,10,40.0,110.67354409222476
2015-04-28,4,6,10,40.0,112.28315188873759
2015-04-29,4,6,10,40.0,112.36528726981075
2015-04-30,4,6,10,40.0,111.82201352656902
2015-05-04,4,6,10,40.0,114.33111037007156
2015-05-05,4,6,10,40.0,113.77861079242304
2015-05-06,4,6,10,40.0,109.34203599007346
2015-05-07,4,6,10,40.0,107.22359116794723
2015-05-08,4,6,10,40.0,108.30235088839588
2015-05-11,4,6,10,40.0,109.5905435863751
2015-05-12,4,6,10,40.0,106.13499057180866
2015-05-13,4,6,10,40.0,107.6479751424605
2015-05-14,4,6,10,40.0,108.75159193556942
2015-05-15,4,6,10,40.0,108.49366537337053
2015-05-18,4,6,10,40.0,109.28405008319186
2015-05-19,4,6,10,40.0,108.61990850303546
2015-05-20,4,6,10,40.0,108.99824588292286
2015-05-21,3,7,10,30.0,108.56529470890655
2015-05-22,4,6,10,40.0,107.03998839969142
2015-05-25,3,7,10,30.0,106.97370173806446
2015-05-26,3,7,10,30.0,106.49856408553823
2015-05-27,3,7,10,30.0,106.58276861643043
2015-05-28,4,6,10,40.0,106.60494262174703
2015-05-29,5,5,10,50.0,107.35399719326364
2015-06-01,5,5,10,50.0,107.02903775996721
2015-06-02,4,6,10,40.0,104.9463638993396
2015-06-03,3,7,10,30.0,99.90516637506212
2015-06-04,3,7,10,30.0,98.98534131602392
2015-06-05,3,7,10,30.0,99.0320272408226
2015-06-08,3,7,10,30.0,97.83906799661047
2015-06-09,3,7,10,30.0,98.23559434782119
2015-06-10,3,7,10,30.0,98.91963233437706
2015-06-11,2,8,10,20.0,96.1980091396429
2015-06-12,1,9,10,10.0,95.82589845206896
2015-06-15,2,8,10,20.0,96.99290917478397
2015-06-16,2,8,10,20.0,96.85859833340538
2015-06-17,2,8,10,20.0,97.27468671881701
2015-06-18,1,9,10,10.0,97.28076931310063
2015-06-19,1,9,10,10.0,97.42676551823526
2015-06-22,3,7,10,30.0,100.21096727827714
2015-06-23,3,7,10,30.0,101.36798145793374
2015-06-24,3,7,10,30.0,100.72472636284886
2015-06-25,3,7,10,30.0,101.79279415260498
2015-06-26,4,6,10,40.0,100.94680204331424
2015-06-29,3,7,10,30.0,99.04218892582597
2015-06-30,1,9,10,10.0,99.02722558021358
2015-07-01,1,9,10,10.0,100.09328507100473
2015-07-02,1,9,10,10.0,99.52664786607156
2015-07-03,2,8,10,20.0,98.49165294813955
2015-07-06,2,8,10,20.0,99.6548376632972
2015-07-07,0,10,10,0.0,100.36589725069459
2015-07-08,0,10,10,0.0,99.0270602978204
2015-07-09,0,10,10,0.0,99.33052976373408
2015-07-10,0,10,10,0.0,98.50308540067776
2015-07-13,1,9,10,10.0,99.31833723461932
2015-07-14,1,9,10,10.0,100.20648033603126
2015-07-15,1,9,10,10.0,100.16093226169056
2015-07-16,2,8,10,20.0,101.05445334643352
2015-07-17,2,8,10,20.0,102.45016583482918
2015-07-20,2,8,10,20.0,101.9833171392409
2015-07-21,1,9,10,10.0,99.66882540920412
2015-07-22,2,8,10,20.0,100.81852516262457
2015-07-23,2,8,10,20.0,99.93567382117699
2015-07-24,2,8,10,20.0,98.82333861147713
2015-07-27,1,9,10,10.0,96.73159688283587
2015-07-28,2,8,10,20.0,95.46468816023578
2015-07-29,1,9,10,10.0,95.00037619909023
2015-07-30,1,9,10,10.0,96.2124266879363
2015-07-31,1,9,10,10.0,96.51207608370508
2015-08-03,1,9,10,10.0,97.65466530646168
2015-08-04,2,8,10,20.0,98.92605962750535
2015-08-05,2,8,10,20.0,100.13339804030099
2015-08-06,2,8,10,20.0,101.51968660619248
2015-08-07,2,8,10,20.0,101.03962018251235
2015-08-10,2,8,10,20.0,99.96172324681748
2015-08-11,2,8,10,20.0,99.053824670338
2015-08-12,2,8,10,20.0,96.29971691574369
2015-08-13,2,8,10,20.0,95.15566736941216
2015-08-14,2,8,10,20.0,98.01483285822393
2015-08-17,2,8,10,20.0,98.26483195050561
2015-08-18,2,8,10,20.0,97.81916104809493
