Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,4,0.0,100.0
2014-01-02,0,0,4,0.0,99.48188372051715
2014-01-03,0,0,4,0.0,98.2443838777689
2014-01-06,0,0,4,0.0,97.9795196490879
2014-01-07,0,0,4,0.0,97.71775400904598
2014-01-08,0,0,4,0.0,97.28569689056921
2014-01-09,0,0,4,0.0,95.52066022170862
2014-01-10,0,0,4,0.0,93.23304559645092
2014-01-13,0,0,4,0.0,95.1193373968732
2014-01-14,0,0,4,0.0,96.37332609415564
2014-01-15,0,0,4,0.0,95.5715617739317
2014-01-16,0,0,4,0.0,94.51334411321803
2014-01-17,0,0,4,0.0,92.94349539216643
2014-01-20,0,0,4,0.0,94.42359768469895
2014-01-21,0,0,4,0.0,95.21167688648669
2014-01-22,0,0,4,0.0,95.01912005950224
2014-01-23,0,0,4,0.0,94.8149148606121
2014-01-24,0,0,4,0.0,92.45423517203565
2014-01-27,0,0,4,0.0,87.99058137290521
2014-01-28,0,0,4,0.0,87.29739087035136
2014-01-29,0,0,4,0.0,86.80870632850717
2014-01-30,0,0,4,0.0,87.94421058010627
2014-01-31,0,0,4,0.0,89.92174333990891
2014-02-03,0,0,4,0.0,89.5114352466196
2014-02-04,0,0,4,0.0,90.21379253068335
2014-02-05,0,0,4,0.0,91.58257025381644
2014-02-06,0,0,4,0.0,91.79991042371293
2014-02-07,0,0,4,0.0,92.69088103867449
2014-02-10,0,0,4,0.0,92.2349377472383
2014-02-11,0,0,4,0.0,91.50526337348171
2014-02-12,0,0,4,0.0,92.58651048431035
2014-02-13,0,0,4,0.0,91.48762631428272
2014-02-14,0,0,4,0.0,91.00918539479662
2014-02-17,0,0,4,0.0,90.1570652628848
2014-02-18,0,0,4,0.0,92.8989256851462
2014-02-19,0,0,4,0.0,93.42702020050059
2014-02-20,0,0,4,0.0,93.60404161181634
2014-02-21,0,0,4,0.0,93.97125778119924
2014-02-24,0,0,4,0.0,94.57016075956327
2014-02-25,0,0,4,0.0,94.24371460053578
2014-02-26,0,0,4,0.0,95.46014359216115
2014-02-28,0,0,4,0.0,96.24510590632232
