Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,97.64750934671744
2014-01-03,0,0,0,0.0,97.92581626876662
2014-01-06,0,0,0,0.0,96.29209914734784
2014-01-07,0,0,0,0.0,94.64668186943312
2014-01-08,0,0,0,0.0,96.3393244513938
2014-01-09,0,0,0,0.0,94.8808664201716
2014-01-10,0,0,0,0.0,93.13344926364807
2014-01-13,0,0,0,0.0,93.86311913205631
2014-01-14,0,0,0,0.0,92.85843009866817
2014-01-15,0,0,0,0.0,94.79391057508475
2014-01-16,0,0,0,0.0,94.64579345154243
2014-01-17,0,0,0,0.0,92.97370061554192
2014-01-20,0,0,0,0.0,94.13077282746207
2014-01-21,0,0,0,0.0,95.21979104108772
2014-01-22,0,0,0,0.0,95.11221625743862
2014-01-23,0,0,0,0.0,94.95812872035336
2014-01-24,0,0,0,0.0,91.8619699203922
2014-01-27,0,0,0,0.0,87.50833633582282
2014-01-28,0,0,0,0.0,86.93274943526895
2014-01-29,0,0,0,0.0,85.18320538528295
2014-01-30,0,0,0,0.0,81.72486898048112
2014-01-31,0,0,0,0.0,85.52008530431955
2014-02-03,0,0,0,0.0,83.62600703296057
2014-02-04,0,0,0,0.0,84.97845280772496
2014-02-05,0,0,0,0.0,85.02902363937044
2014-02-06,0,0,0,0.0,84.46062540594822
2014-02-07,0,0,0,0.0,85.44538578748815
2014-02-10,0,0,0,0.0,85.08431738089199
2014-02-11,0,0,0,0.0,84.95308348437581
2014-02-12,0,0,0,0.0,84.96549031272048
2014-02-13,0,0,0,0.0,82.73394896961047
2014-02-14,0,0,0,0.0,82.60839968165126
2014-02-17,0,0,0,0.0,82.40294414257248
2014-02-18,0,0,0,0.0,83.83494913948766
2014-02-19,0,0,0,0.0,83.04700732457309
2014-02-20,0,0,0,0.0,81.43764010008383
2014-02-21,0,0,0,0.0,82.46656154170914
2014-02-24,0,0,0,0.0,83.0839535957965
2014-02-25,0,0,0,0.0,82.43567129243313
2014-02-26,0,0,0,0.0,82.43612140245763
2014-02-28,0,0,0,0.0,83.72684891127906
2014-03-03,0,0,0,0.0,83.01758044274446
2014-03-04,0,0,0,0.0,85.99729192666334
2014-03-05,0,0,0,0.0,89.38005150952199
2014-03-06,0,0,0,0.0,90.8503143877058
2014-03-07,0,0,0,0.0,93.98877106010028
2014-03-10,0,0,0,0.0,95.31871924514884
2014-03-11,0,0,0,0.0,94.5974303346241
2014-03-12,0,0,0,0.0,92.75241953040107
2014-03-13,0,0,0,0.0,93.2990231479925
2014-03-14,0,0,0,0.0,93.6497747074149
2014-03-18,0,0,0,0.0,95.66848433166533
2014-03-19,0,0,0,0.0,96.16537704328708
2014-03-20,0,0,0,0.0,93.86923005311947
2014-03-21,0,0,0,0.0,95.14116836922494
2014-03-24,0,0,0,0.0,96.77043292830841
2014-03-25,0,0,0,0.0,96.75951831957148
2014-03-26,0,0,0,0.0,97.82664421876001
2014-03-27,0,0,0,0.0,100.99914374171557
2014-03-28,0,0,0,0.0,106.30256892201618
2014-03-31,0,0,0,0.0,106.29164621076674
2014-04-01,0,0,0,0.0,105.39805610726806
2014-04-02,0,0,0,0.0,110.1503795153505
2014-04-03,0,0,0,0.0,108.4930036678109
2014-04-04,0,0,0,0.0,108.71708552866363
2014-04-07,0,0,0,0.0,108.75216843317155
2014-04-09,0,0,0,0.0,114.27977373990805
2014-04-10,0,0,0,0.0,115.39045851842967
2014-04-11,0,0,0,0.0,114.50907403933184
2014-04-15,0,0,0,0.0,111.87827567280647
2014-04-16,0,0,0,0.0,110.5184608450188
2014-04-17,0,0,0,0.0,113.75312687225174
2014-04-21,0,0,0,0.0,115.95274480608381
2014-04-22,0,0,0,0.0,114.4174336823232
2014-04-23,0,0,0,0.0,115.42494703521949
2014-04-24,0,0,0,0.0,115.42494703521949
2014-04-25,0,0,0,0.0,116.92893550178081
2014-04-28,0,0,0,0.0,118.36353220574283
