Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,5,0,5,100.0,186.69341546277346
2014-08-08,5,0,5,100.0,184.36007782675654
2014-08-11,5,0,5,100.0,188.18106792966404
2014-08-12,5,0,5,100.0,187.00917479163468
2014-08-13,4,1,5,80.0,179.6541069063662
2014-08-14,5,0,5,100.0,183.9047570625032
2014-08-18,5,0,5,100.0,189.00647714816202
2014-08-19,5,0,5,100.0,191.67516590760522
2014-08-20,5,0,5,100.0,191.00895480734135
2014-08-21,5,0,5,100.0,189.7849351776059
2014-08-22,5,0,5,100.0,194.03807037649398
2014-08-25,5,0,5,100.0,191.51942196377976
2014-08-26,4,1,5,80.0,186.78067324065404
2014-08-27,4,1,5,80.0,185.27988629269748
2014-08-28,4,1,5,80.0,185.66810625556056
2014-09-01,4,1,5,80.0,188.9555876814884
2014-09-02,4,1,5,80.0,190.3431487112325
2014-09-03,5,0,5,100.0,194.827031766238
2014-09-04,5,0,5,100.0,194.05603094759007
2014-09-05,5,0,5,100.0,193.6788954442211
2014-09-08,5,0,5,100.0,197.9267138246879
2014-09-09,4,1,5,80.0,198.41034567657556
2014-09-10,5,0,5,100.0,200.99462704457483
2014-09-11,5,0,5,100.0,203.6420301257899
2014-09-12,5,0,5,100.0,205.8060225521667
2014-09-15,4,1,5,80.0,205.80500652692896
2014-09-16,4,1,5,80.0,201.36361742325582
2014-09-17,4,1,5,80.0,199.77981353704854
2014-09-18,4,1,5,80.0,203.4006161120298
2014-09-19,4,1,5,80.0,205.41106644476076
2014-09-22,4,1,5,80.0,204.8760978996226
2014-09-23,4,1,5,80.0,200.2885697045948
2014-09-24,4,1,5,80.0,193.78517420131416
2014-09-25,4,1,5,80.0,180.6289403892888
2014-09-26,4,1,5,80.0,184.6160892445213
2014-09-29,4,1,5,80.0,192.55713620904032
2014-09-30,4,1,5,80.0,191.6875168279204
2014-10-01,4,1,5,80.0,190.96136283211072
2014-10-07,4,1,5,80.0,186.65680520816716
2014-10-08,4,1,5,80.0,184.50941378086725
2014-10-09,4,1,5,80.0,189.1792040709676
2014-10-10,4,1,5,80.0,188.85637927835594
2014-10-13,4,1,5,80.0,188.30152044477924
2014-10-14,4,1,5,80.0,185.55745676549523
2014-10-16,4,1,5,80.0,182.33788519863054
2014-10-17,4,1,5,80.0,181.07817709272788
2014-10-20,4,1,5,80.0,179.75367749475245
2014-10-21,4,1,5,80.0,181.05441585417506
2014-10-22,4,1,5,80.0,185.0893361654974
2014-10-23,4,1,5,80.0,187.8570063600395
2014-10-27,4,1,5,80.0,187.54645990211117
2014-10-28,4,1,5,80.0,184.71670317436914
2014-10-29,4,1,5,80.0,187.79512496657372
2014-10-30,4,1,5,80.0,185.33462348049176
