Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,99.34379418408055
2014-01-03,0,0,0,0.0,97.76731742642153
2014-01-06,0,0,0,0.0,97.04898399884502
2014-01-07,0,0,0,0.0,96.48209155954274
2014-01-08,0,0,0,0.0,98.528385224476
2014-01-09,0,0,0,0.0,95.6123353647141
2014-01-10,0,0,0,0.0,93.32530555591154
2014-01-13,0,0,0,0.0,90.02096571538557
2014-01-14,0,0,0,0.0,89.86953080078537
2014-01-15,0,0,0,0.0,88.63477109142525
2014-01-16,0,0,0,0.0,89.50065835589652
2014-01-17,0,0,0,0.0,88.49886656132081
2014-01-20,0,0,0,0.0,88.57652455747363
2014-01-21,0,0,0,0.0,90.57621492157156
2014-01-22,0,0,0,0.0,90.50243800312417
2014-01-23,0,0,0,0.0,90.72376875846632
2014-01-24,0,0,0,0.0,89.34145521221144
2014-01-27,0,0,0,0.0,86.63895573135872
2014-01-28,0,0,0,0.0,85.86238791717865
2014-01-29,0,0,0,0.0,84.78681920415556
2014-01-30,0,0,0,0.0,81.36600451674842
2014-01-31,0,0,0,0.0,83.22979035074191
2014-02-03,0,0,0,0.0,84.03742500758752
2014-02-04,0,0,0,0.0,84.82954142728543
2014-02-05,0,0,0,0.0,82.89196652749649
2014-02-06,0,0,0,0.0,81.90572333843863
2014-02-07,0,0,0,0.0,82.27070863194803
2014-02-10,0,0,0,0.0,82.4609664709506
2014-02-11,0,0,0,0.0,82.28625723746588
2014-02-12,0,0,0,0.0,81.0514853807577
2014-02-13,0,0,0,0.0,79.56821522476935
2014-02-14,0,0,0,0.0,80.36420664849867
2014-02-17,0,0,0,0.0,79.37019523035592
2014-02-18,0,0,0,0.0,79.78565882873202
2014-02-19,0,0,0,0.0,79.28865615649767
2014-02-20,0,0,0,0.0,79.32359192952057
2014-02-21,0,0,0,0.0,81.66886827227478
2014-02-24,0,0,0,0.0,82.20859316763904
2014-02-25,0,0,0,0.0,81.21068245076876
2014-02-26,0,0,0,0.0,81.18350883315671
2014-02-28,0,0,0,0.0,79.9914531259044
2014-03-03,0,0,0,0.0,79.47890792182622
2014-03-04,0,0,0,0.0,80.27878649693501
2014-03-05,0,0,0,0.0,81.33881875178831
2014-03-06,0,0,0,0.0,82.2862572374659
2014-03-07,0,0,0,0.0,80.8262674740361
2014-03-10,0,0,0,0.0,81.20679529938933
2014-03-11,0,0,0,0.0,80.82239247000473
2014-03-12,0,0,0,0.0,80.82239247000473
2014-03-13,0,0,0,0.0,78.64020034864106
2014-03-14,0,0,0,0.0,78.24804751119365
2014-03-18,0,0,0,0.0,78.29462651733287
2014-03-19,0,0,0,0.0,77.308383328275
2014-03-20,0,0,0,0.0,77.56076877893463
2014-03-21,0,0,0,0.0,78.09271329786594
2014-03-24,0,0,0,0.0,78.62078281276584
2014-03-25,0,0,0,0.0,78.17813952310364
2014-03-26,0,0,0,0.0,80.10405904242822
2014-03-27,0,0,0,0.0,80.10016581737473
2014-03-28,0,0,0,0.0,81.03984214764144
2014-03-31,0,0,0,0.0,82.63181892142605
2014-04-01,0,0,0,0.0,81.43588821014234
2014-04-02,0,0,0,0.0,81.89794903567974
2014-04-03,0,0,0,0.0,80.28266757464046
2014-04-04,0,0,0,0.0,80.18559811628646
2014-04-07,0,0,0,0.0,79.5759895275283
2014-04-09,0,0,0,0.0,80.8845079343137
2014-04-10,0,0,0,0.0,81.03207999223055
2014-04-11,0,0,0,0.0,80.7641520097271
2014-04-15,0,0,0,0.0,79.76624129285682
2014-04-16,0,0,0,0.0,77.73548408609335
2014-04-17,0,0,0,0.0,76.17068700359482
2014-04-21,0,0,0,0.0,75.669797179981
2014-04-22,0,0,0,0.0,75.52999942482307
2014-04-23,0,0,0,0.0,76.12797085413897
2014-04-24,0,0,0,0.0,76.12797085413897
2014-04-25,0,0,0,0.0,76.09691615882147
2014-04-28,0,0,0,0.0,75.27760790048941
2014-04-29,0,0,0,0.0,75.18054451580943
2014-04-30,0,0,0,0.0,73.46819967009016
2014-05-02,0,0,0,0.0,75.34363481087397
2014-05-05,0,0,0,0.0,74.76508699110734
2014-05-06,0,0,0,0.0,75.9377190888104
2014-05-07,0,0,0,0.0,75.19219989627376
2014-05-08,0,0,0,0.0,75.73581194301748
2014-05-09,0,0,0,0.0,76.5511966079259
2014-05-12,0,0,0,0.0,81.05148538075767
2014-05-13,0,0,0,0.0,88.06786650477486
2014-05-14,0,0,0,0.0,88.39790995158731
2014-05-15,0,0,0,0.0,88.68523117526985
2014-05-16,0,0,0,0.0,90.15297702043648
2014-05-19,0,0,0,0.0,92.92148519065168
2014-05-20,0,0,0,0.0,89.78021742416816
2014-05-21,0,0,0,0.0,87.95526666192511
2014-05-22,0,0,0,0.0,89.00364960998809
2014-05-23,0,0,0,0.0,89.50452728625385
2014-05-26,0,0,0,0.0,87.63687252190299
2014-05-27,0,0,0,0.0,87.9708031200949
2014-05-28,0,0,0,0.0,89.3841592143192
2014-05-29,0,0,0,0.0,88.68137439226054
2014-05-30,0,0,0,0.0,90.05590756208247
2014-06-02,0,0,0,0.0,95.23180146568683
2014-06-03,0,0,0,0.0,97.5576602725658
2014-06-04,0,0,0,0.0,96.85097007810558
2014-06-05,0,0,0,0.0,98.2682254710574
2014-06-06,0,0,0,0.0,102.93158631793162
2014-06-09,0,0,0,0.0,100.18636461394901
2014-06-10,0,0,0,0.0,97.83334433680605
2014-06-11,0,0,0,0.0,96.49374086633301
2014-06-12,0,0,0,0.0,97.70133303175511
2014-06-13,0,0,0,0.0,96.24912364475828
2014-06-16,0,0,0,0.0,94.6105374964643
2014-06-17,0,0,0,0.0,94.72703056436757
2014-06-18,0,0,0,0.0,92.87878118854387
2014-06-19,0,0,0,0.0,93.39907032701082
2014-06-20,0,0,0,0.0,92.8282968100031
2014-06-23,0,0,0,0.0,94.78527102464517
2014-06-24,0,0,0,0.0,101.8754412144578
2014-06-25,0,0,0,0.0,101.81720682785422
2014-06-26,0,0,0,0.0,102.4656504883628
2014-06-27,0,0,0,0.0,100.8309332704262
2014-06-30,0,0,0,0.0,101.56866601285583
2014-07-01,0,0,0,0.0,100.94353918694998
2014-07-02,0,0,0,0.0,101.46383439909097
2014-07-03,0,0,0,0.0,101.04837687438888
2014-07-04,0,0,0,0.0,101.20757394439994
2014-07-07,0,0,0,0.0,102.49667481531016
2014-07-08,0,0,0,0.0,97.22761682575334
2014-07-09,0,0,0,0.0,99.63500255914249
2014-07-10,0,0,0,0.0,100.95908171879383
2014-07-11,0,0,0,0.0,96.9130916160886
2014-07-14,0,0,0,0.0,93.26705902195987
2014-07-15,0,0,0,0.0,94.37368243030045
2014-07-16,0,0,0,0.0,97.15383990730597
2014-07-17,0,0,0,0.0,98.85843474496244
2014-07-18,0,0,0,0.0,97.7983964164351
2014-07-21,0,0,0,0.0,100.16307814771643
2014-07-22,0,0,0,0.0,101.10662340834051
2014-07-23,0,0,0,0.0,100.01164323311622
2014-07-24,0,0,0,0.0,97.79450319138158
2014-07-25,0,0,0,0.0,100.71055305114346
2014-07-28,0,0,0,0.0,97.37515851530001
2014-07-30,0,0,0,0.0,97.82945718542656
2014-07-31,0,0,0,0.0,97.70133303175507
2014-08-01,0,0,0,0.0,94.36592027488953
2014-08-04,0,0,0,0.0,94.27661297194639
2014-08-05,0,0,0,0.0,94.67266510812132
2014-08-06,0,0,0,0.0,96.22194395347215
2014-08-07,1,0,1,100.0,92.15654238856575
2014-08-08,0,1,1,0.0,87.45437683831123
2014-08-11,0,1,1,0.0,87.38448099756928
2014-08-12,0,1,1,0.0,87.23305823031716
2014-08-13,0,1,1,0.0,87.43884038014144
2014-08-14,1,0,1,100.0,88.49498548361528
2014-08-18,1,0,1,100.0,93.95044452916534
2014-08-19,1,0,1,100.0,96.75778169745693
2014-08-20,1,0,1,100.0,98.8351179103596
2014-08-21,1,0,1,100.0,98.60992429833412
2014-08-22,1,0,1,100.0,101.82883791362238
2014-08-25,1,0,1,100.0,101.12994024294318
2014-08-26,1,0,1,100.0,100.12036807193452
2014-08-27,1,0,1,100.0,100.57855389344053
2014-08-28,1,0,1,100.0,100.65621188959335
2014-09-01,1,0,1,100.0,104.32164379857522
2014-09-02,1,0,1,100.0,106.51935415708658
2014-09-03,1,0,1,100.0,106.94261635291775
2014-09-04,1,0,1,100.0,105.94082455834204
2014-09-05,1,0,1,100.0,103.6615690522984
2014-09-08,1,0,1,100.0,103.68877911195462
2014-09-09,1,0,1,100.0,102.86945263260048
2014-09-10,1,0,1,100.0,102.45398903422436
2014-09-11,1,0,1,100.0,104.15080349544787
2014-09-12,1,0,1,100.0,102.25985011751636
2014-09-15,1,0,1,100.0,101.23864078706544
2014-09-16,1,0,1,100.0,99.50298518041745
2014-09-17,1,0,1,100.0,97.49163943585518
2014-09-18,1,0,1,100.0,97.3751585153
2014-09-19,1,0,1,100.0,96.85097007810552
2014-09-22,1,0,1,100.0,96.15593526410967
2014-09-23,1,0,1,100.0,95.59680498021825
2014-09-24,1,0,1,100.0,95.86471474169961
2014-09-25,1,0,1,100.0,93.78736030777485
2014-09-26,1,0,1,100.0,96.24134934199932
2014-09-29,1,0,1,100.0,96.29958980227691
2014-09-30,1,0,1,100.0,95.57350029296357
2014-10-01,1,0,1,100.0,99.26224903654817
2014-10-07,1,0,1,100.0,97.29750659282121
2014-10-08,1,0,1,100.0,96.16369134584649
2014-10-09,1,0,1,100.0,97.1693581444536
2014-10-10,1,0,1,100.0,95.13085700330136
2014-10-13,1,0,1,100.0,95.57737529699497
2014-10-14,1,0,1,100.0,95.11920162283701
2014-10-15,1,0,1,100.0,95.11920162283701
2014-10-16,1,0,1,100.0,94.71537518390316
2014-10-17,1,0,1,100.0,92.88653727028064
2014-10-20,1,0,1,100.0,93.61652000464747
2014-10-21,1,0,1,100.0,96.87427476536018
2014-10-22,1,0,1,100.0,103.57224960200719
2014-10-27,1,0,1,100.0,102.15111920502397
2014-10-28,1,0,1,100.0,99.95340884651262
2014-10-29,1,0,1,100.0,101.10662340834047
2014-10-30,1,0,1,100.0,101.60363215424886
2014-10-31,1,0,1,100.0,97.8022835678145
2014-11-03,1,0,1,100.0,97.41010643567097
2014-11-05,1,0,1,100.0,97.68191549587985
2014-11-07,1,0,1,100.0,99.54568310885125
2014-11-10,1,0,1,100.0,101.22311647624373
2014-11-11,1,0,1,100.0,101.96861744775828
2014-11-12,1,0,1,100.0,104.32164379857525
2014-11-13,1,0,1,100.0,110.02951258948106
2014-11-14,1,0,1,100.0,113.85414156847398
2014-11-17,1,0,1,100.0,112.79802683337027
2014-11-18,1,0,1,100.0,112.9183706106088
2014-11-19,1,0,1,100.0,113.35323352383804
2014-11-20,1,0,1,100.0,112.86013622400523
2014-11-21,1,0,1,100.0,113.33385850368103
2014-11-24,1,0,1,100.0,111.87775589163071
2014-11-25,1,0,1,100.0,110.31682166581554
2014-11-26,1,0,1,100.0,108.86852979856832
2014-11-27,1,0,1,100.0,112.36310318340075
2014-11-28,1,0,1,100.0,111.01964292991839
2014-12-01,1,0,1,100.0,111.43123152426313
2014-12-02,1,0,1,100.0,113.6366918908373
2014-12-03,1,0,1,100.0,111.2836655400203
2014-12-04,1,0,1,100.0,107.96379531499855
2014-12-05,1,0,1,100.0,109.10150378702677
2014-12-08,1,0,1,100.0,108.34047243101648
2014-12-09,1,0,1,100.0,104.13140418059477
2014-12-10,1,0,1,100.0,102.70638663223208
2014-12-11,1,0,1,100.0,101.21146109577938
2014-12-12,1,0,1,100.0,105.29624982819085
2014-12-15,1,0,1,100.0,102.93547346931106
2014-12-16,1,0,1,100.0,100.84257650354247
2014-12-17,1,0,1,100.0,100.40380821791169
2014-12-18,1,0,1,100.0,102.87335193132805
2014-12-19,1,0,1,100.0,103.30045268914643
2014-12-22,1,0,1,100.0,105.47490087612132
2014-12-23,1,0,1,100.0,105.4282793542639
2014-12-24,1,0,1,100.0,105.70007626712474
2014-12-26,1,0,1,100.0,104.83032614597012
2014-12-29,1,0,1,100.0,104.52744416942166
2014-12-30,1,0,1,100.0,103.61884682916853
2014-12-31,1,0,1,100.0,106.9348299028108
2015-01-01,1,0,1,100.0,106.05730547889726
2015-01-02,1,0,1,100.0,106.50771699764437
2015-01-05,1,0,1,100.0,107.19112679954601
2015-01-06,1,0,1,100.0,103.76638851871525
2015-01-07,1,0,1,100.0,102.43457757202322
2015-01-08,1,0,1,100.0,104.98564213827572
2015-01-09,1,0,1,100.0,106.81833683490754
2015-01-12,1,0,1,100.0,110.14988066141571
2015-01-13,1,0,1,100.0,108.49575198127792
2015-01-14,1,0,1,100.0,108.57340997743074
2015-01-15,1,0,1,100.0,109.81982506725521
2015-01-16,1,0,1,100.0,110.09164627481213
2015-01-19,1,0,1,100.0,109.25681977933237
2015-01-20,1,0,1,100.0,107.32701918230237
2015-01-21,1,0,1,100.0,108.75201243596892
2015-01-22,1,0,1,100.0,109.10926594243762
2015-01-23,1,0,1,100.0,108.28220160236872
2015-01-27,1,0,1,100.0,110.39060465793695
2015-01-28,1,0,1,100.0,110.7206481047494
2015-01-29,1,0,1,100.0,110.07219837056678
2015-01-30,1,0,1,100.0,107.94827100417683
2015-02-02,1,0,1,100.0,108.856880491778
2015-02-03,1,0,1,100.0,107.79685431059872
2015-02-04,1,0,1,100.0,104.62062647639615
2015-02-05,1,0,1,100.0,111.20213253983604
2015-02-06,1,0,1,100.0,114.60352361769392
2015-02-09,1,0,1,100.0,113.08922306108423
2015-02-10,1,0,1,100.0,118.32725672369368
2015-02-11,1,0,1,100.0,120.198798639424
2015-02-12,1,0,1,100.0,126.17069004043171
2015-02-13,1,0,1,100.0,126.04643481711759
2015-02-16,1,0,1,100.0,127.0326901535235
2015-02-18,1,0,1,100.0,131.13689034813615
2015-02-19,1,0,1,100.0,126.23669872979417
2015-02-20,1,0,1,100.0,125.62708406736198
2015-02-23,1,0,1,100.0,123.64291194041175
2015-02-24,1,0,1,100.0,129.34686928524198
2015-02-25,1,0,1,100.0,130.55833645469545
2015-02-26,1,0,1,100.0,130.67485381729483
2015-02-27,1,0,1,100.0,128.764464682466
2015-03-02,1,0,1,100.0,129.2653362850577
2015-03-03,1,0,1,100.0,130.10792493594835
2015-03-04,1,0,1,100.0,127.61120760491993
2015-03-05,1,0,1,100.0,127.2811884528036
