Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,99.40985842864787
2014-01-03,0,0,0,0.0,99.14966498843944
2014-01-06,0,0,0,0.0,100.23561940304671
2014-01-07,0,0,0,0.0,100.15613546130126
2014-01-08,0,0,0,0.0,101.4703664669771
2014-01-09,0,0,0,0.0,99.14917715685075
2014-01-10,0,0,0,0.0,96.51039195288278
2014-01-13,0,0,0,0.0,98.71770676835222
2014-01-14,0,0,0,0.0,98.80154667273037
2014-01-15,0,0,0,0.0,99.57074445665563
2014-01-16,0,0,0,0.0,99.22217562227618
2014-01-17,0,0,0,0.0,96.50196656926504
2014-01-20,0,0,0,0.0,96.31782310433222
2014-01-21,0,0,0,0.0,96.72704642380594
2014-01-22,0,0,0,0.0,96.10694912966721
2014-01-23,0,0,0,0.0,96.77021186343225
2014-01-24,0,0,0,0.0,97.755905954972
2014-01-27,0,0,0,0.0,94.2091599564117
2014-01-28,0,0,0,0.0,94.45108684444932
2014-01-29,0,0,0,0.0,93.23559932347291
2014-01-30,0,0,0,0.0,90.56724213352388
2014-01-31,0,0,0,0.0,91.78993593852903
2014-02-03,0,0,0,0.0,90.3967578154602
2014-02-04,0,0,0,0.0,92.68472330598753
2014-02-05,0,0,0,0.0,93.30540211085925
2014-02-06,0,0,0,0.0,92.95705700831192
2014-02-07,0,0,0,0.0,92.66808424295778
2014-02-10,0,0,0,0.0,92.74043794319866
2014-02-11,0,0,0,0.0,92.96967100040715
2014-02-12,0,0,0,0.0,91.72802664315309
2014-02-13,0,0,0,0.0,88.78804793107021
2014-02-14,0,0,0,0.0,88.42109228080733
2014-02-17,0,0,0,0.0,88.84598042824123
2014-02-18,0,0,0,0.0,88.78158609404414
2014-02-19,0,0,0,0.0,88.88100261620127
2014-02-20,0,0,0,0.0,88.97062861138266
2014-02-21,0,0,0,0.0,89.61932018421805
2014-02-24,0,0,0,0.0,91.27475439069424
2014-02-25,0,0,0,0.0,90.255126297603
2014-02-26,0,0,0,0.0,91.15519806041083
2014-02-28,0,0,0,0.0,90.70449939348683
2014-03-03,0,0,0,0.0,93.64536016066192
2014-03-04,0,0,0,0.0,94.9632433992057
2014-03-05,0,0,0,0.0,95.21979213972051
2014-03-06,0,0,0,0.0,97.75304166503194
2014-03-07,0,0,0,0.0,99.2760747975611
2014-03-10,0,0,0,0.0,100.6458114356863
2014-03-11,0,0,0,0.0,102.59396822121958
2014-03-12,0,0,0,0.0,102.62730884079161
2014-03-13,0,0,0,0.0,104.55272652330241
2014-03-14,0,0,0,0.0,103.37866945821676
2014-03-18,0,0,0,0.0,104.47777917616119
2014-03-19,0,0,0,0.0,104.47625738154484
2014-03-20,0,0,0,0.0,104.52166775310067
2014-03-21,0,0,0,0.0,107.14853543202427
2014-03-24,0,0,0,0.0,111.07453230839907
2014-03-25,0,0,0,0.0,112.42246692490434
2014-03-26,0,0,0,0.0,112.50961906963113
2014-03-27,0,0,0,0.0,111.91914844727782
2014-03-28,0,0,0,0.0,115.00520241872603
2014-03-31,0,0,0,0.0,116.53372830093265
2014-04-01,0,0,0,0.0,115.71593658811435
2014-04-02,0,0,0,0.0,118.72666073350433
2014-04-03,0,0,0,0.0,118.51678259026642
2014-04-04,0,0,0,0.0,120.47982783134694
2014-04-07,0,0,0,0.0,122.182602893482
2014-04-09,0,0,0,0.0,127.96501346155549
2014-04-10,0,0,0,0.0,134.29667472395485
2014-04-11,0,0,0,0.0,138.29270435416183
2014-04-15,0,0,0,0.0,136.90670004002402
2014-04-16,0,0,0,0.0,135.4349235472544
2014-04-17,0,0,0,0.0,136.3473011559986
2014-04-21,0,0,0,0.0,143.869533396193
2014-04-22,0,0,0,0.0,151.26298972871484
2014-04-23,0,0,0,0.0,156.98645276242956
2014-04-24,0,0,0,0.0,156.98645276242956
2014-04-25,0,0,0,0.0,162.90144025126853
2014-04-28,0,0,0,0.0,161.24386338712432
2014-04-29,0,0,0,0.0,156.48466908151028
2014-04-30,0,0,0,0.0,153.33300760679006
2014-05-02,0,0,0,0.0,153.53923965370484
2014-05-05,0,0,0,0.0,156.47939358263773
2014-05-06,0,0,0,0.0,156.78812198737867
2014-05-07,0,0,0,0.0,156.24958322766233
2014-05-08,0,0,0,0.0,159.49554802947344
2014-05-09,0,0,0,0.0,162.03570808691669
2014-05-12,0,0,0,0.0,161.85213433560324
2014-05-13,0,0,0,0.0,169.42711602812318
2014-05-14,0,0,0,0.0,170.94514553453374
2014-05-15,0,0,0,0.0,168.90317928211184
2014-05-16,0,0,0,0.0,180.97633203353465
2014-05-19,0,0,0,0.0,205.2809847330146
2014-05-20,0,0,0,0.0,206.46513604537628
2014-05-21,0,0,0,0.0,210.66696231957494
2014-05-22,0,0,0,0.0,220.7499680681355
2014-05-23,0,0,0,0.0,223.58842503451592
2014-05-26,0,0,0,0.0,227.7980099903873
2014-05-27,0,0,0,0.0,217.30871023195922
