Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,8,0,8,100.0,139.4949337150333
2014-08-08,7,1,8,87.5,133.9401259708288
2014-08-11,8,0,8,100.0,134.3714612537141
2014-08-12,8,0,8,100.0,135.62938548570224
2014-08-13,7,1,8,87.5,131.86255992831616
2014-08-14,7,1,8,87.5,134.31292751132355
2014-08-18,7,1,8,87.5,135.7818528721617
2014-08-19,7,1,8,87.5,136.7644565395713
2014-08-20,7,1,8,87.5,137.60555236034108
2014-08-21,7,1,8,87.5,136.15281519313228
2014-08-22,7,1,8,87.5,135.76579137311373
2014-08-25,7,1,8,87.5,134.06361812916487
2014-08-26,7,1,8,87.5,133.18500322541558
2014-08-27,7,1,8,87.5,132.64243080716486
2014-08-28,7,1,8,87.5,130.80000627657634
2014-09-01,7,1,8,87.5,133.5853929627513
2014-09-02,7,1,8,87.5,133.72926348628206
2014-09-03,7,1,8,87.5,138.96614073161737
2014-09-04,6,2,8,75.0,136.30868726605587
2014-09-05,6,2,8,75.0,136.34823949633784
2014-09-08,6,2,8,75.0,137.54826360387003
2014-09-09,6,2,8,75.0,136.83088137179425
2014-09-10,6,2,8,75.0,138.30430118253747
2014-09-11,6,2,8,75.0,138.92224590935382
2014-09-12,6,2,8,75.0,138.7179178551255
2014-09-15,6,2,8,75.0,139.25400044963308
2014-09-16,6,2,8,75.0,134.76826171063047
2014-09-17,6,2,8,75.0,136.02924891103623
2014-09-18,6,2,8,75.0,139.46576189532198
2014-09-19,6,2,8,75.0,139.27441044719598
2014-09-22,7,1,8,87.5,139.95519214010338
2014-09-23,6,2,8,75.0,135.06678029616535
2014-09-24,6,2,8,75.0,132.76254029750433
2014-09-25,6,2,8,75.0,128.44004793403928
2014-09-26,5,3,8,62.5,129.2120797162856
2014-09-29,5,3,8,62.5,131.14980731728141
2014-09-30,5,3,8,62.5,129.64852425644352
2014-10-01,4,4,8,50.0,127.8264302856715
2014-10-07,5,3,8,62.5,128.73859659131452
2014-10-08,5,3,8,62.5,128.98887928107615
2014-10-09,5,3,8,62.5,131.2158256356408
2014-10-10,4,4,8,50.0,130.13965165179198
2014-10-13,5,3,8,62.5,130.0022576650935
2014-10-14,5,3,8,62.5,124.33538024236863
2014-10-16,4,4,8,50.0,122.2559653328729
2014-10-17,5,3,8,62.5,123.00687959091914
2014-10-20,5,3,8,62.5,123.9318534554781
2014-10-21,6,2,8,75.0,127.47829915598507
2014-10-22,6,2,8,75.0,128.8359493556685
2014-10-23,6,2,8,75.0,128.98381010158
2014-10-27,6,2,8,75.0,126.28766979286645
2014-10-28,6,2,8,75.0,127.21955885292383
2014-10-29,6,2,8,75.0,130.3808576876129
2014-10-30,6,2,8,75.0,132.49741840530058
2014-10-31,6,2,8,75.0,133.4529647828983
2014-11-03,6,2,8,75.0,135.8094259734294
2014-11-05,6,2,8,75.0,136.87666338851082
2014-11-07,6,2,8,75.0,138.72731154426475
2014-11-10,6,2,8,75.0,138.62147559146436
2014-11-11,6,2,8,75.0,139.47392058282423
2014-11-12,6,2,8,75.0,138.22865818872535
2014-11-13,6,2,8,75.0,137.49962453147697
2014-11-14,6,2,8,75.0,139.44678415589524
2014-11-17,6,2,8,75.0,141.45550545172017
2014-11-18,6,2,8,75.0,140.53355249472406
2014-11-19,6,2,8,75.0,140.254119042317
2014-11-20,6,2,8,75.0,139.08035941649214
2014-11-21,6,2,8,75.0,139.07085165338987
2014-11-24,6,2,8,75.0,139.5526444317315
2014-11-25,6,2,8,75.0,136.37058110705252
2014-11-26,6,2,8,75.0,142.13185613155423
2014-11-27,6,2,8,75.0,141.0201271180304
2014-11-28,6,2,8,75.0,142.3073673575932
2014-12-01,6,2,8,75.0,142.78163236146446
2014-12-02,6,2,8,75.0,142.29868385961174
2014-12-03,6,2,8,75.0,145.81392382082316
2014-12-04,6,2,8,75.0,148.23484628854104
2014-12-05,6,2,8,75.0,149.15399501664353
2014-12-08,6,2,8,75.0,145.94354836873765
2014-12-09,6,2,8,75.0,144.12541205430568
2014-12-10,6,2,8,75.0,144.47348474932159
2014-12-11,6,2,8,75.0,142.44498214575248
2014-12-12,6,2,8,75.0,139.44113789676578
2014-12-15,6,2,8,75.0,136.95514914653373
2014-12-16,6,2,8,75.0,133.2395743125014
2014-12-17,6,2,8,75.0,131.35023774055864
2014-12-18,6,2,8,75.0,134.24340349330024
2014-12-19,6,2,8,75.0,134.49246740155183
2014-12-22,6,2,8,75.0,136.10404499160805
2014-12-23,6,2,8,75.0,135.32274697813924
2014-12-24,6,2,8,75.0,135.74880278250802
2014-12-26,6,2,8,75.0,136.12589768388054
2014-12-29,6,2,8,75.0,136.54672830393469
2014-12-30,6,2,8,75.0,138.68672050628882
2014-12-31,6,2,8,75.0,140.53127639790182
2015-01-01,6,2,8,75.0,139.89709303822002
2015-01-02,6,2,8,75.0,139.57141516900705
2015-01-05,6,2,8,75.0,139.24559278305492
2015-01-06,6,2,8,75.0,134.9450693923279
2015-01-07,6,2,8,75.0,133.92714750169336
2015-01-08,6,2,8,75.0,136.8842377039692
2015-01-09,6,2,8,75.0,137.0250954211776
2015-01-12,6,2,8,75.0,136.3587688982879
2015-01-13,6,2,8,75.0,136.3500240631226
2015-01-14,5,3,8,62.5,135.52023636486433
2015-01-15,6,2,8,75.0,143.2760722231388
2015-01-16,6,2,8,75.0,143.54708662835037
2015-01-19,6,2,8,75.0,144.62484423804813
2015-01-20,6,2,8,75.0,147.83220647618424
2015-01-21,6,2,8,75.0,148.0079569587835
2015-01-22,6,2,8,75.0,148.54706191831698
2015-01-23,6,2,8,75.0,148.22016991701372
2015-01-27,6,2,8,75.0,149.98041826755124
2015-01-28,6,2,8,75.0,151.48733249073297
2015-01-29,6,2,8,75.0,153.2427814292305
2015-01-30,7,1,8,87.5,153.76331135113227
2015-02-02,7,1,8,87.5,152.82118008508178
2015-02-03,7,1,8,87.5,151.69288760231638
2015-02-04,7,1,8,87.5,152.3088687876411
2015-02-05,7,1,8,87.5,150.4395277107099
2015-02-06,6,2,8,75.0,148.0832374320188
2015-02-09,6,2,8,75.0,146.76493211612564
2015-02-10,6,2,8,75.0,147.5873067701117
2015-02-11,6,2,8,75.0,149.25337331074846
2015-02-12,6,2,8,75.0,151.15746424339943
2015-02-13,6,2,8,75.0,149.6380421036043
2015-02-16,5,3,8,62.5,147.53514908886805
2015-02-18,5,3,8,62.5,148.1528741578133
2015-02-19,5,3,8,62.5,149.48406998670973
2015-02-20,5,3,8,62.5,150.51250931982227
2015-02-23,6,2,8,75.0,151.1664531075799
2015-02-24,6,2,8,75.0,151.005978327868
2015-02-25,6,2,8,75.0,150.55240762365509
2015-02-26,6,2,8,75.0,150.8740312198328
2015-02-27,6,2,8,75.0,154.19262679363527
2015-02-28,6,2,8,75.0,152.97976959535276
2015-03-02,6,2,8,75.0,154.0022203941138
2015-03-03,6,2,8,75.0,152.57993316304052
2015-03-04,6,2,8,75.0,151.6369340410999
2015-03-05,6,2,8,75.0,151.006799523602
2015-03-09,5,3,8,62.5,146.66120964931415
2015-03-10,5,3,8,62.5,144.45306464041735
2015-03-11,5,3,8,62.5,142.74783945700443
2015-03-12,5,3,8,62.5,143.23849105540955
2015-03-13,5,3,8,62.5,142.2820466605568
2015-03-16,5,3,8,62.5,141.84315656347218
2015-03-17,5,3,8,62.5,142.34282980197173
2015-03-18,5,3,8,62.5,142.0429194930855
2015-03-19,5,3,8,62.5,141.6572693116956
2015-03-20,4,4,8,50.0,138.14376905298323
2015-03-23,4,4,8,50.0,136.71650491867842
2015-03-24,3,5,8,37.5,137.30508053831747
2015-03-25,2,6,8,25.0,136.80286477553872
2015-03-26,2,6,8,25.0,134.84030470988586
2015-03-27,2,6,8,25.0,133.9735336615592
2015-03-30,3,5,8,37.5,137.2545824713502
2015-03-31,4,4,8,50.0,138.6573525174731
2015-04-01,4,4,8,50.0,140.17028196869757
2015-04-06,6,2,8,75.0,145.72803137757887
2015-04-07,5,3,8,62.5,144.88586267128792
2015-04-08,5,3,8,62.5,146.78004060635706
2015-04-09,5,3,8,62.5,145.2401440376956
2015-04-10,5,3,8,62.5,147.0488284338766
