Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,2,0,2,100.0,104.95323973833149
2014-08-08,2,0,2,100.0,102.81289699190832
2014-08-11,2,0,2,100.0,102.13056811058874
2014-08-12,2,0,2,100.0,102.46517683857132
2014-08-13,2,0,2,100.0,102.5421068016879
2014-08-14,2,0,2,100.0,102.52311341750438
2014-08-18,2,0,2,100.0,103.34663315808442
2014-08-19,2,0,2,100.0,103.81981925034027
2014-08-20,2,0,2,100.0,103.94553156621933
2014-08-21,2,0,2,100.0,104.45248763173973
2014-08-22,2,0,2,100.0,104.43812568036907
2014-08-25,2,0,2,100.0,104.12443222267713
2014-08-26,2,0,2,100.0,103.19198237261342
2014-08-27,2,0,2,100.0,103.88336591615375
2014-08-28,2,0,2,100.0,103.73564273997036
2014-09-01,2,0,2,100.0,105.0177055652484
2014-09-02,2,0,2,100.0,105.6203551479823
2014-09-03,2,0,2,100.0,108.11640910207632
2014-09-04,2,0,2,100.0,108.21695686718422
2014-09-05,2,0,2,100.0,108.9051147222043
2014-09-08,2,0,2,100.0,108.95494000158914
2014-09-09,2,0,2,100.0,109.07069024995558
2014-09-10,2,0,2,100.0,108.94669933216339
2014-09-11,2,0,2,100.0,112.18638810702026
2014-09-12,2,0,2,100.0,113.86289919595087
2014-09-15,2,0,2,100.0,116.86678055073479
2014-09-16,2,0,2,100.0,112.31291279450073
2014-09-17,2,0,2,100.0,113.80472302103195
2014-09-18,2,0,2,100.0,116.16333817850808
2014-09-19,2,0,2,100.0,115.79354110523109
2014-09-22,2,0,2,100.0,115.96421444605558
2014-09-23,2,0,2,100.0,113.62196331874105
2014-09-24,2,0,2,100.0,112.34931028091302
2014-09-25,1,1,2,50.0,108.96805400130513
2014-09-26,1,1,2,50.0,109.2117978316042
2014-09-29,1,1,2,50.0,109.19986921179104
2014-09-30,1,1,2,50.0,111.16643159135948
2014-10-01,1,1,2,50.0,110.51693769521155
2014-10-07,1,1,2,50.0,109.84933633875723
2014-10-08,1,1,2,50.0,109.76496505695698
2014-10-09,2,0,2,100.0,111.14468424088318
2014-10-10,2,0,2,100.0,110.870321636572
2014-10-13,2,0,2,100.0,111.4004118977408
2014-10-14,2,0,2,100.0,111.62581280392003
2014-10-16,1,1,2,50.0,107.61335344291018
2014-10-17,1,1,2,50.0,109.47186360651777
2014-10-20,1,1,2,50.0,109.42550456927518
2014-10-21,1,1,2,50.0,109.25422315640813
2014-10-22,1,1,2,50.0,109.79846631611396
2014-10-23,1,1,2,50.0,111.30152602905629
2014-10-27,1,1,2,50.0,109.48235247617166
2014-10-28,1,1,2,50.0,109.38646526059739
2014-10-29,1,1,2,50.0,109.75527733904397
2014-10-30,2,0,2,100.0,111.15834998375702
2014-10-31,2,0,2,100.0,112.34216289737033
2014-11-03,2,0,2,100.0,112.99963625992757
2014-11-05,2,0,2,100.0,112.7666053409911
2014-11-07,2,0,2,100.0,113.28424482300518
2014-11-10,2,0,2,100.0,111.78041665825145
2014-11-11,2,0,2,100.0,113.26129016669083
2014-11-12,2,0,2,100.0,114.05296930004695
2014-11-13,2,0,2,100.0,115.28813525195325
2014-11-14,2,0,2,100.0,116.56126510584421
2014-11-17,2,0,2,100.0,119.2343505294343
2014-11-18,2,0,2,100.0,118.16815118983979
2014-11-19,2,0,2,100.0,117.92660753669357
2014-11-20,2,0,2,100.0,120.41094039413593
2014-11-21,2,0,2,100.0,119.92655217929229
