Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,96.85060786451987
2014-01-03,0,0,0,0.0,97.96444733633335
2014-01-06,0,0,0,0.0,99.51372280647035
2014-01-07,0,0,0,0.0,98.32620136552875
2014-01-08,0,0,0,0.0,97.26210407113051
2014-01-09,0,0,0,0.0,96.38471554832303
2014-01-10,0,0,0,0.0,94.80544378908195
2014-01-13,0,0,0,0.0,94.46304443200877
2014-01-14,0,0,0,0.0,93.9425366933634
2014-01-15,0,0,0,0.0,93.31117404416152
2014-01-16,0,0,0,0.0,92.18583475163274
2014-01-17,0,0,0,0.0,90.85990468333675
2014-01-20,0,0,0,0.0,93.07090469032926
2014-01-21,0,0,0,0.0,93.14089103296385
2014-01-22,0,0,0,0.0,93.36701922642222
2014-01-23,0,0,0,0.0,92.8781562771211
2014-01-24,0,0,0,0.0,89.54124399687477
2014-01-27,0,0,0,0.0,88.18848702647372
2014-01-28,0,0,0,0.0,89.24178573669076
2014-01-29,0,0,0,0.0,89.38739689146156
2014-01-30,0,0,0,0.0,91.03339059768895
2014-01-31,0,0,0,0.0,93.59523449400533
2014-02-03,0,0,0,0.0,91.33905373777313
2014-02-04,0,0,0,0.0,92.86184790936107
2014-02-05,0,0,0,0.0,93.36919421781003
2014-02-06,0,0,0,0.0,93.10562037943885
2014-02-07,0,0,0,0.0,93.51517880790864
2014-02-10,0,0,0,0.0,93.11751608641548
2014-02-11,0,0,0,0.0,93.6377299737902
2014-02-12,0,0,0,0.0,95.59427803793807
2014-02-13,0,0,0,0.0,96.87797475459924
2014-02-14,0,0,0,0.0,99.26731497485369
2014-02-17,0,0,0,0.0,98.26227256689727
2014-02-18,0,0,0,0.0,101.09166798102575
2014-02-19,0,0,0,0.0,101.7419641045941
2014-02-20,0,0,0,0.0,101.89033907635483
2014-02-21,0,0,0,0.0,102.59471766820309
2014-02-24,0,0,0,0.0,103.31382291797564
2014-02-25,0,0,0,0.0,103.98784489263195
2014-02-26,0,0,0,0.0,104.48202554391956
2014-02-28,0,0,0,0.0,109.65570720673117
2014-03-03,0,0,0,0.0,112.47830544890488
2014-03-04,0,0,0,0.0,115.08391790600247
2014-03-05,0,0,0,0.0,117.58539742140368
2014-03-06,0,0,0,0.0,116.27202538713372
2014-03-07,0,0,0,0.0,114.95704486331522
2014-03-10,0,0,0,0.0,120.99486470129493
2014-03-11,0,0,0,0.0,117.83633805829959
2014-03-12,0,0,0,0.0,118.20573631850515
2014-03-13,0,0,0,0.0,116.85529613493478
2014-03-14,0,0,0,0.0,119.42577001152989
2014-03-18,0,0,0,0.0,121.0338063470087
2014-03-19,0,0,0,0.0,120.68487254298905
2014-03-20,0,0,0,0.0,118.93581271701808
2014-03-21,0,0,0,0.0,119.33359551487813
2014-03-24,0,0,0,0.0,122.1391187357046
2014-03-25,0,0,0,0.0,122.54229026708545
2014-03-26,0,0,0,0.0,121.19530306484991
2014-03-27,0,0,0,0.0,123.21336960236292
2014-03-28,0,0,0,0.0,124.07598811272618
2014-03-31,0,0,0,0.0,124.53572045895108
2014-04-01,0,0,0,0.0,123.64642756195683
2014-04-02,0,0,0,0.0,124.08531733638462
2014-04-03,0,0,0,0.0,121.54167174557375
2014-04-04,0,0,0,0.0,124.92628436033758
2014-04-07,0,0,0,0.0,121.6722190501326
2014-04-09,0,0,0,0.0,126.20591288071921
2014-04-10,0,0,0,0.0,130.77210871312528
2014-04-11,0,0,0,0.0,130.81577883731316
2014-04-15,0,0,0,0.0,132.6185470322117
2014-04-16,0,0,0,0.0,130.5831260389254
2014-04-17,0,0,0,0.0,134.75990617073762
2014-04-21,0,0,0,0.0,136.73099318337077
2014-04-22,0,0,0,0.0,137.00962390671532
2014-04-23,0,0,0,0.0,135.69172753966396
2014-04-24,0,0,0,0.0,135.69172753966396
2014-04-25,0,0,0,0.0,132.62700745686556
2014-04-28,0,0,0,0.0,134.67006238412216
2014-04-29,0,0,0,0.0,133.2650405864786
2014-04-30,0,0,0,0.0,128.67031323886036
2014-05-02,0,0,0,0.0,128.78610771246971
2014-05-05,0,0,0,0.0,129.1949253928959
2014-05-06,0,0,0,0.0,130.13735403066246
2014-05-07,0,0,0,0.0,129.05980869755254
2014-05-08,0,0,0,0.0,128.07816597983955
2014-05-09,0,0,0,0.0,128.04928492093865
2014-05-12,0,0,0,0.0,129.72315047138795
2014-05-13,0,0,0,0.0,133.08750582555706
2014-05-14,0,0,0,0.0,133.49501615648674
2014-05-15,0,0,0,0.0,131.4556022904554
2014-05-16,0,0,0,0.0,132.004812713277
2014-05-19,0,0,0,0.0,140.2181118976591
2014-05-20,0,0,0,0.0,141.52336838130114
2014-05-21,0,0,0,0.0,140.95402318162368
2014-05-22,0,0,0,0.0,147.53332664051294
2014-05-23,0,0,0,0.0,149.98417140469297
2014-05-26,0,0,0,0.0,146.77990447283037
2014-05-27,0,0,0,0.0,144.10522702584774
2014-05-28,0,0,0,0.0,145.3014814851316
2014-05-29,0,0,0,0.0,141.77605411897798
2014-05-30,0,0,0,0.0,143.48700761384498
2014-06-02,0,0,0,0.0,147.2696715651929
2014-06-03,0,0,0,0.0,153.3825489368607
2014-06-04,0,0,0,0.0,157.76418100810753
2014-06-05,0,0,0,0.0,159.87313481468877
2014-06-06,0,0,0,0.0,162.24240736866147
2014-06-09,0,0,0,0.0,163.13372352878574
2014-06-10,0,0,0,0.0,163.90004663005033
2014-06-11,0,0,0,0.0,161.16621248988204
2014-06-12,0,0,0,0.0,159.6569750153056
2014-06-13,0,0,0,0.0,154.84331601185983
2014-06-16,0,0,0,0.0,157.93252504145877
2014-06-17,0,0,0,0.0,159.7513604227632
2014-06-18,0,0,0,0.0,157.48860207140487
2014-06-19,0,0,0,0.0,160.1275588535507
2014-06-20,0,0,0,0.0,162.38740205731443
2014-06-23,0,0,0,0.0,160.73820986505592
