Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,5,0.0,100.0
2014-01-02,0,0,5,0.0,99.52109203524628
2014-01-03,0,0,5,0.0,99.29023278093665
2014-01-06,0,0,5,0.0,98.8319652232184
2014-01-07,0,0,5,0.0,100.1021498112546
2014-01-08,0,0,5,0.0,100.68709075600924
2014-01-09,0,0,5,0.0,100.71817356778328
2014-01-10,0,0,5,0.0,100.3958284928496
2014-01-13,0,0,5,0.0,99.49967307020847
2014-01-14,0,0,5,0.0,99.44899507619589
2014-01-15,0,0,5,0.0,99.90384809082505
2014-01-16,0,0,5,0.0,100.22657828937677
2014-01-17,0,0,5,0.0,99.45049656708197
2014-01-20,0,0,5,0.0,99.76868513800515
2014-01-21,0,0,5,0.0,100.66007545929585
2014-01-22,0,0,5,0.0,101.21431879384413
2014-01-23,0,0,5,0.0,101.30407087653475
2014-01-24,0,0,5,0.0,98.98449304639608
2014-01-27,0,0,5,0.0,97.10568992080574
2014-01-28,0,0,5,0.0,97.88165482045528
2014-01-29,0,0,5,0.0,97.38599701284066
2014-01-30,0,0,5,0.0,95.56487870862071
2014-01-31,0,0,5,0.0,95.0600333832899
2014-02-03,0,0,5,0.0,93.70802876544462
2014-02-04,0,0,5,0.0,93.14805441491815
2014-02-05,0,0,5,0.0,93.53824830960296
2014-02-06,0,0,5,0.0,94.42410329019975
2014-02-07,0,0,5,0.0,94.39858405606401
2014-02-10,0,0,5,0.0,94.51842058271562
2014-02-11,0,0,5,0.0,94.25396733610444
2014-02-12,0,0,5,0.0,94.42003999515264
2014-02-13,0,0,5,0.0,94.5247410877299
2014-02-14,0,0,5,0.0,93.81636282961223
2014-02-17,0,0,5,0.0,93.57685614081096
2014-02-18,0,0,5,0.0,92.91456916542886
2014-02-19,0,0,5,0.0,93.24066671920248
2014-02-20,0,0,5,0.0,92.58470143055213
2014-02-21,0,0,5,0.0,92.75094555372542
2014-02-24,0,0,5,0.0,92.91283545943048
2014-02-25,0,0,5,0.0,91.60070527840071
2014-02-26,0,0,5,0.0,90.9047265847883
2014-02-28,0,0,5,0.0,91.20121811338863
2014-03-03,0,0,5,0.0,90.42890532741143
2014-03-04,0,0,5,0.0,92.9683484946554
2014-03-05,0,0,5,0.0,93.81231040901754
2014-03-06,0,0,5,0.0,95.14356422073527
2014-03-07,0,0,5,0.0,94.7687414333255
2014-03-10,0,0,5,0.0,95.75083136461588
2014-03-11,0,0,5,0.0,93.73050073677018
2014-03-12,0,0,5,0.0,92.76116147517554
2014-03-13,0,0,5,0.0,93.30517662936752
2014-03-14,0,0,5,0.0,92.63619015145864
2014-03-18,0,0,5,0.0,92.87739232166847
2014-03-19,0,0,5,0.0,93.33165650021729
2014-03-20,0,0,5,0.0,92.86043218582847
2014-03-21,0,0,5,0.0,93.93512836285267
2014-03-24,0,0,5,0.0,93.3787277442074
2014-03-25,0,0,5,0.0,92.49353697585164
2014-03-26,0,0,5,0.0,93.7644319131018
2014-03-27,0,0,5,0.0,93.97026836455396
2014-03-28,0,0,5,0.0,95.07980160081084
2014-03-31,0,0,5,0.0,96.98725277401867
2014-04-01,0,0,5,0.0,97.92438919154263
2014-04-02,0,0,5,0.0,97.59827382903606
2014-04-03,0,0,5,0.0,97.66601647181213
2014-04-04,0,0,5,0.0,98.47196608388073
2014-04-07,0,0,5,0.0,98.15736951910685
2014-04-09,0,0,5,0.0,99.62196204673914
2014-04-10,0,0,5,0.0,99.15777117237802
2014-04-11,0,0,5,0.0,100.28213303505534
2014-04-15,0,0,5,0.0,97.50984524239324
2014-04-16,0,0,5,0.0,96.63237407661113
2014-04-17,0,0,5,0.0,97.73636518015424
2014-04-21,0,0,5,0.0,100.05292846189336
2014-04-22,0,0,5,0.0,98.87449380703353
2014-04-23,0,0,5,0.0,100.11437508356144
2014-04-24,0,0,5,0.0,100.11437508356144
2014-04-25,0,0,5,0.0,99.06103540553319
2014-04-28,0,0,5,0.0,99.38272346953494
2014-04-29,0,0,5,0.0,99.08587701994044
2014-04-30,0,0,5,0.0,96.64445890331663
2014-05-02,0,0,5,0.0,98.19753083325992
