Date,Above,Below,Total,Percentage,Index_Close
2014-09-16,1,0,1,100.0,191.2371091893834
2014-09-17,1,0,1,100.0,192.26804836382462
2014-09-18,1,0,1,100.0,196.39175590311802
2014-09-19,1,0,1,100.0,189.69073115176622
2014-09-22,1,0,1,100.0,193.29897524864796
2014-09-23,1,0,1,100.0,186.59795049729613
2014-09-24,1,0,1,100.0,193.29897524864796
2014-09-25,1,0,1,100.0,184.02063328523775
2014-09-26,1,0,1,100.0,179.38145001391476
2014-09-29,1,0,1,100.0,171.1340349353279
2014-09-30,1,0,1,100.0,178.35051083947354
2014-10-01,1,0,1,100.0,173.7113521473863
2014-10-07,1,0,1,100.0,175.25774247462132
2014-10-08,1,0,1,100.0,179.8969257459443
2014-10-09,1,0,1,100.0,174.22680330018005
2014-10-10,1,0,1,100.0,160.82475379747638
2014-10-13,0,1,1,0.0,146.3917528307136
2014-10-14,0,1,1,0.0,142.78352102344974
2014-10-16,0,1,1,0.0,136.08248398248003
2014-10-17,0,1,1,0.0,131.443300711157
2014-10-20,0,1,1,0.0,137.11341086730334
2014-10-21,0,1,1,0.0,134.02063021283328
2014-10-22,0,1,1,0.0,136.5979474248917
2014-10-23,0,1,1,0.0,143.2989721762435
2014-10-27,0,1,1,0.0,137.62887430971503
2014-10-28,0,1,1,0.0,134.02063021283325
2014-10-29,0,1,1,0.0,139.17526463695006
2014-10-30,0,1,1,0.0,139.17526463695006
2014-10-31,0,1,1,0.0,145.8762893883019
2014-11-03,0,1,1,0.0,153.0927898716833
2014-11-05,1,0,1,100.0,160.30929035506466
2014-11-07,1,0,1,100.0,168.04124199123984
2014-11-10,1,0,1,100.0,176.2886693594446
2014-11-11,1,0,1,100.0,185.05156017006107
2014-11-12,1,0,1,100.0,193.81443869105962
2014-11-13,1,0,1,100.0,203.09280523370558
2014-11-14,1,0,1,100.0,212.88661063952748
2014-11-17,1,0,1,100.0,202.577329501676
2014-11-18,1,0,1,100.0,192.7835240958541
2014-11-19,1,0,1,100.0,183.5051575532081
2014-11-20,1,0,1,100.0,174.74227903220955
2014-11-21,1,0,1,100.0,175.25774247462124
2014-11-24,1,0,1,100.0,177.31960853388583
2014-11-25,1,0,1,100.0,168.5567177232694
2014-11-26,1,0,1,100.0,164.94846133676978
2014-11-27,1,0,1,100.0,173.19587641535662
2014-11-28,1,0,1,100.0,173.71135214738618
2014-12-01,1,0,1,100.0,168.04124199123981
2014-12-02,1,0,1,100.0,164.43299789435807
2014-12-03,1,0,1,100.0,172.16496182015112
2014-12-04,1,0,1,100.0,178.35051083947343
2014-12-05,1,0,1,100.0,184.53608443803145
2014-12-08,1,0,1,100.0,191.23710918938326
2014-12-09,1,0,1,100.0,179.89692574594417
2014-12-10,1,0,1,100.0,188.14434082453107
2014-12-11,1,0,1,100.0,184.02063328523764
2014-12-12,1,0,1,100.0,178.86598657150296
2014-12-15,1,0,1,100.0,173.19587641535662
2014-12-16,0,1,1,0.0,158.76288773821173
2014-12-17,0,1,1,0.0,154.6391801989183
2014-12-18,0,1,1,0.0,157.73197314300623
2014-12-19,0,1,1,0.0,147.42269200515477
2014-12-22,0,1,1,0.0,155.67011937335948
2014-12-23,0,1,1,0.0,153.6082533140949
2014-12-24,0,1,1,0.0,156.70103396856499
2014-12-26,0,1,1,0.0,159.79382691265295
2014-12-29,0,1,1,0.0,160.82475379747632
2014-12-30,0,1,1,0.0,162.88660756712304
