Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,98.50472889705911
2014-01-03,0,0,0,0.0,98.30143057811827
2014-01-06,0,0,0,0.0,100.64295645394306
2014-01-07,0,0,0,0.0,100.3979838535349
2014-01-08,0,0,0,0.0,101.8801276566187
2014-01-09,0,0,0,0.0,100.39146427575321
2014-01-10,0,0,0,0.0,99.27695087239127
2014-01-13,0,0,0,0.0,99.29233478355222
2014-01-14,0,0,0,0.0,100.08630503213631
2014-01-15,0,0,0,0.0,100.83267848323025
2014-01-16,0,0,0,0.0,99.80013006362118
2014-01-17,0,0,0,0.0,97.67505223904965
2014-01-20,0,0,0,0.0,97.37190490168055
2014-01-21,0,0,0,0.0,98.1555461974176
2014-01-22,0,0,0,0.0,99.05253995650598
2014-01-23,0,0,0,0.0,98.84690272848985
2014-01-24,0,0,0,0.0,96.77369749540628
2014-01-27,0,0,0,0.0,94.97136974885
2014-01-28,0,0,0,0.0,96.40487907189447
2014-01-29,0,0,0,0.0,98.25723693650686
2014-01-30,0,0,0,0.0,96.62824559262378
2014-01-31,0,0,0,0.0,97.09716471656492
2014-02-03,0,0,0,0.0,96.68736347677068
2014-02-04,0,0,0,0.0,96.35760880853235
2014-02-05,0,0,0,0.0,96.06599099192744
2014-02-06,0,0,0,0.0,96.41286388859565
2014-02-07,0,0,0,0.0,97.60951871356829
2014-02-10,0,0,0,0.0,97.27053386306766
2014-02-11,0,0,0,0.0,98.11046540478965
2014-02-12,0,0,0,0.0,98.83516332293875
2014-02-13,0,0,0,0.0,97.40810351301221
2014-02-14,0,0,0,0.0,97.76981023093452
2014-02-17,0,0,0,0.0,97.97523784232254
2014-02-18,0,0,0,0.0,98.03900089640224
2014-02-19,0,0,0,0.0,98.11625712736387
2014-02-20,0,0,0,0.0,98.8578340067108
2014-02-21,0,0,0,0.0,102.48259911946988
2014-02-24,0,0,0,0.0,105.44044499581237
2014-02-25,0,0,0,0.0,106.30444638859751
2014-02-26,0,0,0,0.0,106.90298695237526
2014-02-28,0,0,0,0.0,106.26176635870428
2014-03-03,0,0,0,0.0,107.2804086607885
2014-03-04,0,0,0,0.0,108.35719270971309
2014-03-05,0,0,0,0.0,109.52060870625114
2014-03-06,0,0,0,0.0,112.66841407505962
2014-03-07,0,0,0,0.0,111.76153296496383
2014-03-10,0,0,0,0.0,112.85555569595445
2014-03-11,0,0,0,0.0,114.21450399690971
2014-03-12,0,0,0,0.0,114.9769085337906
2014-03-13,0,0,0,0.0,114.51293101309756
2014-03-14,0,0,0,0.0,113.70265632595631
2014-03-18,0,0,0,0.0,114.52437152026982
2014-03-19,0,0,0,0.0,115.28473301074966
2014-03-20,0,0,0,0.0,115.74979596750603
2014-03-21,0,0,0,0.0,117.30035459368924
2014-03-24,0,0,0,0.0,118.06621826093881
2014-03-25,0,0,0,0.0,118.60384567504478
2014-03-26,0,0,0,0.0,118.58238279048032
2014-03-27,0,0,0,0.0,123.47650587204339
2014-03-28,0,0,0,0.0,124.94150902374457
2014-03-31,0,0,0,0.0,125.53422869339428
2014-04-01,0,0,0,0.0,125.06029801679472
2014-04-02,0,0,0,0.0,126.26533246894394
2014-04-03,0,0,0,0.0,126.23310120328566
2014-04-04,0,0,0,0.0,125.51165426370223
2014-04-07,0,0,0,0.0,126.66444842170988
2014-04-09,0,0,0,0.0,126.59069296071917
2014-04-10,0,0,0,0.0,131.20004991093052
2014-04-11,0,0,0,0.0,133.27774369357917
2014-04-15,0,0,0,0.0,132.96509706160046
2014-04-16,0,0,0,0.0,132.14968431967415
2014-04-17,0,0,0,0.0,133.94464800652207
2014-04-21,0,0,0,0.0,135.5787187672706
2014-04-22,0,0,0,0.0,135.18542629844345
2014-04-23,0,0,0,0.0,136.44887355332557
2014-04-24,0,0,0,0.0,136.44887355332557
2014-04-25,0,0,0,0.0,135.01108358406418
2014-04-28,0,0,0,0.0,137.47907515155606
2014-04-29,0,0,0,0.0,138.11594528330565
2014-04-30,0,0,0,0.0,136.94836663292094
2014-05-02,0,0,0,0.0,137.56416707264682
2014-05-05,0,0,0,0.0,143.5123102673051
2014-05-06,0,0,0,0.0,148.0974419364048
2014-05-07,0,0,0,0.0,148.47640200872075
2014-05-08,0,0,0,0.0,149.64063876698077
2014-05-09,0,0,0,0.0,149.876629302553
2014-05-12,0,0,0,0.0,150.596433011166
2014-05-13,0,0,0,0.0,151.93240008694565
2014-05-14,0,0,0,0.0,152.98135133705665
2014-05-15,0,0,0,0.0,152.0704655961038
2014-05-16,0,0,0,0.0,152.32352365236153
2014-05-19,0,0,0,0.0,156.74664214004176
2014-05-20,0,0,0,0.0,158.60100004948677
2014-05-21,0,0,0,0.0,162.57772060602795
2014-05-22,0,0,0,0.0,168.91570881194025
2014-05-23,0,0,0,0.0,173.6247303603794
2014-05-26,0,0,0,0.0,170.73735791124707
2014-05-27,0,0,0,0.0,171.61181845949446
2014-05-28,0,0,0,0.0,173.9093555057979
2014-05-29,0,0,0,0.0,172.08077896207936
2014-05-30,0,0,0,0.0,171.26116294489097
2014-06-02,0,0,0,0.0,175.47867279057078
2014-06-03,0,0,0,0.0,177.6589913025915
2014-06-04,0,0,0,0.0,182.96809566380605
2014-06-05,0,0,0,0.0,184.7070606038703
2014-06-06,0,0,0,0.0,186.76610677112387
2014-06-09,0,0,0,0.0,187.5114506985891
2014-06-10,0,0,0,0.0,188.2080401763185
2014-06-11,0,0,0,0.0,191.29384109616652
2014-06-12,0,0,0,0.0,192.19778280704892
2014-06-13,0,0,0,0.0,189.1596952536443
2014-06-16,0,0,0,0.0,189.53485656366982
2014-06-17,0,0,0,0.0,193.15260929612336
2014-06-18,0,0,0,0.0,196.15929610657386
2014-06-19,0,0,0,0.0,198.37152543648324
2014-06-20,0,0,0,0.0,199.63452888847232
2014-06-23,0,0,0,0.0,201.20086256754882
2014-06-24,0,0,0,0.0,203.10564903006605
2014-06-25,0,0,0,0.0,200.31491136014944
2014-06-26,0,0,0,0.0,199.2714355137371
2014-06-27,0,0,0,0.0,202.76675279101437
2014-06-30,0,0,0,0.0,204.80944020409737
2014-07-01,0,0,0,0.0,205.72637460677825
2014-07-02,0,0,0,0.0,207.3750476050761
2014-07-03,0,0,0,0.0,209.80623453107046
2014-07-04,0,0,0,0.0,209.78216632738597
2014-07-07,0,0,0,0.0,210.06494305668605
2014-07-08,0,0,0,0.0,202.8896469557197
2014-07-09,0,0,0,0.0,201.6971087128993
2014-07-10,0,0,0,0.0,201.714916580614
2014-07-11,0,0,0,0.0,199.49587082577415
2014-07-14,0,0,0,0.0,198.50811253450928
2014-07-15,0,0,0,0.0,201.65197194111056
2014-07-16,0,0,0,0.0,205.83463959400373
2014-07-17,0,0,0,0.0,212.42260859851504
2014-07-18,0,0,0,0.0,211.30960517791598
2014-07-21,0,0,0,0.0,211.99714784441062
2014-07-22,0,0,0,0.0,214.95256000644477
2014-07-23,0,0,0,0.0,220.44404832289243
2014-07-24,0,0,0,0.0,224.03662971673813
2014-07-25,0,0,0,0.0,223.01319242170607
2014-07-28,0,0,0,0.0,221.22858676937273
2014-07-30,0,0,0,0.0,222.4247371719074
2014-07-31,0,0,0,0.0,221.64071935653052
2014-08-01,0,0,0,0.0,218.602149278736
2014-08-04,0,0,0,0.0,223.72420220037364
2014-08-05,0,0,0,0.0,230.3925096873259
2014-08-06,0,0,0,0.0,232.65215165528429
2014-08-07,7,0,7,100.0,231.28296634749597
2014-08-08,7,0,7,100.0,227.8778024835524
2014-08-11,7,0,7,100.0,226.37384970475608
2014-08-12,7,0,7,100.0,231.28115345973282
2014-08-13,7,0,7,100.0,226.23385591493127
2014-08-14,7,0,7,100.0,227.73910913110828
2014-08-18,7,0,7,100.0,229.62877080216805
2014-08-19,7,0,7,100.0,237.70290728466196
2014-08-20,7,0,7,100.0,243.4455914080897
2014-08-21,7,0,7,100.0,244.94231276639883
2014-08-22,7,0,7,100.0,244.74204174201955
2014-08-25,7,0,7,100.0,248.71274678220004
2014-08-26,7,0,7,100.0,247.56271643147508
2014-08-27,7,0,7,100.0,251.07083487212316
2014-08-28,7,0,7,100.0,249.25851401303717
2014-09-01,7,0,7,100.0,251.521051664123
2014-09-02,7,0,7,100.0,251.73195083119094
2014-09-03,7,0,7,100.0,251.6924711405603
2014-09-04,7,0,7,100.0,251.83932152658394
2014-09-05,7,0,7,100.0,254.28176519698175
2014-09-08,7,0,7,100.0,259.804191923932
2014-09-09,7,0,7,100.0,260.7407086768524
2014-09-10,7,0,7,100.0,260.70660623969786
2014-09-11,7,0,7,100.0,260.2102122964074
2014-09-12,7,0,7,100.0,264.6526402601135
