Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,7,1,9,87.5,151.09281129308897
2014-08-08,8,1,9,88.88888888888889,145.42972229055584
2014-08-11,7,2,9,77.77777777777779,145.33722162399206
2014-08-12,7,2,9,77.77777777777779,145.73395689361934
2014-08-13,7,2,9,77.77777777777779,140.42652340597596
2014-08-14,7,2,9,77.77777777777779,144.94507859103456
2014-08-18,8,1,9,88.88888888888889,145.7313760384175
2014-08-19,7,2,9,77.77777777777779,145.53036823097924
2014-08-20,8,1,9,88.88888888888889,146.0893599102771
2014-08-21,7,2,9,77.77777777777779,143.77986028557774
2014-08-22,8,1,9,88.88888888888889,148.97995325865824
2014-08-25,8,1,9,88.88888888888889,146.25840515670492
2014-08-26,8,1,9,88.88888888888889,145.02885234077758
2014-08-27,8,1,9,88.88888888888889,144.44095923158287
2014-08-28,8,1,9,88.88888888888889,145.31250685914344
2014-09-01,8,1,9,88.88888888888889,145.01006481824692
2014-09-02,7,2,9,77.77777777777779,144.22763260157853
2014-09-03,7,2,9,77.77777777777779,142.12788535435334
2014-09-04,6,3,9,66.66666666666666,141.66344152774857
2014-09-05,7,2,9,77.77777777777779,140.86428757349373
2014-09-08,7,2,9,77.77777777777779,145.25754231162514
2014-09-09,7,2,9,77.77777777777779,145.69709504613246
2014-09-10,7,2,9,77.77777777777779,144.8505411559222
2014-09-11,8,1,9,88.88888888888889,151.3875207834614
2014-09-12,7,2,9,77.77777777777779,148.7111422051616
2014-09-15,8,1,9,88.88888888888889,147.86809549885214
2014-09-16,6,3,9,66.66666666666666,142.39244351863488
2014-09-17,6,3,9,66.66666666666666,140.5449847462294
2014-09-18,6,3,9,66.66666666666666,141.04353393255423
2014-09-19,6,3,9,66.66666666666666,140.38745240202664
2014-09-22,6,3,9,66.66666666666666,139.84090368781915
2014-09-23,6,3,9,66.66666666666666,135.5859430732612
2014-09-24,5,4,9,55.55555555555556,132.860240069894
2014-09-25,3,6,9,33.33333333333333,129.52162530424786
2014-09-26,4,5,9,44.44444444444444,128.21611245416608
2014-09-29,4,5,9,44.44444444444444,129.70493098215715
2014-09-30,4,5,9,44.44444444444444,130.78654102310634
2014-10-01,4,5,9,44.44444444444444,131.84914775919347
2014-10-07,5,4,9,55.55555555555556,131.8672216353503
2014-10-08,5,4,9,55.55555555555556,132.00007868128344
2014-10-09,4,5,9,44.44444444444444,133.20772268832403
2014-10-10,5,4,9,55.55555555555556,132.5821319908543
2014-10-13,5,4,9,55.55555555555556,132.93541615993948
2014-10-14,4,5,9,44.44444444444444,130.9835020370479
2014-10-16,3,6,9,33.33333333333333,128.2335527470212
2014-10-17,3,6,9,33.33333333333333,127.18389602911131
2014-10-20,3,6,9,33.33333333333333,129.5848881195988
2014-10-21,4,5,9,44.44444444444444,131.72544535700368
2014-10-22,3,6,9,33.33333333333333,132.26754755795213
2014-10-23,4,5,9,44.44444444444444,134.32576433250827
2014-10-27,3,6,9,33.33333333333333,135.0049397532023
2014-10-28,3,6,9,33.33333333333333,135.45164738775892
2014-10-29,3,6,9,33.33333333333333,133.8857702341726
2014-10-30,3,6,9,33.33333333333333,133.34119694910908
2014-10-31,4,5,9,44.44444444444444,134.74508110483458
2014-11-03,4,5,9,44.44444444444444,136.51665310225678
2014-11-05,6,3,9,66.66666666666666,139.339051180341
2014-11-07,5,4,9,55.55555555555556,137.12051960053358
2014-11-10,4,5,9,44.44444444444444,134.87688785844807
2014-11-11,3,6,9,33.33333333333333,135.33196939264315
2014-11-12,6,3,9,66.66666666666666,138.6377459738853
2014-11-13,7,2,9,77.77777777777779,148.7613207573552
2014-11-14,7,2,9,77.77777777777779,147.19957314099096
2014-11-17,7,2,9,77.77777777777779,148.05554710693346
2014-11-18,7,2,9,77.77777777777779,155.0372462754382
2014-11-19,7,2,9,77.77777777777779,152.16724462428837
2014-11-20,6,3,9,66.66666666666666,147.4213478877194
2014-11-21,5,4,9,55.55555555555556,144.8783679580938
2014-11-24,6,3,9,66.66666666666666,144.30763183247822
2014-11-25,4,5,9,44.44444444444444,139.9297751237503
2014-11-26,5,4,9,55.55555555555556,141.6972219295926
2014-11-27,5,4,9,55.55555555555556,140.37172490746843
2014-11-28,4,5,9,44.44444444444444,139.42131146195734
2014-12-01,4,5,9,44.44444444444444,137.290043401444
2014-12-02,4,5,9,44.44444444444444,136.0249089033681
2014-12-03,4,5,9,44.44444444444444,136.99092854050633
2014-12-04,4,5,9,44.44444444444444,136.76198830884084
2014-12-05,4,5,9,44.44444444444444,136.6597421878974
2014-12-08,3,6,9,33.33333333333333,135.10726516155086
2014-12-09,3,6,9,33.33333333333333,133.0792890981191
2014-12-10,3,6,9,33.33333333333333,137.96525433522154
2014-12-11,5,4,9,55.55555555555556,142.69668244459254
2014-12-12,3,6,9,33.33333333333333,136.97347147999415
2014-12-15,3,6,9,33.33333333333333,135.83831483787097
2014-12-16,3,6,9,33.33333333333333,131.63190488515437
2014-12-17,3,6,9,33.33333333333333,129.68956795758254
2014-12-18,3,6,9,33.33333333333333,133.3998977901638
2014-12-19,2,7,9,22.22222222222222,131.4365182306721
2014-12-22,3,6,9,33.33333333333333,130.52954737951424
2014-12-23,2,7,9,22.22222222222222,129.71544821268236
2014-12-24,3,6,9,33.33333333333333,129.81297077209436
2014-12-26,3,6,9,33.33333333333333,129.9403602737273
2014-12-29,2,7,9,22.22222222222222,130.47925231091375
2014-12-30,2,7,9,22.22222222222222,129.6722072186895
2014-12-31,2,7,9,22.22222222222222,130.615450133899
2015-01-01,3,6,9,33.33333333333333,131.96418052543854
2015-01-02,3,6,9,33.33333333333333,132.6883758920077
2015-01-05,3,6,9,33.33333333333333,134.27763770037004
2015-01-06,1,8,9,11.11111111111111,131.4473580385277
2015-01-07,2,7,9,22.22222222222222,131.22263549986772
2015-01-08,2,7,9,22.22222222222222,131.864042661351
2015-01-09,2,7,9,22.22222222222222,131.1848149211825
2015-01-12,2,7,9,22.22222222222222,133.9789809332982
2015-01-13,2,7,9,22.22222222222222,132.35842011438515
2015-01-14,1,8,9,11.11111111111111,130.61282164498286
2015-01-15,2,7,9,22.22222222222222,131.84454443239517
2015-01-16,1,8,9,11.11111111111111,131.18128144026204
2015-01-19,1,8,9,11.11111111111111,130.7187454928354
2015-01-20,2,7,9,22.22222222222222,130.71628022122698
2015-01-21,2,7,9,22.22222222222222,132.0808271963155
2015-01-22,1,8,9,11.11111111111111,131.4251338719401
2015-01-23,1,8,9,11.11111111111111,129.4937403379169
2015-01-27,1,8,9,11.11111111111111,135.09367256020505
2015-01-28,2,7,9,22.22222222222222,133.352998088733
2015-01-29,2,7,9,22.22222222222222,132.98776930580843
2015-01-30,2,7,9,22.22222222222222,132.3185523377623
2015-02-02,1,8,9,11.11111111111111,132.51161868592482
2015-02-03,1,8,9,11.11111111111111,131.05968018856683
2015-02-04,1,8,9,11.11111111111111,129.4971563980782
