Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,2,0.0,100.0
2014-01-02,0,0,2,0.0,99.35678393374957
2014-01-03,0,0,2,0.0,102.27737414384688
2014-01-06,0,0,2,0.0,106.25613228093587
2014-01-07,0,0,2,0.0,107.76670294973718
2014-01-08,0,0,2,0.0,107.3729277709325
2014-01-09,0,0,2,0.0,104.76446622269316
2014-01-10,0,0,2,0.0,103.82425658741327
2014-01-13,0,0,2,0.0,104.26727689282167
2014-01-14,0,0,2,0.0,103.65157383416155
2014-01-15,0,0,2,0.0,103.2723998243285
2014-01-16,0,0,2,0.0,105.96596269100658
2014-01-17,0,0,2,0.0,104.35876666168915
2014-01-20,0,0,2,0.0,103.5914643483095
2014-01-21,0,0,2,0.0,101.54073281124172
2014-01-22,0,0,2,0.0,99.99486737039074
2014-01-23,0,0,2,0.0,100.25540269814881
2014-01-24,0,0,2,0.0,100.14261272774499
2014-01-27,0,0,2,0.0,96.60936898393805
2014-01-28,0,0,2,0.0,98.32948663579518
2014-01-29,0,0,2,0.0,100.11692454003993
2014-01-30,0,0,2,0.0,98.18807436225892
2014-01-31,0,0,2,0.0,99.81591429702902
2014-02-03,0,0,2,0.0,95.94725831412994
2014-02-04,0,0,2,0.0,95.61955201733042
2014-02-05,0,0,2,0.0,96.07604096652761
2014-02-06,0,0,2,0.0,97.13324152141577
2014-02-07,0,0,2,0.0,96.14557620744417
2014-02-10,0,0,2,0.0,94.06473772389815
2014-02-11,0,0,2,0.0,94.7079743560707
2014-02-12,0,0,2,0.0,94.68859664162568
2014-02-13,0,0,2,0.0,93.05863665974788
2014-02-14,0,0,2,0.0,94.5710809505767
2014-02-17,0,0,2,0.0,93.81835474604117
2014-02-18,0,0,2,0.0,93.98391680282916
2014-02-19,0,0,2,0.0,94.46036320188924
2014-02-20,0,0,2,0.0,96.23631019476122
2014-02-21,0,0,2,0.0,96.29286373426571
2014-02-24,0,0,2,0.0,95.74793694950232
2014-02-25,0,0,2,0.0,95.5519446221669
2014-02-26,0,0,2,0.0,94.98992603125261
2014-02-28,0,0,2,0.0,97.15821325364172
2014-03-03,0,0,2,0.0,99.265643195413
2014-03-04,0,0,2,0.0,99.97996241426544
2014-03-05,0,0,2,0.0,102.60965490644251
2014-03-06,0,0,2,0.0,105.52154844037898
2014-03-07,0,0,2,0.0,105.22787009816801
2014-03-10,0,0,2,0.0,106.87967184789157
2014-03-11,0,0,2,0.0,105.97575518886808
2014-03-12,0,0,2,0.0,103.99092040092286
2014-03-13,0,0,2,0.0,103.18409816477771
2014-03-14,0,0,2,0.0,101.91045501065892
2014-03-18,0,0,2,0.0,102.88461156516522
2014-03-19,0,0,2,0.0,101.77166461389274
2014-03-20,0,0,2,0.0,100.65809732594926
2014-03-21,0,0,2,0.0,101.22250267096086
2014-03-24,0,0,2,0.0,100.1300338399044
2014-03-25,0,0,2,0.0,100.91049748206787
2014-03-26,0,0,2,0.0,102.11646950319344
2014-03-27,0,0,2,0.0,106.05777397509976
2014-03-28,0,0,2,0.0,104.0149573368423
2014-03-31,0,0,2,0.0,104.83106460663858
2014-04-01,0,0,2,0.0,104.92125937956254
2014-04-02,0,0,2,0.0,107.30008754159135
2014-04-03,0,0,2,0.0,106.56832428112222
2014-04-04,0,0,2,0.0,109.83568441917146
2014-04-07,0,0,2,0.0,109.05907182523593
2014-04-09,0,0,2,0.0,108.49403379653721
2014-04-10,0,0,2,0.0,107.00372592014429
2014-04-11,0,0,2,0.0,107.76037053743981
2014-04-15,0,0,2,0.0,106.91752921751076
2014-04-16,0,0,2,0.0,104.83066081247338
2014-04-17,0,0,2,0.0,105.60833214270149
2014-04-21,0,0,2,0.0,107.38987277447252
2014-04-22,0,0,2,0.0,107.55229477306231
2014-04-23,0,0,2,0.0,109.1417849999559
2014-04-24,0,0,2,0.0,109.1417849999559
2014-04-25,0,0,2,0.0,115.52093910422872
2014-04-28,0,0,2,0.0,114.22560008404443
2014-04-29,0,0,2,0.0,113.74125125902069
2014-04-30,0,0,2,0.0,113.61396359580007
2014-05-02,0,0,2,0.0,118.34167259110096
2014-05-05,0,0,2,0.0,113.7243801446527
2014-05-06,0,0,2,0.0,114.58052818172337
2014-05-07,0,0,2,0.0,114.46441373124875
2014-05-08,0,0,2,0.0,113.77583825842346
2014-05-09,0,0,2,0.0,114.23965843996604
2014-05-12,0,0,2,0.0,114.09194080378937
2014-05-13,0,0,2,0.0,114.21953600160397
2014-05-14,0,0,2,0.0,119.0721934925024
2014-05-15,0,0,2,0.0,116.39594131172042
2014-05-16,0,0,2,0.0,117.62065466347227
2014-05-19,0,0,2,0.0,122.01728422680833
2014-05-20,0,0,2,0.0,132.88527898542497
2014-05-21,0,0,2,0.0,136.44609372295423
2014-05-22,0,0,2,0.0,140.8178475836703
2014-05-23,0,0,2,0.0,141.8627057046401
2014-05-26,0,0,2,0.0,142.22365742389476
2014-05-27,0,0,2,0.0,147.1817395266678
2014-05-28,0,0,2,0.0,156.83550310477472
2014-05-29,0,0,2,0.0,157.15956154000804
2014-05-30,0,0,2,0.0,151.11665482764096
2014-06-02,0,0,2,0.0,159.33919638133284
2014-06-03,0,0,2,0.0,154.8845097751809
2014-06-04,0,0,2,0.0,158.23633028081505
2014-06-05,0,0,2,0.0,162.1369167778565
2014-06-06,0,0,2,0.0,162.85206912912585
2014-06-09,0,0,2,0.0,166.74019613503253
2014-06-10,0,0,2,0.0,175.79747668913285
2014-06-11,0,0,2,0.0,178.7095041598095
2014-06-12,0,0,2,0.0,181.00483587443742
2014-06-13,0,0,2,0.0,173.64331770000507
2014-06-16,0,0,2,0.0,167.68946564857782
2014-06-17,0,0,2,0.0,173.59038017030787
2014-06-18,0,0,2,0.0,168.3490789642885
2014-06-19,0,0,2,0.0,168.98899998167022
2014-06-20,0,0,2,0.0,164.72329851260696
2014-06-23,0,0,2,0.0,162.43076080498412
2014-06-24,0,0,2,0.0,164.23588695493785
2014-06-25,0,0,2,0.0,165.77654439501637
2014-06-26,0,0,2,0.0,170.41666867627
2014-06-27,0,0,2,0.0,175.62773810305984
2014-06-30,0,0,2,0.0,177.45525678658166
2014-07-01,0,0,2,0.0,183.36502039451346
2014-07-02,0,0,2,0.0,186.48415498654373
2014-07-03,0,0,2,0.0,182.71654501976263
2014-07-04,0,0,2,0.0,182.4013503866361
2014-07-07,0,0,2,0.0,177.6281512623247
2014-07-08,0,0,2,0.0,173.05619648560597
2014-07-09,0,0,2,0.0,168.35672972919986
2014-07-10,0,0,2,0.0,165.04739695148504
2014-07-11,0,0,2,0.0,161.7513530314889
2014-07-14,0,0,2,0.0,161.1341177454504
2014-07-15,0,0,2,0.0,164.51949182369992
2014-07-16,0,0,2,0.0,166.52919140157397
2014-07-17,0,0,2,0.0,168.91256365966888
2014-07-18,0,0,2,0.0,169.5868140557092
2014-07-21,0,0,2,0.0,172.53188396933191
2014-07-22,0,0,2,0.0,174.00284801170358
2014-07-23,0,0,2,0.0,173.12687367842807
2014-07-24,0,0,2,0.0,172.1980528648054
2014-07-25,0,0,2,0.0,167.59391152924067
2014-07-28,0,0,2,0.0,163.20410541043137
2014-07-30,0,0,2,0.0,157.79858927881625
2014-07-31,0,0,2,0.0,162.26993435589205
2014-08-01,0,0,2,0.0,164.85593237624073
2014-08-04,0,0,2,0.0,169.20839098240174
2014-08-05,0,0,2,0.0,172.7782905400091
2014-08-06,0,0,2,0.0,170.36622052346664
2014-08-07,2,0,2,100.0,160.74582518109176
2014-08-08,2,0,2,100.0,160.16596894695934
2014-08-11,2,0,2,100.0,162.26105588610557
2014-08-12,2,0,2,100.0,163.28234589030325
2014-08-13,2,0,2,100.0,159.19957859823873
2014-08-14,2,0,2,100.0,160.88435341308715
2014-08-18,2,0,2,100.0,165.24100662729495
2014-08-19,2,0,2,100.0,163.23689333736385
2014-08-20,2,0,2,100.0,160.69545117886173
2014-08-21,2,0,2,100.0,162.10134692659298
2014-08-22,2,0,2,100.0,158.004514626873
2014-08-25,2,0,2,100.0,158.86425473601224
2014-08-26,2,0,2,100.0,152.9489561213088
2014-08-27,2,0,2,100.0,153.86880380124407
2014-08-28,2,0,2,100.0,158.27263583661102
2014-09-01,2,0,2,100.0,163.7628216809808
2014-09-02,2,0,2,100.0,166.78939793115916
2014-09-03,2,0,2,100.0,168.68162367648551
2014-09-04,2,0,2,100.0,174.50102941264294
2014-09-05,2,0,2,100.0,187.235628107277
2014-09-08,2,0,2,100.0,200.03552101027404
2014-09-09,2,0,2,100.0,195.30680206577696
2014-09-10,2,0,2,100.0,194.55534331202537
2014-09-11,2,0,2,100.0,198.14572439249895
2014-09-12,2,0,2,100.0,210.86245203113089
2014-09-15,2,0,2,100.0,224.270866646791
2014-09-16,2,0,2,100.0,205.41319942159646
2014-09-17,2,0,2,100.0,217.45145579958697
