Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,5,0.0,100.0
2014-01-02,0,0,5,0.0,98.20324968442186
2014-01-03,0,0,5,0.0,98.63428380511156
2014-01-06,0,0,5,0.0,99.39110702649333
2014-01-07,0,0,5,0.0,98.17822569555912
2014-01-08,0,0,5,0.0,98.545588447919
2014-01-09,0,0,5,0.0,96.96478782034004
2014-01-10,0,0,5,0.0,97.62436835094812
2014-01-13,0,0,5,0.0,98.61666032198022
2014-01-14,0,0,5,0.0,97.52247973742432
2014-01-15,0,0,5,0.0,97.73618854331284
2014-01-16,0,0,5,0.0,100.04616447513095
2014-01-17,0,0,5,0.0,98.94871990459734
2014-01-20,0,0,5,0.0,98.71980655337751
2014-01-21,0,0,5,0.0,99.59692505876718
2014-01-22,0,0,5,0.0,99.87543679103294
2014-01-23,0,0,5,0.0,100.19235527720689
2014-01-24,0,0,5,0.0,100.25208604687987
2014-01-27,0,0,5,0.0,97.49426721483005
2014-01-28,0,0,5,0.0,96.84683882848188
2014-01-29,0,0,5,0.0,96.19473143870044
2014-01-30,0,0,5,0.0,94.4312513599103
2014-01-31,0,0,5,0.0,95.51465496723503
2014-02-03,0,0,5,0.0,95.90395683573176
2014-02-04,0,0,5,0.0,95.96332583391593
2014-02-05,0,0,5,0.0,96.42287590440709
2014-02-06,0,0,5,0.0,96.67393687090153
2014-02-07,0,0,5,0.0,96.00275340810195
2014-02-10,0,0,5,0.0,95.90276480795806
2014-02-11,0,0,5,0.0,96.44354072332692
2014-02-12,0,0,5,0.0,95.99591967537987
2014-02-13,0,0,5,0.0,94.9109836527351
2014-02-14,0,0,5,0.0,95.47874659341687
2014-02-17,0,0,5,0.0,94.04966505151405
2014-02-18,0,0,5,0.0,94.61464147422066
2014-02-19,0,0,5,0.0,94.59018175210878
2014-02-20,0,0,5,0.0,94.40640690274098
2014-02-21,0,0,5,0.0,95.02435388115825
2014-02-24,0,0,5,0.0,95.75332902961341
2014-02-25,0,0,5,0.0,96.21598909216209
2014-02-26,0,0,5,0.0,96.46657195120737
2014-02-28,0,0,5,0.0,97.50281424161145
2014-03-03,0,0,5,0.0,98.73087634581587
2014-03-04,0,0,5,0.0,100.23022024472583
2014-03-05,0,0,5,0.0,99.62097068644984
2014-03-06,0,0,5,0.0,100.7959619834629
2014-03-07,0,0,5,0.0,99.50484876619889
