Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,1,0,2,100.0,160.1448170351806
2014-08-08,1,0,2,100.0,161.6002849075558
2014-08-11,1,0,2,100.0,163.3811375864987
2014-08-12,1,0,2,100.0,166.66826411605305
2014-08-13,1,0,2,100.0,168.3368177226851
2014-08-14,1,0,2,100.0,179.21489022125064
2014-08-18,1,0,2,100.0,183.93330823103216
2014-08-19,1,0,2,100.0,183.1539594168602
2014-08-20,1,0,2,100.0,188.61030617758485
2014-08-21,1,0,2,100.0,196.99054636049777
2014-08-22,1,0,2,100.0,195.93832275720123
2014-08-25,1,0,2,100.0,205.37893775238945
2014-08-26,1,0,2,100.0,200.61459045696682
2014-08-27,1,0,2,100.0,206.9157001193637
2014-08-28,1,0,2,100.0,200.35473249448867
2014-09-01,1,0,2,100.0,200.85947626589257
2014-09-02,1,0,2,100.0,197.68071593607038
2014-09-03,1,0,2,100.0,196.4614583958503
2014-09-04,1,0,2,100.0,194.47164719332494
2014-09-05,1,0,2,100.0,197.30661065836358
2014-09-08,1,0,2,100.0,198.80908475534608
2014-09-09,1,0,2,100.0,200.48911111105872
2014-09-10,1,0,2,100.0,200.39016848518
2014-09-11,1,0,2,100.0,202.1887225831505
2014-09-12,1,0,2,100.0,200.43878400072427
2014-09-15,1,0,2,100.0,202.3259306710036
2014-09-16,1,0,2,100.0,191.54239114868125
2014-09-17,1,0,2,100.0,190.68836716230803
2014-09-18,1,0,2,100.0,195.32269003264915
2014-09-19,1,0,2,100.0,206.96341115453504
2014-09-22,1,0,2,100.0,203.99328333869633
2014-09-23,1,0,2,100.0,195.37026401739413
2014-09-24,1,0,2,100.0,188.9599529958981
2014-09-25,1,0,2,100.0,183.70850187411318
2014-09-26,1,0,2,100.0,183.6619876931258
2014-09-29,1,0,2,100.0,191.07744996570122
2014-09-30,1,0,2,100.0,188.9004958427891
2014-10-01,1,0,2,100.0,186.83638913397985
2014-10-07,1,0,2,100.0,190.38356275584104
2014-10-08,1,0,2,100.0,190.14427373372308
2014-10-09,1,0,2,100.0,194.35652928401333
2014-10-10,1,0,2,100.0,191.2735023423129
2014-10-13,1,0,2,100.0,191.42927158009243
2014-10-14,1,0,2,100.0,197.45240002842405
2014-10-16,1,0,2,100.0,196.41379469316223
2014-10-17,1,0,2,100.0,200.22404662567249
2014-10-20,1,0,2,100.0,204.0936337756182
2014-10-21,1,0,2,100.0,203.56388625214876
2014-10-22,1,0,2,100.0,202.59675924475366
2014-10-23,1,0,2,100.0,204.77621036294863
2014-10-27,1,0,2,100.0,202.62578168724502
2014-10-28,1,0,2,100.0,206.61973076027436
2014-10-29,1,0,2,100.0,210.23644729316544
2014-10-30,1,0,2,100.0,209.71570328103414
2014-10-31,1,0,2,100.0,210.193811887878
2014-11-03,1,0,2,100.0,212.88465871701945
2014-11-05,1,0,2,100.0,218.42386130039353
2014-11-07,1,0,2,100.0,214.9938627867761
2014-11-10,1,0,2,100.0,218.7754552338829
2014-11-11,1,0,2,100.0,217.32310163681893
2014-11-12,1,0,2,100.0,217.69414754385087
2014-11-13,1,0,2,100.0,214.1699163993019
2014-11-14,1,0,2,100.0,213.93546839323722
2014-11-17,1,0,2,100.0,221.11309670443595
2014-11-18,1,0,2,100.0,222.86585200440436
2014-11-19,1,0,2,100.0,219.8363961882429
2014-11-20,1,0,2,100.0,221.32817571524242
2014-11-21,1,0,2,100.0,219.08229159115362
2014-11-24,1,0,2,100.0,213.82341836485645
2014-11-25,1,0,2,100.0,208.30983575017405
2014-11-26,1,0,2,100.0,211.3979666786759
2014-11-27,1,0,2,100.0,209.95658967544918
2014-11-28,1,0,2,100.0,211.41166656765193
2014-12-01,1,0,2,100.0,209.8859383007554
2014-12-02,1,0,2,100.0,209.2515306092236
2014-12-03,1,0,2,100.0,209.0460489732318
2014-12-04,1,0,2,100.0,207.214137162585
2014-12-05,1,0,2,100.0,206.36781719965947
2014-12-08,1,0,2,100.0,201.53446863674614
2014-12-09,1,0,2,100.0,201.40518432215333
2014-12-10,1,0,2,100.0,200.11901790363518
2014-12-11,1,0,2,100.0,201.0021021142916
2014-12-12,1,0,2,100.0,198.79255750256857
2014-12-15,1,0,2,100.0,195.56078976108188
2014-12-16,1,0,2,100.0,191.69234203857937
2014-12-17,1,0,2,100.0,192.37389659789184
2014-12-18,2,0,2,100.0,200.0418413411785
2014-12-19,2,0,2,100.0,198.78756432825375
2014-12-22,2,0,2,100.0,202.43602825420047
2014-12-23,2,0,2,100.0,198.03598009936155
2014-12-24,2,0,2,100.0,196.59888564408368
2014-12-26,2,0,2,100.0,196.59786651033596
2014-12-29,2,0,2,100.0,201.789179951715
2014-12-30,2,0,2,100.0,207.1960939774086
2014-12-31,2,0,2,100.0,208.5385951137025
2015-01-01,2,0,2,100.0,208.91344899943613
2015-01-02,2,0,2,100.0,208.33217567245805
2015-01-05,2,0,2,100.0,213.34729538199645
2015-01-06,2,0,2,100.0,205.1090818782776
2015-01-07,2,0,2,100.0,207.68855353513248
2015-01-08,2,0,2,100.0,219.3937002044499
2015-01-09,2,0,2,100.0,221.84464062208616
2015-01-12,2,0,2,100.0,225.09547192081305
2015-01-13,2,0,2,100.0,239.3306291694918
2015-01-14,2,0,2,100.0,239.4750993130701
2015-01-15,2,0,2,100.0,245.2259311288585
2015-01-16,2,0,2,100.0,246.49172521487182
2015-01-19,2,0,2,100.0,242.13619450262178
2015-01-20,2,0,2,100.0,239.97503915747856
2015-01-21,2,0,2,100.0,242.30614923865988
2015-01-22,2,0,2,100.0,244.9250019102538
2015-01-23,2,0,2,100.0,248.09467546828623
2015-01-27,2,0,2,100.0,242.68638625913778
2015-01-28,2,0,2,100.0,243.39740562699964
2015-01-29,2,0,2,100.0,239.74848853077617
2015-01-30,2,0,2,100.0,236.53934081076198
2015-02-02,2,0,2,100.0,230.94406595056554
2015-02-03,2,0,2,100.0,228.8716889248576
2015-02-04,2,0,2,100.0,230.3121058230724
2015-02-05,2,0,2,100.0,226.74471782731857
2015-02-06,2,0,2,100.0,225.14732386268182
2015-02-09,2,0,2,100.0,222.61297352974117
2015-02-10,2,0,2,100.0,222.94806685702483
2015-02-11,2,0,2,100.0,224.16971210310072
2015-02-12,2,0,2,100.0,228.5788446475839
2015-02-13,2,0,2,100.0,228.71396584981665
2015-02-16,2,0,2,100.0,229.27081807454672
2015-02-18,2,0,2,100.0,225.08381669095817
2015-02-19,2,0,2,100.0,223.6099401605788
2015-02-20,2,0,2,100.0,226.53860012159356
2015-02-23,2,0,2,100.0,225.70738262402702
2015-02-24,2,0,2,100.0,221.78608530584128
2015-02-25,2,0,2,100.0,219.54585668275288
2015-02-26,2,0,2,100.0,221.0227270888587
2015-02-27,2,0,2,100.0,226.51614826180045
2015-02-28,2,0,2,100.0,222.5085518702716
2015-03-02,1,1,2,50.0,218.3599549626248
2015-03-03,2,0,2,100.0,219.26728563839703
2015-03-04,1,1,2,50.0,226.98299854856262
2015-03-05,1,1,2,50.0,225.98094222346225
2015-03-09,1,1,2,50.0,223.82219641634546
2015-03-10,2,0,2,100.0,224.73430702254296
2015-03-11,1,1,2,50.0,226.3919894934193
2015-03-12,2,0,2,100.0,232.21170003474074
2015-03-13,1,1,2,50.0,225.8251161521616
2015-03-16,1,1,2,50.0,225.93479550227605
2015-03-17,1,1,2,50.0,225.42591958206265
2015-03-18,2,0,2,100.0,227.8810546538711
2015-03-19,2,0,2,100.0,228.07679623130988
2015-03-20,1,1,2,50.0,225.87124337757172
2015-03-23,1,1,2,50.0,227.2758572498983
2015-03-24,1,1,2,50.0,225.76559636512167
2015-03-25,1,1,2,50.0,225.1033639944837
2015-03-26,1,1,2,50.0,223.03187777504147
2015-03-27,1,1,2,50.0,218.4535660306923
2015-03-30,1,1,2,50.0,221.9443239213669
2015-03-31,1,1,2,50.0,219.7992595955125
2015-04-01,1,1,2,50.0,222.01506971422097
2015-04-06,1,1,2,50.0,227.2662207565748
2015-04-07,1,1,2,50.0,225.7239480028269
2015-04-08,1,1,2,50.0,228.68697040243114
2015-04-09,2,0,2,100.0,241.1792629817591
2015-04-10,2,0,2,100.0,242.85466758596158
2015-04-13,2,0,2,100.0,241.81047165040783
2015-04-15,2,0,2,100.0,243.83502091898745
2015-04-16,1,1,2,50.0,241.71168112543677
2015-04-17,1,1,2,50.0,239.15353830427253
2015-04-20,1,1,2,50.0,234.89885862267124
2015-04-21,1,1,2,50.0,238.1761219606115
2015-04-22,1,1,2,50.0,237.75742154250952
2015-04-23,1,1,2,50.0,239.61242007912483
2015-04-24,1,1,2,50.0,236.54142148936702
2015-04-27,1,1,2,50.0,231.20258956565416
2015-04-28,1,1,2,50.0,241.18636495600578
2015-04-29,1,1,2,50.0,241.56642065345787
2015-04-30,1,1,2,50.0,235.1082487642536
2015-05-04,1,1,2,50.0,239.73927663836298
2015-05-05,1,1,2,50.0,240.6057963613137
2015-05-06,1,1,2,50.0,234.17562168551575
2015-05-07,1,1,2,50.0,231.47989664773982
2015-05-08,1,1,2,50.0,234.1635776368527
2015-05-11,1,1,2,50.0,238.02600663718022
2015-05-12,1,1,2,50.0,234.50228074239422
2015-05-13,1,1,2,50.0,235.48131616289783
2015-05-14,1,1,2,50.0,233.7766939922078
2015-05-15,1,1,2,50.0,238.41043777075433
2015-05-18,1,1,2,50.0,240.16070411278312
2015-05-19,1,1,2,50.0,242.44718509713545
2015-05-20,1,1,2,50.0,240.38168794356505
2015-05-21,1,1,2,50.0,234.44084045278984
2015-05-22,1,1,2,50.0,235.86654247407813
2015-05-25,1,1,2,50.0,232.41430821266036
2015-05-26,1,1,2,50.0,230.72084053351603
2015-05-27,1,1,2,50.0,233.2329387596928
2015-05-28,1,1,2,50.0,235.1372145040203
2015-05-29,1,1,2,50.0,244.62905350866814
2015-06-01,1,1,2,50.0,239.14691262309117
2015-06-02,1,1,2,50.0,235.12666434477586
2015-06-03,1,1,2,50.0,232.19044459514748
2015-06-04,1,1,2,50.0,230.3596250193437
2015-06-05,1,1,2,50.0,228.01033187567964
2015-06-08,1,1,2,50.0,222.43142747714626
2015-06-09,1,1,2,50.0,222.81306373668735
2015-06-10,1,1,2,50.0,223.55605180137422
2015-06-11,1,1,2,50.0,226.09512639214194
2015-06-12,1,1,2,50.0,217.42813120306187
2015-06-15,1,1,2,50.0,221.44310707932928
2015-06-16,1,1,2,50.0,221.65713095268615
2015-06-17,1,1,2,50.0,223.63387324860238
2015-06-18,1,1,2,50.0,228.10521945633346
2015-06-19,1,1,2,50.0,226.96174096833087
2015-06-22,1,1,2,50.0,230.92990383144482
2015-06-23,1,1,2,50.0,231.46147273557477
2015-06-24,1,1,2,50.0,230.50834796496846
2015-06-25,1,1,2,50.0,229.8259234258143
2015-06-26,1,1,2,50.0,227.51170181909157
2015-06-29,1,1,2,50.0,221.78555762611603
2015-06-30,1,1,2,50.0,224.11588950976466
2015-07-01,1,1,2,50.0,226.4329634849488
2015-07-02,1,1,2,50.0,228.6165798980817
2015-07-03,1,1,2,50.0,227.49865317535765
2015-07-06,1,1,2,50.0,228.07462334340875
2015-07-07,1,1,2,50.0,232.80215994465513
2015-07-08,1,1,2,50.0,225.5136535022777
2015-07-09,1,1,2,50.0,223.39985513589343
2015-07-10,1,1,2,50.0,224.90553453587157
2015-07-13,1,1,2,50.0,224.39868891591334
2015-07-14,1,1,2,50.0,231.54691798328219
2015-07-15,1,1,2,50.0,233.664305440991
2015-07-16,1,1,2,50.0,233.24672103845296
2015-07-17,1,1,2,50.0,233.7660122232264
2015-07-20,1,1,2,50.0,229.45456041304513
2015-07-21,1,1,2,50.0,230.21580237317062
2015-07-22,1,1,2,50.0,231.37667515523384
2015-07-23,1,1,2,50.0,230.2773186240646
2015-07-24,1,1,2,50.0,230.77398730802759
2015-07-27,1,1,2,50.0,226.9210156546381
2015-07-28,1,1,2,50.0,228.7500350688147
2015-07-29,1,1,2,50.0,230.31204609352912
2015-07-30,1,1,2,50.0,231.63930249431033
2015-07-31,1,1,2,50.0,230.1229318913037
2015-08-03,1,1,2,50.0,228.61342687869364
2015-08-04,1,1,2,50.0,232.16098831512696
2015-08-05,1,1,2,50.0,232.87657485189993
2015-08-06,1,1,2,50.0,233.10220762423904
2015-08-07,1,1,2,50.0,233.27785199830794
2015-08-10,1,1,2,50.0,234.33501228284425
2015-08-11,1,1,2,50.0,232.69433122047363
2015-08-12,1,1,2,50.0,223.9132145596741
2015-08-13,0,2,2,0.0,222.8229700393373
2015-08-14,1,1,2,50.0,226.165286062811
2015-08-17,1,1,2,50.0,228.88567390284558
2015-08-18,1,1,2,50.0,228.31464404416013
2015-08-19,1,1,2,50.0,228.3512191088044
2015-08-20,1,1,2,50.0,229.26893039707957
2015-08-21,1,1,2,50.0,225.29425461419672
2015-08-24,0,2,2,0.0,206.03123776790392
2015-08-25,0,2,2,0.0,215.17672554986805
2015-08-26,0,2,2,0.0,220.22379870851964
2015-08-27,1,1,2,50.0,227.64424123151352
2015-08-28,1,1,2,50.0,228.90801889948494
2015-08-31,1,1,2,50.0,230.56260237145284
2015-09-01,0,2,2,0.0,226.5142855374099
2015-09-02,0,2,2,0.0,223.66207207654605
2015-09-03,2,0,2,100.0,229.96885612712904
2015-09-04,0,2,2,0.0,225.31958171856306
2015-09-07,1,1,2,50.0,224.635028083953
2015-09-08,0,2,2,0.0,221.7986680044748
2015-09-09,0,2,2,0.0,222.87319634000303
2015-09-10,0,2,2,0.0,221.06070729102498
2015-09-11,0,2,2,0.0,223.3602320684835
2015-09-14,0,2,2,0.0,223.99079422213575
2015-09-15,1,1,2,50.0,225.17341265617242
2015-09-16,1,1,2,50.0,223.85274502378718
2015-09-18,0,2,2,0.0,224.70494303422024
2015-09-21,1,1,2,50.0,225.79331895015304
2015-09-22,1,1,2,50.0,224.93051452433534
2015-09-23,1,1,2,50.0,229.7465526273065
2015-09-24,1,1,2,50.0,231.29544039734654
2015-09-28,1,1,2,50.0,229.72184793993327
2015-09-29,1,1,2,50.0,230.22728524004202
2015-09-30,1,1,2,50.0,231.52231207350852
2015-10-01,1,1,2,50.0,230.6876153161482
2015-10-05,1,1,2,50.0,229.70024442882826
2015-10-06,1,1,2,50.0,229.89768584500575
2015-10-07,1,1,2,50.0,233.21683522276703
2015-10-08,1,1,2,50.0,234.15367544433795
2015-10-09,1,1,2,50.0,235.06827905548639
2015-10-12,1,1,2,50.0,234.19221025953064
2015-10-13,1,1,2,50.0,234.72905715558787
2015-10-14,1,1,2,50.0,233.32765608142196
2015-10-15,1,1,2,50.0,234.21727557963598
2015-10-16,1,1,2,50.0,236.18666618030608
2015-10-19,1,1,2,50.0,239.69583856968768
2015-10-20,1,1,2,50.0,240.27923312906813
2015-10-21,1,1,2,50.0,239.8889905821533
2015-10-23,1,1,2,50.0,239.69979306332573
2015-10-26,1,1,2,50.0,243.67887415905116
