Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,4,0.0,100.0
2014-01-02,0,0,4,0.0,101.2337444214681
2014-01-03,0,0,4,0.0,101.62802621145728
2014-01-06,0,0,4,0.0,100.48882220160422
2014-01-07,0,0,4,0.0,99.97445338747988
2014-01-08,0,0,4,0.0,100.62285267173559
2014-01-09,0,0,4,0.0,99.4473706306145
2014-01-10,0,0,4,0.0,98.37953000288756
2014-01-13,0,0,4,0.0,98.90479458917316
2014-01-14,0,0,4,0.0,99.78416038079955
2014-01-15,0,0,4,0.0,99.52539995423852
2014-01-16,0,0,4,0.0,99.58710357530947
2014-01-17,0,0,4,0.0,99.09220598208557
2014-01-20,0,0,4,0.0,99.96735814242919
2014-01-21,0,0,4,0.0,100.04223530548953
2014-01-22,0,0,4,0.0,99.47001102067581
2014-01-23,0,0,4,0.0,99.27489152680971
2014-01-24,0,0,4,0.0,97.31448877223437
2014-01-27,0,0,4,0.0,96.38107092641286
2014-01-28,0,0,4,0.0,96.72370709382989
2014-01-29,0,0,4,0.0,97.73689739718921
2014-01-30,0,0,4,0.0,97.97329493838322
2014-01-31,0,0,4,0.0,98.25230679331793
2014-02-03,0,0,4,0.0,97.33360940032516
2014-02-04,0,0,4,0.0,99.72768988693232
2014-02-05,0,0,4,0.0,99.67148503502196
2014-02-06,0,0,4,0.0,99.24349097611287
2014-02-07,0,0,4,0.0,98.54835166764938
2014-02-10,0,0,4,0.0,99.04834517856506
2014-02-11,0,0,4,0.0,99.14585889410553
2014-02-12,0,0,4,0.0,99.03806372826259
2014-02-13,0,0,4,0.0,100.16864068429234
2014-02-14,0,0,4,0.0,99.1121808620733
2014-02-17,0,0,4,0.0,100.63299486141497
2014-02-18,0,0,4,0.0,100.65147944778022
2014-02-19,0,0,4,0.0,100.00758661496896
2014-02-20,0,0,4,0.0,99.94145124235527
2014-02-21,0,0,4,0.0,100.11356309533174
2014-02-24,0,0,4,0.0,100.56375417929935
2014-02-25,0,0,4,0.0,102.17122061887542
2014-02-26,0,0,4,0.0,103.13318090602625
2014-02-28,0,0,4,0.0,104.19252598000215
2014-03-03,0,0,4,0.0,104.42433503176503
2014-03-04,0,0,4,0.0,105.84940050230965
2014-03-05,0,0,4,0.0,106.62550199996161
2014-03-06,0,0,4,0.0,107.24265541205564
2014-03-07,0,0,4,0.0,106.52763087096035
2014-03-10,0,0,4,0.0,108.03052555700008
2014-03-11,0,0,4,0.0,107.32559927772178
2014-03-12,0,0,4,0.0,107.76538513241476
2014-03-13,0,0,4,0.0,108.60997696201713
2014-03-14,0,0,4,0.0,109.10945326012734
2014-03-18,0,0,4,0.0,110.24819156708861
2014-03-19,0,0,4,0.0,111.35488148724868
2014-03-20,0,0,4,0.0,111.86230979524237
2014-03-21,0,0,4,0.0,112.35994875802801
2014-03-24,0,0,4,0.0,113.86858557583896
2014-03-25,0,0,4,0.0,115.7255752435072
2014-03-26,0,0,4,0.0,114.75986703477241
2014-03-27,0,0,4,0.0,116.76862821289326
2014-03-28,0,0,4,0.0,116.12938445045515
2014-03-31,0,0,4,0.0,117.91446273279307
2014-04-01,0,0,4,0.0,117.57032939537515
2014-04-02,0,0,4,0.0,117.68724947695989
2014-04-03,0,0,4,0.0,117.44567647697525
2014-04-04,0,0,4,0.0,115.67086731716552
2014-04-07,0,0,4,0.0,116.53443301409952
2014-04-09,0,0,4,0.0,117.58357739210919
2014-04-10,0,0,4,0.0,117.13421298685407
2014-04-11,0,0,4,0.0,114.90608196123621
2014-04-15,0,0,4,0.0,113.9117922723258
2014-04-16,0,0,4,0.0,112.33374521940686
2014-04-17,0,0,4,0.0,113.23949235946596
2014-04-21,0,0,4,0.0,114.30208525768148
2014-04-22,0,0,4,0.0,114.47912636226718
2014-04-23,0,0,4,0.0,115.38533655792725
2014-04-24,0,0,4,0.0,115.38533655792725
2014-04-25,0,0,4,0.0,113.38450807992115
2014-04-28,0,0,4,0.0,112.79846553104846
2014-04-29,0,0,4,0.0,113.57096532784183
2014-04-30,0,0,4,0.0,115.30879448547739
2014-05-02,0,0,4,0.0,117.44889925280533
2014-05-05,0,0,4,0.0,118.29422358803214
2014-05-06,0,0,4,0.0,118.73851975600267
2014-05-07,0,0,4,0.0,117.27044306000545
2014-05-08,0,0,4,0.0,118.49783015232673
2014-05-09,0,0,4,0.0,122.10377382620585
2014-05-12,0,0,4,0.0,126.64428823016323
2014-05-13,0,0,4,0.0,127.73185171630388
2014-05-14,0,0,4,0.0,128.16969746079886
2014-05-15,0,0,4,0.0,127.21695163938456
2014-05-16,0,0,4,0.0,125.51154477470492
2014-05-19,0,0,4,0.0,126.89656726309231
2014-05-20,0,0,4,0.0,126.62911688793858
2014-05-21,0,0,4,0.0,130.67424251112075
2014-05-22,0,0,4,0.0,133.3008386139873
2014-05-23,0,0,4,0.0,135.1773216466679
2014-05-26,0,0,4,0.0,130.92081934611736
2014-05-27,0,0,4,0.0,132.2865398346194
2014-05-28,0,0,4,0.0,133.4591360963419
2014-05-29,0,0,4,0.0,133.04930467716528
2014-05-30,0,0,4,0.0,130.60161422190154
2014-06-02,0,0,4,0.0,132.87287911802449
2014-06-03,0,0,4,0.0,135.79719563051646
2014-06-04,0,0,4,0.0,137.64060470822776
2014-06-05,0,0,4,0.0,137.33026708838418
2014-06-06,0,0,4,0.0,139.67349489358202
2014-06-09,0,0,4,0.0,142.92919652642252
