Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,6,0,6,100.0,183.0812987706966
2014-08-08,6,0,6,100.0,181.06906366222074
2014-08-11,6,0,6,100.0,183.61172044199316
2014-08-12,6,0,6,100.0,185.65196954885917
2014-08-13,6,0,6,100.0,177.70843485208948
2014-08-14,6,0,6,100.0,175.78061514626552
2014-08-18,6,0,6,100.0,183.53507245104936
2014-08-19,6,0,6,100.0,186.3642448142715
2014-08-20,6,0,6,100.0,188.5652571095712
2014-08-21,6,0,6,100.0,191.22274736170337
2014-08-22,6,0,6,100.0,190.98692735843917
2014-08-25,6,0,6,100.0,191.33541263179615
2014-08-26,6,0,6,100.0,189.0784438430242
2014-08-27,6,0,6,100.0,189.36281648898515
2014-08-28,6,0,6,100.0,189.26598259217718
2014-09-01,6,0,6,100.0,198.02379816663057
2014-09-02,6,0,6,100.0,201.853836705254
2014-09-03,6,0,6,100.0,204.57603860437246
2014-09-04,6,0,6,100.0,210.40946672615078
2014-09-05,6,0,6,100.0,212.24776402663701
2014-09-08,6,0,6,100.0,233.7958143922636
2014-09-09,6,0,6,100.0,235.93119222256553
2014-09-10,6,0,6,100.0,238.18861858278945
2014-09-11,6,0,6,100.0,242.2196442804164
2014-09-12,6,0,6,100.0,242.73759208600336
2014-09-15,6,0,6,100.0,245.43483531181218
2014-09-16,6,0,6,100.0,236.66805624444143
2014-09-17,6,0,6,100.0,241.23019986958795
2014-09-18,6,0,6,100.0,247.3915066420494
2014-09-19,6,0,6,100.0,253.26502160060863
2014-09-22,6,0,6,100.0,251.26056961841363
2014-09-23,6,0,6,100.0,243.10643782437057
2014-09-24,6,0,6,100.0,242.55335845470626
2014-09-25,6,0,6,100.0,236.3733136896684
2014-09-26,6,0,6,100.0,236.59723889152176
2014-09-29,6,0,6,100.0,239.6133775959169
2014-09-30,6,0,6,100.0,251.99895613941487
2014-10-01,6,0,6,100.0,249.54191079658366
2014-10-07,6,0,6,100.0,252.9561121811284
2014-10-08,6,0,6,100.0,252.49281850627625
