Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,5,0,5,100.0,194.39993988994595
2014-08-08,5,0,5,100.0,191.07337918387856
2014-08-11,5,0,5,100.0,191.74433736401616
2014-08-12,5,0,5,100.0,188.55596815629417
2014-08-13,4,1,5,80.0,180.39183987352664
2014-08-14,4,1,5,80.0,182.98423228962798
2014-08-18,4,1,5,80.0,187.54699383194423
2014-08-19,4,1,5,80.0,188.7204953297159
2014-08-20,5,0,5,100.0,189.2796714335581
2014-08-21,4,1,5,80.0,187.62258396871357
2014-08-22,4,1,5,80.0,187.65999979758152
2014-08-25,4,1,5,80.0,189.28121617342637
2014-08-26,4,1,5,80.0,189.96807526441944
2014-08-27,4,1,5,80.0,191.54464235144408
2014-08-28,4,1,5,80.0,194.67390412392734
2014-09-01,4,1,5,80.0,193.56325203265337
2014-09-02,4,1,5,80.0,195.42285724264525
2014-09-03,5,0,5,100.0,199.87101229563524
2014-09-04,5,0,5,100.0,202.3540920876365
2014-09-05,5,0,5,100.0,201.72014832045102
2014-09-08,4,1,5,80.0,201.247665159072
2014-09-09,4,1,5,80.0,207.0112936292836
2014-09-10,5,0,5,100.0,205.09941058632631
2014-09-11,5,0,5,100.0,206.92941090320477
2014-09-12,5,0,5,100.0,208.95207245822053
2014-09-15,5,0,5,100.0,207.3494308460635
2014-09-16,5,0,5,100.0,197.44869285377197
2014-09-17,4,1,5,80.0,195.93232181619985
2014-09-18,4,1,5,80.0,199.50563278986772
2014-09-19,5,0,5,100.0,202.78283820375515
2014-09-22,5,0,5,100.0,205.2634699431108
2014-09-23,5,0,5,100.0,200.9128617066188
2014-09-24,5,0,5,100.0,202.9862420923886
2014-09-25,4,1,5,80.0,193.62086579363697
2014-09-26,3,2,5,60.0,193.5626101849041
2014-09-29,3,2,5,60.0,196.1439557782597
2014-09-30,4,1,5,80.0,197.39377696769455
2014-10-01,4,1,5,80.0,195.89550668149377
2014-10-07,3,2,5,60.0,195.84903169305812
2014-10-08,4,1,5,80.0,196.88010273066203
2014-10-09,4,1,5,80.0,204.4539761026766
2014-10-10,4,1,5,80.0,201.3296944002127
2014-10-13,4,1,5,80.0,203.23697726235946
2014-10-14,4,1,5,80.0,200.35023341378823
2014-10-16,4,1,5,80.0,196.1317113012529
2014-10-17,4,1,5,80.0,196.911883275618
2014-10-20,4,1,5,80.0,195.6999073953488
2014-10-21,4,1,5,80.0,198.0727566033181
2014-10-22,4,1,5,80.0,198.36383906642823
2014-10-23,4,1,5,80.0,199.75037571091315
