Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,8,1,9,88.88888888888889,162.65481244516198
2014-08-08,8,1,9,88.88888888888889,159.70745492687075
2014-08-11,8,1,9,88.88888888888889,161.72191344797864
2014-08-12,8,1,9,88.88888888888889,164.1566828643516
2014-08-13,7,2,9,77.77777777777779,161.16607917328326
2014-08-14,7,2,9,77.77777777777779,166.63222914908087
2014-08-18,8,1,9,88.88888888888889,172.96037278290075
2014-08-19,8,1,9,88.88888888888889,175.78557646572932
2014-08-20,9,0,9,100.0,177.08043659197222
2014-08-21,9,0,9,100.0,178.32919894106885
2014-08-22,9,0,9,100.0,178.8941003072223
2014-08-25,9,0,9,100.0,179.8812395757387
2014-08-26,9,0,9,100.0,184.70093674811298
2014-08-27,9,0,9,100.0,186.2669468200197
2014-08-28,9,0,9,100.0,187.0959658615637
2014-09-01,9,0,9,100.0,186.38846449650757
2014-09-02,9,0,9,100.0,186.67915405961136
2014-09-03,9,0,9,100.0,187.6402563236741
2014-09-04,9,0,9,100.0,185.95548267291548
2014-09-05,9,0,9,100.0,188.04316610835653
2014-09-08,9,0,9,100.0,191.19214717135696
2014-09-09,8,1,9,88.88888888888889,194.85726595758692
2014-09-10,8,1,9,88.88888888888889,195.01085123880685
2014-09-11,8,1,9,88.88888888888889,197.330568283568
2014-09-12,8,1,9,88.88888888888889,197.2403497391023
2014-09-15,8,1,9,88.88888888888889,199.22415080717576
2014-09-16,8,1,9,88.88888888888889,188.38134887629792
2014-09-17,8,1,9,88.88888888888889,189.5660430142466
2014-09-18,8,1,9,88.88888888888889,193.84666295107732
2014-09-19,9,0,9,100.0,192.2208341128117
2014-09-22,9,0,9,100.0,194.2970708995061
2014-09-23,8,1,9,88.88888888888889,190.8004215571758
2014-09-24,8,1,9,88.88888888888889,185.90555521637003
2014-09-25,8,1,9,88.88888888888889,181.57813550371472
2014-09-26,8,1,9,88.88888888888889,185.6123145795214
2014-09-29,8,1,9,88.88888888888889,189.53040334497595
2014-09-30,8,1,9,88.88888888888889,190.93037520565542
2014-10-01,8,1,9,88.88888888888889,189.67741527315863
2014-10-07,8,1,9,88.88888888888889,188.26032358859464
2014-10-08,8,1,9,88.88888888888889,188.0135155521486
2014-10-09,8,1,9,88.88888888888889,190.89226866759861
2014-10-10,8,1,9,88.88888888888889,187.7175748303307
2014-10-13,9,0,9,100.0,191.37866908785338
2014-10-14,9,0,9,100.0,192.21583069955457
2014-10-16,8,1,9,88.88888888888889,184.67247542997836
2014-10-17,8,1,9,88.88888888888889,187.0126502705854
2014-10-20,8,1,9,88.88888888888889,189.64503201051843
2014-10-21,8,1,9,88.88888888888889,190.3737278102504
2014-10-22,8,1,9,88.88888888888889,192.0275953743012
2014-10-23,8,1,9,88.88888888888889,193.55041076023085
2014-10-27,9,0,9,100.0,195.62747706760584
2014-10-28,9,0,9,100.0,195.72373466753928
2014-10-29,8,1,9,88.88888888888889,197.770771802269
2014-10-30,8,1,9,88.88888888888889,199.74024090258976
2014-10-31,9,0,9,100.0,202.72757093130153
2014-11-03,9,0,9,100.0,204.34580876365084
2014-11-05,9,0,9,100.0,206.08402609742063
2014-11-07,9,0,9,100.0,207.24506239168292
2014-11-10,9,0,9,100.0,210.21684674675546
2014-11-11,8,1,9,88.88888888888889,210.2849836707617
2014-11-12,8,1,9,88.88888888888889,208.8601987378863
2014-11-13,8,1,9,88.88888888888889,209.9708958948431
2014-11-14,8,1,9,88.88888888888889,211.1960600606865
2014-11-17,8,1,9,88.88888888888889,216.1629141627363
2014-11-18,8,1,9,88.88888888888889,216.3166411735201
2014-11-19,8,1,9,88.88888888888889,217.0476269734724
2014-11-20,8,1,9,88.88888888888889,213.20265690870048
2014-11-21,8,1,9,88.88888888888889,213.0948743143464
2014-11-24,8,1,9,88.88888888888889,213.46439178639804
2014-11-25,8,1,9,88.88888888888889,208.85990697454696
2014-11-26,8,1,9,88.88888888888889,209.9320718253617
2014-11-27,8,1,9,88.88888888888889,209.50285726617244
2014-11-28,8,1,9,88.88888888888889,209.68643256223928
2014-12-01,8,1,9,88.88888888888889,209.61106709022715
2014-12-02,8,1,9,88.88888888888889,211.28736706650514
2014-12-03,8,1,9,88.88888888888889,217.3661476149555
2014-12-04,8,1,9,88.88888888888889,216.4046420001633
2014-12-05,8,1,9,88.88888888888889,217.00023812701113
2014-12-08,8,1,9,88.88888888888889,216.75527596754418
2014-12-09,8,1,9,88.88888888888889,213.13868871877398
2014-12-10,8,1,9,88.88888888888889,213.1783729809166
2014-12-11,8,1,9,88.88888888888889,208.52379920350575
2014-12-12,8,1,9,88.88888888888889,205.44407378952044
2014-12-15,8,1,9,88.88888888888889,202.78776901794063
2014-12-16,7,2,9,77.77777777777779,194.61833549939718
2014-12-17,7,2,9,77.77777777777779,193.5068779288685
2014-12-18,7,2,9,77.77777777777779,200.27349916557392
2014-12-19,7,2,9,77.77777777777779,205.51635561471198
2014-12-22,7,2,9,77.77777777777779,205.30675820449514
2014-12-23,7,2,9,77.77777777777779,201.4064839076007
2014-12-24,7,2,9,77.77777777777779,203.52900156664256
2014-12-26,7,2,9,77.77777777777779,204.75878323670247
2014-12-29,7,2,9,77.77777777777779,209.659981330398
2014-12-30,7,2,9,77.77777777777779,212.69544611521968
2014-12-31,7,2,9,77.77777777777779,220.38198901523307
2015-01-01,7,2,9,77.77777777777779,220.35824627994015
2015-01-02,7,2,9,77.77777777777779,222.47048481917133
2015-01-05,7,2,9,77.77777777777779,224.60499088064842
2015-01-06,7,2,9,77.77777777777779,215.71873154538932
2015-01-07,7,2,9,77.77777777777779,216.61693649552896
2015-01-08,7,2,9,77.77777777777779,221.7531483974534
2015-01-09,7,2,9,77.77777777777779,221.59870419851998
2015-01-12,8,1,9,88.88888888888889,225.55096789093224
2015-01-13,8,1,9,88.88888888888889,224.23384072057303
2015-01-14,8,1,9,88.88888888888889,224.82680964017055
2015-01-15,8,1,9,88.88888888888889,227.2030918637155
2015-01-16,8,1,9,88.88888888888889,228.90612832455628
2015-01-19,8,1,9,88.88888888888889,232.34548166229067
2015-01-20,8,1,9,88.88888888888889,233.48241630628945
2015-01-21,7,2,9,77.77777777777779,229.61802148339743
2015-01-22,7,2,9,77.77777777777779,229.13469637853905
2015-01-23,7,2,9,77.77777777777779,227.34453041787083
2015-01-27,7,2,9,77.77777777777779,228.73366358281498
2015-01-28,7,2,9,77.77777777777779,227.46568217243825
2015-01-29,7,2,9,77.77777777777779,227.0044321728673
2015-01-30,7,2,9,77.77777777777779,223.44474207645976
2015-02-02,6,3,9,66.66666666666666,223.91445001201075
2015-02-03,6,3,9,66.66666666666666,224.4292025046247
2015-02-04,6,3,9,66.66666666666666,222.84302622236632
2015-02-05,6,3,9,66.66666666666666,218.01981231360378
2015-02-06,6,3,9,66.66666666666666,214.41979915122852
2015-02-09,6,3,9,66.66666666666666,211.69817664255072
2015-02-10,6,3,9,66.66666666666666,212.8951384905672
2015-02-11,7,2,9,77.77777777777779,216.43116749146748
2015-02-12,7,2,9,77.77777777777779,219.43757303263837
2015-02-13,7,2,9,77.77777777777779,221.40778007965957
2015-02-16,7,2,9,77.77777777777779,221.07719472343302
2015-02-18,7,2,9,77.77777777777779,221.95994561019404
2015-02-19,7,2,9,77.77777777777779,221.6524694782926
2015-02-20,7,2,9,77.77777777777779,223.4196591645
2015-02-23,6,3,9,66.66666666666666,222.46666628219566
2015-02-24,6,3,9,66.66666666666666,220.6492140119884
2015-02-25,6,3,9,66.66666666666666,218.32855780732962
2015-02-26,6,3,9,66.66666666666666,214.84793014671078
2015-02-27,7,2,9,77.77777777777779,219.02644093851782
2015-02-28,6,3,9,66.66666666666666,217.0608136080677
2015-03-02,6,3,9,66.66666666666666,218.94461433264078
2015-03-03,6,3,9,66.66666666666666,221.1678848581159
2015-03-04,6,3,9,66.66666666666666,218.97810799844802
2015-03-05,6,3,9,66.66666666666666,220.57956102061667
2015-03-09,6,3,9,66.66666666666666,224.24885208273375
2015-03-10,7,2,9,77.77777777777779,225.17675273559718
2015-03-11,6,3,9,66.66666666666666,224.9296205056838
2015-03-12,7,2,9,77.77777777777779,230.62673146648106
2015-03-13,7,2,9,77.77777777777779,228.7006928345049
2015-03-16,6,3,9,66.66666666666666,227.28128334455326
2015-03-17,6,3,9,66.66666666666666,229.76794007938568
2015-03-18,6,3,9,66.66666666666666,229.9700160011485
2015-03-19,6,3,9,66.66666666666666,226.86530029644786
2015-03-20,6,3,9,66.66666666666666,223.5324420985931
2015-03-23,6,3,9,66.66666666666666,223.06858717249543
2015-03-24,6,3,9,66.66666666666666,225.97888974741159
2015-03-25,6,3,9,66.66666666666666,225.42563385038275
2015-03-26,6,3,9,66.66666666666666,223.76136902088396
2015-03-27,6,3,9,66.66666666666666,225.09596424840308
2015-03-30,6,3,9,66.66666666666666,231.3642806512679
