Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,4,0,4,100.0,221.0496990144742
2014-08-08,4,0,5,100.0,212.2472361207104
2014-08-11,4,0,5,100.0,212.802587617586
2014-08-12,4,0,5,100.0,216.0320335929125
2014-08-13,4,0,5,100.0,210.28227566693175
2014-08-14,4,0,5,100.0,212.15356652810962
2014-08-18,4,0,5,100.0,220.50417628960014
2014-08-19,4,0,5,100.0,223.5783913492188
2014-08-20,4,0,5,100.0,224.1856813167081
2014-08-21,4,0,5,100.0,223.32794984799267
2014-08-22,4,0,5,100.0,223.02010639683232
2014-08-25,5,0,5,100.0,224.62259030013644
2014-08-26,5,0,5,100.0,224.03105550668317
2014-08-27,5,0,5,100.0,224.92153329899972
2014-08-28,4,0,4,100.0,224.79309357098504
2014-09-01,5,0,5,100.0,226.3510385077781
2014-09-02,5,0,5,100.0,228.76174619489072
2014-09-03,5,0,5,100.0,236.00654235561473
2014-09-04,5,0,5,100.0,236.13674224520346
2014-09-05,5,0,5,100.0,240.013984248129
2014-09-08,5,0,5,100.0,245.2771502711365
2014-09-09,5,0,5,100.0,246.4814265331745
2014-09-10,5,0,5,100.0,252.4043370810015
2014-09-11,5,0,5,100.0,257.70647300996905
2014-09-12,5,0,5,100.0,260.71218790522914
2014-09-15,5,0,5,100.0,266.65810969036
2014-09-16,5,0,5,100.0,252.1582749855206
2014-09-17,5,0,5,100.0,252.2964948425738
2014-09-18,5,0,5,100.0,259.41811411558837
2014-09-19,5,0,5,100.0,255.93462952415345
2014-09-22,5,0,5,100.0,258.2052903364861
2014-09-23,5,0,5,100.0,251.56227008043518
2014-09-24,5,0,5,100.0,246.43825347929663
2014-09-25,5,0,5,100.0,242.57467804554435
2014-09-26,5,0,5,100.0,247.57836687217042
2014-09-29,5,0,5,100.0,245.46334290816603
2014-09-30,5,0,5,100.0,248.6161287300733
2014-10-01,5,0,5,100.0,247.91086425288523
2014-10-07,5,0,5,100.0,245.1131390186016
2014-10-08,5,0,5,100.0,244.44710099894738
2014-10-09,5,0,5,100.0,247.80601793311584
2014-10-10,5,0,5,100.0,249.21645621332522
2014-10-13,5,0,5,100.0,251.68566453329962
2014-10-14,5,0,5,100.0,251.28836668158166
2014-10-16,5,0,5,100.0,240.5090683856282
2014-10-17,5,0,5,100.0,243.3114789837311
2014-10-20,5,0,5,100.0,244.84730983863957
2014-10-21,5,0,5,100.0,244.955813512389
2014-10-22,5,0,5,100.0,248.95943048002525
2014-10-23,4,0,4,100.0,252.45577141559673
2014-10-27,5,0,5,100.0,250.0267222432225
2014-10-28,5,0,5,100.0,251.31894782482672
2014-10-29,5,0,5,100.0,253.42181102014584
2014-10-30,5,0,5,100.0,255.37022860430062
2014-10-31,5,0,5,100.0,261.0858698088406
2014-11-03,5,0,5,100.0,268.1011153113537
2014-11-05,5,0,5,100.0,269.0545575586361
2014-11-07,5,0,5,100.0,284.3238934935282
2014-11-10,5,0,5,100.0,283.67648461442843
2014-11-11,5,0,5,100.0,280.12726957063586
2014-11-12,5,0,5,100.0,278.26005049339824
2014-11-13,5,0,5,100.0,279.8783737734117
2014-11-14,5,0,5,100.0,277.66454272207307
2014-11-17,5,0,5,100.0,286.0699339510005
2014-11-18,5,0,5,100.0,291.77023163560017
2014-11-19,5,0,5,100.0,292.3527555749295
2014-11-20,5,0,5,100.0,287.0115338655321
2014-11-21,5,0,5,100.0,284.05876512151985
