Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,78,7,86,91.76470588235294,145.1203022028465
2014-08-08,77,8,86,90.58823529411765,141.9788307494424
2014-08-11,77,8,86,90.58823529411765,143.0081914350334
2014-08-12,77,8,86,90.58823529411765,144.1682821513953
2014-08-13,75,10,86,88.23529411764706,142.81414709691384
2014-08-14,79,7,86,91.86046511627907,144.18340067321216
2014-08-18,80,6,86,93.02325581395348,147.01026183424472
2014-08-19,80,6,86,93.02325581395348,148.65581691059813
2014-08-20,80,6,86,93.02325581395348,148.78991467029036
2014-08-21,80,6,86,93.02325581395348,149.42645744151721
2014-08-22,80,6,86,93.02325581395348,149.7268558729413
2014-08-25,80,6,86,93.02325581395348,148.65939525385286
2014-08-26,79,7,86,91.86046511627907,148.16713680952785
2014-08-27,79,7,86,91.86046511627907,149.3341565511756
2014-08-28,80,6,86,93.02325581395348,149.04302512167996
2014-09-01,80,6,86,93.02325581395348,151.46445965819854
2014-09-02,80,6,86,93.02325581395348,152.66025825373112
2014-09-03,80,6,86,93.02325581395348,154.48421934247622
2014-09-04,81,5,86,94.18604651162791,154.80770029106753
2014-09-05,82,4,86,95.34883720930233,155.86748595099246
2014-09-08,83,3,86,96.51162790697676,158.42804085810127
2014-09-09,82,4,86,95.34883720930233,158.9335286961989
2014-09-10,82,4,86,95.34883720930233,159.2744494559889
2014-09-11,82,4,86,95.34883720930233,160.93294913614318
2014-09-12,82,4,86,95.34883720930233,161.45958569829244
2014-09-15,81,5,86,94.18604651162791,161.90698757271178
2014-09-16,80,6,86,93.02325581395348,157.0960492215646
2014-09-17,78,8,86,90.69767441860465,157.37520647551875
2014-09-18,79,7,86,91.86046511627907,160.20601421326722
2014-09-19,79,7,86,91.86046511627907,160.94025302676548
2014-09-22,79,7,86,91.86046511627907,160.726976701196
2014-09-23,77,9,86,89.53488372093024,157.26854498285113
2014-09-24,78,8,86,90.69767441860465,156.0025993585596
2014-09-25,75,11,86,87.20930232558139,152.7983972650765
2014-09-26,74,12,86,86.04651162790698,154.00016630110056
2014-09-29,75,11,86,87.20930232558139,155.50201505080597
2014-09-30,74,12,86,86.04651162790698,156.11031856361092
2014-10-01,74,12,86,86.04651162790698,155.8721550789968
2014-10-07,72,14,86,83.72093023255815,154.5750909026933
2014-10-08,72,14,86,83.72093023255815,154.15298604070065
2014-10-09,75,11,86,87.20930232558139,156.73952278782545
2014-10-10,73,13,86,84.88372093023256,154.57380812174716
2014-10-13,73,13,86,84.88372093023256,155.65218178391314
2014-10-14,74,12,86,86.04651162790698,155.0824542530047
2014-10-16,73,13,86,84.88372093023256,151.6933742521547
