Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,33,1,34,97.05882352941177,147.7546461683347
2014-08-08,33,1,34,97.05882352941177,144.9464113970897
2014-08-11,32,2,34,94.11764705882352,146.1210343793956
2014-08-12,33,1,34,97.05882352941177,146.98384849746967
2014-08-13,32,2,34,94.11764705882352,144.61068464121107
2014-08-14,33,1,34,97.05882352941177,146.29687191595835
2014-08-18,33,1,34,97.05882352941177,148.66766402240287
2014-08-19,33,1,34,97.05882352941177,151.096097756246
2014-08-20,33,1,34,97.05882352941177,151.34408415679857
2014-08-21,33,1,34,97.05882352941177,152.73164753890677
2014-08-22,33,1,34,97.05882352941177,152.88418212849226
2014-08-25,32,2,34,94.11764705882352,150.42755751908564
2014-08-26,32,2,34,94.11764705882352,150.50981505702612
2014-08-27,31,3,34,91.17647058823529,150.76679933031537
2014-08-28,30,4,34,88.23529411764706,150.51068900118892
2014-09-01,32,2,34,94.11764705882352,153.94510766490507
2014-09-02,32,2,34,94.11764705882352,154.25117794884923
2014-09-03,32,2,34,94.11764705882352,154.76649390463913
2014-09-04,31,3,34,91.17647058823529,154.14530258895866
2014-09-05,30,4,34,88.23529411764706,155.03373312726922
2014-09-08,31,3,34,91.17647058823529,157.27161305021548
2014-09-09,31,3,34,91.17647058823529,158.5550497429731
2014-09-10,31,3,34,91.17647058823529,157.94736481104474
2014-09-11,31,3,34,91.17647058823529,160.20069490838625
2014-09-12,31,3,34,91.17647058823529,160.48083400913123
2014-09-15,31,3,34,91.17647058823529,160.40246594995267
2014-09-16,29,5,34,85.29411764705883,155.54912812852615
2014-09-17,30,4,34,88.23529411764706,156.5249911668494
2014-09-18,31,3,34,91.17647058823529,159.64978095396947
2014-09-19,31,3,34,91.17647058823529,158.35363887103938
2014-09-22,30,4,34,88.23529411764706,158.39997203606228
2014-09-23,28,6,34,82.35294117647058,155.22205339479908
2014-09-24,28,6,34,82.35294117647058,153.7355740531653
2014-09-25,28,6,34,82.35294117647058,150.39167846048738
2014-09-26,28,6,34,82.35294117647058,153.36419703261862
2014-09-29,28,6,34,82.35294117647058,153.2913529008948
2014-09-30,28,6,34,82.35294117647058,153.03464606778633
2014-10-01,28,6,34,82.35294117647058,152.0764586387001
2014-10-07,28,6,34,82.35294117647058,149.60284197688583
2014-10-08,28,6,34,82.35294117647058,150.43267422941616
2014-10-09,28,6,34,82.35294117647058,152.93131437842982
2014-10-10,28,6,34,82.35294117647058,150.9020473490291
2014-10-13,28,6,34,82.35294117647058,151.54139705676042
2014-10-14,28,6,34,82.35294117647058,150.62492572655728
2014-10-16,28,6,34,82.35294117647058,148.40773669889717
2014-10-17,28,6,34,82.35294117647058,149.59160945885588
2014-10-20,30,4,34,88.23529411764706,152.93034994665206
2014-10-21,31,3,34,91.17647058823529,155.2027696850453
2014-10-22,31,3,34,91.17647058823529,156.81053842776254
2014-10-23,31,3,34,91.17647058823529,157.7732486844771
2014-10-27,31,3,34,91.17647058823529,157.25930530551568
2014-10-28,31,3,34,91.17647058823529,158.52390470647475
2014-10-29,31,3,34,91.17647058823529,159.5402788142683
2014-10-30,31,3,34,91.17647058823529,160.44698279483666
2014-10-31,31,3,34,91.17647058823529,162.9939692451423
2014-11-03,32,2,34,94.11764705882352,163.3545376774125
2014-11-05,31,3,34,91.17647058823529,162.62600806243682
2014-11-07,31,3,34,91.17647058823529,162.87154965572415
2014-11-10,31,3,34,91.17647058823529,162.2557889211937
2014-11-11,31,3,34,91.17647058823529,163.9103172286374
2014-11-12,31,3,34,91.17647058823529,165.03575847861555
2014-11-13,31,3,34,91.17647058823529,163.35526466044206
2014-11-14,31,3,34,91.17647058823529,164.83786841517966
2014-11-17,31,3,34,91.17647058823529,166.7457769271179
2014-11-18,31,3,34,91.17647058823529,168.06056607748175
2014-11-19,31,3,34,91.17647058823529,166.6649366518353
2014-11-20,31,3,34,91.17647058823529,165.946338162772
2014-11-21,30,4,34,88.23529411764706,166.0854596387952
2014-11-24,31,3,34,91.17647058823529,167.30723579445583
2014-11-25,31,3,34,91.17647058823529,164.47124108314142
2014-11-26,31,3,34,91.17647058823529,164.8450035187942
2014-11-27,31,3,34,91.17647058823529,165.3042632477443
2014-11-28,31,3,34,91.17647058823529,168.64189855007228
2014-12-01,31,3,34,91.17647058823529,169.175051546206
2014-12-02,31,3,34,91.17647058823529,169.9802919287046
2014-12-03,31,3,34,91.17647058823529,172.63253795000495
2014-12-04,30,4,34,88.23529411764706,174.3859113394092
