Date,Above,Below,Total,Percentage,Index_Close
2014-01-01,0,0,0,0.0,100.0
2014-01-02,0,0,0,0.0,97.91903504535749
2014-01-03,0,0,0,0.0,98.82949543645871
2014-01-06,0,0,0,0.0,99.49523181280894
2014-01-07,0,0,0,0.0,99.46462926003964
2014-01-08,0,0,0,0.0,100.25566290031071
2014-01-09,0,0,0,0.0,99.53722711383296
2014-01-10,0,0,0,0.0,98.94155985727566
2014-01-13,0,0,0,0.0,99.12148732179745
2014-01-14,0,0,0,0.0,99.07311728314673
2014-01-15,0,0,0,0.0,99.17328347522631
2014-01-16,0,0,0,0.0,98.9604434304862
2014-01-17,0,0,0,0.0,97.28019789118719
2014-01-20,0,0,0,0.0,98.06957849908814
2014-01-21,0,0,0,0.0,98.76800292166816
2014-01-22,0,0,0,0.0,99.2099954274974
2014-01-23,0,0,0,0.0,98.96539024735867
2014-01-24,0,0,0,0.0,97.19134392151726
2014-01-27,0,0,0,0.0,94.42706568402987
2014-01-28,0,0,0,0.0,94.52855160724476
2014-01-29,0,0,0,0.0,94.20781455363817
2014-01-30,0,0,0,0.0,92.92760643392738
2014-01-31,0,0,0,0.0,94.21604267398563
2014-02-03,0,0,0,0.0,93.68573657793088
2014-02-04,0,0,0,0.0,94.2395800367944
2014-02-05,0,0,0,0.0,94.84922441733612
2014-02-06,0,0,0,0.0,94.73250750995362
2014-02-07,0,0,0,0.0,95.58012376335286
2014-02-10,0,0,0,0.0,95.37529049461637
2014-02-11,0,0,0,0.0,95.47212562848632
2014-02-12,0,0,0,0.0,95.42586015354132
2014-02-13,0,0,0,0.0,94.3109707212634
2014-02-14,0,0,0,0.0,93.93263878314762
2014-02-17,0,0,0,0.0,93.72737125962949
2014-02-18,0,0,0,0.0,94.53561938498484
2014-02-19,0,0,0,0.0,95.1053696166654
2014-02-20,0,0,0,0.0,95.17537703983535
2014-02-21,0,0,0,0.0,95.70760591896614
2014-02-24,0,0,0,0.0,96.21034634253142
2014-02-25,0,0,0,0.0,96.46048125956217
2014-02-26,0,0,0,0.0,97.06620066063164
2014-02-28,0,0,0,0.0,97.19520306733877
2014-03-03,0,0,0,0.0,97.15298317907994
2014-03-04,0,0,0,0.0,98.66601595806151
2014-03-05,0,0,0,0.0,99.31651524126035
2014-03-06,0,0,0,0.0,101.13269341249178
2014-03-07,0,0,0,0.0,101.04666216456155
2014-03-10,0,0,0,0.0,101.5540609249744
2014-03-11,0,0,0,0.0,101.74188176822973
2014-03-12,0,0,0,0.0,101.58523954218282
2014-03-13,0,0,0,0.0,101.58119561962128
2014-03-14,0,0,0,0.0,101.25362890857974
2014-03-18,0,0,0,0.0,102.03918257949618
2014-03-19,0,0,0,0.0,102.43035312773769
